AXSB IN Equity,price,volume,mc,pe,bm,div
2020-03-31,379.0,678228930.0,1069182.935,52.1783,1.2386,1.0
2020-04-30,444.9,783145747.0,1255369.629,61.251,1.454,1.0
2020-05-31,384.95,858065797.0,1086315.546,52.9975,1.258,1.0
2020-06-30,406.65,1023504298.0,1147569.943,64.6138,1.3122,1.0
2020-07-31,431.65,845052489.0,1218126.912,68.5861,1.3929,1.0
2020-08-31,496.75,603756318.0,1520092.522,78.93,1.603,1.0
2020-09-30,424.65,498103250.0,1299465.322,33.7196,1.31,0.0
2020-10-31,492.5,516560187.0,1507129.358,39.1073,1.5194,0.0
2020-11-30,601.6,593114231.0,1841153.443,47.7705,1.8559,0.0
2020-12-31,620.45,380519722.0,1899438.723,62.033,1.8768,0.0
2021-01-31,662.9,391561102.0,2029582.674,66.2772,2.0052,0.0
2021-02-28,724.8,439417628.0,2219777.718,72.466,2.1924,0.0
2021-03-31,697.45,350264241.0,2136555.662,28.9615,2.0627,0.0
2021-04-30,714.9,384932946.0,2190353.905,29.6862,2.1143,0.0
2021-05-31,750.7,275000907.0,2300606.95,31.1727,2.2202,0.0
2021-06-30,748.3,172805294.0,2293610.384,26.8478,2.1626,0.0
2021-07-31,708.9,143725454.0,2172945.561,25.4342,2.0487,0.0
2021-08-31,786.5,155915217.0,2411404.272,28.2183,2.273,0.0
2021-09-30,766.55,186057787.0,2350555.028,23.4405,2.1449,0.0
2021-10-31,742.0,238092760.0,2275561.739,22.6898,2.0762,0.0
2021-11-30,655.65,258725993.0,2011008.004,20.0493,1.8346,0.0
2021-12-31,678.55,200518934.0,2081527.639,16.4537,1.8317,0.0
2022-01-31,773.05,281802354.0,2371582.179,18.7452,2.0868,0.0
2022-02-28,742.4,203059210.0,2278209.31,18.0019,2.0041,0.0
2022-03-31,761.15,277067621.0,2336497.393,16.5324,1.9758,0.0
2022-04-30,728.6,198950570.0,2237136.779,15.8254,1.8913,0.0
2022-05-31,685.2,216554740.0,2104378.425,14.8827,1.7786,0.0
2022-06-30,636.8,167119109.0,1955858.125,12.1019,1.5906,0.0
2022-07-31,724.75,190354243.0,2226038.211,13.7733,1.8102,1.0
2022-08-31,751.5,152999751.0,2308298.387,14.2816,1.877,1.0
2022-09-30,733.2,244663011.0,2252336.333,12.2527,1.7527,1.0
2022-10-31,906.0,253519079.0,2783594.881,15.1404,2.1658,1.0
2022-11-30,901.25,251331236.0,2770162.814,15.061,2.1544,1.0
2022-12-31,933.75,170513211.0,2871241.022,13.922,2.1267,1.0
2023-01-31,871.6,200518374.0,2680601.412,12.9954,1.9851,1.0
2023-02-28,844.1,158872085.0,2596533.425,12.5854,1.9225,1.0
2023-03-31,858.5,226489507.0,2641209.982,24.3615,2.0353,1.0
2023-04-30,860.0,336183485.0,2646731.123,24.4041,2.0389,1.0
2023-05-31,914.85,249708346.0,2816511.645,25.9606,2.1689,1.0
2023-06-30,987.45,223247731.0,3041040.877,24.226,2.2333,1.0
2023-07-31,953.9,204836166.0,2938145.188,23.4028,2.1574,1.0
2023-08-31,973.5,231717705.0,2999070.735,23.8837,2.2017,1.0
2023-09-30,1036.7,187472599.0,3194729.739,24.3186,2.2437,1.0
2023-10-31,981.85,176212292.0,3026116.388,23.0319,2.125,1.0
2023-11-30,1074.25,153136730.0,3311494.131,25.1994,2.325,1.0
2023-12-31,1102.3,198676404.0,3399514.207,25.3053,2.2784,1.0
2024-01-31,1067.75,235114917.0,3293416.023,24.5122,2.2069,1.0
2024-02-29,1075.1,208041223.0,3317248.69,24.6809,2.2221,1.0
2024-03-31,1047.2,185511537.0,3232098.204,12.2308,2.0585,1.0
2024-04-30,1165.9,310368151.0,3599428.915,13.6171,2.2918,1.0
2024-05-31,1162.15,179574434.0,3589830.169,13.5733,2.2844,1.0
2024-06-30,1265.25,262637447.0,3909678.876,14.5985,2.3705,1.0
2024-07-31,1166.1,253139105.0,3604430.284,13.4545,2.1848,1.0
2024-08-31,1175.25,165162226.0,3633801.22,13.5601,2.2019,1.0
2024-09-30,1232.2,171131277.0,3811508.045,13.62,2.2106,1.0
2024-10-31,1159.55,233632650.0,3587230.225,12.817,2.0802,1.0
2024-11-30,1136.3,170880963.0,3516292.286,12.56,2.0385,1.0
2024-12-31,1064.7,159749271.0,3295350.83,11.6743,1.8362,1.0
2025-01-31,986.1,303664522.0,3052689.757,10.8125,1.7007,1.0
2025-02-28,1015.55,144817349.0,3144446.837,11.1354,1.7515,1.0
2025-03-31,1102.0,126752088.0,3413026.512,12.1486,1.823,1.0
2025-04-30,1185.0,171931083.0,3670876.961,13.0636,1.9603,1.0
2025-05-31,1192.2,123877883.0,3695637.872,13.143,1.9722,1.0
2025-06-30,1199.2,131438362.0,3718812.018,13.3215,1.9184,1.0
2025-07-31,1068.4,214926093.0,3313739.415,11.8685,1.7092,1.0
2025-08-31,1045.2,111312710.0,3242558.12,11.6108,1.6721,1.0
2025-09-30,1131.6,156436967.0,3511095.358,13.4875,1.7596,1.0
2025-10-31,1232.8,171403590.0,3825386.1,14.6937,1.917,1.0
2025-11-30,1279.7,107363988.0,3971779.095,15.2527,1.9899,1.0
2025-12-31,1269.4,87721690.0,3941475.536,14.987,1.905,1.0
2026-01-31,1370.4,173984887.0,4255595.928,16.1795,2.0566,1.0
2026-02-28,1383.9,120140671.0,4299696.984,16.3388,2.0768,1.0
2026-03-31,1346.5,17461703.0,4183497.355,15.8973,2.0207,1.0
