HZ IN Equity,price,volume,mc,pe,bm,div
2019-12-31,209.65,8347911.0,885838.1284,11.8446,2.3592,0.0
2020-01-31,194.1,18344788.0,820134.4179,10.9661,2.3592,0.0
2020-02-29,172.25,9687711.0,727811.1978,9.7316,2.3592,0.0
2020-03-31,155.4,16429733.0,656614.5726,9.6462,1.6307,0.0
2020-04-30,174.6,10386177.0,737740.6974,10.838,1.8322,0.0
2020-05-31,171.55,24676107.0,724853.4745,10.6487,1.8002,16.5
2020-06-30,195.95,33318684.0,827951.2581,12.934,2.0321,16.5
2020-07-31,210.05,45107469.0,887528.256,13.8647,2.0321,16.5
2020-08-31,226.6,58747985.0,957457.2854,14.9571,2.0321,16.5
2020-09-30,209.95,21260366.0,887105.7241,14.1762,2.4209,16.5
2020-10-31,203.3,43940350.0,859007.3814,13.7272,2.3442,37.8
2020-11-30,229.7,22786940.0,970555.8067,15.5098,2.6486,37.8
2020-12-31,239.05,24287985.0,1010062.541,14.7653,2.7582,37.8
2021-01-31,274.75,63040754.0,1160906.434,16.9704,2.7582,37.8
2021-02-28,297.5,32250542.0,1257032.444,18.3755,2.7582,37.8
2021-03-31,272.9,32229565.0,1153089.594,14.4468,3.5725,37.8
2021-04-30,305.1,56395968.0,1289144.87,16.1514,3.994,37.8
2021-05-31,327.0,105073388.0,1381679.359,17.3107,4.2807,21.3
2021-06-30,339.3,38450540.0,1433650.785,16.665,4.4521,21.3
2021-07-31,320.5,26715716.0,1354214.74,15.7417,4.4521,21.3
2021-08-31,321.75,24475185.0,1359496.388,15.803,4.4521,21.3
2021-09-30,311.6,18490830.0,1316609.4,15.1704,3.6238,21.3
2021-10-31,311.35,49490723.0,1315553.071,15.1582,3.6208,21.3
2021-11-30,333.05,27640294.0,1407242.493,16.2147,3.8732,21.3
2021-12-31,316.8,30068920.0,1338581.059,14.5856,3.6709,18.0
2022-01-31,315.45,13069039.0,1332876.879,14.5235,3.6709,18.0
2022-02-28,311.95,11092967.0,1318088.262,14.3623,3.6709,18.0
2022-03-31,310.15,54003512.0,1310482.688,13.615,3.827,18.0
2022-04-30,321.9,25010680.0,1360130.186,14.1308,3.972,18.0
