CBK IN Equity,price,volume,mc,pe,bm,div
2021-03-31,30.44,2182224415.0,250633.5664,8.592,0.4016,0.0
2021-04-30,27.75,1852435520.0,228484.9365,7.8327,0.3661,0.0
2021-05-31,32.16,2983299780.0,264795.5156,9.0775,0.4243,0.0
2021-06-30,30.37,1605813295.0,250057.208,6.9262,0.3933,0.0
2021-07-31,30.64,1083069860.0,252280.2953,6.9877,0.3968,0.0
2021-08-31,31.82,1764660415.0,288628.1231,7.2569,0.4121,0.0
2021-09-30,34.6,2109177125.0,313844.5336,6.6737,0.4653,0.0
2021-10-31,42.9,3213247870.0,389130.9391,8.2747,0.5769,0.0
2021-11-30,39.83,1790511905.0,361284.0397,7.6825,0.5357,0.0
2021-12-31,39.99,1095996110.0,362735.3439,6.6556,0.5254,0.0
2022-01-31,50.59,1354483245.0,458884.2472,8.4197,0.6646,0.0
2022-02-28,43.92,1560099850.0,398383.0033,7.3096,0.577,0.0
2022-03-31,45.55,1209037590.0,413168.1649,5.6286,0.5906,0.0
2022-04-30,45.93,765790250.0,416615.0124,5.6755,0.5955,0.0
2022-05-31,41.0,1346445550.0,371896.7017,5.0663,0.5316,0.0
2022-06-30,36.25,859964715.0,328811.1082,4.0293,0.4554,1.3
2022-07-31,44.46,1243648445.0,403281.155,4.9419,0.5585,1.3
2022-08-31,48.22,1105318990.0,437386.8038,5.3598,0.6057,1.3
2022-09-30,45.75,1109157560.0,414982.2951,4.3962,0.5548,1.3
2022-10-31,58.08,1556417285.0,526823.4252,5.581,0.7044,1.3
2022-11-30,62.94,1229069010.0,570906.7903,6.048,0.7633,1.3
2022-12-31,66.66,1276166245.0,604649.613,5.6609,0.7856,1.3
2023-01-31,60.79,1084179320.0,551404.8901,5.1624,0.7164,1.3
2023-02-28,55.91,898469830.0,507140.1119,4.748,0.6589,1.3
2023-03-31,56.89,921627535.0,516029.3502,4.698,0.6611,1.3
2023-04-30,63.49,495649130.0,575895.6485,5.243,0.7378,1.3
2023-05-31,61.94,936321625.0,561836.139,5.115,0.7198,1.3
2023-06-30,60.37,518402880.0,547595.2166,4.3659,0.6696,2.4
2023-07-31,68.87,1094114480.0,624695.7523,4.9807,0.7639,2.4
2023-08-31,64.08,761304170.0,581247.3327,4.6343,0.7107,2.4
2023-09-30,75.25,1283521415.0,682566.5073,5.0118,0.798,2.4
2023-10-31,76.87,855232780.0,697260.9624,5.1197,0.8152,2.4
2023-11-30,80.61,563061530.0,731185.1981,5.3688,0.8549,2.4
2023-12-31,87.5,786295640.0,793681.9852,5.4695,0.8889,2.4
2024-01-31,96.4,990998205.0,874410.7815,6.0258,0.9793,2.4
2024-02-29,112.89,1262812470.0,1023985.821,7.0566,1.1468,2.4
2024-03-31,116.21,703811105.0,1054100.383,6.9688,1.1441,2.4
2024-04-30,124.39,680688055.0,1128298.31,7.4593,1.2246,2.4
2024-05-31,118.0,1270655434.0,1070336.849,7.0761,1.1617,2.4
2024-06-30,119.47,1073284319.0,1083670.706,3.4159,0.2211,3.22
2024-07-31,114.71,697132378.0,1040494.406,3.2798,0.2122,3.22
2024-08-31,111.53,489271635.0,1011649.735,3.1888,0.2064,3.22
2024-09-30,111.33,686355799.0,1009835.605,3.142,0.9851,3.22
2024-10-31,102.65,547158341.0,931102.3518,2.897,0.9083,3.22
2024-11-30,102.01,448442439.0,925297.135,2.879,0.9026,3.22
2024-12-31,100.12,480079546.0,908153.6042,2.7885,0.8754,3.22
2025-01-31,93.27,575293613.0,846019.643,2.5977,0.8155,3.22
2025-02-28,80.9,459450796.0,733815.6869,2.2532,0.7073,3.22
2025-03-31,89.0,478208862.0,807287.9621,2.3964,0.7658,3.22
2025-04-30,97.45,626334800.0,883934.9653,2.624,0.8385,3.22
2025-05-31,114.76,724433404.0,1040947.939,3.0901,0.9875,3.22
2025-06-30,114.2,617777999.0,1035868.374,5.6367,0.9536,4.0
2025-07-31,107.25,712726451.0,972827.3476,5.2936,0.8956,4.0
2025-08-31,103.83,326280987.0,941805.7203,5.1248,0.867,4.0
2025-09-30,123.71,549050880.0,1122130.267,5.8548,0.9741,4.0
2025-10-31,136.99,723720899.0,1242588.516,6.4833,1.0786,4.0
2025-11-30,151.58,608565600.0,1374929.318,7.1738,1.1935,4.0
2025-12-31,154.91,591750332.0,1405134.587,6.9561,1.1972,4.0
2026-01-31,147.42,586069459.0,1337195.409,6.6197,1.1393,4.0
2026-02-28,157.37,577531843.0,1427448.389,7.0665,1.2162,4.0
2026-03-31,148.41,92089433.0,1346175.387,6.6642,1.147,4.0
