CDSL IN Equity,price,volume,mc,pe,bm,div
2017-06-30,130.8,100652130.0,27337.2,31.8636,5.1258,0.0
2017-07-31,169.8,468149778.0,35488.2,41.3642,6.6542,0.0
2017-08-31,169.18,105008866.0,35357.575,41.2119,6.6297,0.0
2017-09-30,170.88,99215824.0,35712.875,41.6261,6.6963,0.0
2017-10-31,185.98,58167744.0,38868.775,45.3045,7.2881,0.0
2017-11-30,181.85,28561756.0,38006.65,44.2996,7.1264,0.0
2017-12-31,178.8,23684940.0,37369.2,43.5566,7.0069,0.0
2018-01-31,166.8,36923830.0,34861.2,40.6334,6.5366,0.0
2018-02-28,159.7,16339142.0,33377.3,38.9038,6.2584,0.0
2018-03-31,141.32,17339104.0,29536.925,28.6373,4.9331,0.0
2018-04-30,143.23,20546020.0,29934.025,29.0223,4.9994,0.0
2018-05-31,145.6,19901894.0,30430.4,29.5035,5.0823,0.0
2018-06-30,140.13,13072460.0,29286.125,28.3941,4.8912,0.0
2018-07-31,131.57,14267848.0,27499.175,26.6616,4.5927,0.0
2018-08-31,130.5,11394388.0,27274.5,26.4438,4.5552,1.75
2018-09-30,112.35,11396966.0,23481.15,22.766,3.9217,1.75
2018-10-31,120.65,6862218.0,25215.85,24.4478,4.2114,1.75
2018-11-30,118.58,6391956.0,24782.175,24.0274,4.139,1.75
2018-12-31,111.68,19803986.0,23340.075,22.6292,3.8981,1.75
2019-01-31,109.0,10356804.0,22781.0,22.0871,3.8047,1.75
2019-02-28,109.38,5404292.0,22859.375,22.1631,3.8178,1.75
2019-03-31,121.28,9047394.0,25346.475,44.6577,3.7936,1.75
2019-04-30,116.78,5211076.0,24405.975,43.0006,3.6528,1.75
2019-05-31,113.93,7423294.0,23810.325,41.9512,3.5637,1.75
2019-06-30,110.15,5756214.0,23021.35,40.5611,3.4456,1.75
2019-07-31,95.53,8173220.0,19964.725,35.1756,2.9881,1.75
2019-08-31,97.68,5310960.0,20414.075,35.9673,3.0553,1.75
2019-09-30,102.33,8081588.0,21385.925,37.6796,3.2008,2.0
2019-10-31,116.25,12587168.0,24296.25,42.8073,3.6364,2.0
2019-11-30,113.73,22980860.0,23768.525,41.8775,3.5574,2.0
2019-12-31,111.35,18696058.0,23272.15,41.003,3.4831,2.0
2020-01-31,132.68,69475728.0,27729.075,48.8556,4.1502,2.0
2020-02-29,132.5,46282742.0,27692.5,48.7911,4.1447,2.0
2020-03-31,107.2,26858108.0,22404.8,21.1024,3.0946,2.0
2020-04-30,112.65,17759862.0,23543.85,22.1752,3.2519,2.0
2020-05-31,123.55,22729334.0,25821.95,24.3209,3.5666,2.0
2020-06-30,135.35,24210236.0,28288.15,26.6437,3.9072,2.0
2020-07-31,174.55,64167802.0,36480.95,34.3602,5.0388,2.0
2020-08-31,203.33,61641952.0,42494.925,40.0246,5.8695,2.0
2020-09-30,241.28,131263206.0,50426.475,47.4951,6.965,2.25
2020-10-31,241.58,40491368.0,50489.175,47.5541,6.9737,2.25
2020-11-30,244.85,43527944.0,51173.65,48.1988,7.0682,2.25
2020-12-31,266.55,60503078.0,55708.95,52.4705,7.6947,2.25
2021-01-31,241.35,31933844.0,50442.15,47.5098,6.9672,2.25
2021-02-28,312.05,62754122.0,65218.45,61.4272,9.0081,2.25
2021-03-31,328.03,42464322.0,68557.225,34.2227,7.8153,2.25
2021-04-30,403.4,45067660.0,84310.6,42.0866,9.6111,2.25
2021-05-31,494.83,36999870.0,103418.425,51.6249,11.7893,2.25
2021-06-30,489.28,28842962.0,102258.475,51.0459,11.6571,2.25
2021-07-31,665.73,69157818.0,139136.525,69.4549,15.8611,2.25
2021-08-31,594.08,14203920.0,124161.675,61.9797,14.154,2.25
2021-09-30,645.0,15924474.0,134805.0,67.2926,15.3673,4.5
2021-10-31,676.58,13212362.0,141404.175,70.5869,16.1196,4.5
2021-11-30,725.53,27452654.0,151634.725,75.6938,17.2858,4.5
2021-12-31,749.9,59857792.0,156729.1,78.2368,17.8665,4.5
2022-01-31,752.63,27021972.0,157298.625,78.5211,17.9315,4.5
2022-02-28,676.7,24207364.0,141430.3,70.5999,16.1225,4.5
2022-03-31,740.18,48516828.0,154696.575,49.7095,14.1544,4.5
2022-04-30,689.75,20136838.0,144157.75,46.323,13.1902,4.5
2022-05-31,628.73,35801712.0,131403.525,42.2246,12.0232,4.5
2022-06-30,557.2,22505564.0,116454.8,37.4211,10.6554,4.5
2022-07-31,563.48,14384068.0,117766.275,37.8425,10.7754,4.5
2022-08-31,624.45,30843708.0,130510.05,41.9375,11.9414,4.5
2022-09-30,622.95,40232564.0,130196.55,41.8368,11.9127,7.5
2022-10-31,611.78,10003630.0,127860.975,41.0863,11.699,7.5
2022-11-30,619.0,12481208.0,129371.0,41.5715,11.8372,7.5
2022-12-31,557.65,12244884.0,116548.85,37.4513,10.664,7.5
2023-01-31,520.83,10636316.0,108852.425,34.9782,9.9598,7.5
2023-02-28,494.7,12126940.0,103392.3,33.2236,9.4602,7.5
2023-03-31,454.38,14494242.0,94964.375,34.4093,7.8242,7.5
2023-04-30,502.8,10038240.0,105085.2,38.0765,8.658,7.5
2023-05-31,519.23,16173264.0,108518.025,39.3203,8.9409,7.5
2023-06-30,555.38,49875576.0,116073.375,42.0579,9.5634,7.5
2023-07-31,615.33,29203842.0,128602.925,46.5979,10.5957,7.5
2023-08-31,569.23,19663986.0,118968.025,43.1068,9.8019,8.0
2023-09-30,679.9,77715274.0,142099.1,51.4881,11.7076,8.0
2023-10-31,728.08,73698648.0,152167.675,55.1363,12.5372,8.0
2023-11-30,946.9,124979178.0,197902.1,71.7077,16.3053,8.0
2023-12-31,912.2,39784832.0,190649.8,69.0799,15.7078,8.0
2024-01-31,887.53,26700062.0,185492.725,67.2113,15.2829,8.0
2024-02-29,958.58,63778696.0,200342.175,72.5918,16.5063,8.0
2024-03-31,855.98,73295182.0,178898.775,42.6814,12.2253,8.0
2024-04-30,1054.35,100131296.0,220359.15,52.5729,15.0586,8.0
2024-05-31,1039.85,62398070.0,217328.65,51.8499,14.8515,8.0
2024-06-30,1193.63,72800170.0,249467.625,59.5176,17.0478,8.0
2024-07-31,1250.75,87070128.0,261406.75,62.366,17.8637,11.0
2024-08-31,1434.9,114304125.0,299894.1,71.5482,20.4938,11.0
2024-09-30,1437.1,66160597.0,300353.9,71.6579,20.5252,11.0
2024-10-31,1545.8,118329316.0,323072.2,77.078,22.0777,11.0
2024-11-30,1639.45,72531817.0,342645.05,81.7477,23.4152,11.0
2024-12-31,1758.65,88236705.0,367557.85,87.6913,25.1177,11.0
2025-01-31,1309.7,82589645.0,273727.3,65.3054,18.7056,11.0
2025-02-28,1107.9,76183028.0,231551.1,55.2431,15.8234,11.0
