SEML IN Equity,price,volume,mc,pe,bm,div
2014-10-31,21.53,24198970.0,7740.5419,8.4797,0.6723,0.3
2014-11-30,19.29,10212730.0,6937.0068,7.5994,0.6025,0.3
2014-12-31,19.35,11000050.0,6954.983,7.6191,0.604,0.3
2015-01-31,17.43,9132580.0,6264.6978,6.8629,0.5441,0.3
2015-02-28,16.95,17494560.0,6093.8639,6.6759,0.5292,0.3
2015-03-31,12.4,10673420.0,4458.0919,8.1099,0.3686,0.3
2015-04-30,13.56,6775070.0,4875.1393,8.8685,0.403,0.3
2015-05-31,13.5,2650200.0,4853.5678,8.8293,0.4013,0.3
2015-06-30,10.78,16104540.0,3876.6641,7.0471,0.3203,0.3
2015-07-31,10.56,15256710.0,3797.5118,6.9032,0.3137,0.3
2015-08-31,10.2,33005150.0,3669.7887,6.671,0.3032,0.3
2015-09-30,9.82,5555200.0,3533.0711,6.4225,0.2919,0.3
2015-10-31,11.15,7958340.0,4009.7839,7.2891,0.3313,0.3
2015-11-30,10.33,5995420.0,3714.7617,6.7528,0.3069,0.3
2015-12-31,10.8,15010440.0,3883.8598,7.0602,0.3209,0.3
2016-01-31,9.71,13868220.0,3493.495,6.3506,0.2886,0.3
2016-02-29,7.83,7535880.0,2815.3036,5.1177,0.2326,0.3
2016-03-31,9.38,10396780.0,3372.9676,26.4184,0.2757,0.2
2016-04-30,11.23,17198870.0,4038.5665,31.6316,0.3301,0.2
2016-05-31,10.87,6968250.0,3909.0446,30.6171,0.3195,0.2
2016-06-30,12.65,23896550.0,4549.4587,35.6331,0.3719,0.2
2016-07-31,14.56,29184170.0,5238.4435,41.0295,0.4282,0.2
2016-08-31,17.28,51079080.0,6217.0539,48.6943,0.5082,0.2
2016-09-30,19.89,71170590.0,7156.0881,56.0492,0.5849,0.2
2016-10-31,27.32,65005600.0,9829.2773,76.9866,0.8034,0.2
2016-11-30,24.35,75339040.0,8758.9223,68.6032,0.7159,0.2
2016-12-31,22.02,22046940.0,7932.513,62.0514,0.6476,0.2
2017-01-31,23.47,19874130.0,8453.0616,66.1234,0.6901,0.2
2017-02-28,24.38,19173240.0,8784.2114,68.7018,0.717,0.2
2017-03-31,24.3,20062210.0,8755.387,6.6287,0.6449,0.2
2017-04-30,24.94,20752480.0,8985.9816,6.8033,0.6619,0.2
2017-05-31,24.42,22459860.0,8796.822,6.6601,0.648,0.0
2017-06-30,24.99,13045790.0,9003.9968,6.817,0.6632,0.0
2017-07-31,29.7,41338390.0,10699.2271,8.1004,0.7881,0.0
2017-08-31,44.87,96930890.0,16166.8402,12.24,1.1908,0.4
2017-09-30,41.55,42623200.0,14976.6536,11.333,1.1026,0.4
2017-10-31,50.28,29093440.0,18125.5541,13.7158,1.3344,0.4
2017-11-30,47.61,33959540.0,17161.2378,12.9861,1.2634,0.4
2017-12-31,50.19,18035230.0,18091.3081,13.6899,1.3319,0.4
2018-01-31,54.59,68600740.0,19679.2768,14.8915,1.4488,0.4
2018-02-28,49.41,28054110.0,17811.927,13.4784,1.3113,0.4
2018-03-31,42.27,25546250.0,15238.0116,7.5252,0.9666,0.4
2018-04-30,47.4,16544810.0,17087.3374,8.4385,1.0839,0.4
2018-05-31,42.01,19671790.0,15144.2836,7.4789,0.9606,0.4
2018-06-30,39.6,16926940.0,14275.4971,7.0499,0.9055,0.4
2018-07-31,39.64,9790490.0,14288.1143,7.0561,0.9063,0.4
2018-08-31,42.35,24294820.0,15265.0486,7.5385,0.9683,0.5
2018-09-30,33.7,15350840.0,12146.7897,5.9986,0.7705,0.5
2018-10-31,29.99,10042020.0,10812.968,5.3399,0.6859,0.5
2018-11-30,26.61,8503100.0,9592.7014,4.7373,0.6085,0.5
2018-12-31,26.56,7201840.0,9574.6768,4.7284,0.6074,0.5
2019-01-31,23.74,5372600.0,8558.0884,4.2264,0.5429,0.5
2019-02-28,25.95,13457660.0,9352.974,4.6189,0.5933,0.5
2019-03-31,31.27,14543510.0,11272.5958,5.5483,0.634,0.5
2019-04-30,27.94,4161230.0,10070.3538,4.9565,0.5664,0.5
2019-05-31,26.83,7235770.0,9670.2073,4.7596,0.5439,0.5
2019-06-30,23.1,4256470.0,8327.3733,4.0987,0.4684,0.5
2019-07-31,16.8,4255760.0,6056.2715,2.9808,0.3406,0.5
2019-08-31,15.4,10431570.0,5551.5822,2.7324,0.3122,0.5
2019-09-30,15.4,16885790.0,5551.5822,2.7324,0.3122,0.5
2019-10-31,17.54,6673930.0,6321.2334,3.1112,0.3555,0.5
2019-11-30,18.45,11793530.0,6651.0839,3.2736,0.3741,0.5
2019-12-31,22.17,15344980.0,7992.1154,3.9336,0.4495,0.5
2020-01-31,21.34,20136930.0,7691.1043,3.7855,0.4326,0.5
2020-02-29,17.29,7685440.0,6232.9127,3.0678,0.3506,0.5
2020-03-31,11.75,12063760.0,4235.7851,3.3527,0.2268,0.5
2020-04-30,14.17,8663280.0,5108.1766,4.0432,0.2735,0.5
2020-05-31,15.06,9098720.0,5427.2123,4.2957,0.2906,0.5
2020-06-30,16.52,29090520.0,5957.1361,4.7152,0.319,0.5
2020-07-31,16.42,12549790.0,5917.4819,4.6838,0.3169,0.5
2020-08-31,25.06,66287690.0,9032.1358,7.1491,0.4837,0.5
2020-09-30,22.96,16703780.0,8276.9044,6.5513,0.4432,0.5
2020-10-31,24.44,16316420.0,8810.4328,6.9736,0.4718,0.5
2020-11-30,31.35,24655310.0,11299.6324,8.9438,0.6051,0.5
2020-12-31,33.55,27117110.0,12094.518,9.573,0.6477,0.5
2021-01-31,33.47,31455170.0,12065.6786,9.5502,0.6461,0.5
2021-02-28,38.16,22156720.0,13756.3877,10.8884,0.7367,0.5
2021-03-31,41.86,30125530.0,15090.2094,4.025,0.6794,0.5
2021-04-30,51.04,27009580.0,18397.7266,4.9072,0.8283,0.5
2021-05-31,51.64,38830690.0,18614.022,4.9649,0.838,0.5
2021-06-30,62.48,58512800.0,22523.5614,6.0077,1.014,0.5
2021-07-31,80.16,17690250.0,28895.2643,7.7072,1.3009,0.5
2021-08-31,72.69,11269640.0,26202.3865,6.9889,1.1796,0.75
2021-09-30,71.13,11614220.0,25640.0184,6.8389,1.1543,0.75
2021-10-31,82.35,18839850.0,29688.3475,7.9187,1.3366,0.75
2021-11-30,78.74,18193230.0,28383.3652,7.5707,1.2778,0.75
2021-12-31,80.4,12333620.0,28983.5849,7.7308,1.3048,0.75
2022-01-31,82.36,14634390.0,29690.1499,7.9192,1.3366,0.75
2022-02-28,84.44,17411600.0,30438.1716,8.1188,1.3703,0.75
2022-03-31,113.27,37425380.0,40831.166,5.0776,1.3594,0.75
2022-04-30,120.55,18791960.0,43457.3528,5.4041,1.4468,0.75
2022-05-31,90.97,30052460.0,32793.9891,4.0781,1.0918,0.75
2022-06-30,81.22,7639020.0,29277.3862,3.6408,0.9747,0.75
2022-07-31,95.39,6438140.0,34387.3653,4.2762,1.1448,0.75
2022-08-31,91.71,6963100.0,33060.7534,4.1113,1.1007,0.75
2022-09-30,87.1,6576320.0,31397.0812,3.9044,1.0453,0.75
2022-10-31,84.21,3284990.0,30355.2583,3.7748,1.0106,0.75
2022-11-30,96.31,7418910.0,34719.0182,4.3175,1.1559,0.75
2022-12-31,104.2,8891110.0,37561.5004,4.671,1.2505,0.75
2023-01-31,109.52,9482680.0,39481.1222,4.9097,1.3144,0.75
2023-02-28,110.14,9722340.0,39702.825,4.9372,1.3218,0.75
2023-03-31,106.76,9314900.0,38484.3608,6.2819,1.1032,0.75
2023-04-30,112.22,3863470.0,40454.4515,6.6035,1.1596,0.75
2023-05-31,116.94,6951810.0,42155.9754,6.8813,1.2084,0.75
2023-06-30,146.78,16608870.0,52911.2647,8.6369,1.5167,0.75
2023-07-31,201.78,14401530.0,72740.1464,11.8736,2.0851,0.0
2023-08-31,221.45,16945760.0,78034.8322,13.0311,2.2884,0.0
2023-09-30,220.3,9392060.0,77629.5938,12.9634,2.2765,1.5
2023-10-31,203.1,6172229.0,71568.6359,11.9513,2.0987,1.5
2023-11-30,239.6,6709389.0,84430.5523,14.0991,2.4759,1.5
2023-12-31,253.25,9162995.0,89240.5566,14.9023,2.617,1.5
2024-01-31,250.4,10965505.0,88236.27,14.7346,2.5875,1.5
2024-02-29,214.2,11386823.0,75480.068,12.6044,2.2134,1.5
2024-03-31,202.85,15356925.0,71480.5406,13.6691,1.8382,1.5
2024-04-30,240.2,11728122.0,84641.9811,16.186,2.1766,1.5
2024-05-31,223.95,19626178.0,78915.7854,15.091,2.0294,1.5
2024-06-30,232.58,9739781.0,81956.8358,15.6725,2.1076,1.5
2024-07-31,269.67,23016270.0,95026.6571,18.1718,2.4437,1.5
2024-08-31,351.65,44492896.0,123914.8736,23.6961,3.1866,1.75
