ATLP IN Equity,price,volume,mc,pe,bm,div
2002-03-31,17.7,69975.0,525.0121,3.036,0.2077,1.0
2002-04-30,22.0,91579.0,652.5574,3.7736,0.2581,1.0
2002-05-31,23.2,108114.0,688.1514,3.9794,0.2722,1.0
2002-06-30,31.7,250292.0,940.2759,5.4374,0.3719,1.5
2002-07-31,28.25,222568.0,837.943,4.8456,0.3314,1.5
2002-08-31,34.0,121516.0,1008.4978,5.8319,0.3989,1.5
2002-09-30,30.45,46826.0,903.1987,5.223,0.3572,1.5
2002-10-31,31.5,34398.0,934.3435,5.4031,0.3696,1.5
2002-11-30,31.5,45352.0,934.3435,5.4031,0.3696,1.5
2002-12-31,32.5,58751.0,964.0052,5.5746,0.3813,1.5
2003-01-31,32.5,95114.0,964.0052,5.5746,0.3813,1.5
2003-02-28,34.5,129295.0,1023.3286,5.9177,0.4048,1.5
2003-03-31,27.2,84381.0,806.7982,1.599,0.2862,1.5
2003-04-30,31.1,29507.0,922.4788,1.8283,0.3273,1.5
2003-05-31,41.0,183703.0,1216.1297,2.4102,0.4315,1.5
2003-06-30,56.55,797864.0,1677.3691,3.3244,0.5951,2.0
2003-07-31,49.3,796931.0,1462.3218,2.8982,0.5188,2.0
2003-08-31,45.3,413015.0,1343.675,2.663,0.4767,2.0
2003-09-30,45.35,300744.0,1345.1581,2.666,0.4772,2.0
2003-10-31,37.65,240298.0,1116.7592,2.2133,0.3962,2.0
2003-11-30,55.5,759380.0,1646.2188,3.2626,0.584,2.0
2003-12-31,68.45,1387444.0,2030.3365,4.0239,0.7203,2.0
2004-01-31,44.3,462007.0,1314.0089,2.6042,0.4662,2.0
2004-02-29,39.65,410121.0,1176.0824,2.3309,0.4173,2.0
2004-03-31,32.65,591836.0,968.4512,41.1461,0.3488,2.0
2004-04-30,37.35,699552.0,1107.8608,47.0691,0.399,2.0
2004-05-31,30.55,349350.0,906.1619,38.4996,0.3263,2.0
2004-06-30,30.5,84776.0,904.6788,38.4366,0.3258,1.5
2004-07-31,37.95,1201564.0,1125.6577,47.8252,0.4054,1.5
2004-08-31,37.8,511685.0,1121.2085,47.6362,0.4038,1.5
2004-09-30,53.7,3267310.0,1592.8279,67.6737,0.5736,1.5
2004-10-31,51.3,1512605.0,1521.6401,64.6491,0.548,1.5
2004-11-30,59.15,3410148.0,1754.4836,74.5418,0.6318,1.5
2004-12-31,63.6,2595160.0,1886.4778,80.1498,0.6794,1.5
2005-01-31,71.6,7751757.0,2123.7777,90.2316,0.7648,1.5
2005-02-28,79.15,7347219.0,2347.7235,99.7462,0.8455,1.5
2005-03-31,76.4,10246980.0,2266.1538,18.0566,1.1576,1.5
2005-04-30,79.0,3474369.0,2343.2742,18.6711,1.197,1.5
2005-05-31,93.95,11269866.0,2786.7166,22.2044,1.4235,1.5
2005-06-30,84.25,5800978.0,2498.9982,19.9119,1.2765,2.0
2005-07-31,86.0,1643834.0,2550.9061,20.3255,1.303,2.0
2005-08-31,115.6,8524846.0,3428.8924,27.3212,1.7515,2.0
2005-09-30,123.85,8059112.0,3673.6015,29.2711,1.8765,2.0
2005-10-31,118.0,2543665.0,3500.0805,27.8885,1.7879,2.0
2005-11-30,108.75,863416.0,3225.7098,25.7023,1.6477,2.0
2005-12-31,103.75,1043005.0,3077.4013,24.5206,1.572,2.0
2006-01-31,117.25,2578970.0,3477.8342,27.7112,1.7765,2.0
2006-02-28,115.65,3152543.0,3430.3755,27.333,1.7523,2.0
2006-03-31,145.95,3212850.0,4329.125,4.6452,1.5527,2.0
2006-04-30,157.4,2674828.0,4576.8002,5.0096,1.6745,2.0
2006-05-31,138.55,2222699.0,4109.6284,4.4096,1.474,2.0
2006-06-30,115.2,1275373.0,3417.0278,3.6665,1.2256,3.0
2006-07-31,103.45,357153.0,3068.5028,3.2925,1.1005,3.0
2006-08-31,112.35,227433.0,3332.4919,3.5758,1.1952,3.0
2006-09-30,109.8,203793.0,3256.8546,3.4946,1.1681,3.0
2006-10-31,119.95,290555.0,3557.9208,3.8177,1.2761,3.0
2006-11-30,132.3,3286720.0,3924.2428,4.2107,1.4075,3.0
2006-12-31,116.75,321531.0,3463.0034,3.7158,1.242,3.0
2007-01-31,115.4,266893.0,3422.9601,3.6728,1.2277,3.0
2007-02-28,92.3,373842.0,2737.7748,2.9376,0.9819,3.0
2007-03-31,85.35,1183649.0,2531.626,10.8535,0.8467,3.0
2007-04-30,87.4,375516.0,2592.4325,11.1142,0.8671,3.0
2007-05-31,87.55,209568.0,2596.8818,11.1332,0.8686,3.0
2007-06-30,88.2,318687.0,2616.1619,11.2159,0.875,3.0
2007-07-31,79.5,435347.0,2358.1051,10.1096,0.7887,3.0
2007-08-31,74.1,261124.0,2197.9319,9.4229,0.7351,3.0
2007-09-30,74.8,2126532.0,2218.7176,9.5119,0.7421,3.0
2007-10-31,90.25,1957800.0,2676.9956,11.4766,0.8953,3.0
2007-11-30,95.7,2535876.0,2838.6535,12.1696,0.9494,3.0
2007-12-31,106.7,2780544.0,3164.9355,13.5684,1.0585,3.0
2008-01-31,72.95,7177369.0,2163.8429,9.2766,0.7237,3.0
2008-02-29,67.2,805565.0,1993.2864,8.5454,0.6667,3.0
2008-03-31,57.3,1350110.0,1699.6326,5.5794,0.3985,3.0
2008-04-30,61.55,1267810.0,1825.6961,5.9932,0.428,3.0
2008-05-31,54.05,2067421.0,1603.2311,5.2629,0.3759,3.0
2008-06-30,52.95,660742.0,1570.6029,5.1558,0.3682,3.0
2008-07-31,56.2,1632177.0,1667.0044,5.4722,0.3908,3.0
2008-08-31,67.05,1256977.0,1988.8371,6.5287,0.4663,3.0
2008-09-30,54.75,972970.0,1623.9945,5.3311,0.3808,3.0
2008-10-31,42.5,555184.0,1260.635,4.1383,0.2956,3.0
2008-11-30,36.9,328768.0,1094.5278,3.593,0.2566,3.0
2008-12-31,42.2,1256365.0,1251.7364,4.1091,0.2935,3.0
2009-01-31,43.1,295905.0,1278.4322,4.1967,0.2997,3.0
2009-02-28,42.6,665852.0,1263.6012,4.148,0.2963,3.0
2009-03-31,43.85,229490.0,1300.6787,3.0686,0.2848,3.0
2009-04-30,47.85,2638416.0,1419.3267,3.3485,0.3108,3.0
2009-05-31,66.95,4131848.0,1985.8709,4.6851,0.4349,3.0
2009-06-30,61.45,8555942.0,1822.7299,4.3002,0.3992,3.0
2009-07-31,64.1,2070624.0,1901.3342,4.4857,0.4164,3.0
2009-08-31,75.05,4246024.0,2226.1331,5.2519,0.4875,3.0
2009-09-30,85.65,6125393.0,2540.5504,5.9937,0.5564,3.0
2009-10-31,72.8,4937958.0,2159.3936,5.0945,0.4729,3.0
2009-11-30,78.35,2616068.0,2324.0178,5.4829,0.5089,3.0
2009-12-31,92.25,9474806.0,2736.3196,6.4556,0.5992,3.0
2010-01-31,81.55,18045075.0,2418.9362,5.7068,0.5297,3.0
2010-02-28,86.4,15445018.0,2562.7969,6.0462,0.5612,3.0
2010-03-31,86.7,4822588.0,2571.6955,4.6339,0.5272,3.0
2010-04-30,91.55,2218002.0,2715.5562,4.8931,0.5566,3.0
2010-05-31,85.95,2804989.0,2549.449,4.5938,0.5226,3.0
2010-06-30,100.8,6924327.0,2989.9297,5.3875,0.6129,3.0
2010-07-31,108.15,7781516.0,3207.9454,5.7803,0.6576,4.0
2010-08-31,133.85,11799523.0,3970.2588,7.1539,0.8138,4.0
2010-09-30,141.95,5089073.0,4210.521,7.5869,0.8631,4.0
2010-10-31,172.15,10623481.0,5106.3134,9.201,1.0467,4.0
2010-11-30,173.5,6945347.0,5146.3571,9.2731,1.0549,4.0
2010-12-31,184.9,1349205.0,5484.5039,9.8824,1.1242,4.0
2011-01-31,181.4,1771833.0,5380.6869,9.6954,1.103,4.0
2011-02-28,154.1,871151.0,4570.9143,8.2362,0.937,4.0
2011-03-31,174.3,1185358.0,5170.0867,5.7279,0.9061,4.0
2011-04-30,184.5,1158628.0,5472.6391,6.0631,0.9591,4.0
2011-05-31,179.9,1852613.0,5336.1939,5.9119,0.9352,4.0
2011-06-30,177.95,1667735.0,5278.353,5.8478,0.9251,4.5
2011-07-31,205.5,9116360.0,6095.5411,6.7532,1.0683,4.5
2011-08-31,199.05,1612572.0,5904.2212,6.5412,1.0348,4.5
2011-09-30,209.3,2079373.0,6208.2567,6.8781,1.0881,4.5
2011-10-31,195.05,748483.0,5785.5732,6.4098,1.014,4.5
2011-11-30,170.5,650129.0,5057.3711,5.603,0.8864,4.5
2011-12-31,134.4,336884.0,3986.5729,4.4167,0.6987,4.5
2012-01-31,175.05,656943.0,5192.3332,5.7525,0.91,4.5
2012-02-29,180.95,391138.0,5367.339,5.9464,0.9407,4.5
2012-03-31,191.95,244665.0,5693.5632,6.2504,0.8705,4.5
2012-04-30,196.0,1030709.0,5813.6931,6.3823,0.8889,4.5
2012-05-31,198.5,353638.0,5887.8473,6.4637,0.9002,4.5
2012-06-30,223.0,895233.0,6614.5589,7.2615,1.0113,4.5
2012-07-31,270.9,2476499.0,8035.3543,8.8212,1.2285,4.5
2012-08-31,296.2,3000625.0,8785.7953,9.6451,1.3433,4.5
2012-09-30,337.0,1372315.0,9995.9927,10.9736,1.5283,4.5
2012-10-31,397.5,4402050.0,11790.5255,12.9437,1.8027,4.5
2012-11-30,424.6,1125685.0,12594.3575,13.8261,1.9256,4.5
2012-12-31,423.0,1420875.0,12546.8988,13.774,1.9183,4.5
2013-01-31,361.65,2017084.0,10727.1536,11.7763,1.6401,4.5
2013-02-28,319.95,638178.0,9490.2607,10.4184,1.451,4.5
2013-03-31,299.3,491138.0,8877.7466,7.4121,1.177,4.5
2013-04-30,366.5,864277.0,10871.0128,9.0763,1.4413,4.5
2013-05-31,348.15,774659.0,10326.7206,8.6218,1.3692,4.5
2013-06-30,299.8,552708.0,8892.5877,7.4245,1.179,6.0
2013-07-31,309.7,714160.0,9186.2389,7.6696,1.2179,6.0
2013-08-31,295.0,255328.0,8750.2114,7.3056,1.1601,6.0
2013-09-30,325.9,286758.0,9666.759,8.0708,1.2817,6.0
2013-10-31,376.95,462356.0,11180.9905,9.3351,1.4824,6.0
2013-11-30,412.15,554987.0,12225.0835,10.2068,1.6208,6.0
2013-12-31,451.35,746984.0,13387.8235,11.1776,1.775,6.0
2014-01-31,411.15,2166016.0,12195.4218,10.182,1.6169,6.0
2014-02-28,420.6,591435.0,12475.7252,10.416,1.6541,6.0
2014-03-31,433.75,867785.0,12865.777,5.8694,1.3563,6.0
2014-04-30,541.55,1447199.0,16063.3118,7.3281,1.6933,6.0
2014-05-31,815.4,11454774.0,24186.1776,11.0338,2.5496,6.0
