KOEL IN Equity,price,volume,mc,pe,bm,div
2012-03-31,149.95,418062.0,21837.114,11.3857,2.1147,4.0
2012-04-30,146.95,210097.0,21400.2261,11.1579,2.0724,4.0
2012-05-31,152.5,516161.0,22208.4687,11.5793,2.1506,4.0
2012-06-30,156.65,485985.0,22812.8303,11.8945,2.2092,4.0
2012-07-31,151.3,613540.0,22033.7135,11.4882,2.1337,4.0
2012-08-31,153.5,396529.0,22354.098,11.6553,2.1647,4.0
2012-09-30,171.0,377461.0,24902.6108,12.9841,2.4115,4.0
2012-10-31,190.2,439792.0,27698.6934,14.4419,2.6823,4.0
2012-11-30,196.0,3959889.0,28543.3434,14.8823,2.7641,4.0
2012-12-31,199.4,741407.0,29038.483,15.1405,2.812,4.0
2013-01-31,207.0,359457.0,30145.2657,15.7175,2.9192,4.0
2013-02-28,192.9,344051.0,27896.0226,14.6469,2.7204,4.0
2013-03-31,168.65,1113312.0,24389.1354,12.2923,2.113,4.0
2013-04-30,185.1,1110589.0,26768.0342,13.4913,2.3191,4.0
2013-05-31,173.2,1213225.0,25047.1287,12.6239,2.17,4.0
2013-06-30,182.2,633031.0,26348.6455,13.2799,2.2828,4.0
2013-07-31,158.6,190036.0,22935.7584,11.5598,1.9871,5.0
2013-08-31,153.1,2285517.0,22140.3821,11.1589,1.9182,5.0
2013-09-30,147.55,84850.0,21337.7752,10.7544,1.8486,5.0
2013-10-31,149.7,216047.0,21648.695,10.9111,1.8756,5.0
2013-11-30,151.35,4703291.0,21887.3079,11.0313,1.8962,5.0
2013-12-31,153.5,284887.0,22198.2277,11.188,1.9232,5.0
2014-01-31,160.0,643396.0,23138.2178,11.6618,2.0046,5.0
2014-02-28,176.7,169938.0,25553.2693,12.879,2.2138,5.0
2014-03-31,203.0,855239.0,29356.6138,16.4506,2.3166,5.0
2014-04-30,198.45,514365.0,28698.6207,16.0818,2.2647,5.0
2014-05-31,230.35,1184160.0,33311.8029,18.6669,2.6287,5.0
2014-06-30,251.75,864272.0,36406.5395,20.4011,2.8729,5.0
2014-07-31,263.05,1374765.0,38040.6762,21.3169,3.0019,5.0
2014-08-31,251.75,506294.0,36406.5395,20.4011,2.8729,5.0
2014-09-30,261.05,980501.0,37751.4484,21.1548,2.9791,5.0
2014-10-31,258.15,478001.0,37332.0682,20.9198,2.946,5.0
2014-11-30,284.15,616516.0,41092.0286,23.0267,3.2427,5.0
2014-12-31,269.85,547137.0,39024.0504,21.8679,3.0795,5.0
2015-01-31,269.05,609744.0,38908.3593,21.8031,3.0703,5.0
2015-02-28,261.4,1081278.0,37802.0992,21.1831,2.983,5.0
2015-03-31,268.85,299061.0,38879.4366,27.1566,2.8983,5.0
2015-04-30,272.0,590349.0,39334.9702,27.4747,2.9323,5.0
2015-05-31,275.15,350184.0,39790.5039,27.7929,2.9663,5.0
2015-06-30,275.75,282957.0,39877.2722,27.8535,2.9727,5.0
