HNAL IN Equity,price,volume,mc,pe,bm,div
2022-05-31,919.15,40092398.0,614704.5413,12.1012,3.1828,20.0
2022-06-30,884.9,47589430.0,591798.9975,10.7495,3.0883,20.0
2022-07-31,1012.5,39485506.0,677134.6875,12.2996,3.0883,20.0
2022-08-31,1147.6,52382948.0,767486.19,13.9407,3.0883,18.0
2022-09-30,1172.43,60938542.0,784088.5294,13.3351,3.7469,18.0
2022-10-31,1265.03,35424362.0,846017.0944,14.3884,4.0428,18.0
2022-11-30,1377.03,53767384.0,920919.8944,15.6622,4.4008,28.0
2022-12-31,1265.63,31652744.0,846418.3594,13.8714,4.0053,28.0
2023-01-31,1276.43,27129886.0,853641.1294,13.9898,4.0053,28.0
2023-02-28,1287.15,51521138.0,860813.7413,14.1073,4.0053,15.0
2023-03-31,1365.55,91346212.0,913245.7013,15.6699,3.8743,25.0
2023-04-30,1460.1,25526120.0,976478.3775,16.7548,4.1425,25.0
2023-05-31,1558.53,67149202.0,1042302.557,17.8843,4.4218,25.0
2023-06-30,1896.25,104612282.0,1268164.594,21.0589,5.2798,25.0
2023-07-31,1980.75,46170048.0,1324676.081,21.9973,5.2798,25.0
2023-08-31,1950.15,42863788.0,1304211.566,21.6575,5.2798,22.5
2023-09-30,1928.15,36436262.0,1289498.516,21.3582,5.1262,22.5
2023-10-31,1823.05,22747065.0,1219210.264,20.194,4.8468,22.5
2023-11-30,2379.8,42491801.0,1591550.745,26.3611,6.327,22.5
2023-12-31,2804.0,45828514.0,1875245.1,30.5241,7.4596,22.5
2024-01-31,2999.4,37279093.0,2005923.735,32.6512,7.4596,22.5
2024-02-29,3084.05,39895609.0,2062535.539,33.5727,7.4596,44.0
2024-03-31,3327.0,39250718.0,2225014.425,29.1953,7.6361,44.0
2024-04-30,3939.35,43958424.0,2634538.796,34.5688,9.0415,44.0
2024-05-31,4973.85,81676732.0,3326386.534,43.6468,11.4159,44.0
2024-06-30,5264.25,112154969.0,3520598.794,42.7044,12.122,44.0
2024-07-31,4922.85,73346670.0,3292279.009,39.9349,12.122,44.0
2024-08-31,4679.95,41046844.0,3129833.561,37.9645,12.122,35.0
2024-09-30,4420.65,40198823.0,2956420.204,34.7072,9.4761,35.0
