TATAINVE IN Equity,price,volume,mc,pe,bm,div
2013-03-31,43.17,2365350.0,23784.2518,13.6787,1.1573,2.1
2013-04-30,43.01,1157350.0,23693.3461,13.6264,1.1529,2.1
2013-05-31,43.28,1995120.0,23844.8557,13.7136,1.1603,2.1
2013-06-30,41.6,1080730.0,22916.4992,13.1797,1.1151,2.1
2013-07-31,36.31,1748540.0,20004.7622,11.5051,0.9734,1.6
2013-08-31,35.81,1446430.0,19729.2904,11.3466,0.96,1.6
2013-09-30,37.19,1403660.0,20489.5926,11.7839,0.997,1.6
2013-10-31,40.29,1154090.0,22194.7631,12.7646,1.08,1.6
2013-11-30,40.31,3852070.0,22208.5705,12.7725,1.0806,1.6
2013-12-31,40.67,2876790.0,22409.6652,12.8881,1.0904,1.6
2014-01-31,39.02,1943680.0,21497.8522,12.3638,1.0461,1.6
2014-02-28,41.79,11249810.0,23023.9683,13.2414,1.1203,1.6
2014-03-31,45.85,52082120.0,25260.8027,13.5611,1.1746,1.6
2014-04-30,47.21,13759380.0,26010.0871,13.9633,1.2095,1.6
2014-05-31,51.74,14715920.0,28503.1107,15.3017,1.3254,1.6
2014-06-30,57.99,14018110.0,31946.5135,17.1503,1.4855,1.6
2014-07-31,54.9,18276640.0,30244.0952,16.2363,1.4063,1.7
2014-08-31,54.51,9053010.0,30031.9816,16.1224,1.3965,1.7
2014-09-30,57.35,18361030.0,31593.9091,16.961,1.4691,1.7
2014-10-31,56.44,4450350.0,31092.5496,16.6918,1.4458,1.7
2014-11-30,57.78,9156640.0,31830.8152,17.0881,1.4801,1.7
2014-12-31,56.93,4832780.0,31365.2671,16.8382,1.4585,1.7
2015-01-31,55.86,7300920.0,30778.5113,16.5232,1.4312,1.7
2015-02-28,55.6,4989740.0,30629.5103,16.4434,1.4243,1.7
2015-03-31,57.28,24590100.0,31558.0977,16.9819,1.4129,1.7
2015-04-30,56.18,10037450.0,30949.3041,16.6543,1.3857,1.7
2015-05-31,61.08,6669850.0,33651.6866,18.1085,1.5067,1.7
2015-06-30,58.86,5436290.0,32431.3446,17.4518,1.452,1.7
2015-07-31,57.74,5227040.0,31808.7774,17.1168,1.4242,1.7
2015-08-31,56.27,7264840.0,31001.6438,16.6825,1.388,1.7
2015-09-30,53.99,2255180.0,29742.7357,16.005,1.3317,1.7
2015-10-31,55.3,2188100.0,30467.2277,16.3949,1.3641,1.7
2015-11-30,56.21,2165540.0,30965.8324,16.6632,1.3864,1.7
2015-12-31,54.14,2059810.0,29828.5927,16.051,1.3355,1.7
2016-01-31,50.17,1937070.0,27641.3095,14.874,1.2376,1.7
2016-02-29,46.13,1374990.0,25412.7048,13.6748,1.1378,1.7
2016-03-31,47.23,2824640.0,26021.5078,13.3872,1.1256,1.7
2016-04-30,49.94,1719490.0,27511.8355,14.1539,1.19,1.7
2016-05-31,52.11,5487290.0,28712.913,14.7718,1.242,1.7
2016-06-30,51.43,2887290.0,28335.5102,14.5777,1.2256,1.7
2016-07-31,50.16,6680050.0,27633.0452,14.2163,1.1953,1.7
2016-08-31,57.19,22213370.0,31508.9992,16.2103,1.3629,1.7
2016-09-30,60.68,42357420.0,33429.0702,17.1981,1.446,1.7
2016-10-31,59.25,14060930.0,32643.9623,16.7942,1.412,1.7
2016-11-30,57.32,6948030.0,31577.8683,16.2457,1.3659,1.7
2016-12-31,56.01,6146050.0,30858.8747,15.8759,1.3348,1.7
2017-01-31,58.1,4737210.0,32007.6116,16.4668,1.3845,1.7
2017-02-28,59.42,6327540.0,32734.8695,16.841,1.4159,1.7
2017-03-31,63.61,24496380.0,35043.3624,17.4883,1.3914,1.7
2017-04-30,67.27,16028640.0,37062.6049,18.496,1.4716,1.7
2017-05-31,65.99,8025120.0,36357.3851,18.1441,1.4436,0.0
2017-06-30,74.02,24221140.0,40778.7826,20.3506,1.6192,0.0
2017-07-31,88.96,31045500.0,49012.7744,24.4597,1.9461,0.0
