INDIGO IN Equity,price,volume,mc,pe,bm,div
2015-11-30,1110.45,78178156.0,400157.8938,26.3131,101.3251,0.0
2015-12-31,1234.9,42646829.0,445004.2874,29.262,112.6807,0.0
2016-01-31,874.7,63845331.0,315203.8628,20.7268,79.8136,0.0
2016-02-29,812.25,38506246.0,292699.5971,19.247,74.1153,0.0
2016-03-31,873.2,23291960.0,314663.328,15.0112,17.1546,0.0
2016-04-30,1075.95,21158328.0,387725.5933,18.4966,21.1378,0.0
2016-05-31,1064.3,12154879.0,383527.4847,18.2964,20.9089,0.0
2016-06-30,1015.35,9410344.0,365888.0097,17.4549,19.9473,0.0
2016-07-31,987.8,9239291.0,355960.1871,16.9813,19.406,0.0
2016-08-31,882.6,16837104.0,318050.6794,15.1728,17.3393,0.0
2016-09-30,915.7,9589435.0,329978.4808,15.7418,17.9896,15.0
2016-10-31,938.35,3849726.0,338140.5564,16.1312,18.4345,15.0
2016-11-30,859.8,6760658.0,309834.5504,14.7808,16.8914,15.0
2016-12-31,821.45,3047025.0,296928.1788,14.1215,16.138,15.0
2017-01-31,903.0,3579041.0,326405.923,15.5235,17.7401,15.0
2017-02-28,856.9,6416950.0,309742.2319,14.731,16.8344,15.0
2017-03-31,1051.4,19117476.0,380047.8266,22.8864,10.0564,15.0
2017-04-30,1105.85,10900996.0,399729.7785,24.0716,10.5772,15.0
2017-05-31,1106.9,11867276.0,400109.3202,24.0945,10.5872,15.0
2017-06-30,1166.55,13762402.0,421823.6683,25.3929,11.1577,15.0
2017-07-31,1290.75,12725046.0,466844.3197,28.0964,12.3457,15.0
2017-08-31,1228.3,15406925.0,444257.1202,26.737,11.7484,34.0
2017-09-30,1096.8,17259185.0,396695.6032,23.8746,10.4906,34.0
2017-10-31,1247.85,11288602.0,451328.053,27.1626,11.9354,34.0
2017-11-30,1121.55,11516486.0,431026.3147,24.4134,10.7273,34.0
2017-12-31,1205.5,12896672.0,463289.3962,26.2407,11.5303,34.0
2018-01-31,1214.95,13351212.0,466921.1547,26.4465,11.6207,34.0
2018-02-28,1335.7,14801062.0,513326.9516,29.0749,12.7756,34.0
2018-03-31,1290.45,20372966.0,496057.8041,21.4968,7.0091,34.0
2018-04-30,1402.8,22280393.0,539245.9123,23.3683,7.6193,34.0
2018-05-31,1219.25,49441327.0,468688.0372,20.3107,6.6224,34.0
2018-06-30,1088.5,23105293.0,418426.8432,18.1326,5.9122,34.0
2018-07-31,929.7,26878697.0,357383.0373,15.4873,5.0497,34.0
2018-08-31,928.85,30382990.0,357056.2915,15.4731,5.0451,6.0
2018-09-30,826.1,29513508.0,317558.4889,13.7615,4.487,6.0
2018-10-31,888.9,42780945.0,341699.2383,14.8076,4.8281,6.0
2018-11-30,1038.25,28463559.0,399110.3996,17.2955,5.6393,6.0
2018-12-31,1165.05,22625539.0,447853.1866,19.4078,6.328,6.0
2019-01-31,1187.8,34228795.0,456598.4422,19.7868,6.4515,6.0
2019-02-28,1125.35,17907258.0,432592.2351,18.7465,6.1123,6.0
2019-03-31,1428.15,35855768.0,548990.6257,349.1809,7.9039,6.0
2019-04-30,1517.0,48498580.0,583145.1732,370.9046,8.3956,6.0
2019-05-31,1676.3,63813898.0,644381.1825,409.8533,9.2773,6.0
2019-06-30,1557.95,22550904.0,599181.8492,380.9169,8.6223,6.0
2019-07-31,1557.2,88414894.0,598987.5736,380.7335,8.6181,6.0
2019-08-31,1690.45,28834117.0,650243.0926,413.313,9.3556,5.0
2019-09-30,1889.65,22471161.0,726866.7278,462.0171,10.458,5.0
2019-10-31,1456.85,39714335.0,560387.2635,356.198,8.0627,5.0
2019-11-30,1444.2,38422565.0,555521.3549,353.1051,7.9927,5.0
2019-12-31,1333.55,26572127.0,513145.0779,326.0513,7.3804,5.0
2020-01-31,1378.25,38031354.0,530345.4715,336.9804,7.6277,5.0
2020-02-29,1300.05,27033887.0,500254.4025,317.8606,7.195,5.0
2020-03-31,1066.15,57569554.0,410250.5529,248.5819,6.9724,5.0
2020-04-30,995.25,46731330.0,382968.4967,248.5819,6.5088,5.0
2020-05-31,965.5,74296219.0,371520.8074,248.5819,6.3142,5.0
2020-06-30,988.85,78417248.0,380505.8005,248.5819,6.4669,5.0
2020-07-31,979.85,43044471.0,377042.634,248.5819,6.408,5.0
2020-08-31,1199.15,94250686.0,461428.458,248.5819,7.8422,5.0
2020-09-30,1249.1,57991720.0,480649.0321,248.5819,8.1689,0.0
2020-10-31,1309.5,30364505.0,503890.7404,248.5819,8.5639,0.0
2020-11-30,1514.15,45522178.0,582639.301,248.5819,9.9023,0.0
2020-12-31,1723.3,44971899.0,663235.2713,248.5819,11.2701,0.0
2021-01-31,1547.75,23713840.0,595672.4837,248.5819,10.122,0.0
2021-02-28,1619.95,25247950.0,623459.6284,248.5819,10.5942,0.0
2021-03-31,1631.95,30681424.0,628153.8908,248.5819,566.6242,0.0
2021-04-30,1643.4,17928367.0,632561.1104,248.5819,570.5997,0.0
2021-05-31,1758.9,14179946.0,677018.2166,248.5819,610.7021,0.0
2021-06-30,1716.95,16088409.0,660871.2417,248.5819,596.1367,0.0
2021-07-31,1647.35,16619939.0,634081.4885,248.5819,571.9711,0.0
2021-08-31,1904.15,13134703.0,733210.6528,248.5819,661.1339,0.0
2021-09-30,2021.7,29861255.0,778651.2633,248.5819,701.948,0.0
2021-10-31,2175.2,20618621.0,837771.2954,248.5819,755.2443,0.0
2021-11-30,1905.05,28292999.0,733807.9469,248.5819,661.4463,0.0
2021-12-31,2017.55,20788631.0,777141.9245,248.5819,700.5071,0.0
2022-01-31,1856.85,19780475.0,715241.7449,248.5819,644.711,0.0
2022-02-28,1874.9,29092184.0,722314.0914,248.5819,650.9781,0.0
2022-03-31,2014.15,36009671.0,775960.8124,248.5819,690.7159,0.0
2022-04-30,1858.1,11916550.0,715841.812,248.5819,690.7159,0.0
2022-05-31,1838.55,15497536.0,708310.082,248.5819,690.7159,0.0
2022-06-30,1606.2,16571989.0,618796.1457,248.5819,690.7159,0.0
2022-07-31,1867.95,13563347.0,719636.571,248.5819,690.7159,0.0
2022-08-31,2016.8,14642570.0,777344.4771,248.5819,690.7159,0.0
2022-09-30,1855.3,40140558.0,715096.7911,248.5819,690.7159,0.0
2022-10-31,1781.7,11315819.0,686728.8054,248.5819,690.7159,0.0
2022-11-30,1937.45,16562699.0,746760.2425,248.5819,690.7159,0.0
2022-12-31,2007.7,16529684.0,773917.7319,248.5819,690.7159,0.0
2023-01-31,2124.25,13046673.0,818844.8184,248.5819,690.7159,0.0
2023-02-28,1856.35,40238597.0,715710.3572,248.5819,690.7159,0.0
2023-03-31,1910.65,10386454.0,736645.5647,248.5819,690.7159,0.0
2023-04-30,2020.95,6475227.0,779171.4097,248.5819,690.7159,0.0
2023-05-31,2372.5,23684832.0,914710.4924,248.5819,690.7159,0.0
2023-06-30,2626.9,19004255.0,1012793.674,248.5819,690.7159,0.0
2023-07-31,2592.9,13235417.0,999685.073,248.5819,690.7159,0.0
2023-08-31,2435.0,53656794.0,939402.5923,248.5819,690.7159,0.0
2023-09-30,2381.2,17792287.0,918647.0032,248.5819,690.7159,0.0
2023-10-31,2453.85,16761557.0,946674.7643,248.5819,690.7159,0.0
2023-11-30,2705.35,13284476.0,1044116.679,248.5819,690.7159,0.0
2023-12-31,2967.1,16641753.0,1145137.819,248.5819,690.7159,0.0
2024-01-31,2961.35,18119456.0,1142918.634,248.5819,690.7159,0.0
2024-02-29,3155.35,20714413.0,1217891.64,248.5819,690.7159,0.0
2024-03-31,3548.65,57421136.0,1369703.275,16.7516,68.6076,0.0
2024-04-30,3982.3,22620461.0,1537082.933,18.7986,76.9915,0.0
2024-05-31,4189.05,24870525.0,1616884.027,19.7746,80.9887,0.0
2024-06-30,4228.25,42290677.0,1632018.62,19.9596,81.7466,0.0
2024-07-31,4472.2,21148733.0,1727020.257,21.1112,86.4629,0.0
2024-08-31,4830.0,60456808.0,1865505.931,22.8002,93.3804,0.0
2024-09-30,4787.45,23010287.0,1849206.225,22.5994,92.5578,0.0
2024-10-31,4052.5,30461088.0,1565368.127,19.13,78.3487,0.0
2024-11-30,4378.9,15527947.0,1691942.805,20.6708,84.6591,0.0
2024-12-31,4554.25,15018952.0,1759718.247,21.4985,88.0493,0.0
2025-01-31,4324.35,20011491.0,1670961.485,20.4133,83.6045,0.0
2025-02-28,4477.3,16189967.0,1730133.35,21.1353,86.5615,0.0
2025-03-31,5115.35,19436043.0,1976690.781,27.2194,21.1,0.0
2025-04-30,5249.5,22038464.0,2028613.468,27.9333,21.6534,0.0
2025-05-31,5330.0,53585728.0,2059721.837,28.3616,21.9854,0.0
2025-06-30,5976.5,28495075.0,2309978.33,31.8017,24.6521,0.0
2025-07-31,5910.5,22065509.0,2284537.513,31.4505,24.3799,0.0
2025-08-31,5646.0,34108685.0,2182433.273,30.0431,23.2889,10.0
2025-09-30,5594.5,29614285.0,2162631.375,29.7691,23.0764,10.0
2025-10-31,5625.0,13262439.0,2174562.551,29.9314,23.2022,10.0
2025-11-30,5901.5,15362554.0,2281461.463,31.4026,24.3428,10.0
2025-12-31,5059.5,88707139.0,1955955.131,26.9223,20.8696,10.0
2026-01-31,4596.5,26991584.0,1776965.982,24.4586,18.9598,10.0
2026-02-28,4827.2,18387854.0,1866257.299,25.6862,19.9114,10.0
2026-03-31,4493.0,9574415.0,1737051.301,23.9078,18.5329,10.0
