GLAND IN Equity,price,volume,mc,pe,bm,div
2020-11-30,2113.0,23668427.0,345016.6092,42.3617,8.9794,0.0
2020-12-31,2339.75,12742157.0,382040.9898,46.9076,9.9429,0.0
2021-01-31,2116.3,5974159.0,345555.4425,42.4278,8.9934,0.0
2021-02-28,2401.65,5258395.0,392671.3865,48.1486,10.206,0.0
2021-03-31,2478.3,5012737.0,405432.3336,39.2944,6.868,0.0
2021-04-30,2781.55,6702884.0,455041.8866,44.1026,7.7083,0.0
2021-05-31,3153.85,10519795.0,516930.9138,50.0055,8.7401,0.0
2021-06-30,3424.3,5567728.0,561258.9464,54.2936,9.4896,0.0
2021-07-31,3930.45,7983121.0,644219.3185,62.3189,10.8922,0.0
2021-08-31,3893.9,5936583.0,638228.6009,61.7393,10.7909,0.0
2021-09-30,3719.9,4795905.0,609709.1791,58.9805,10.3087,0.0
2021-10-31,3700.2,4532777.0,606480.256,58.6681,10.2541,0.0
2021-11-30,3585.35,3803390.0,589079.7204,56.8472,9.9359,0.0
2021-12-31,3864.55,4863485.0,634956.0882,61.274,10.7096,0.0
2022-01-31,3428.15,4266096.0,563254.3799,54.3547,9.5002,0.0
2022-02-28,3263.2,4321557.0,536152.6457,51.7393,9.0431,0.0
2022-03-31,3272.65,3916732.0,537705.3064,44.3388,7.5123,0.0
2022-04-30,3201.85,11362771.0,526072.6736,43.3796,7.3498,0.0
2022-05-31,2860.95,3783152.0,470845.2035,38.761,6.5673,0.0
2022-06-30,2701.7,5868739.0,444850.9072,36.6034,6.2017,0.0
2022-07-31,2260.55,13845126.0,372212.9467,30.6266,5.1891,0.0
2022-08-31,2368.05,6076986.0,389913.4585,32.0831,5.4358,0.0
2022-09-30,2092.85,7510258.0,344668.1661,28.3546,4.8041,0.0
2022-10-31,1784.35,12601401.0,293861.7876,24.1749,4.096,0.0
2022-11-30,1779.65,12869379.0,293087.752,24.1112,4.0852,0.0
2022-12-31,1576.55,8212549.0,259642.3711,21.3596,3.619,0.0
2023-01-31,1301.0,14578012.0,214261.9801,17.6263,2.9864,0.0
2023-02-28,1318.05,15822983.0,217069.9484,17.8573,3.0256,0.0
2023-03-31,1268.25,12994710.0,208868.3753,26.7338,2.6246,0.0
2023-04-30,1358.8,18653860.0,223795.4783,28.6425,2.812,0.0
2023-05-31,924.05,28249345.0,152191.7955,19.4783,1.9123,0.0
2023-06-30,1062.5,21956099.0,174994.6244,22.3967,2.1988,0.0
2023-07-31,1307.55,19396810.0,215354.5611,27.5622,2.7059,0.0
2023-08-31,1741.45,31427127.0,286818.2482,36.7085,3.6038,0.0
2023-09-30,1675.1,7425555.0,275890.3486,35.3099,3.4665,0.0
2023-10-31,1546.0,5539246.0,254629.173,32.5885,3.1994,0.0
2023-11-30,1774.65,10952601.0,292288.2677,37.4083,3.6725,0.0
2023-12-31,1924.5,7265350.0,316968.8508,40.567,3.9826,0.0
2024-01-31,1956.55,4868929.0,322247.5474,41.2426,4.049,0.0
2024-02-29,1765.95,7191708.0,290866.3098,37.2249,3.6545,0.0
2024-03-31,1845.25,3730568.0,303927.664,39.3443,3.4839,0.0
2024-04-30,1711.2,20048327.0,281852.647,36.4861,3.2308,0.0
2024-05-31,1840.15,7744128.0,303092.0689,39.2356,3.4742,0.0
2024-06-30,1824.85,17911241.0,300647.1817,38.9094,3.4454,0.0
2024-07-31,2141.6,7578452.0,352832.29,45.6631,4.0434,0.0
2024-08-31,1838.55,10302828.0,302904.2803,39.2015,3.4712,20.0
2024-09-30,1795.9,7299799.0,295877.6193,38.2921,3.3907,20.0
2024-10-31,1651.1,4203599.0,272021.5698,35.2047,3.1173,20.0
2024-11-30,1738.0,9388002.0,286338.4946,37.0576,3.2814,20.0
2024-12-31,1779.35,3753740.0,293150.9783,37.9392,3.3595,20.0
2025-01-31,1524.75,5679221.0,251205.1896,32.5107,2.8788,20.0
2025-02-28,1552.8,5574123.0,255826.4755,33.1087,2.9317,20.0
2025-03-31,1592.4,7430359.0,262358.128,37.5566,2.8671,20.0
2025-04-30,1400.0,7422910.0,230658.9922,33.0189,2.5207,20.0
2025-05-31,1588.6,3486655.0,261732.0536,37.467,2.8602,20.0
2025-06-30,1833.6,4371660.0,302097.3772,43.2453,3.3013,20.0
2025-07-31,2064.8,11327298.0,340189.0622,48.6981,3.7176,20.0
2025-08-31,1871.5,5469262.0,308341.6456,44.1392,3.3696,18.0
2025-09-30,1991.6,5204132.0,328128.892,46.9717,3.5858,18.0
2025-10-31,1928.9,2335451.0,317798.6643,45.4929,3.4729,18.0
2025-11-30,1759.6,3806840.0,289905.4019,41.5,3.1681,18.0
2025-12-31,1722.0,3204127.0,283710.5604,40.6132,3.1004,18.0
2026-01-31,1846.6,6332022.0,304239.2107,43.5519,3.3247,18.0
2026-02-28,1822.2,2191352.0,300219.154,42.9764,3.2808,18.0
2026-03-31,1711.4,327538.0,281964.1463,40.3632,3.0813,18.0
