GRIL IN Equity,price,volume,mc,pe,bm,div
2002-03-31,4.4,62275.0,274.681,1.9222,0.202,0.5
2002-04-30,5.51,218315.0,343.9755,2.4072,0.253,0.5
2002-05-31,5.29,207240.0,330.2415,2.3111,0.2429,0.5
2002-06-30,6.01,502990.0,375.1893,2.6256,0.276,0.5
2002-07-31,5.67,1807745.0,353.9639,2.4771,0.2603,0.5
2002-08-31,5.5,1207790.0,343.3513,2.4028,0.2525,0.5
2002-09-30,5.1,315200.0,318.3803,2.228,0.2342,0.5
2002-10-31,5.26,480265.0,328.3687,2.2979,0.2415,0.5
2002-11-30,5.54,455165.0,345.8484,2.4203,0.2544,0.5
2002-12-31,5.6,479595.0,349.594,2.4465,0.2571,0.5
2003-01-31,5.73,1344795.0,357.7096,2.5033,0.2631,0.5
2003-02-28,5.99,414360.0,373.9407,2.6169,0.275,0.5
2003-03-31,5.58,357085.0,348.3455,2.4968,0.238,0.5
2003-04-30,5.99,255690.0,373.9407,2.6803,0.2554,0.5
2003-05-31,7.1,810555.0,443.2353,3.177,0.3028,0.5
2003-06-30,8.97,1831965.0,559.9747,4.0137,0.3825,0.5
2003-07-31,10.6,5388455.0,661.7315,4.7431,0.452,0.5
2003-08-31,11.5,2246110.0,717.9163,5.1458,0.4904,0.5
2003-09-30,12.57,786230.0,1846.4701,5.6246,0.536,0.5
2003-10-31,15.89,1634025.0,2334.1615,7.1101,0.6776,0.5
2003-11-30,17.33,2035220.0,2545.6903,7.7545,0.739,0.5
2003-12-31,26.61,4702350.0,3908.8759,11.9069,1.1348,0.5
2004-01-31,23.49,2087460.0,3450.5635,10.5108,1.0017,0.5
2004-02-29,18.93,1138145.0,2780.7223,8.4704,0.8073,0.5
2004-03-31,19.26,443560.0,2829.1977,5.2829,0.7353,0.5
2004-04-30,20.98,479390.0,3081.8571,5.7547,0.801,0.5
2004-05-31,15.47,806755.0,2272.4656,4.2433,0.5906,0.5
2004-06-30,16.74,643990.0,2459.0223,4.5917,0.6391,0.5
2004-07-31,16.96,872750.0,2491.3392,4.652,0.6475,0.8
2004-08-31,18.26,795655.0,2682.3027,5.0086,0.6971,0.8
2004-09-30,19.66,1200595.0,2887.9557,5.3926,0.7506,0.8
2004-10-31,18.08,697155.0,2655.8797,4.9592,0.6903,0.8
