GRIL IN Equity,price,volume,mc,pe,bm,div
2004-11-30,21.47,3668330.0,3153.8571,5.8891,0.8197,0.8
2004-12-31,24.42,1749285.0,3587.2003,6.6982,0.9323,0.8
2005-01-31,25.39,7493040.0,3729.6894,6.9643,0.9693,0.8
2005-02-28,33.44,12319395.0,4912.2022,9.1723,1.2767,0.8
2005-03-31,38.67,8149900.0,5680.4683,9.4039,1.3218,0.8
2005-04-30,37.5,3378550.0,5508.6,9.1194,1.2818,0.8
2005-05-31,39.28,2104580.0,5770.0749,9.5522,1.3426,0.8
2005-06-30,38.72,2450100.0,5687.8131,9.4161,1.3235,0.8
2005-07-31,48.66,7220185.0,7147.9594,11.8333,1.6633,0.9
2005-08-31,54.34,3683695.0,7982.3286,13.2146,1.8574,0.9
2005-09-30,56.66,3333840.0,8323.1274,13.7788,1.9367,0.9
2005-10-31,50.52,3630090.0,7421.1859,12.2856,1.7268,0.9
2005-11-30,60.37,2649395.0,8868.1115,14.681,2.0635,0.9
2005-12-31,60.31,5211010.0,8859.2978,14.6664,2.0615,0.9
2006-01-31,59.86,4845110.0,8793.1946,14.557,2.0461,0.9
2006-02-28,59.21,2895920.0,8697.7122,14.3989,2.0239,0.9
2006-03-31,59.1,2491515.0,8681.5536,12.7023,1.8219,0.9
2006-04-30,58.42,3814165.0,8390.6995,12.5561,1.801,0.9
2006-05-31,54.29,8214075.0,7974.9838,11.6685,1.6736,0.9
2006-06-30,46.59,2812370.0,6843.8846,10.0135,1.4363,0.9
2006-07-31,47.86,530190.0,7030.4426,10.2865,1.4754,1.2
2006-08-31,48.78,1382170.0,7165.5869,10.4842,1.5038,1.2
2006-09-30,57.74,2389020.0,8481.775,12.41,1.78,1.2
2006-10-31,61.53,2691565.0,9038.5109,13.2245,1.8968,1.2
2006-11-30,59.38,3991645.0,8722.6845,12.7624,1.8305,1.2
2006-12-31,58.85,5666891.0,8644.841,12.6485,1.8142,1.2
2007-01-31,59.35,3010443.0,8718.2891,12.756,1.8296,1.2
2007-02-28,54.35,5291476.0,7983.8082,11.6814,1.6755,1.2
2007-03-31,51.3,2310810.0,7535.7748,3.389,1.1711,4.0
2007-04-30,57.1,1605836.0,8387.7727,3.7721,1.3035,4.0
2007-05-31,56.5,5504905.0,8299.635,3.7325,1.2898,4.0
2007-06-30,55.35,4689134.0,8130.7044,3.6565,1.2636,4.0
2007-07-31,56.35,3011077.0,8277.6006,3.7226,1.2864,3.0
2007-08-31,55.45,4939763.0,8145.394,3.6631,1.2659,3.0
2007-09-30,57.9,3350364.0,8505.2782,3.825,1.3218,3.0
2007-10-31,68.1,9070774.0,10003.6173,4.4988,1.5546,3.0
2007-11-30,87.3,20720602.0,12824.0205,5.7672,1.993,3.0
2007-12-31,90.05,9047915.0,13353.731,5.9489,2.0557,3.0
2008-01-31,56.85,12213971.0,8589.1826,3.7556,1.2978,3.0
2008-02-29,54.0,3722458.0,8158.5904,3.5674,1.2328,3.0
2008-03-31,51.55,6347255.0,7788.4321,5.3593,1.0313,3.0
2008-04-30,57.6,4029220.0,8702.4964,5.9882,1.1523,3.0
2008-05-31,67.6,21797556.0,10213.3465,7.0279,1.3524,1.0
2008-06-30,59.35,8798042.0,8966.8951,6.1702,1.1874,1.0
2008-07-31,58.8,3168494.0,8883.7984,6.113,1.1764,3.0
2008-08-31,59.2,1477004.0,8944.2324,6.1546,1.1844,3.0
2008-09-30,47.0,982008.0,7100.9953,4.8862,0.9403,3.0
2008-10-31,38.25,1931521.0,5779.0015,3.9766,0.7652,3.0
2008-11-30,33.6,6564645.0,5076.4562,3.4931,0.6722,3.0
2008-12-31,34.5,638835.0,5212.4327,3.5867,0.6902,3.0
2009-01-31,28.2,3127974.0,4260.5972,2.9317,0.5642,3.0
2009-02-28,24.1,1099090.0,3641.1487,2.5055,0.4821,3.0
2009-03-31,24.9,8698295.0,3762.0167,1.6317,0.3805,3.0
2009-04-30,31.3,6189692.0,4728.9607,2.0511,0.4783,3.0
2009-05-31,47.9,14943454.0,7236.9718,3.1389,0.732,3.0
2009-06-30,46.15,6301253.0,6972.5731,3.0242,0.7053,3.0
2009-07-31,50.95,10092250.0,8711.0794,3.3388,0.7786,3.0
2009-08-31,59.1,8513886.0,10104.5101,3.8729,0.9032,3.0
2009-09-30,61.8,6624225.0,10566.1375,4.0498,0.9444,3.0
2009-10-31,63.05,6782028.0,10779.8539,4.1317,0.9635,3.0
2009-11-30,71.3,7877302.0,12190.3819,4.6723,1.0896,3.0
2009-12-31,82.75,10362689.0,14148.0239,5.4227,1.2646,3.0
2010-01-31,86.05,10315193.0,14712.2351,5.6389,1.315,3.0
2010-02-28,80.3,2471872.0,13729.1398,5.2621,1.2272,3.0
2010-03-31,88.7,6741232.0,15165.3139,6.4603,1.1859,3.0
2010-04-30,103.55,12486983.0,17759.871,7.5419,1.3844,3.0
2010-05-31,93.7,11142341.0,16219.5735,6.8245,1.2527,3.0
2010-06-30,100.2,5249132.0,17424.4491,7.2979,1.3396,3.0
2010-07-31,95.2,8601340.0,17463.7642,6.9337,1.2728,3.5
2010-08-31,92.3,22208633.0,17005.2046,6.7225,1.234,3.5
2010-09-30,93.05,9576698.0,18179.6991,6.7771,1.244,3.5
2010-10-31,93.7,5051870.0,18306.6933,6.8245,1.2527,3.5
2010-11-30,93.5,4376107.0,18267.6181,6.8099,1.25,3.5
2010-12-31,100.7,6975301.0,19674.3224,7.3343,1.3463,3.5
2011-01-31,93.9,2661072.0,18345.7684,6.839,1.2554,3.5
2011-02-28,86.4,7436598.0,16880.4514,6.2928,1.1551,3.5
2011-03-31,93.25,1883882.0,18218.7742,9.2418,1.1971,3.5
2011-04-30,94.4,1990750.0,18443.4562,9.3558,1.2119,3.5
2011-05-31,93.95,3741799.0,18355.5372,9.3112,1.2061,3.5
2011-06-30,90.5,2313367.0,17681.4914,8.9693,1.1618,3.5
2011-07-31,88.0,4719842.0,17193.0524,8.7215,1.1297,3.5
2011-08-31,78.75,13533312.0,15385.8281,7.8048,1.011,3.5
2011-09-30,73.4,576900.0,14340.5687,7.2745,0.9423,3.5
2011-10-31,73.75,544686.0,14408.9501,7.3092,0.9468,3.5
2011-11-30,70.3,1951781.0,13734.9043,6.9673,0.9025,3.5
2011-12-31,69.6,1739889.0,13598.1414,6.8979,0.8935,3.5
2012-01-31,75.15,3238379.0,14682.476,7.448,0.9648,3.5
2012-02-29,84.5,4835229.0,16509.2378,8.3746,1.0848,3.5
2012-03-31,83.8,902400.0,16372.4749,7.7022,0.9888,3.5
2012-04-30,90.6,3433354.0,17701.0289,8.3272,1.0691,3.5
2012-05-31,89.55,2808342.0,17495.8845,8.2307,1.0567,3.5
2012-06-30,89.7,654116.0,17525.1909,8.2445,1.0585,3.5
2012-07-31,83.6,1815812.0,16333.3997,7.6838,0.9865,3.5
2012-08-31,78.75,944744.0,15385.8281,7.2381,0.9293,3.5
2012-09-30,80.95,1004269.0,15815.6544,7.4403,0.9552,3.5
2012-10-31,83.65,903604.0,16343.1685,7.6884,0.9871,3.5
2012-11-30,83.55,1931135.0,16323.631,7.6792,0.9859,3.5
2012-12-31,83.2,2256137.0,16255.2495,7.6471,0.9818,3.5
2013-01-31,84.35,1733667.0,16479.9314,7.7528,0.9953,3.5
2013-02-28,84.0,3746682.0,16411.55,7.7206,0.9912,3.5
2013-03-31,79.1,1380797.0,15454.2096,11.4971,0.9028,3.5
2013-04-30,78.3,378258.0,15297.9091,11.3808,0.8936,3.5
2013-05-31,76.65,1251926.0,14975.5394,11.141,0.8748,3.5
2013-06-30,73.45,1089773.0,14350.3375,10.6759,0.8383,3.5
2013-07-31,62.0,1476060.0,12113.2869,9.0116,0.7076,3.5
2013-08-31,70.4,1116476.0,13754.4419,10.2326,0.8035,3.5
2013-09-30,75.2,1634125.0,14692.2448,10.9302,0.8583,3.5
2013-10-31,74.95,1607278.0,14643.4009,10.8939,0.8554,3.5
2013-11-30,79.3,1689930.0,15493.2847,11.5262,0.9051,3.5
2013-12-31,79.9,1668027.0,15610.51,11.6134,0.9119,3.5
2014-01-31,69.6,1468782.0,13598.1414,10.1163,0.7943,3.5
2014-02-28,80.15,1676291.0,15659.3539,11.6497,0.9148,3.5
2014-03-31,89.05,2198227.0,17398.1967,13.391,0.9889,3.5
2014-04-30,84.35,1703087.0,16479.9314,12.6842,0.9367,3.5
2014-05-31,81.45,3009748.0,15913.3422,12.2481,0.9045,3.5
2014-06-30,105.7,10721185.0,20651.2004,15.8947,1.1738,3.5
2014-07-31,109.85,8189698.0,21462.0091,16.5188,1.2199,3.5
2014-08-31,104.1,2912506.0,20338.5994,15.6541,1.1561,3.5
2014-09-30,101.55,3116582.0,19840.3917,15.2707,1.1278,3.5
2014-10-31,94.4,1202863.0,18443.4562,14.1955,1.0484,3.5
2014-11-30,84.75,5391977.0,16558.0817,12.7444,0.9412,3.5
2014-12-31,90.95,2251968.0,17769.4104,13.6767,1.01,3.5
2015-01-31,77.7,2490353.0,15180.6837,11.6842,0.8629,3.5
2015-02-28,87.15,3179837.0,17027.019,13.1053,0.9678,3.5
2015-03-31,83.05,1476325.0,16225.9432,28.1525,0.9291,3.5
2015-04-30,84.55,1499964.0,16519.0066,28.661,0.9459,3.5
2015-05-31,80.15,540605.0,15659.3539,27.1695,0.8967,3.5
2015-06-30,83.35,2164532.0,16284.5559,28.2542,0.9325,3.5
2015-07-31,79.3,1171879.0,15493.2847,26.8814,0.8872,3.5
2015-08-31,68.95,1475740.0,13471.1473,23.3729,0.7714,2.0
2015-09-30,67.95,1536212.0,13275.7717,23.0339,0.7602,2.0
2015-10-31,72.7,5320697.0,14203.8058,24.6441,0.8133,2.0
2015-11-30,74.15,1529442.0,14487.1004,25.1356,0.8296,2.0
2015-12-31,86.0,2531927.0,16802.3012,29.1525,0.9621,2.0
2016-01-31,73.7,1261421.0,14399.1814,24.9831,0.8245,2.0
2016-02-29,66.1,1128294.0,12914.3268,22.4068,0.7395,2.0
2016-03-31,71.85,10636282.0,14037.7365,16.9458,0.7851,2.0
2016-04-30,79.7,1393560.0,15571.4349,18.7972,0.8709,2.0
2016-05-31,73.8,842865.0,14418.7189,17.4057,0.8064,2.0
2016-06-30,76.45,1745289.0,14936.4642,18.0307,0.8354,2.0
2016-07-31,82.95,1694790.0,16206.4056,19.5637,0.9064,2.0
2016-08-31,74.85,622287.0,14623.8633,17.6533,0.8179,2.0
2016-09-30,73.3,690918.0,14321.0311,17.2877,0.801,2.0
2016-10-31,79.05,849193.0,15444.4408,18.6439,0.8638,2.0
2016-11-30,75.75,869091.0,14799.7013,17.8656,0.8277,2.0
2016-12-31,73.1,722640.0,14281.956,17.2406,0.7988,2.0
2017-01-31,97.85,13335254.0,19117.502,23.0778,1.0692,2.0
2017-02-28,105.05,4561088.0,20524.2063,24.7759,1.1479,2.0
2017-03-31,112.1,8461415.0,21901.6042,31.0526,1.1791,2.0
2017-04-30,124.15,7990338.0,24255.8801,34.3906,1.3058,2.0
2017-05-31,115.6,6264659.0,22585.4188,32.0222,1.2159,0.0
2017-06-30,164.15,20498978.0,32070.9039,45.4709,1.7265,0.0
2017-07-31,205.95,36746965.0,40237.6038,57.0499,2.1662,2.0
2017-08-31,262.25,43618319.0,51237.2498,72.6454,2.7583,2.0
2017-09-30,371.7,104336871.0,72621.1087,102.964,3.9095,2.0
2017-10-31,496.9,86987650.0,97082.1332,137.6454,5.2263,2.0
2017-11-30,597.1,68218045.0,116658.7696,165.4017,6.2802,2.0
2017-12-31,710.2,54955707.0,138755.7497,196.7313,7.4698,2.0
2018-01-31,758.6,71891710.0,148211.9286,210.1385,7.9788,2.0
2018-02-28,674.45,39582527.0,131771.0694,186.8283,7.0938,5.0
2018-03-31,726.1,51445221.0,141862.2188,13.7493,5.193,5.0
2018-04-30,697.55,46278805.0,136284.2456,13.2087,4.9888,5.0
2018-05-31,888.45,79298965.0,173581.4465,16.8235,6.3541,5.0
2018-06-30,840.1,20235469.0,164135.0365,15.908,6.0083,5.0
2018-07-31,1013.9,24994087.0,198091.3148,19.199,7.2513,17.0
2018-08-31,1013.0,25552785.0,197915.4767,19.182,7.2448,17.0
2018-09-30,843.3,12783071.0,164760.2384,15.9686,6.0312,17.0
2018-10-31,951.65,16695592.0,185929.184,18.0203,6.8061,17.0
2018-11-30,934.85,12378242.0,182646.8741,17.7021,6.6859,37.0
2018-12-31,755.35,13998623.0,147576.9549,14.3032,5.4021,37.0
2019-01-31,565.55,48986510.0,110494.6672,10.7091,4.0447,37.0
2019-02-28,412.05,50476815.0,80504.5135,7.8025,2.9469,32.0
2019-03-31,446.9,36799753.0,87313.353,2.5713,1.6318,32.0
2019-04-30,382.75,28870827.0,74780.0086,2.2022,1.3976,32.0
2019-05-31,418.5,46014761.0,81764.6861,2.4079,1.5281,32.0
2019-06-30,334.85,31593657.0,65421.5177,1.9266,1.2227,35.0
2019-07-31,307.75,44177264.0,60126.8391,1.7707,1.1237,35.0
2019-08-31,268.6,24233405.0,52477.8845,1.5455,0.9808,35.0
2019-09-30,290.95,78009969.0,56844.5291,1.6741,1.0624,35.0
2019-10-31,284.9,35964681.0,55662.5067,1.6392,1.0403,35.0
2019-11-30,326.1,45245621.0,63711.9812,1.8763,1.1907,35.0
2019-12-31,303.25,29729483.0,59247.6489,1.7448,1.1073,35.0
2020-01-31,298.4,45458210.0,58300.0772,1.7169,1.0896,35.0
2020-02-29,223.05,28192063.0,43578.5262,1.2834,0.8145,35.0
2020-03-31,127.25,23731856.0,24861.5443,55.3261,0.5459,2.0
2020-04-30,208.3,11234480.0,40696.7362,90.5652,0.8936,2.0
2020-05-31,182.3,10117513.0,35616.9708,79.2609,0.7821,2.0
2020-06-30,182.95,14369550.0,35743.9649,79.5435,0.7848,2.0
2020-07-31,164.95,11255602.0,32227.2042,71.7174,0.7076,2.0
2020-08-31,189.55,29490798.0,37033.4438,82.413,0.8132,2.0
2020-09-30,195.25,14260633.0,38147.0847,84.8913,0.8376,2.0
2020-10-31,176.2,10728724.0,34425.1804,76.6087,0.7559,2.0
2020-11-30,244.45,47166726.0,47759.5649,106.2826,1.0487,2.0
2020-12-31,303.2,46682975.0,59237.8813,131.8261,1.3007,2.0
2021-01-31,314.65,32828706.0,61474.9319,136.8043,1.3498,2.0
2021-02-28,481.2,61668973.0,94014.7378,209.2174,2.0643,2.0
2021-03-31,512.0,41653005.0,100032.3062,210.7174,2.2025,2.0
2021-04-30,732.4,105458678.0,143093.088,210.7174,3.1506,2.0
2021-05-31,745.7,43567313.0,145691.5834,210.7174,3.2078,0.0
2021-06-30,637.35,31553971.0,124522.6374,210.7174,2.7417,0.0
2021-07-31,707.7,23258067.0,138267.3079,210.7174,3.0444,0.0
2021-08-31,639.6,18361432.0,124962.2299,210.7174,2.7514,5.0
2021-09-30,604.55,8143892.0,118114.3154,210.7174,2.6006,5.0
2021-10-31,536.4,18087745.0,104799.4686,210.7174,2.3075,5.0
2021-11-30,408.8,14957929.0,79869.5428,210.7174,1.7586,5.0
2021-12-31,508.95,42323259.0,99436.4086,210.7174,2.1894,5.0
2022-01-31,486.9,33767697.0,95128.3767,210.7174,2.0945,5.0
2022-02-28,466.95,23742808.0,91230.6336,210.7174,2.0087,5.0
2022-03-31,502.85,30368719.0,98244.6174,19.4752,1.986,5.0
2022-04-30,529.0,28425969.0,103353.6892,20.488,2.0893,5.0
2022-05-31,444.05,10672817.0,86756.5325,17.1979,1.7538,5.0
2022-06-30,393.05,8538150.0,76792.3772,15.2227,1.5524,5.0
2022-07-31,426.2,11976381.0,83269.0782,16.5066,1.6833,10.0
2022-08-31,412.9,16997887.0,80670.5828,15.9915,1.6308,10.0
2022-09-30,356.1,10603291.0,69573.249,13.7916,1.4064,10.0
2022-10-31,352.4,8297113.0,68850.3593,13.6483,1.3918,10.0
2022-11-30,393.6,19040166.0,76899.8338,15.244,1.5545,10.0
2022-12-31,373.35,12560446.0,72943.478,14.4597,1.4746,10.0
2023-01-31,351.1,8723397.0,68596.3711,13.598,1.3867,10.0
2023-02-28,288.2,6501571.0,56307.2462,11.1619,1.1383,10.0
2023-03-31,262.55,9013863.0,51295.8622,25.7655,1.0334,10.0
2023-04-30,296.75,43249214.0,57977.7075,29.1217,1.168,10.0
2023-05-31,325.25,29923331.0,63545.9119,31.9185,1.2802,10.0
2023-06-30,400.25,63887478.0,78199.0815,39.2787,1.5754,10.0
2023-07-31,432.75,25299855.0,84548.7883,42.4681,1.7033,8.5
2023-08-31,473.9,32807992.0,92588.494,46.5064,1.8653,8.5
2023-09-30,492.05,36226246.0,96134.561,48.2875,1.9367,8.5
2023-10-31,466.6,22690380.0,91162.2522,45.79,1.8365,8.5
2023-11-30,502.95,19054326.0,98264.155,49.3572,1.9796,8.5
2023-12-31,550.2,38741678.0,107495.6518,53.9941,2.1656,8.5
2024-01-31,544.8,24549602.0,106440.6236,53.4642,2.1443,8.5
2024-02-29,598.85,56980844.0,117000.6745,58.7684,2.3571,8.5
2024-03-31,603.55,46084492.0,117918.9398,14.5926,2.1017,8.5
2024-04-30,676.35,51540734.0,132142.283,16.3528,2.3552,8.5
2024-05-31,565.4,28863457.0,110465.3608,13.6702,1.9688,8.5
2024-06-30,561.4,15880305.0,109683.8585,13.5735,1.9549,8.5
2024-07-31,532.2,24810731.0,103978.8911,12.8675,1.8532,11.0
2024-08-31,517.1,24072384.0,101028.7197,12.5024,1.8006,11.0
2024-09-30,590.5,53885538.0,115369.2883,14.2771,2.0562,11.0
2024-10-31,529.95,19657938.0,103539.296,12.8131,1.8454,11.0
2024-11-30,521.5,9739651.0,101888.3723,12.6088,1.8159,11.0
2024-12-31,565.3,56549711.0,110445.8233,13.6678,1.9685,11.0
2025-01-31,475.9,13412067.0,92979.2452,11.5063,1.6572,11.0
2025-02-28,391.45,13609755.0,76479.7763,9.4645,1.3631,11.0
2025-03-31,477.95,50084650.0,93379.7652,20.2093,1.5919,11.0
2025-04-30,452.2,10348395.0,88348.8436,19.1205,1.5061,11.0
2025-05-31,546.15,44759191.0,106704.3807,23.093,1.8191,11.0
2025-06-30,566.2,27248041.0,110621.6613,23.9408,1.8858,11.0
2025-07-31,572.75,26336553.0,111901.3715,24.2178,1.9077,11.0
2025-08-31,510.8,10309364.0,99797.8534,21.5983,1.7013,11.0
2025-09-30,555.45,12609979.0,108521.3737,23.4863,1.85,11.0
2025-10-31,623.15,41045744.0,121748.3014,26.3488,2.0755,11.0
2025-11-30,555.0,26550771.0,108433.4547,23.4672,1.8485,11.0
2025-12-31,641.7,28802367.0,125372.5187,27.1332,2.1373,11.0
2026-01-31,617.3,34262268.0,120605.3542,26.1015,2.056,11.0
2026-02-28,718.1,39924562.0,140299.2141,30.3636,2.3918,11.0
2026-03-31,683.75,5064306.0,133588.0624,28.9112,2.2774,11.0
