AAVAS IN Equity,price,volume,mc,pe,bm,div
2018-10-31,662.75,5938152.0,51766.0114,41.7086,3.8963,0.0
2018-11-30,769.35,869766.0,60092.3136,48.4172,4.523,0.0
2018-12-31,857.5,1906562.0,66977.5251,53.9648,5.0412,0.0
2019-01-31,853.85,356438.0,66692.4313,53.7351,5.0198,0.0
2019-02-28,1004.15,1404610.0,78432.0488,63.1938,5.9034,0.0
2019-03-31,1155.8,1806544.0,90277.112,48.8504,4.9143,0.0
2019-04-30,1198.35,591740.0,93600.6032,50.6488,5.0952,0.0
2019-05-31,1419.7,3066638.0,110889.787,60.0042,6.0364,0.0
2019-06-30,1499.3,2772923.0,117107.176,63.3686,6.3748,0.0
2019-07-31,1491.2,1924353.0,116474.502,63.0262,6.3404,0.0
2019-08-31,1490.85,781700.0,116447.1642,63.0114,6.3389,0.0
2019-09-30,1596.1,729468.0,124764.505,67.4598,6.7864,0.0
2019-10-31,1591.6,421681.0,124412.7475,67.2697,6.7673,0.0
2019-11-30,1773.25,3268723.0,138612.0284,74.9472,7.5396,0.0
2019-12-31,1981.1,1508520.0,155124.4131,83.732,8.4234,0.0
2020-01-31,1994.05,1894694.0,156138.4261,84.2794,8.4785,0.0
2020-02-29,1878.85,6082637.0,147118.0171,79.4104,7.9886,0.0
2020-03-31,1188.85,2176778.0,93113.8955,37.3265,4.4384,0.0
2020-04-30,1188.0,1052105.0,93047.3213,37.2998,4.4352,0.0
2020-05-31,1025.2,1039864.0,80298.1349,32.1884,3.8274,0.0
2020-06-30,1339.25,1802544.0,104895.9005,42.0487,4.9999,0.0
2020-07-31,1370.45,1369489.0,107339.6205,43.0283,5.1164,0.0
2020-08-31,1402.9,4736272.0,109881.246,44.0471,5.2375,0.0
2020-09-30,1434.55,2227984.0,112445.8604,45.0408,5.3557,0.0
2020-10-31,1431.4,1036576.0,112198.9492,44.9419,5.3439,0.0
2020-11-30,1607.7,7149968.0,126018.0597,50.4772,6.0021,0.0
2020-12-31,1695.55,1688325.0,132913.0607,53.2355,6.3301,0.0
2021-01-31,1807.75,3399783.0,141708.3457,56.7582,6.749,0.0
2021-02-28,2255.55,2367931.0,176811.0961,70.8179,8.4208,0.0
