PSYS IN Equity,price,volume,mc,pe,bm,div
2010-12-31,107.43,3411652.0,17188.0,11.0425,2.3938,0.5
2011-01-31,96.38,6488112.0,15420.0,9.9067,2.1476,1.125
2011-02-28,94.36,3048720.0,15098.0,9.6998,2.1027,1.125
2011-03-31,91.81,4230268.0,14690.0,10.1825,1.9663,1.125
2011-04-30,96.19,8730696.0,15390.0,10.6677,2.0599,1.125
2011-05-31,100.55,1889448.0,16088.0,11.1515,2.1534,1.125
2011-06-30,91.33,2867448.0,14612.0,10.7175,1.884,1.125
2011-07-31,88.84,4595252.0,14214.0,10.4256,1.8327,1.375
2011-08-31,80.28,3374064.0,12844.0,9.4207,1.656,1.375
2011-09-30,76.25,993052.0,12200.0,9.3337,1.557,1.375
2011-10-31,79.8,1195904.0,12768.0,9.7683,1.6295,1.375
2011-11-30,79.78,1264344.0,12764.0,9.7652,1.629,1.375
2011-12-31,82.11,1903636.0,13138.0,9.6048,1.6853,1.375
2012-01-31,80.81,536148.0,12930.0,9.4527,1.6586,1.25
2012-02-29,77.24,2006792.0,12358.0,9.0346,1.5853,1.25
2012-03-31,79.26,7040620.0,12682.0,8.7542,1.5088,1.25
2012-04-30,89.95,2378960.0,14392.0,9.9346,1.7123,1.25
2012-05-31,85.85,2153132.0,13736.0,9.4817,1.6342,1.25
2012-06-30,99.11,4218836.0,15858.0,9.9643,1.8226,1.25
2012-07-31,96.21,1463968.0,15394.0,9.6728,1.7693,1.5
2012-08-31,94.68,1809980.0,15148.0,9.5182,1.741,1.5
2012-09-30,106.81,2009404.0,17090.0,9.8754,1.79,1.5
2012-10-31,119.89,5120404.0,19182.0,11.0842,2.0091,1.5
2012-11-30,120.25,11113088.0,19240.0,11.1177,2.0152,1.5
2012-12-31,128.05,18605752.0,20488.0,11.2561,2.1077,1.5
2013-01-31,138.41,5672300.0,22146.0,12.167,2.2782,2.125
2013-02-28,138.2,2334684.0,22112.0,12.1483,2.2747,2.125
2013-03-31,136.0,1449040.0,21760.0,11.1888,2.137,2.125
2013-04-30,129.99,2141480.0,20798.0,10.6942,2.0425,2.125
2013-05-31,128.24,3904456.0,20518.0,10.5502,2.015,2.125
2013-06-30,125.45,6065740.0,20072.0,9.5472,1.9192,2.125
2013-07-31,129.93,1711368.0,20788.0,9.8877,1.9876,2.25
2013-08-31,146.82,2438740.0,23492.0,11.1739,2.2462,2.25
2013-09-30,158.35,2092328.0,25336.0,11.1849,2.3029,2.25
2013-10-31,203.28,8547736.0,32524.0,14.3581,2.9562,2.25
2013-11-30,216.75,5136544.0,34680.0,15.3099,3.1522,2.25
2013-12-31,244.48,5341492.0,39116.0,16.2199,3.3815,2.25
2014-01-31,241.3,7421776.0,38608.0,16.0093,3.3376,2.75
2014-02-28,283.51,6291312.0,45362.0025,18.8099,3.9215,2.75
2014-03-31,262.36,11213796.0,41977.9975,16.3849,3.4342,2.75
2014-04-30,251.84,6249264.0,40294.0,15.7276,3.2965,2.75
2014-05-31,266.92,10623516.0,42707.9975,16.6698,3.4939,2.75
2014-06-30,270.3,7451828.0,43247.9975,16.1759,3.3582,2.75
2014-07-31,312.71,8380472.0,50034.0,18.7141,3.8852,3.0
2014-08-31,314.0,1748352.0,50240.0,18.7911,3.9012,3.0
2014-09-30,351.15,2181884.0,56184.0,20.2684,4.1665,3.0
2014-10-31,324.91,3937776.0,51986.0,18.754,3.8552,3.0
2014-11-30,380.5,6457316.0,60880.0,21.9625,4.5148,3.0
2014-12-31,415.92,5903664.0,66547.9975,23.2101,4.8513,3.0
2015-01-31,421.86,11343448.0,67497.9975,23.5414,4.9205,3.5
2015-02-28,453.51,4952760.0,72562.0025,25.3076,5.2897,3.5
2015-03-31,357.15,12591968.0,57144.0,19.3893,4.0657,3.5
2015-04-30,352.88,7419928.0,56460.0,19.1572,4.017,3.5
2015-05-31,393.33,7009410.0,62932.0,21.3531,4.4775,3.5
2015-06-30,300.15,14127426.0,48024.0,17.0855,3.1269,3.5
2015-07-31,332.55,8137050.0,53208.0,18.9298,3.4644,5.0
2015-08-31,350.5,4136486.0,56080.0,19.9516,3.6514,5.0
2015-09-30,332.83,2909140.0,53252.0,18.5315,3.4115,5.0
2015-10-31,322.65,2806402.0,51624.0,17.9649,3.3072,5.0
2015-11-30,334.08,2456290.0,53452.0,18.6011,3.4243,5.0
2015-12-31,320.8,3745914.0,51328.0,18.2169,3.1047,5.0
2016-01-31,331.45,3573416.0,53032.0,18.8217,3.2077,5.0
2016-02-29,303.85,2859624.0,48616.0,17.2544,2.9406,5.0
2016-03-31,381.08,13610216.0,60972.0,21.9198,3.6779,6.5
2016-04-30,371.28,4545364.0,59404.0,21.3561,3.5833,6.5
2016-05-31,367.98,2669122.0,58876.0,21.1662,3.5515,6.5
2016-06-30,348.8,2701118.0,55808.0,18.9205,3.2086,6.5
2016-07-31,343.2,4119788.0,54912.0,18.6168,3.1571,4.0
2016-08-31,311.23,2876772.0,49796.0,16.8823,2.863,4.0
2016-09-30,320.05,5313798.0,51208.0,17.6726,2.8348,4.0
2016-10-31,327.65,4250186.0,52424.0,18.0922,2.9021,4.0
2016-11-30,304.68,7214160.0,48748.0,16.8236,2.6986,4.0
2016-12-31,308.25,2741522.0,49320.0,16.3398,2.621,4.0
2017-01-31,297.27,3743838.0,47564.0,15.758,2.5277,7.0
2017-02-28,318.18,2701926.0,50908.0,16.8659,2.7054,4.5
2017-03-31,297.85,6688506.0,47656.0,15.8053,2.5092,3.0
2017-04-30,292.85,7526082.0,46856.0,15.5399,2.4671,3.0
2017-05-31,303.23,10062238.0,48516.0,16.0905,2.5545,3.0
2017-06-30,341.08,12544956.0,54572.0,17.9892,2.7641,3.0
2017-07-31,323.3,4815096.0,51728.0,17.0517,2.6201,3.0
2017-08-31,311.2,4345998.0,49792.0,16.4135,2.522,3.0
2017-09-30,334.9,2733964.0,53584.0,17.148,2.6451,3.0
2017-10-31,325.9,3843528.0,52144.0,16.6871,2.574,3.0
2017-11-30,327.13,3007490.0,52340.0,16.7499,2.5837,3.0
2017-12-31,359.0,5401900.0,57440.0,17.8252,2.7208,3.0
2018-01-31,393.93,15174346.0,63028.0,19.5593,2.9855,3.0
2018-02-28,427.63,10837868.0,68420.0,21.2326,3.2409,5.0
2018-03-31,347.03,8602134.0,55524.0,17.1837,2.6102,5.0
2018-04-30,403.83,14959598.0,64612.0,19.9963,3.0374,5.0
2018-05-31,394.03,9016758.0,63044.0,19.511,2.9637,5.0
2018-06-30,405.73,5732986.0,64916.0,19.3571,2.9311,5.0
2018-07-31,417.73,10646998.0,66836.0,19.9296,3.0178,5.0
2018-08-31,413.8,9068646.0,66208.0,19.7424,2.9895,5.0
2018-09-30,394.2,8814048.0,63072.0,18.5027,2.7628,5.0
2018-10-31,283.2,16504996.0,45312.0,13.2927,1.9848,5.0
2018-11-30,302.77,8751306.0,48444.0,14.2115,2.122,5.0
2018-12-31,311.33,6982034.0,49812.0,14.6128,2.0863,5.0
2019-01-31,301.05,19266524.0,48168.0,14.1305,2.0175,5.0
2019-02-28,327.6,8660896.0,52416.0,15.3767,2.1954,5.5
2019-03-31,314.77,6527224.0,50364.0,14.3112,2.1244,5.5
2019-04-30,318.13,7486366.0,50665.3186,14.4635,2.147,5.5
2019-05-31,290.98,4820308.0,46341.3472,13.2291,1.9638,5.5
2019-06-30,308.7,4508294.0,49164.2714,14.1217,2.1005,5.5
2019-07-31,260.27,6483006.0,41451.9946,11.9065,1.771,5.5
2019-08-31,271.02,2761244.0,41426.1712,12.3982,1.8442,5.5
2019-09-30,284.98,4081110.0,43558.4288,12.9652,1.8892,5.5
