HMCL IN Equity,price,volume,mc,pe,bm,div
2017-05-31,3745.45,7787789.0,747954.5233,20.8672,7.2508,87.0
2017-06-30,3701.35,6573622.0,739147.8927,20.6215,7.1654,60.0
2017-07-31,3655.75,9270417.0,730041.7169,20.3674,7.0771,60.0
2017-08-31,3995.1,9548044.0,797808.839,22.2581,7.7341,60.0
2017-09-30,3774.55,8064725.0,753765.7013,21.0293,7.3071,60.0
2017-10-31,3849.9,6751764.0,768812.8581,21.4491,7.453,60.0
2017-11-30,3633.65,7087995.0,725665.4096,20.2443,7.0343,60.0
2017-12-31,3785.15,7979169.0,755921.023,21.0884,7.3276,60.0
2018-01-31,3691.45,7964061.0,737208.4753,20.5663,7.1462,60.0
2018-02-28,3596.7,6792391.0,718302.1902,20.0384,6.9628,85.0
2018-03-31,3542.8,6741229.0,707537.7428,19.0166,5.9102,85.0
2018-04-30,3732.25,6557382.0,745373.0779,20.0335,6.2263,85.0
2018-05-31,3544.9,7981594.0,707957.1368,19.0279,5.9137,85.0
2018-06-30,3473.5,6801943.0,693697.7389,18.6447,5.7946,85.0
2018-07-31,3294.45,14449497.0,657939.4029,17.6836,5.4959,95.0
2018-08-31,3253.8,7071082.0,649821.1323,17.4654,5.4281,95.0
2018-09-30,2933.25,8369932.0,585803.6254,15.7448,4.8933,95.0
2018-10-31,2762.35,14949820.0,551672.9377,14.8274,4.6082,95.0
2018-11-30,3055.2,7541636.0,610182.5245,16.3994,5.0968,95.0
2018-12-31,3104.25,14121613.0,619978.7581,16.6626,5.1786,95.0
2019-01-31,2613.95,12697419.0,522056.3662,14.0309,4.3607,95.0
2019-02-28,2628.1,17442867.0,524902.2238,14.1068,4.3843,95.0
2019-03-31,2553.15,15657886.0,509932.6939,14.8052,3.8866,95.0
2019-04-30,2511.85,17655055.0,501683.9736,14.5657,3.8237,95.0
2019-05-31,2680.25,13316100.0,535317.9808,15.5422,4.08,95.0
2019-06-30,2581.5,14031334.0,515594.951,14.9696,3.9297,95.0
2019-07-31,2356.1,22249995.0,470576.5114,13.6625,3.5866,87.0
2019-08-31,2572.05,27993689.0,513707.532,14.9148,3.9153,87.0
2019-09-30,2704.75,21577806.0,540211.2895,15.6843,4.1173,87.0
2019-10-31,2704.2,17676361.0,540101.4397,15.6811,4.1165,87.0
2019-11-30,2433.55,15810033.0,486070.5555,14.1116,3.7045,87.0
2019-12-31,2443.05,18997398.0,487968.0593,14.1667,3.719,87.0
