PREMIERE IN Equity,price,volume,mc,pe,bm,div
2025-03-31,937.95,30931123.0,422803.8185,45.1163,14.9819,0.5
2025-04-30,982.0,32721392.0,442660.4294,47.2352,15.6855,0.5
2025-05-31,1061.6,29281771.0,478542.0691,51.064,16.9569,0.5
2025-06-30,1061.1,53015345.0,478316.6819,51.04,16.9489,0.5
2025-07-31,1032.1,34599547.0,465244.2252,49.6451,16.4857,0.5
2025-08-31,994.1,14946515.0,448114.7992,47.8172,15.8787,1.25
2025-09-30,1021.55,26066534.0,460488.5556,49.1376,16.3172,1.25
2025-10-31,1093.2,26629284.0,495213.4431,52.584,17.4617,1.25
2025-11-30,975.7,22791011.0,441986.6049,46.9322,15.5848,1.25
2025-12-31,842.15,27834928.0,381489.207,40.5083,13.4516,1.25
2026-01-31,719.9,60851035.0,326110.6455,34.6279,11.4989,1.25
2026-02-28,731.0,54467729.0,331138.883,35.1618,11.6762,0.75
2026-03-31,717.85,3468342.0,325181.996,34.5293,11.4662,0.75
