ARCP IN Equity,price,volume,mc,pe,bm,div
2006-09-30,93.66,4087535.0,21458.3529,34.2808,11.3821,0.5
2006-10-31,111.25,3589970.0,25489.6158,40.7209,13.5203,0.5
2006-11-30,148.23,2014495.0,33962.979,54.2576,18.0148,0.5
2006-12-31,153.65,2322725.0,35204.34,56.2407,18.6733,0.5
2007-01-31,146.78,1007690.0,33630.5167,53.7264,17.8385,0.5
2007-02-28,140.02,2259985.0,32080.7117,51.2506,17.0164,0.5
2007-03-31,123.12,2103180.0,28209.9914,20.2127,2.5285,0.5
2007-04-30,130.85,3924465.0,29981.0166,21.4817,2.6872,0.5
2007-05-31,138.02,2042625.0,42883.3009,22.6583,2.8344,0.5
2007-06-30,134.75,491055.0,41866.7596,22.1212,2.7672,0.5
2007-07-31,137.99,2398975.0,44750.5547,22.6537,2.8338,0.5
2007-08-31,127.17,1073985.0,47650.1139,20.8776,2.6117,1.2
2007-09-30,166.65,2152885.0,64712.7008,27.3582,3.4223,1.2
2007-10-31,201.66,1859996.0,78306.5457,33.1052,4.1412,1.2
2007-11-30,196.5,1072112.0,76303.355,32.2583,4.0353,1.2
2007-12-31,192.69,2283522.0,84441.1423,31.6334,3.9571,1.2
2008-01-31,194.87,6886352.0,85396.3453,31.9911,4.0019,1.2
2008-02-29,175.81,2558715.0,87613.5507,28.8618,3.6104,1.2
2008-03-31,125.49,1302859.0,67119.6565,21.2625,1.2739,1.2
2008-04-30,155.92,2050618.0,83394.1319,21.2625,1.5828,1.2
2008-05-31,112.52,542612.0,60184.8309,21.2625,1.1423,1.2
2008-06-30,75.97,1564770.0,40634.7203,21.2625,0.7712,1.2
2008-07-31,76.94,2970516.0,41151.1384,21.2625,0.781,1.5
2008-08-31,83.83,1223664.0,44839.8385,21.2625,0.8511,1.5
2008-09-30,62.46,17049702.0,33404.8681,21.2625,0.634,1.5
2008-10-31,25.35,2577599.0,13559.6616,21.2625,0.2574,1.5
2008-11-30,23.86,1230319.0,12762.9024,21.2625,0.2422,1.5
2008-12-31,48.5,4029766.0,25938.9391,21.2625,0.4923,1.5
2009-01-31,28.52,1780988.0,15256.4636,21.2625,0.2896,1.5
2009-02-28,24.83,435205.0,13279.3204,21.2625,0.252,1.5
2009-03-31,22.26,12801215.0,11907.1239,3.1803,0.1976,1.5
2009-04-30,45.05,33010292.0,24094.5891,6.4355,0.3999,1.5
2009-05-31,69.68,3659420.0,37270.6258,9.9547,0.6186,1.5
2009-06-30,54.46,12412923.0,29125.976,7.7793,0.4834,1.5
2009-07-31,71.5,17573313.0,38244.4427,10.2148,0.6348,1.5
2009-08-31,81.1,18279668.0,43379.1132,11.5862,0.72,0.6
2009-09-30,84.63,11964682.0,45267.7277,12.0906,0.7514,0.6
2009-10-31,72.3,46464730.0,38672.3319,10.3291,0.6419,0.6
2009-11-30,71.7,23149582.0,38347.7263,10.2424,0.6365,0.6
2009-12-31,73.63,16788840.0,39380.5623,10.5182,0.6537,0.6
2010-01-31,74.59,18093775.0,39896.9803,10.6562,0.6622,0.6
2010-02-28,67.81,8007183.0,36267.2994,9.6867,0.602,0.6
2010-03-31,73.41,9235241.0,39262.5239,9.0963,0.6026,0.6
2010-04-30,70.21,7662850.0,37550.9671,8.6997,0.5763,0.6
2010-05-31,58.76,9279084.0,31427.7249,7.2811,0.4823,0.6
2010-06-30,64.55,19589840.0,34526.233,7.999,0.5299,0.6
2010-07-31,66.26,7614278.0,35441.0306,8.2109,0.5439,0.6
2010-08-31,70.21,36147443.0,37550.9671,8.6997,0.5763,0.6
2010-09-30,77.66,15864542.0,41534.7632,9.6227,0.6374,0.6
2010-10-31,71.48,19048138.0,38229.6879,8.857,0.5867,0.6
2010-11-30,61.35,11635117.0,32814.6761,7.6024,0.5036,0.6
2010-12-31,59.14,11136086.0,31634.2921,7.329,0.4855,0.6
2011-01-31,55.67,13705969.0,29775.1872,6.8983,0.457,0.6
2011-02-28,41.71,36345289.0,22309.2582,5.1686,0.3424,0.6
2011-03-31,46.21,11702396.0,24714.2907,8.1065,0.3659,0.6
2011-04-30,48.47,5200698.0,25924.1843,8.5033,0.3838,0.6
2011-05-31,37.93,11426746.0,20287.8506,6.6546,0.3004,0.6
2011-06-30,35.12,12820962.0,18782.8609,6.1609,0.2781,0.6
2011-07-31,45.08,21855759.0,24109.3439,7.908,0.357,0.6
2011-08-31,36.03,7748532.0,19269.7693,6.3206,0.2853,0.6
2011-09-30,31.78,7387770.0,16997.5301,5.5753,0.2517,0.6
2011-10-31,29.9,13021853.0,15994.2036,5.2462,0.2368,0.6
2011-11-30,25.02,9034639.0,13382.604,4.3896,0.1981,0.6
2011-12-31,21.88,16312900.0,11700.5567,3.8379,0.1732,0.6
2012-01-31,33.57,16053178.0,17956.5921,5.8899,0.2659,0.6
2012-02-29,36.3,20267241.0,19417.3173,6.369,0.2875,0.6
2012-03-31,32.28,9260832.0,17263.1343,7.9757,0.2485,0.6
2012-04-30,32.06,6669030.0,17145.0958,7.9212,0.2468,0.6
2012-05-31,25.43,5463418.0,13603.9401,6.2851,0.1959,0.6
2012-06-30,26.48,10034312.0,14164.623,6.5442,0.2039,0.6
2012-07-31,26.21,24534831.0,14017.0749,6.476,0.2018,0.6
2012-08-31,24.72,8288895.0,13220.3148,6.1079,0.1903,0.6
2012-09-30,39.45,37418599.0,21099.3864,9.7481,0.3038,0.4
2012-10-31,44.86,76312803.0,23991.3303,11.0842,0.3454,0.4
2012-11-30,54.54,87354407.0,29170.2706,13.4769,0.42,0.4
2012-12-31,49.6,42228108.0,26529.1586,12.2567,0.3819,0.4
2013-01-31,45.02,42761084.0,24079.8592,11.1251,0.3467,0.4
2013-02-28,34.34,32891502.0,18369.7455,8.487,0.2645,0.4
2013-03-31,34.65,32241259.0,18532.0485,9.5279,0.261,0.4
2013-04-30,36.55,26037343.0,19550.1308,10.0513,0.2753,0.4
2013-05-31,35.81,36038916.0,19151.7507,9.8465,0.2697,0.4
2013-06-30,29.1,13744540.0,15566.3321,8.0031,0.2192,0.4
2013-07-31,27.14,26520467.0,14518.7401,7.4645,0.2045,0.4
