ABSLAMC IN Equity,price,volume,mc,pe,bm,div
2021-10-31,649.1,19196439.0,186940.8,4.4401,0.6854,0.0
2021-11-30,577.15,6444855.0,166219.2,3.948,0.6094,5.6
2021-12-31,531.35,6491158.0,153028.8,3.6347,0.5611,5.6
2022-01-31,519.4,6933084.0,149587.2,3.5529,0.5485,5.6
2022-02-28,506.45,6795806.0,145857.6,3.4643,0.5348,5.6
2022-03-31,533.85,7389053.0,153748.8,22.8532,6.9999,5.6
2022-04-30,520.0,3747882.0,149760.0,22.2603,6.8183,5.6
2022-05-31,421.5,5812578.0,121392.0,18.0437,5.5267,5.6
2022-06-30,400.05,2002132.0,115214.4,17.1254,5.2455,5.6
2022-07-31,423.35,1343382.0,121924.8,18.1229,5.551,11.45
2022-08-31,460.0,2196625.0,132480.0,19.6918,6.0315,11.45
2022-09-30,455.0,3200773.0,131040.0,19.4777,5.966,11.45
2022-10-31,407.8,1168775.0,117446.4,17.4572,5.3471,11.45
2022-11-30,434.2,2444888.0,125049.6,18.5873,5.6932,5.85
2022-12-31,455.0,2499435.0,131040.0,19.4777,5.966,5.85
2023-01-31,419.9,1390678.0,120931.2,17.9752,5.5057,5.85
2023-02-28,380.0,1033058.0,109440.0,16.2671,4.9826,5.85
2023-03-31,311.2,3848022.0,89625.6,15.0266,3.5608,5.0
2023-04-30,338.15,1342639.0,97387.2,16.3279,3.8692,5.0
2023-05-31,356.45,1110821.0,102666.0072,17.2115,4.0786,5.0
2023-06-30,372.35,2279264.0,107250.6622,17.9792,4.2605,5.0
2023-07-31,409.65,2668899.0,117994.4509,19.7803,4.6873,5.0
2023-08-31,390.25,1502247.0,112416.0378,18.8436,4.4653,10.25
2023-09-30,433.65,2477309.0,124922.3144,20.9392,4.9619,10.25
2023-10-31,445.4,3029217.0,128309.8615,21.5065,5.0964,10.25
2023-11-30,448.85,1710533.0,129303.73,21.6731,5.1359,10.25
2023-12-31,469.35,2944823.0,135212.3906,22.663,5.3704,10.25
2024-01-31,477.7,3404210.0,137619.543,23.0662,5.466,10.25
2024-02-29,526.65,3662033.0,151722.5495,25.4297,6.0261,10.25
2024-03-31,455.0,3668615.0,131081.5019,16.7959,4.1365,5.25
2024-04-30,542.8,9486613.0,156378.2884,20.0369,4.9347,5.25
2024-05-31,522.55,8576031.0,150545.7175,19.2894,4.7506,5.25
2024-06-30,632.15,13210691.0,182122.269,23.3352,5.747,5.25
2024-07-31,706.55,10437552.0,203556.8918,26.0816,6.4234,5.25
2024-08-31,748.1,12285867.0,215591.6548,27.6154,6.8012,13.5
2024-09-30,719.0,9216681.0,207285.2827,26.5412,6.5366,13.5
2024-10-31,794.75,19022724.0,229170.331,29.3374,7.2253,13.5
2024-11-30,865.2,8475795.0,249494.6698,31.938,7.8658,13.5
2024-12-31,836.75,10089780.0,241372.3173,30.8878,7.6071,13.5
2025-01-31,683.1,8653155.0,197049.8117,25.2159,6.2102,13.5
2025-02-28,615.5,6452400.0,177561.9494,22.7206,5.5957,13.5
2025-03-31,636.7,5413840.0,183681.1284,19.7365,4.9286,13.5
2025-04-30,661.5,7405739.0,190835.6627,20.5053,5.1205,13.5
2025-05-31,747.05,9020550.0,215556.9327,23.1572,5.7828,13.5
2025-06-30,799.85,7522748.0,230809.9638,24.7939,6.1915,13.5
2025-07-31,858.2,9990751.0,247699.1636,26.6026,6.6431,24.0
2025-08-31,835.1,6352071.0,241042.6176,25.8865,6.4643,24.0
2025-09-30,791.5,6426096.0,228483.8057,24.535,6.1268,24.0
2025-10-31,762.0,7741439.0,219980.8046,23.6206,5.8985,24.0
2025-11-30,735.35,3623000.0,212302.1815,22.7945,5.6922,24.0
2025-12-31,805.25,7963727.0,232538.0215,24.9613,6.2333,24.0
2026-01-31,759.45,6989005.0,219313.2693,23.5415,5.8787,24.0
2026-02-28,893.6,8629314.0,258058.8381,27.6999,6.9172,24.0
2026-03-31,894.0,1546101.0,258174.3523,27.7123,6.9203,24.0
