HCLT IN Equity,price,volume,mc,pe,bm,div
2003-09-30,21.51,160304296.0,49639.9414,13.7507,16.5246,0.25
2003-10-31,27.06,109345616.0,63981.7228,17.2982,20.7878,0.25
2003-11-30,33.69,99742792.0,79644.6849,21.5329,25.8767,0.25
2003-12-31,38.3,83290600.0,90549.6529,24.6922,28.3828,0.75
2004-01-31,38.04,81628008.0,89950.5897,24.523,28.3828,0.75
2004-02-29,36.49,56731064.0,86332.532,23.5277,28.3828,1.0
2004-03-31,30.98,59410568.0,73322.2337,19.6632,28.3828,1.0
2004-04-30,34.39,32556272.0,81393.7265,21.8251,28.3828,1.25
2004-05-31,37.35,43121112.0,88417.3073,23.7053,28.3828,1.0
2004-06-30,37.28,39289320.0,88276.4459,18.4381,28.3828,1.0
2004-07-31,39.49,42480920.0,93532.6222,19.5325,28.3828,1.0
2004-08-31,39.79,24273472.0,94322.573,19.6809,28.3828,1.0
2004-09-30,44.37,26384824.0,105183.152,19.0723,0.0282,1.0
2004-10-31,45.47,30584704.0,107844.16,19.5451,0.0289,1.0
2004-11-30,46.56,22020848.0,110651.2487,20.0126,0.0296,1.0
2004-12-31,42.91,19719920.0,102241.2361,16.983,0.0267,1.0
2005-01-31,41.33,109672704.0,104974.5941,16.3596,0.0267,1.0
2005-02-28,42.33,89161168.0,107619.5141,16.7554,0.0267,2.0
2005-03-31,46.56,142872608.0,118512.1459,16.7374,0.0267,2.0
2005-04-30,41.86,129370312.0,106601.1346,15.0457,0.0267,2.0
2005-05-31,46.04,56742944.0,117356.0278,16.5487,0.0267,2.0
2005-06-30,48.69,80375936.0,124201.8125,19.2163,0.0267,2.0
2005-07-31,50.45,58430904.0,128835.0986,19.9119,0.0267,2.0
2005-08-31,57.06,90447528.0,146070.1367,22.5218,0.0267,2.0
2005-09-30,56.91,66504152.0,145670.1637,22.7834,0.0267,2.0
2005-10-31,52.4,162290472.0,134134.9426,20.9793,0.0267,2.0
2005-11-30,63.58,126689056.0,162874.8196,25.4534,0.0267,2.0
2005-12-31,67.39,144161712.0,173239.2947,25.3345,0.0267,2.0
2006-01-31,78.3,128348472.0,201625.2527,29.437,0.0267,2.0
2006-02-28,76.24,70113808.0,196511.1922,28.664,0.0267,2.0
2006-03-31,81.78,75753208.0,211026.2771,29.8109,0.0267,2.0
2006-04-30,71.88,157859200.0,185992.1656,26.2018,0.0267,2.0
2006-05-31,63.03,120149632.0,162929.8112,22.9756,0.0267,2.0
2006-06-30,63.08,116385024.0,163075.2265,20.9311,0.0267,2.0
2006-07-31,64.98,111946024.0,168169.8568,21.5616,0.0267,2.0
2006-08-31,72.7,66383448.0,188250.4201,24.1228,0.0267,2.0
2006-09-30,68.78,69530408.0,178190.1314,20.6609,0.0267,2.0
2006-10-31,77.79,105386136.0,201734.6347,23.3703,0.0267,2.0
2006-11-30,78.81,72702568.0,204435.2187,23.6763,0.0267,2.0
2006-12-31,80.19,150830832.0,208212.2274,21.5249,0.0267,2.0
2007-01-31,81.06,103634400.0,210761.649,21.7598,0.0267,2.0
2007-02-28,75.11,108024096.0,195404.5321,20.1609,0.0267,2.0
2007-03-31,72.85,192065756.0,189674.5259,17.1403,0.0267,2.0
2007-04-30,83.56,125394676.0,221836.078,19.6608,0.0267,2.0
2007-05-31,86.06,109170636.0,228472.9091,20.249,0.0267,2.0
2007-06-30,85.99,72758560.0,228273.8041,16.6086,0.0267,2.0
2007-07-31,78.36,68466008.0,208031.4694,15.1358,0.0267,2.0
2007-08-31,76.2,78078988.0,202300.2472,14.7181,0.0267,2.0
2007-09-30,75.14,87726260.0,199479.5513,13.9851,3.9776,2.0
2007-10-31,78.76,127631332.0,209122.3214,14.6598,4.1695,2.0
2007-11-30,80.56,156869904.0,213901.5016,14.9948,4.2648,2.0
2007-12-31,82.41,53752328.0,218824.6438,14.92,4.3633,2.0
2008-01-31,60.41,114365036.0,160523.5346,10.9371,3.1985,2.0
2008-02-29,69.41,64762728.0,184542.5365,12.5664,3.675,2.0
2008-03-31,63.31,69781584.0,168447.6361,11.4344,3.011,2.0
2008-04-30,72.11,152609852.0,191860.7816,13.0237,3.4295,2.0
2008-05-31,78.65,78865752.0,209316.3949,14.2044,3.7404,2.0
2008-06-30,63.14,93984296.0,168201.4137,15.9532,4.025,2.0
2008-07-31,50.09,92733800.0,133501.2733,12.6558,3.193,2.0
2008-08-31,58.29,55510288.0,155357.2342,14.7278,3.7158,2.0
2008-09-30,48.61,75315172.0,129996.8629,11.9677,2.3926,2.0
2008-10-31,43.23,96452908.0,115715.6572,10.6414,2.1275,2.5
2008-11-30,34.38,57860956.0,92023.7297,8.4627,1.6919,2.5
2008-12-31,28.83,202019792.0,77180.0916,6.9494,1.5238,2.5
2009-01-31,29.03,118002944.0,77747.7567,6.9976,1.5343,2.5
2009-02-28,25.05,91753820.0,67108.8583,6.0393,1.3242,2.5
2009-03-31,25.51,108790804.0,68349.1896,7.0129,1.3773,2.5
2009-04-30,32.46,192217836.0,86978.8939,8.9233,1.7525,2.25
2009-05-31,41.73,160117184.0,111796.5144,11.4693,2.2526,2.25
2009-06-30,46.49,143932864.0,124609.1309,9.8648,2.1922,2.25
2009-07-31,60.25,134256716.0,161531.8386,12.7853,2.8412,2.25
2009-08-31,75.0,196013972.0,201076.9775,15.9153,3.5367,2.25
2009-09-30,85.2,138026388.0,228764.2465,18.2998,3.795,2.25
2009-10-31,76.56,124551016.0,205778.6911,16.4446,3.4102,1.75
2009-11-30,84.28,100581624.0,226728.5755,18.1012,3.7538,1.75
2009-12-31,92.83,121121268.0,249925.6696,21.2573,3.9398,1.25
2010-01-31,86.7,131142420.0,233772.3258,19.8546,3.6798,1.0
2010-02-28,91.78,71424936.0,247608.2106,21.0168,3.8952,1.0
2010-03-31,89.6,55846500.0,242317.1844,18.4142,3.6837,1.0
2010-04-30,98.61,133782492.0,267007.4278,20.2664,4.0542,1.0
2010-05-31,95.59,81826392.0,259041.8683,19.6447,3.9299,1.0
2010-06-30,91.04,221219300.0,246711.3805,18.7379,3.5117,1.0
2010-07-31,98.05,99564064.0,266219.0116,20.1812,3.7822,1.0
2010-08-31,95.64,86467284.0,259867.8915,19.6847,3.6891,1.0
2010-09-30,105.19,81770016.0,286109.4093,21.5424,3.8384,1.0
2010-10-31,100.95,74083900.0,275505.5877,20.6746,3.6838,1.125
2010-11-30,100.94,64790760.0,275789.5155,20.672,3.6833,1.125
2010-12-31,114.06,80964092.0,311926.2119,21.7866,4.0807,1.125
2011-01-31,122.69,109512528.0,335944.9733,23.434,4.3893,1.375
2011-02-28,110.61,100630500.0,302995.5877,21.1276,3.9573,1.375
2011-03-31,119.49,78870332.0,327743.5065,21.1655,4.0747,1.375
2011-04-30,130.3,94689144.0,357401.2252,23.0808,4.4435,1.625
2011-05-31,128.7,61607092.0,353905.739,22.7974,4.3889,1.625
2011-06-30,123.69,63224840.0,340393.1033,19.7236,4.0521,1.625
2011-07-31,121.7,57723096.0,335253.5504,19.4067,3.9869,1.625
2011-08-31,102.74,120832044.0,283299.5091,16.3829,3.3657,1.625
2011-09-30,102.29,118704664.0,282230.6411,15.0323,3.0737,1.625
2011-10-31,110.94,109629156.0,306097.6341,16.3035,3.3336,2.5
2011-11-30,95.95,100765376.0,265036.9271,14.1009,2.8833,2.5
2011-12-31,96.99,111170800.0,267983.8029,13.1068,2.8579,2.5
2012-01-31,109.41,109687164.0,302842.9549,14.7859,3.224,2.5
2012-02-29,121.24,74195984.0,335573.3828,16.3839,3.5724,2.5
2012-03-31,120.81,95050376.0,334496.3354,15.3141,3.3707,2.5
2012-04-30,128.01,96204576.0,354664.5068,16.2268,3.5716,2.5
2012-05-31,126.01,108570256.0,349190.1746,15.9733,3.5158,2.5
2012-06-30,119.11,126807076.0,330233.3576,13.2052,3.0843,2.5
2012-07-31,129.64,117985372.0,359502.1632,14.372,3.3569,2.5
2012-08-31,136.1,78060412.0,377606.7253,15.0885,3.5242,2.5
2012-09-30,144.36,103368452.0,400768.1338,13.7878,3.4188,2.5
2012-10-31,152.0,134139612.0,421970.7773,14.5173,3.5997,2.5
2012-11-30,164.13,112749284.0,455854.5028,15.6753,3.8868,2.5
2012-12-31,154.68,63587272.0,429725.4034,13.101,3.4904,2.5
2013-01-31,172.0,162252948.0,477858.5381,14.5685,3.8814,2.5
2013-02-28,180.85,135077812.0,502573.2311,15.3181,4.0811,2.5
2013-03-31,198.75,142483708.0,552470.4602,14.9041,4.1811,2.5
2013-04-30,180.35,171910340.0,502179.5115,13.5243,3.794,2.5
2013-05-31,186.21,126973864.0,518784.4335,13.964,3.9173,2.5
2013-06-30,194.0,88630748.0,540598.335,13.3146,3.7674,2.5
2013-07-31,234.39,118267220.0,653350.3495,16.0864,4.5517,2.5
2013-08-31,260.11,119091568.0,725262.0638,17.852,5.0513,2.5
2013-09-30,271.8,116258660.0,758643.1927,16.6337,4.7708,2.5
2013-10-31,273.84,141928644.0,764861.7655,16.7584,4.8065,2.5
2013-11-30,271.5,77342692.0,758493.2487,16.6154,4.7655,2.5
2013-12-31,315.64,113850920.0,882301.8711,17.2337,5.2041,3.0
2014-01-31,365.55,113705612.0,1022190.741,19.9589,6.0271,3.5
2014-02-28,393.89,102884104.0,1101674.917,21.5061,6.4943,3.5
2014-03-31,347.67,133332052.0,972689.1833,16.962,5.3099,3.5
2014-04-30,350.73,95257904.0,981310.911,17.1108,5.3565,4.0
2014-05-31,354.64,96878420.0,992592.4836,17.3017,5.4162,4.0
2014-06-30,375.04,98423736.0,1050069.566,16.4595,5.2416,4.0
2014-07-31,388.78,96766840.0,1088672.699,17.0624,5.4336,4.0
2014-08-31,407.69,71641832.0,1142302.951,17.8924,5.6979,7.0
2014-09-30,428.69,70634460.0,1202271.467,17.5714,5.7029,7.0
2014-10-31,402.1,102239064.0,1128023.813,16.4816,5.3492,8.0
2014-11-30,415.59,61997916.0,1166339.115,17.0345,5.5287,8.0
2014-12-31,399.23,81201664.0,1121616.205,15.4734,4.967,6.5
2015-01-31,447.94,102113748.0,1258559.911,17.3614,5.5731,6.5
2015-02-28,505.17,96852832.0,1419824.634,19.5799,6.2852,7.5
2015-03-31,490.2,174053976.0,1378144.283,18.8869,5.9198,7.5
2015-04-30,440.28,108248744.0,1237785.545,16.9633,5.3169,8.5
2015-05-31,505.38,81684126.0,1420887.6,19.4715,6.103,8.5
2015-06-30,459.88,67826246.0,1293121.682,18.3472,5.2398,8.5
2015-07-31,499.13,57991968.0,1403517.931,19.9131,5.687,8.5
2015-08-31,485.53,79661976.0,1365475.527,19.3705,5.5321,6.5
2015-09-30,491.08,53601748.0,1381110.792,19.7563,5.3811,6.5
