ABLBL IN Equity,price,volume,mc,pe,bm,div
2025-12-31,127.58,76228426.0,155711.9015,107.2101,11.5462,0.0
2026-01-31,105.03,80762511.0,128189.5361,88.2605,11.5462,0.0
2026-02-28,102.08,25674801.0,124589.6107,85.7815,11.5462,0.0
2026-03-31,102.87,21239034.0,125553.8165,86.4454,11.5462,0.0
