DN IN Equity,price,volume,mc,pe,bm,div
2023-04-30,1888.2,5457845.0,257537.34,30.2305,6.2968,7.0
2023-05-31,2073.8,13199364.0,282851.8884,33.202,6.9158,7.0
2023-06-30,2173.75,11520107.0,296484.3729,34.8023,7.2491,7.0
2023-07-31,2010.7,10169854.0,274245.4875,32.1918,6.7053,7.5
2023-08-31,2220.0,13922049.0,302792.551,35.5427,7.4033,7.5
2023-09-30,2120.45,7977813.0,289214.6238,33.9489,7.0713,7.5
2023-10-31,1986.75,5734756.0,270978.8742,31.8084,6.6255,7.5
2023-11-30,2196.1,7271804.0,299532.7573,35.1601,7.3236,7.5
2023-12-31,2481.2,13753397.0,338418.4133,39.7246,8.2744,7.5
2024-01-31,2305.9,6347202.0,314508.7132,36.918,7.6898,7.5
2024-02-29,2212.85,6219392.0,301817.3408,35.4283,7.3795,7.5
2024-03-31,2125.5,3767625.0,289903.4086,35.7527,6.0439,7.5
2024-04-30,2430.55,9628506.0,331510.1058,40.8839,6.9113,7.5
2024-05-31,2191.3,10075528.0,298878.0707,36.8595,6.231,7.5
2024-06-30,2501.95,8557255.0,341248.5689,42.0849,7.1144,7.5
2024-07-31,3092.3,12582704.0,421768.2007,52.0151,8.793,7.5
2024-08-31,2911.05,11238328.0,397046.962,48.9664,8.2776,7.5
2024-09-30,2907.1,5502937.0,396508.2095,48.8999,8.2664,7.5
2024-10-31,2636.3,7061595.0,359572.974,44.3448,7.4964,7.5
2024-11-30,2727.25,6530336.0,371977.9211,45.8747,7.755,7.5
2024-12-31,2494.3,5189307.0,340205.1622,41.9563,7.0926,7.5
2025-01-31,2325.6,4038914.0,317195.6561,39.1186,6.6129,7.5
2025-02-28,1851.3,13033537.0,252504.4368,31.1405,5.2642,7.5
2025-03-31,1983.6,4388590.0,270549.2361,38.8028,5.0207,7.5
2025-04-30,1935.6,4778956.0,264002.3702,37.8638,4.8992,7.5
2025-05-31,2027.3,7971294.0,276509.612,39.6577,5.1313,7.5
2025-06-30,1987.1,4416232.0,271026.6118,38.8713,5.0296,7.5
2025-07-31,1840.4,2857320.0,251017.7527,36.0016,4.6583,7.5
2025-08-31,1787.9,2852244.0,243857.118,34.9746,4.5254,7.5
2025-09-30,1835.1,6857834.0,250294.8695,35.8979,4.6448,7.5
2025-10-31,1728.4,2406952.0,235741.7321,33.8106,4.3748,7.5
2025-11-30,1558.6,2569799.0,212582.1937,30.489,3.945,7.5
2025-12-31,1731.7,4517821.0,236191.8291,33.8752,4.3831,7.5
2026-01-31,1642.5,3816604.0,224025.5698,32.1303,4.1573,7.5
2026-02-28,1580.7,2233802.0,215596.4799,30.9214,4.0009,7.5
2026-03-31,1535.0,603679.0,209363.3179,30.0274,3.8853,7.5
