RELI IN Equity,price,volume,mc,pe,bm,div
2002-03-31,221.7,1344524.0,30533.7861,11.3971,1.1927,4.0
2002-04-30,229.7,650835.0,31635.5916,11.8083,1.2357,4.0
2002-05-31,224.75,629125.0,30953.8494,11.5538,1.2091,4.0
2002-06-30,220.3,693745.0,30340.9701,11.3251,1.1852,4.0
2002-07-31,206.15,541078.0,28392.1516,10.5977,1.109,4.3
2002-08-31,227.2,550073.0,31291.2774,11.6798,1.2223,4.3
2002-09-30,218.3,2483204.0,30065.5187,11.2223,1.1744,4.3
2002-10-31,193.15,301356.0,26601.7176,9.9294,1.0391,4.3
2002-11-30,210.7,219340.0,29018.8035,10.8316,1.1335,4.3
2002-12-31,222.25,1486818.0,30609.5352,11.4253,1.1957,4.3
2003-01-31,221.65,979100.0,30526.8998,11.3945,1.1924,4.3
2003-02-28,229.05,428745.0,31546.0699,11.7749,1.2322,4.3
2003-03-31,215.4,191187.0,29666.1142,11.0732,1.1588,4.3
2003-04-30,222.9,223290.0,30699.0569,11.4587,1.1992,4.3
2003-05-31,218.55,253570.0,30099.9502,11.2351,1.1758,4.4
2003-06-30,279.35,4669050.0,38473.6723,14.3607,1.5029,4.4
2003-07-31,279.1,3591777.0,38439.2408,14.3478,1.5015,4.4
2003-08-31,333.0,4924926.0,45862.6557,17.1187,1.7915,1.0
2003-09-30,377.4,2973441.0,51977.6764,19.4012,2.0303,1.0
2003-10-31,477.7,4411088.0,65791.5634,24.5574,2.5699,1.0
2003-11-30,456.05,3424054.0,62809.8022,23.4444,2.4535,1.0
2003-12-31,510.9,2854166.0,70364.0564,26.2641,2.7485,1.0
2004-01-31,536.2,4403040.0,73848.5165,27.5647,2.8847,1.0
2004-02-29,742.35,5969207.0,113449.6365,38.1624,3.9937,1.0
2004-03-31,766.8,5048429.0,117186.2077,39.4193,4.1252,1.0
2004-04-30,724.8,2318165.0,114463.821,37.2602,3.8993,1.0
2004-05-31,486.05,4161575.0,76759.2994,24.9866,2.6149,6.0
2004-06-30,566.5,5474892.0,89464.3413,29.1224,3.0477,6.0
2004-07-31,583.25,2017117.0,107522.3102,29.9835,3.1378,2.2
2004-08-31,653.1,960027.0,121051.6904,33.5743,3.5136,2.2
2004-09-30,632.5,1057566.0,117358.2923,32.5153,3.4027,2.2
2004-10-31,626.65,1248246.0,116272.844,32.2145,3.3713,4.4
2004-11-30,560.65,3543913.0,104026.7614,28.8216,3.0162,4.4
2004-12-31,524.4,4375504.0,97314.2721,26.9581,2.8212,4.4
2005-01-31,552.95,9104392.0,102612.5386,28.4258,2.9748,4.4
2005-02-28,564.55,5980966.0,104765.1844,29.0221,3.0372,4.4
2005-03-31,529.9,6691168.0,98335.0832,27.2409,2.8508,4.4
2005-04-30,480.55,5599330.0,89177.0602,24.7039,2.5853,4.4
2005-05-31,516.55,6423174.0,95857.6297,26.5546,2.7789,4.8
2005-06-30,632.3,47097026.0,123502.6738,32.505,3.4017,4.8
2005-07-31,607.1,16689301.0,118580.5365,31.2095,3.2661,2.4
2005-08-31,570.1,17432861.0,111353.589,29.3074,3.067,2.4
2005-09-30,580.65,12046200.0,115908.2515,29.8498,3.1238,2.4
2005-10-31,515.75,11608510.0,104132.1962,26.5134,2.7746,2.4
2005-11-30,587.55,15114282.0,118628.9324,30.2045,3.1609,2.4
2005-12-31,604.95,28226114.0,122142.069,31.099,3.2545,2.4
2006-01-31,636.0,17023937.0,128411.2007,32.6952,3.4216,2.4
2006-02-28,620.25,12534536.0,125231.2064,31.8855,3.3368,2.4
2006-03-31,611.7,23073923.0,123504.9237,31.446,3.2908,2.4
2006-04-30,615.45,18415265.0,123030.4484,31.6388,3.311,2.4
2006-05-31,492.55,13356446.0,99448.014,25.3208,2.6498,5.0
2006-06-30,453.5,20296416.0,96287.2548,23.3133,2.4397,5.0
2006-07-31,452.75,7951794.0,96128.0629,23.2748,2.4357,5.0
2006-08-31,438.45,12653934.0,93447.0246,22.5396,2.3588,5.0
2006-09-30,484.65,22857015.0,103293.6491,24.9147,2.6073,3.8
2006-10-31,482.5,18476079.0,102835.4188,24.8041,2.5958,3.8
2006-11-30,528.55,26969098.0,112650.0738,27.1715,2.8435,3.8
2006-12-31,520.05,17496591.0,110838.4654,26.7345,2.7978,3.8
2007-01-31,513.5,14801497.0,109442.4612,26.3978,2.7625,3.8
2007-02-28,479.65,18386265.0,102227.9971,24.6576,2.5804,3.8
2007-03-31,494.2,14167175.0,112939.7215,12.7577,1.1846,3.8
2007-04-30,509.75,12516613.0,116493.3691,13.1591,1.2218,3.8
2007-05-31,538.15,39948659.0,122983.6323,13.8923,1.2899,3.8
2007-06-30,613.55,22386593.0,140214.8242,15.8387,1.4706,5.3
2007-07-31,793.8,92974529.0,181407.428,20.4918,1.9027,5.3
2007-08-31,779.4,74176360.0,178116.5903,20.1201,1.8682,5.3
2007-09-30,1205.5,104147253.0,275492.9135,31.1198,2.8895,5.3
2007-10-31,1865.8,230095079.0,426391.2717,48.1654,4.4722,5.3
2007-11-30,1734.05,113813775.0,405958.4466,44.7643,4.1564,5.3
2007-12-31,2135.45,71214205.0,504505.8299,55.1264,5.1185,5.3
2008-01-31,1978.1,113371869.0,467827.3809,51.0644,4.7413,5.3
2008-02-29,1569.4,86586036.0,371210.8027,40.5139,3.7617,5.3
2008-03-31,1250.85,73479638.0,295864.0452,24.5795,1.8013,5.3
2008-04-30,1430.55,63443968.0,338368.0045,28.1106,2.0601,5.3
2008-05-31,1230.25,49847770.0,290991.031,24.1747,1.7717,5.3
2008-06-30,783.55,58615073.0,185333.0805,15.3969,1.1284,5.3
2008-07-31,965.1,149616924.0,223874.5427,18.9644,1.3898,6.3
2008-08-31,991.75,77664140.0,230056.5514,19.4881,1.4282,6.3
2008-09-30,790.25,97866382.0,183314.5346,15.5286,1.138,6.3
2008-10-31,457.5,102042973.0,106126.2756,8.99,0.6588,6.3
2008-11-30,503.95,132654841.0,116901.2821,9.9027,0.7257,6.3
2008-12-31,579.5,168955229.0,134426.6157,11.3873,0.8345,6.3
2009-01-31,582.9,138821815.0,135215.3137,11.4541,0.8394,6.3
2009-02-28,491.05,149335699.0,111846.603,9.6492,0.7072,6.3
2009-03-31,515.55,161196831.0,117426.9752,8.7753,0.6896,6.3
2009-04-30,695.2,186374806.0,156607.9085,11.8332,0.9299,6.3
2009-05-31,1272.0,128528329.0,286543.8142,21.6511,1.7014,6.3
2009-06-30,1196.7,90282483.0,269580.947,20.3694,1.6007,6.3
2009-07-31,1205.55,113237440.0,271574.6172,20.52,1.6126,7.0
2009-08-31,1145.75,62397068.0,258103.4396,19.5021,1.5326,7.0
2009-09-30,1221.25,40190423.0,275111.3468,20.7872,1.6336,7.0
2009-10-31,1056.35,47177603.0,237964.2753,17.9804,1.413,7.0
2009-11-30,1047.45,55912572.0,235959.3556,17.8289,1.4011,7.0
2009-12-31,1146.75,37643050.0,258328.7099,19.5191,1.5339,7.0
2010-01-31,1034.2,30076232.0,232974.5242,17.6034,1.3834,7.0
2010-02-28,1003.45,26376432.0,226047.4767,17.08,1.3422,7.0
2010-03-31,999.05,31070097.0,225056.2874,14.8161,1.1816,7.0
2010-04-30,1137.4,29632276.0,256222.4326,16.8679,1.3452,7.0
2010-05-31,1067.35,44210603.0,240442.2485,15.829,1.2624,7.1
2010-06-30,1201.0,54103138.0,294089.2307,17.8111,1.4204,7.1
2010-07-31,1108.6,35530021.0,271463.2149,16.4408,1.3112,7.1
2010-08-31,1001.9,24888726.0,245335.5539,14.8584,1.185,7.1
2010-09-30,1069.1,23830704.0,261790.838,15.855,1.2644,7.1
2010-10-31,1036.0,17621656.0,253685.6311,15.3641,1.2253,7.1
2010-11-30,844.15,20210899.0,206707.264,12.5189,0.9984,7.1
2010-12-31,843.2,24255533.0,206474.6372,12.5048,0.9973,7.1
2011-01-31,707.45,36618205.0,173233.4939,10.4916,0.8367,7.1
2011-02-28,609.8,107124930.0,163072.8917,9.0435,0.7212,7.1
2011-03-31,689.95,65765314.0,184506.6278,11.1193,0.7816,7.1
2011-04-30,660.0,25348085.0,176497.3901,10.6366,0.7476,7.1
2011-05-31,569.05,27939657.0,152175.5149,9.1708,0.6446,7.1
2011-06-30,535.05,36722296.0,143083.2251,8.6229,0.6061,7.1
2011-07-31,540.8,22834542.0,144620.8918,8.7156,0.6126,0.0
2011-08-31,436.35,32582327.0,116688.8427,7.0322,0.4943,0.0
2011-09-30,373.45,37892833.0,99868.1066,6.0185,0.423,7.2
2011-10-31,464.3,26438825.0,124163.2398,7.4827,0.5259,7.2
2011-11-30,404.35,37519690.0,108131.3935,6.5165,0.458,7.2
2011-12-31,340.8,33215526.0,91136.8342,5.4923,0.386,7.2
2012-01-31,535.85,69307386.0,143297.1614,8.6358,0.607,7.2
2012-02-29,593.9,71010408.0,156189.7552,9.5713,0.6728,7.2
2012-03-31,587.25,89530166.0,154440.8718,9.7794,0.637,7.2
2012-04-30,527.7,48970070.0,138779.8178,8.7877,0.5724,7.2
2012-05-31,448.9,53139845.0,118056.2066,7.4754,0.4869,7.2
2012-06-30,558.25,77549415.0,146814.162,9.2964,0.6056,7.2
2012-07-31,494.65,51488451.0,130087.9987,8.2373,0.5366,7.2
2012-08-31,444.1,51574226.0,116793.8547,7.3955,0.4817,7.3
2012-09-30,537.6,54601956.0,141383.4188,8.9525,0.5832,7.3
2012-10-31,469.5,52429073.0,123473.8004,7.8185,0.5093,7.3
2012-11-30,485.3,36581792.0,127629.0423,8.0816,0.5264,7.3
2012-12-31,520.55,40815292.0,136899.4394,8.6686,0.5647,7.3
2013-01-31,515.5,50218463.0,135571.34,8.5845,0.5592,7.3
2013-02-28,419.0,39577032.0,110192.8059,6.9775,0.4545,7.3
2013-03-31,324.45,68941060.0,85327.1023,3.7983,0.3265,7.3
2013-04-30,375.15,86123391.0,98660.6948,4.3918,0.3776,7.3
2013-05-31,361.35,94414834.0,95031.433,4.2303,0.3637,7.3
2013-06-30,349.2,71615702.0,91836.1046,4.088,0.3515,7.3
2013-07-31,341.5,95992409.0,89811.0817,3.9979,0.3437,7.3
2013-08-31,342.3,76230043.0,90021.4737,4.0073,0.3445,7.4
2013-09-30,370.5,74676956.0,97437.7914,4.3374,0.3729,7.4
2013-10-31,431.8,63826924.0,113559.0778,5.055,0.4346,7.4
2013-11-30,430.35,52037345.0,113177.7423,5.038,0.4331,7.4
2013-12-31,425.75,40577109.0,111967.9883,4.9842,0.4285,7.4
2014-01-31,372.4,36134998.0,97937.4724,4.3596,0.3748,7.4
2014-02-28,362.9,26043847.0,95439.0675,4.2484,0.3652,7.4
2014-03-31,433.65,58735201.0,114045.6093,5.9592,0.4295,7.4
2014-04-30,508.6,56709302.0,133756.709,6.9891,0.5037,7.4
2014-05-31,690.8,73065697.0,181673.4853,9.4929,0.6841,7.4
2014-06-30,773.5,80001758.0,203422.7574,10.6294,0.766,7.4
2014-07-31,741.4,67467671.0,194980.7788,10.1883,0.7342,7.4
2014-08-31,699.3,41790482.0,183908.9002,9.6097,0.6926,7.4
2014-09-30,585.45,49587207.0,153967.4898,8.0452,0.5798,7.5
2014-10-31,637.2,40642115.0,167577.2218,8.7564,0.6311,7.5
2014-11-30,609.6,47484785.0,160318.698,8.3771,0.6037,7.5
2014-12-31,512.05,53838294.0,134664.0245,7.0366,0.5071,7.5
2015-01-31,508.25,49598543.0,133664.6625,6.9843,0.5033,7.5
2015-02-28,475.45,59229174.0,125038.5909,6.5336,0.4709,7.5
2015-03-31,433.8,53532429.0,114085.0578,5.9479,0.4235,7.5
2015-04-30,414.5,43064959.0,109009.351,5.6833,0.4047,7.5
