RELI IN Equity,price,volume,mc,pe,bm,div
2015-05-31,409.35,61314846.0,107654.9525,5.6127,0.3996,7.5
2015-06-30,388.45,57501668.0,102158.4617,5.3261,0.3792,7.5
2015-07-31,414.6,51235721.0,109035.65,5.6847,0.4048,7.5
2015-08-31,341.55,55670720.0,89824.2312,4.6831,0.3334,7.5
2015-09-30,347.9,46415833.0,91494.2176,4.7701,0.3396,8.0
2015-10-31,396.45,37315205.0,104262.3816,5.4358,0.387,8.0
2015-11-30,452.05,48399227.0,118884.6251,6.1982,0.4413,8.0
2015-12-31,543.95,79879670.0,143053.4052,7.4582,0.531,8.0
2016-01-31,471.2,164300452.0,123920.8834,6.4607,0.46,8.0
2016-02-29,409.85,100619285.0,107786.4475,5.6196,0.4001,8.0
2016-03-31,533.6,90924088.0,140331.4588,13.0743,0.649,8.0
2016-04-30,538.55,60094613.0,141633.2592,13.1956,0.655,8.0
2016-05-31,538.1,66797775.0,141514.9137,13.1845,0.6545,8.0
2016-06-30,545.75,66556467.0,143526.7872,13.372,0.6638,8.0
2016-07-31,607.1,58010693.0,159661.2231,14.8752,0.7384,8.0
2016-08-31,596.65,61166595.0,156912.9777,14.6191,0.7257,8.0
2016-09-30,551.25,79625894.0,144973.2321,13.5067,0.6705,8.5
2016-10-31,542.0,51247612.0,142540.5747,13.2801,0.6592,8.5
2016-11-30,480.15,48379798.0,126274.6438,11.7646,0.584,8.5
2016-12-31,467.2,45485243.0,122868.9234,11.4473,0.5682,8.5
2017-01-31,514.7,34578505.0,135360.948,12.6112,0.626,8.5
2017-02-28,567.65,43787654.0,149286.268,13.9086,0.6904,8.5
2017-03-31,568.65,52215212.0,149549.2579,10.4685,0.6464,8.5
2017-04-30,596.25,50661773.0,156807.7817,10.9766,0.6778,8.5
2017-05-31,478.9,69199619.0,125945.9063,8.8163,0.5444,8.5
2017-06-30,497.45,48452179.0,130824.3706,9.1578,0.5655,8.5
2017-07-31,528.65,31649571.0,139029.6583,9.7321,0.6009,8.5
2017-08-31,509.25,60777693.0,133927.6525,9.375,0.5789,8.5
2017-09-30,465.05,47589292.0,122303.495,8.5613,0.5286,9.0
2017-10-31,502.75,40398327.0,132218.2176,9.2553,0.5715,9.0
2017-11-30,439.95,55553880.0,115702.4461,8.0992,0.5001,9.0
2017-12-31,553.85,89569363.0,145657.006,10.1961,0.6296,9.0
2018-01-31,496.35,81468441.0,130535.0815,9.1375,0.5642,9.0
2018-02-28,455.6,56805258.0,119818.244,8.3873,0.5179,9.0
2018-03-31,427.5,63883350.0,112428.225,26.2959,0.4685,9.0
2018-04-30,451.2,44499803.0,118661.088,27.7537,0.4944,9.0
2018-05-31,434.75,69297769.0,114334.9025,26.7419,0.4764,9.0
2018-06-30,391.75,44236669.0,103026.3325,24.0969,0.4293,9.0
2018-07-31,398.95,49801435.0,104919.8605,24.5398,0.4372,9.0
2018-08-31,477.95,91858583.0,125696.0705,29.3992,0.5237,9.0
2018-09-30,300.2,106709615.0,78949.598,18.4656,0.329,9.5
2018-10-31,358.65,92981974.0,94321.3635,22.0609,0.393,9.5
2018-11-30,331.3,70902815.0,87128.587,20.3786,0.363,9.5
2018-12-31,316.2,113307716.0,83157.438,19.4498,0.3465,9.5
2019-01-31,268.95,95117040.0,70731.1605,16.5434,0.2947,9.5
2019-02-28,122.8,716941056.0,32295.172,7.5535,0.1346,9.5
2019-03-31,137.0,275375825.0,36029.63,8.3163,0.2565,9.5
2019-04-30,107.9,201246421.0,28376.621,8.3163,0.202,9.5
2019-05-31,104.0,257002675.0,27350.96,8.3163,0.1947,9.5
2019-06-30,55.6,994931549.0,14622.244,8.3163,0.1041,9.5
2019-07-31,47.15,760780623.0,12399.9785,8.3163,0.0883,9.5
2019-08-31,38.85,620651211.0,10217.1615,8.3163,0.0727,9.5
2019-09-30,29.3,339372431.0,7705.607,8.3163,0.0549,9.5
2019-10-31,35.0,122368185.0,9204.65,8.3163,0.0655,0.0
2019-11-30,26.4,115473269.0,6942.936,8.3163,0.0494,0.0
2019-12-31,29.4,74502713.0,7731.906,8.3163,0.055,0.0
2020-01-31,21.85,138417935.0,5746.3315,8.3163,0.0409,0.0
2020-02-29,18.75,99494372.0,4931.0625,8.3163,0.0351,0.0
2020-03-31,10.2,56314436.0,2682.498,0.3479,0.0276,0.0
2020-04-30,22.25,27345562.0,5851.5275,0.7589,0.0603,0.0
2020-05-31,16.75,28927103.0,4405.0825,0.5713,0.0454,0.0
2020-06-30,38.7,75549182.0,10177.713,1.3199,0.1049,0.0
2020-07-31,27.85,150720001.0,7324.2715,0.9499,0.0755,0.0
2020-08-31,28.45,57381162.0,7482.0655,0.9703,0.0771,0.0
2020-09-30,22.5,30475861.0,5917.275,0.7674,0.061,0.0
2020-10-31,20.25,47497914.0,5325.5473,0.6907,0.0549,0.0
2020-11-30,21.35,74560372.0,5614.8363,0.7282,0.0579,0.0
2020-12-31,26.85,122798985.0,7061.2812,0.9158,0.0728,0.0
2021-01-31,27.7,83170088.0,7284.8227,0.9447,0.0751,0.0
2021-02-28,30.85,60126608.0,8113.2412,1.0522,0.0836,0.0
2021-03-31,35.1,117451330.0,9230.9486,0.8203,0.0858,0.0
2021-04-30,42.4,122201714.0,11150.7756,0.9909,0.1036,0.0
2021-05-31,63.35,330177200.0,16660.4159,1.4805,0.1548,0.0
2021-06-30,88.0,248115715.0,23143.1191,2.0566,0.215,0.0
2021-07-31,76.55,37599874.0,20131.8845,1.789,0.1871,0.0
2021-08-31,67.45,24125108.0,17738.6755,1.5763,0.1648,0.0
2021-09-30,102.45,71823556.0,26943.3255,2.3943,0.2504,0.0
2021-10-31,84.75,26663398.0,22288.4025,1.9806,0.2071,0.0
2021-11-30,84.2,18007240.0,22143.758,1.9677,0.2058,0.0
2021-12-31,96.0,33143104.0,25247.04,2.2435,0.2346,0.0
2022-01-31,101.05,52827060.0,26575.1395,2.3615,0.2469,0.0
2022-02-28,104.6,130694482.0,27508.754,2.4445,0.2556,0.0
2022-03-31,112.3,73655174.0,29533.777,2.6829,0.238,0.0
2022-04-30,123.55,74400806.0,32492.4145,2.6829,0.2619,0.0
2022-05-31,107.95,47483606.0,28389.7705,2.6829,0.2288,0.0
2022-06-30,90.6,47163704.0,23826.894,2.6829,0.192,0.0
2022-07-31,117.1,52868697.0,30796.129,2.6829,0.2482,0.0
2022-08-31,162.0,155585357.0,42604.38,2.6829,0.3434,0.0
2022-09-30,136.7,154525137.0,35950.733,2.6829,0.2898,0.0
2022-10-31,141.45,15125581.0,37199.9355,2.6829,0.2998,0.0
2022-11-30,157.7,17482518.0,41473.523,2.6829,0.3343,0.0
2022-12-31,137.7,39503517.0,39546.063,2.6829,0.2919,0.0
2023-01-31,125.1,20914834.0,44008.929,2.6829,0.2652,0.0
2023-02-28,130.7,33286178.0,45978.953,2.6829,0.277,0.0
2023-03-31,144.25,65643100.0,50745.7075,2.6829,0.546,0.0
2023-04-30,157.55,51158416.0,55424.5145,2.6829,0.5964,0.0
2023-05-31,134.7,50433692.0,47386.113,2.6829,0.5099,0.0
2023-06-30,138.25,71761610.0,48634.9675,2.6829,0.5233,0.0
2023-07-31,188.85,147246292.0,66435.5415,2.6829,0.7148,0.0
2023-08-31,186.75,98361052.0,65696.7825,2.6829,0.7069,0.0
2023-09-30,173.3,19203892.0,68649.5359,2.6829,0.656,0.0
2023-10-31,169.25,14802608.0,67045.2046,2.6829,0.6407,0.0
2023-11-30,189.75,36291330.0,75165.8941,2.6829,0.7183,0.0
2023-12-31,209.8,74964362.0,83108.3245,2.6829,0.7942,0.0
2024-01-31,231.05,92948217.0,91526.1124,2.6829,0.8746,0.0
2024-02-29,220.9,81100688.0,87505.3808,2.6829,0.8362,0.0
2024-03-31,270.95,134222390.0,107331.747,2.6829,1.227,0.0
2024-04-30,177.9,158086937.0,70471.7394,2.6829,0.8056,0.0
2024-05-31,166.35,62942334.0,65896.4241,2.6829,0.7533,0.0
2024-06-30,199.93,134283403.0,79198.5096,2.6829,0.9054,0.0
2024-07-31,207.17,96112674.0,82066.4995,2.6829,0.9382,0.0
2024-08-31,209.21,276963406.0,82874.6071,2.6829,0.9474,0.0
2024-09-30,336.13,403355704.0,133151.5782,2.6829,1.5222,0.0
2024-10-31,280.5,81112737.0,111114.7999,2.6829,1.2703,0.0
2024-11-30,279.1,31131102.0,110560.2162,2.6829,1.2639,0.0
2024-12-31,304.15,28674144.0,120483.3027,2.6829,1.3774,0.0
2025-01-31,250.6,75349543.0,99270.4772,2.6829,1.1349,0.0
2025-02-28,211.95,90047724.0,83960.0066,2.6829,0.9598,0.0
2025-03-31,258.64,122293325.0,102455.372,2.0751,0.71,0.0
2025-04-30,254.55,91266162.0,100835.1954,2.0423,0.6988,0.0
2025-05-31,330.5,159407099.0,130921.3596,2.6516,0.9073,0.0
2025-06-30,409.65,149977910.0,162275.1436,3.2867,1.1246,0.0
2025-07-31,328.1,48570925.0,129970.6448,2.6324,0.9007,0.0
2025-08-31,265.15,41056233.0,108348.5611,2.1273,0.7279,0.0
2025-09-30,242.1,31099553.0,98929.6121,1.9424,0.6646,0.0
2025-10-31,215.96,32958930.0,88247.9927,1.7327,0.5928,0.0
2025-11-30,171.92,40970062.0,70251.8749,1.3793,0.4719,0.0
2025-12-31,164.54,26409816.0,67236.1767,1.3201,0.4517,0.0
2026-01-31,134.04,294440.0,54772.9252,1.0754,0.368,0.0
2026-02-28,90.38,42758319.0,36932.0873,0.7251,0.2481,0.0
2026-03-31,90.45,7501980.0,36960.6903,0.7257,0.2483,0.0
