OBER IN Equity,price,volume,mc,pe,bm,div
2010-10-31,279.05,91169716.0,91593.5043,17.5811,4.4068,0.0
2010-11-30,269.6,8104271.0,88491.6995,16.9857,4.2575,0.0
2010-12-31,255.65,3826774.0,83912.8449,16.1068,4.0372,0.0
2011-01-31,247.55,1164052.0,81254.1551,15.5965,3.9093,0.0
2011-02-28,218.55,1812826.0,71735.3892,13.7694,3.4514,0.0
2011-03-31,254.6,1328512.0,83568.1999,15.0829,2.4964,0.0
2011-04-30,255.2,1013435.0,83765.1399,15.1185,2.5023,0.0
2011-05-31,223.9,899686.0,73491.4374,13.2642,2.1954,0.0
2011-06-30,240.15,1160572.0,78825.2286,14.2269,2.3547,1.0
2011-07-31,238.45,607923.0,78267.232,14.1262,2.338,1.0
2011-08-31,224.1,2002234.0,73557.0841,13.2761,2.1973,1.0
2011-09-30,231.55,1171449.0,76002.4222,13.7174,2.2704,1.0
2011-10-31,234.25,1030582.0,76888.6521,13.8774,2.2968,1.0
2011-11-30,220.3,612278.0,72309.7975,13.0509,2.1601,1.0
2011-12-31,209.8,688159.0,68863.3478,12.4289,2.0571,1.0
2012-01-31,251.95,922768.0,82698.3817,14.9259,2.4704,1.0
2012-02-29,284.1,3864470.0,93251.0825,16.8306,2.7856,1.0
2012-03-31,269.65,2765312.0,88508.1112,19.1241,2.3702,1.0
2012-04-30,273.35,1049548.0,89722.5744,19.3865,2.4028,1.0
2012-05-31,257.95,2612063.0,84667.7815,18.2943,2.2674,1.0
2012-06-30,243.4,1319329.0,79891.9869,17.2624,2.1395,2.0
2012-07-31,231.25,2500449.0,75903.9522,16.4007,2.0327,2.0
2012-08-31,228.75,752768.0,75083.3689,16.2234,2.0107,2.0
2012-09-30,264.9,4218507.0,86949.003,18.7872,2.3285,2.0
2012-10-31,273.05,2189139.0,89624.1044,19.3652,2.4001,2.0
2012-11-30,285.55,1719669.0,93727.0208,20.2518,2.51,2.0
2012-12-31,288.15,2123373.0,94580.4274,20.4362,2.5329,2.0
2013-01-31,291.25,3278196.0,95597.9506,20.656,2.5601,2.0
2013-02-28,275.6,1249448.0,90461.0994,19.5461,2.4225,2.0
2013-03-31,257.65,1329370.0,84569.3115,16.7523,2.0319,2.0
2013-04-30,243.9,1153761.0,80056.1035,15.8583,1.9234,2.0
2013-05-31,233.6,2543943.0,76675.3005,15.1886,1.8422,2.0
2013-06-30,197.85,3932644.0,64940.9477,12.8641,1.5603,2.0
2013-07-31,199.3,1889572.0,65416.8859,12.9584,1.5717,2.0
2013-08-31,166.5,3690487.0,54650.8354,10.8257,1.313,2.0
2013-09-30,169.1,3543767.0,55504.2419,10.9948,1.3336,2.0
2013-10-31,188.1,4873347.0,61740.6735,12.2302,1.4834,2.0
2013-11-30,192.95,2273470.0,63332.6048,12.5455,1.5216,2.0
2013-12-31,234.1,5671862.0,76839.4029,15.2211,1.8462,2.0
2014-01-31,203.8,7520429.0,66893.9355,13.251,1.6072,2.0
2014-02-28,189.6,1057499.0,62233.0234,12.3277,1.4952,2.0
2014-03-31,215.85,5808966.0,70849.1461,22.769,1.6115,2.0
2014-04-30,206.6,3181090.0,67812.9886,21.7932,1.5425,2.0
2014-05-31,239.8,30817286.0,78710.3324,25.2954,1.7903,2.0
2014-06-30,259.4,8447760.0,85143.704,27.3629,1.9367,2.0
2014-07-31,260.0,6450377.0,85340.6439,27.4262,1.9412,2.0
2014-08-31,236.8,2662144.0,77725.6326,24.9789,1.7679,2.0
2014-09-30,218.0,8490250.0,71554.8476,22.9958,1.6276,2.0
2014-10-31,245.3,4589495.0,80515.6152,25.8755,1.8314,2.0
2014-11-30,264.0,7731445.0,86653.5769,27.8481,1.971,2.0
2014-12-31,280.2,4786916.0,91970.9555,29.557,2.092,2.0
2015-01-31,283.25,9196652.0,92972.0669,29.8787,2.1147,2.0
2015-02-28,321.65,21128083.0,105576.145,33.9293,2.4014,2.0
2015-03-31,284.35,11350935.0,93334.4685,29.4358,2.014,2.0
2015-04-30,269.0,5369294.0,88296.188,27.8468,1.9053,2.0
2015-05-31,306.65,9575164.0,100663.5991,31.7443,2.1719,2.0
2015-06-30,272.1,4680568.0,89323.85,28.1677,1.9272,2.0
2015-07-31,263.15,5529797.0,89280.4315,27.2412,1.8638,2.0
2015-08-31,224.85,8697849.0,76286.1676,23.2764,1.5926,2.0
