BJFIN IN Equity,price,volume,mc,pe,bm,div
2009-03-31,16.61,8297088.0,24458.746,34.5,1.1714,0.0982
2009-04-30,21.44,5326648.0,31569.9402,44.5306,1.512,0.0982
2009-05-31,35.76,11050685.0,52664.7948,74.2857,2.5223,0.0982
2009-06-30,38.89,12921125.0,57265.7302,80.7755,2.7427,0.0982
2009-07-31,33.33,6025636.0,49083.8781,69.2347,2.3508,0.0982
2009-08-31,27.44,7113136.0,40410.1022,57.0,1.9354,0.0982
2009-09-30,27.36,20041986.0,40287.1212,56.8265,1.9295,0.0982
2009-10-31,30.6,42977839.0,45068.9109,63.5714,2.1585,0.0982
2009-11-30,30.56,25062262.0,45011.0375,63.4898,2.1558,0.0982
2009-12-31,33.95,39449222.0,50002.6184,70.5306,2.3948,0.0982
2010-01-31,31.3,24480938.0,46096.1638,65.0204,2.2077,0.0982
2010-02-28,34.1,42686266.0,50219.6436,70.8367,2.4052,0.0982
2010-03-31,33.03,69754434.0,48635.3593,8.6995,1.8525,0.0982
2010-04-30,33.79,67840918.0,49763.8906,8.9014,1.8955,0.0982
2010-05-31,43.33,543960817.0,63805.4245,11.4131,2.4303,0.0982
2010-06-30,42.95,155466582.0,63248.393,11.3134,2.4091,0.0982
2010-07-31,42.27,44503890.0,62250.0768,11.1349,2.3711,0.0982
2010-08-31,47.12,75831603.0,69397.4418,12.4133,2.6433,0.0982
2010-09-30,52.5,112851005.0,77311.6294,13.829,2.9448,0.0982
2010-10-31,46.2,19347365.0,68030.1827,12.1688,2.5913,0.0982
2010-11-30,46.38,12174960.0,68305.0814,12.2179,2.6017,0.0982
2010-12-31,45.47,24250232.0,66966.759,11.9785,2.5508,0.0982
2011-01-31,40.16,14052077.0,59146.6157,10.5797,2.2529,0.0982
2011-02-28,42.52,11229042.0,62619.0198,11.2008,2.3852,0.0982
2011-03-31,51.51,387083221.0,75857.5602,6.8043,1.8883,0.0982
2011-04-30,51.92,76470466.0,76465.2309,6.8589,1.9034,0.0982
2011-05-31,50.93,44164885.0,75003.9275,6.7278,1.867,0.0982
2011-06-30,50.52,87403559.0,74403.491,6.6739,1.8521,0.1228
2011-07-31,52.63,47775766.0,77506.9521,6.9523,1.9293,0.1228
2011-08-31,52.76,54907213.0,77695.0407,6.9692,1.934,0.1228
2011-09-30,51.52,69992590.0,75872.0286,6.8056,1.8886,0.1228
2011-10-31,53.24,28921609.0,78403.9898,7.0328,1.9517,0.1228
2011-11-30,41.66,19054805.0,61345.8049,5.5027,1.527,0.1228
2011-12-31,42.17,20226940.0,62105.3933,5.5708,1.5459,0.1228
2012-01-31,44.13,17799828.0,64991.8292,5.8297,1.6178,0.1228
2012-02-29,63.06,62621348.0,92865.1059,8.3299,2.3116,0.1228
2012-03-31,60.08,30536641.0,88473.9616,6.6137,1.6605,0.1228
2012-04-30,71.89,40181493.0,105864.9186,7.9137,1.9869,0.1228
2012-05-31,64.42,26624599.0,94868.9724,7.0917,1.7805,0.1228
2012-06-30,67.23,14019913.0,99014.1547,7.4016,1.8583,0.1228
2012-07-31,73.15,37655354.0,107731.3357,8.0532,2.022,0.1474
2012-08-31,78.22,67838984.0,115197.0044,8.6113,2.1621,0.1474
2012-09-30,87.36,40116408.0,139035.1009,9.6171,2.4146,0.1474
2012-10-31,85.16,55907270.0,135500.6848,9.3743,2.3536,0.1474
2012-11-30,88.22,18966290.0,140377.7866,9.7117,2.4384,0.1474
2012-12-31,90.35,62297750.0,143775.0499,9.9468,2.4974,0.1474
2013-01-31,85.2,23399460.0,135572.2899,9.3793,2.3549,0.1474
2013-02-28,81.02,29989030.0,128920.9733,8.9191,2.2394,0.1474
2013-03-31,77.16,9570820.0,122770.8924,7.4931,1.5393,0.1474
2013-04-30,74.19,9137320.0,118052.913,7.2051,1.4802,0.1474
2013-05-31,66.3,21327640.0,105490.1991,6.4384,1.3227,0.1474
2013-06-30,64.25,20806870.0,102236.1066,6.2398,1.2819,0.1474
2013-07-31,58.96,22953650.0,93818.5346,5.726,1.1763,0.15
2013-08-31,59.01,7254560.0,93898.0958,5.7309,1.1773,0.15
2013-09-30,60.55,9203580.0,96340.6238,5.88,1.208,0.15
2013-10-31,63.81,12712360.0,101535.9683,6.1971,1.2731,0.15
2013-11-30,73.24,9590070.0,116541.2055,7.1129,1.4612,0.15
2013-12-31,74.27,6502360.0,118180.1656,7.2129,1.4818,0.15
2014-01-31,68.02,7477230.0,108227.0629,6.6054,1.357,0.15
2014-02-28,72.21,5356700.0,114902.2453,7.0128,1.4407,0.15
2014-03-31,78.8,7932810.0,125396.364,8.1209,1.3206,0.15
2014-04-30,83.22,7120130.0,132413.6594,8.5753,1.3945,0.15
2014-05-31,85.2,40966770.0,135572.2379,8.7799,1.4278,0.15
2014-06-30,93.48,14831630.0,148739.612,9.6326,1.5665,0.15
2014-07-31,94.43,23334220.0,150251.2742,9.7305,1.5824,0.175
2014-08-31,105.33,23661690.0,167603.5759,10.8543,1.7652,0.175
2014-09-30,112.97,15762340.0,179752.557,11.6411,1.8931,0.175
2014-10-31,106.84,7430030.0,170001.3894,11.0094,1.7904,0.175
2014-11-30,115.06,36421050.0,183089.4357,11.857,1.9282,0.175
