ITI IN Equity,price,volume,mc,pe,bm,div
2016-03-31,24.1,5630968.0,6940.8,6.2358,1.0249,0.0
2016-04-30,25.5,5697096.0,7344.0,6.598,1.0845,0.0
2016-05-31,25.45,6292389.0,7329.6,6.5851,1.0824,0.0
2016-06-30,29.0,17933294.0,8352.0,7.5037,1.2333,0.0
2016-07-31,28.0,23919517.0,8064.0,7.2449,1.1908,0.0
2016-08-31,29.35,11553896.0,8452.8,7.5942,1.2482,0.0
2016-09-30,27.15,5866489.0,7819.2,7.025,1.1547,0.0
2016-10-31,30.7,9144816.0,8841.6,7.9435,1.3056,0.0
2016-11-30,34.05,16754225.0,9806.4,8.8103,1.4481,0.0
2016-12-31,44.95,43516147.0,21576.0,11.6307,1.9117,0.0
2017-01-31,50.75,24344082.0,24360.0,13.1314,2.1583,0.0
2017-02-28,43.45,12281363.0,24332.0,11.2426,1.8479,0.0
2017-03-31,71.25,53469126.0,39900.0,18.4357,3.0302,0.0
2017-04-30,115.15,80452229.0,64484.0,29.7947,4.8972,0.0
2017-05-31,74.45,34507325.0,41692.0,19.2637,3.1663,0.0
2017-06-30,90.25,46211404.0,50540.0,23.3519,3.8382,0.0
2017-07-31,98.75,32994773.0,55300.0,25.5513,4.1997,0.0
2017-08-31,100.35,25143686.0,56196.0,25.9652,4.2677,0.0
2017-09-30,137.2,116453033.0,76832.0,35.5001,5.8349,0.0
2017-10-31,152.4,60792397.0,85344.0,39.433,6.4814,0.0
2017-11-30,141.8,23785070.0,79408.0,36.6903,6.0306,0.0
2017-12-31,137.5,19938133.0,77000.0,35.5777,5.8477,0.0
2018-01-31,118.8,24777649.0,66528.0,30.7391,5.0524,0.0
2018-02-28,117.65,26035857.0,65884.0,30.4416,5.0035,0.0
2018-03-31,113.25,21992849.0,63420.0,35.0619,5.2874,0.0
2018-04-30,121.2,25856094.0,67872.0,37.5232,5.6585,0.0
2018-05-31,92.9,9774738.0,52024.0,28.7616,4.3373,0.0
2018-06-30,79.85,19721837.0,44716.0,24.7214,3.728,0.0
2018-07-31,90.7,29476373.0,50792.0,28.0805,4.2346,0.0
2018-08-31,115.3,44681969.0,64568.0,35.6966,5.3831,0.0
2018-09-30,81.75,23794247.0,45780.0,25.3096,3.8167,0.0
2018-10-31,78.5,15785791.0,43960.0,24.3034,3.665,0.0
2018-11-30,94.85,50172722.0,62601.0,29.3653,4.4283,0.0
2018-12-31,93.8,21932525.0,71288.0,29.0402,4.3793,0.0
2019-01-31,102.55,72765652.0,91987.35,31.7492,4.7878,0.0
2019-02-28,91.2,23242962.0,81806.4,28.2353,4.2579,0.0
2019-03-31,95.8,14879512.0,85932.6,91.0894,4.688,0.0
2019-04-30,90.65,26000528.0,81313.05,86.1926,4.4359,0.0
2019-05-31,94.35,19026166.0,84631.95,89.7107,4.617,0.0
2019-06-30,90.9,13258801.0,81537.3,86.4303,4.4482,0.0
2019-07-31,75.7,15914362.0,67902.9,71.9777,3.7044,0.0
2019-08-31,68.75,14968540.0,61668.75,65.3695,3.3643,0.0
2019-09-30,82.1,25626142.0,73643.7,78.063,4.0175,0.0
2019-10-31,92.0,29852008.0,82524.0,87.4763,4.502,0.0
2019-11-30,91.5,23756652.0,82075.5,87.0008,4.4775,0.0
2019-12-31,92.5,25537229.0,82972.5,87.9517,4.5265,0.0
2020-01-31,85.45,54361086.0,76648.65,81.2483,4.1815,0.0
2020-02-29,71.4,15899537.0,64045.8,67.8892,3.4939,0.0
2020-03-31,62.75,23771301.0,56286.75,38.4806,2.4502,0.0
2020-04-30,86.95,33683490.0,77994.15,53.321,3.3951,0.0
2020-05-31,82.3,14711152.0,76137.3355,50.4694,3.2135,0.0
2020-06-30,104.1,85005137.0,96304.9408,63.838,4.0647,0.0
2020-07-31,128.95,109750494.0,119294.1606,79.077,5.035,0.0
2020-08-31,133.85,49027863.0,123827.2461,82.0818,5.2264,0.0
2020-09-30,124.85,35862001.0,115501.1706,76.5627,4.875,0.0
2020-10-31,118.35,12896274.0,109487.8964,72.5766,4.6211,0.0
2020-11-30,124.2,14951304.0,114899.8456,76.1641,4.8496,0.0
2020-12-31,126.55,26074564.0,117073.8765,77.6052,4.9413,0.0
2021-01-31,121.1,16016530.0,112031.9751,74.263,4.7285,0.0
2021-02-28,126.25,27708020.0,116796.3407,77.4212,4.9296,0.0
2021-03-31,114.95,18192495.0,107308.4518,1149.5,4.3905,0.0
2021-04-30,107.8,6095238.0,100633.7634,1078.0,4.1175,0.0
2021-05-31,122.85,18265589.0,114683.2824,1228.5,4.6923,0.0
2021-06-30,131.45,45531581.0,122711.5789,1314.5,5.0208,0.0
2021-07-31,128.1,27399507.0,119584.2795,1281.0,4.8928,0.0
2021-08-31,114.75,8963578.0,107121.7492,1147.5,4.3829,0.0
2021-09-30,124.5,13123511.0,116223.5972,1245.0,4.7553,0.0
2021-10-31,117.5,17622439.0,109688.9371,1175.0,4.4879,0.0
2021-11-30,110.05,6568767.0,102734.1917,1100.5,4.2034,0.0
2021-12-31,117.75,14842663.0,109922.3178,1177.5,4.4975,0.0
2022-01-31,115.2,5916076.0,107541.8345,1152.0,4.4001,0.0
2022-02-28,94.3,8418504.0,88031.2065,943.0,3.6018,0.0
2022-03-31,96.45,7105055.0,90038.2807,75.3516,3.4359,0.0
2022-04-30,100.65,4631631.0,93959.0768,78.6328,3.5856,0.0
2022-05-31,91.85,19984988.0,85744.0755,71.7578,3.2721,0.0
2022-06-30,100.65,86155329.0,94796.6135,78.6328,3.5856,0.0
2022-07-31,116.75,146526075.0,109960.3043,91.2109,4.1591,0.0
2022-08-31,113.55,27322771.0,106946.403,88.7109,4.0451,0.0
2022-09-30,105.45,24844392.0,99317.4654,82.3828,3.7566,0.0
2022-10-31,106.1,9800771.0,100750.157,82.8906,3.7797,0.0
2022-11-30,114.15,24568564.0,108394.2547,89.1797,4.0665,0.0
2022-12-31,103.6,9405349.0,98376.2137,80.9375,3.6907,0.0
2023-01-31,102.9,13593528.0,97711.5095,80.3906,3.6657,0.0
2023-02-28,94.25,8333132.0,89497.6654,73.6328,3.3576,0.0
2023-03-31,90.15,31606132.0,85604.3983,70.5859,3.6052,0.0
2023-04-30,95.15,15101601.0,90352.285,70.5859,3.8052,0.0
2023-05-31,105.3,62399488.0,99990.4952,70.5859,4.2111,0.0
2023-06-30,107.5,15764017.0,103295.3458,70.5859,4.2991,0.0
2023-07-31,112.5,11189378.0,108099.7805,70.5859,4.499,0.0
2023-08-31,119.85,32826582.0,115162.2995,70.5859,4.7929,0.0
2023-09-30,201.1,271634764.0,193234.3632,70.5859,8.0422,0.0
2023-10-31,269.9,324887189.0,259343.3846,70.5859,10.7936,0.0
2023-11-30,268.3,50365366.0,257805.9655,70.5859,10.7296,0.0
2023-12-31,304.55,111043723.0,292638.117,70.5859,12.1793,0.0
2024-01-31,341.05,143478585.0,327710.4902,70.5859,13.639,0.0
2024-02-29,298.45,60619640.0,286776.7066,70.5859,11.9354,0.0
2024-03-31,252.7,46095634.0,242816.1292,70.5859,13.6079,0.0
2024-04-30,307.0,107057240.0,294992.29,70.5859,16.532,0.0
2024-05-31,297.1,97649483.0,285479.5093,70.5859,15.9988,0.0
2024-06-30,308.9,48604061.0,296817.9751,70.5859,16.6343,0.0
2024-07-31,309.15,60871698.0,297058.1969,70.5859,16.6477,0.0
2024-08-31,304.75,19157761.0,292830.2944,70.5859,16.4108,0.0
2024-09-30,256.35,14225779.0,246323.3666,70.5859,13.8044,0.0
2024-10-31,226.4,14859234.0,217544.8028,70.5859,12.1916,0.0
2024-11-30,286.63,390534060.0,275419.023,70.5859,15.435,0.0
2024-12-31,387.15,535338983.0,372007.378,70.5859,20.848,0.0
2025-01-31,325.05,377008568.0,312336.2992,70.5859,17.5039,0.0
2025-02-28,246.05,5347234.0,236426.2311,70.5859,13.2498,0.0
2025-03-31,249.22,4306003.0,239472.2427,70.5859,14.7406,0.0
2025-04-30,255.34,7320393.0,245352.8707,70.5859,15.1026,0.0
2025-05-31,346.6,44147254.0,333043.4127,70.5859,20.5003,0.0
2025-06-30,336.65,24342582.0,323482.5877,70.5859,19.9118,0.0
2025-07-31,290.55,8234912.0,279185.6998,70.5859,17.1851,0.0
2025-08-31,284.15,21798143.0,273036.0234,70.5859,16.8066,0.0
2025-09-30,301.6,24701869.0,289803.5005,70.5859,17.8387,0.0
2025-10-31,324.7,139732070.0,311999.9888,70.5859,19.205,0.0
2025-11-30,309.4,51815205.0,297298.4186,70.5859,18.3001,0.0
2025-12-31,309.85,51523592.0,297730.8177,70.5859,18.3267,0.0
2026-01-31,288.95,27933196.0,277648.2807,70.5859,17.0905,0.0
2026-02-28,270.3,7597762.0,259727.7393,70.5859,15.9874,0.0
2026-03-31,257.25,1106423.0,247188.1648,70.5859,15.2155,0.0
