FNXC IN Equity,price,volume,mc,pe,bm,div
2002-03-31,27.94,452990.0,4797.0044,7.1071,0.8227,1.5
2002-04-30,32.0,1720730.0,5494.0637,8.1399,0.9423,1.5
2002-05-31,29.94,683640.0,5140.3834,7.6159,0.8816,1.5
2002-06-30,30.81,814790.0,5289.7532,7.8372,0.9073,1.5
2002-07-31,25.85,1104230.0,4438.1733,6.5755,0.7612,1.5
2002-08-31,24.2,735655.0,4154.8857,6.1558,0.7126,1.5
2002-09-30,21.64,291610.0,3715.3606,5.5046,0.6372,1.5
2002-10-31,20.18,459385.0,3464.6939,5.1332,0.5942,1.5
2002-11-30,20.0,320355.0,3433.7898,5.0874,0.5889,1.5
2002-12-31,19.17,532635.0,3291.2875,4.8763,0.5645,1.5
2003-01-31,17.61,596805.0,3023.4519,4.4795,0.5186,1.5
2003-02-28,17.75,286820.0,3047.4885,4.5151,0.5227,1.5
2003-03-31,15.76,800790.0,2705.8264,5.6251,0.4385,1.5
2003-04-30,15.6,316290.0,2678.3561,5.568,0.434,1.5
2003-05-31,16.57,1553035.0,2844.8949,5.9142,0.461,0.6
2003-06-30,21.97,8859655.0,3772.0181,7.8416,0.6113,0.6
2003-07-31,21.11,4394845.0,3624.3652,7.5347,0.5873,0.6
2003-08-31,22.14,4627810.0,3801.2053,7.9023,0.616,0.6
2003-09-30,24.47,6608755.0,4201.2419,8.7339,0.6808,0.6
2003-10-31,25.53,2988140.0,4383.2327,9.1123,0.7103,0.6
2003-11-30,30.68,2965940.0,5267.4336,10.9504,0.8536,0.6
2003-12-31,34.14,4049960.0,5861.4792,12.1854,0.9499,0.6
2004-01-31,27.92,2501410.0,4793.5706,9.9653,0.7768,0.6
2004-02-29,25.3,825070.0,4343.7441,9.0302,0.7039,0.6
2004-03-31,23.51,1445065.0,4036.4199,7.0604,0.6179,0.6
2004-04-30,25.61,802255.0,4396.9679,7.6911,0.6731,0.6
2004-05-31,22.16,1123375.0,3804.6391,6.655,0.5824,0.6
2004-06-30,22.85,492815.0,3494.6789,6.8622,0.6005,0.8
2004-07-31,24.82,1576035.0,3795.9707,7.4538,0.6523,0.8
2004-08-31,26.91,1156530.0,4115.6153,8.0815,0.7072,0.8
2004-09-30,27.86,2379500.0,4260.9083,8.3668,0.7322,0.8
2004-10-31,24.3,1476430.0,3716.4419,7.2977,0.6386,0.8
2004-11-30,28.9,1696325.0,4419.9659,8.6791,0.7595,0.8
2004-12-31,32.2,3432065.0,4924.6679,9.6702,0.8463,0.8
2005-01-31,33.22,5433530.0,5080.6667,9.9765,0.8731,0.8
2005-02-28,36.26,7906680.0,5545.6043,10.8894,0.953,0.8
2005-03-31,35.48,6556545.0,5426.3111,8.7981,0.9436,0.8
2005-04-30,42.95,5691245.0,6568.7516,10.6504,1.1423,0.8
2005-05-31,44.86,7063665.0,6860.866,11.1241,1.1931,0.8
2005-06-30,46.98,4753735.0,7185.0977,11.6498,1.2495,0.9
2005-07-31,52.28,4197340.0,7995.6771,12.964,1.3905,0.9
2005-08-31,55.47,4631120.0,8483.5541,13.755,1.4753,0.9
2005-09-30,54.07,5461985.0,8269.4388,13.4079,1.4381,0.9
2005-10-31,51.87,2286230.0,7932.9719,12.8623,1.3796,0.9
2005-11-30,55.39,2278400.0,8471.3189,13.7352,1.4732,0.9
2005-12-31,62.82,5134150.0,9607.6594,15.5776,1.6708,0.9
2006-01-31,61.58,2501865.0,9418.0145,15.2702,1.6378,0.9
2006-02-28,67.0,5586330.0,10246.9466,16.6142,1.782,0.9
2006-03-31,69.15,2167020.0,10575.7665,20.9965,1.9726,0.9
2006-04-30,69.99,2977200.0,10711.8826,21.2516,1.9966,0.9
2006-05-31,67.74,5223695.0,10360.1218,20.5684,1.9324,0.9
2006-06-30,59.87,2532220.0,9156.4879,18.1788,1.7079,1.2
2006-07-31,58.47,1272035.0,8942.3726,17.7537,1.668,1.2
2006-08-31,69.67,2296805.0,10655.295,21.1544,1.9875,1.2
2006-09-30,73.82,2589700.0,11289.9939,22.4145,2.1058,1.2
2006-10-31,92.13,5698555.0,14090.3162,27.9741,2.6282,1.2
2006-11-30,95.76,3552925.0,14645.4866,29.0763,2.7317,1.2
2006-12-31,100.45,2085810.0,15362.7729,30.5004,2.8655,1.2
2007-01-31,105.65,7924023.0,16158.0371,32.0793,3.0138,1.2
2007-02-28,93.5,2337884.0,14299.8246,28.3901,2.6672,1.2
2007-03-31,87.55,1240542.0,13389.8358,25.2626,2.3734,1.2
2007-04-30,92.8,1131949.0,14192.7671,25.2626,2.3734,1.2
2007-05-31,85.75,2302882.0,13114.545,25.2626,2.3734,1.2
2007-06-30,90.3,1377605.0,13810.4188,25.2626,2.3734,1.4
2007-07-31,90.35,2527812.0,13818.0658,25.2626,2.3734,1.4
2007-08-31,76.9,3372088.0,11761.0322,25.2626,2.3734,1.4
2007-09-30,74.6,6214273.0,11409.2491,25.2626,2.3734,1.4
2007-10-31,83.2,15546640.0,12724.5244,25.2626,2.3734,1.4
2007-11-30,91.35,12136043.0,13970.9772,25.2626,2.3734,1.4
2007-12-31,121.25,16147080.0,18543.8532,25.2626,2.3734,1.4
2008-01-31,98.3,13606178.0,15033.9032,25.2626,2.3734,1.4
2008-02-29,87.95,4281729.0,13450.9846,25.2626,2.3734,1.4
2008-03-31,71.1,3897357.0,10873.9626,25.2626,2.3734,1.4
2008-04-30,68.4,2530076.0,10461.0273,25.2626,2.3734,1.4
2008-05-31,68.15,5649947.0,10422.7925,25.2626,2.3734,1.4
2008-06-30,53.4,1683891.0,8166.9424,25.2626,2.3734,1.4
2008-07-31,52.2,1514823.0,7983.4156,25.2626,2.3734,1.5
2008-08-31,50.75,917178.0,7761.654,25.2626,2.3734,1.5
2008-09-30,41.55,801053.0,6354.6153,25.2626,2.3734,1.5
2008-10-31,23.9,1876354.0,3655.242,25.2626,2.3734,1.5
2008-11-30,20.0,4838616.0,3058.7799,25.2626,2.3734,1.5
2008-12-31,23.2,5408014.0,3548.1847,25.2626,2.3734,1.5
2009-01-31,19.95,2725687.0,3051.133,25.2626,2.3734,1.5
2009-02-28,18.25,1536554.0,2791.1367,25.2626,2.3734,1.5
2009-03-31,19.3,1124252.0,2951.7226,25.2626,0.4951,1.5
2009-04-30,23.75,3428178.0,3632.3011,25.2626,0.6092,1.5
2009-05-31,40.05,4815220.0,6125.2068,25.2626,1.0273,1.5
2009-06-30,32.15,4608513.0,4916.9887,25.2626,0.8247,1.5
2009-07-31,39.55,12782596.0,6048.7373,25.2626,1.0145,1.5
2009-08-31,42.95,13535031.0,6568.7299,25.2626,1.1017,0.2
2009-09-30,49.5,13637918.0,7570.4803,25.2626,1.2698,0.2
2009-10-31,51.15,14170747.0,7822.8296,25.2626,1.3121,0.2
2009-11-30,53.95,7871787.0,8251.0588,25.2626,1.3839,0.2
2009-12-31,59.8,9107481.0,9145.7519,25.2626,1.534,0.2
2010-01-31,52.3,14473046.0,7998.7095,25.2626,1.3416,0.2
2010-02-28,50.7,3355016.0,7754.0071,25.2626,1.3005,0.2
2010-03-31,51.8,4141831.0,7922.24,25.2626,1.3288,0.2
2010-04-30,57.85,9356867.0,8847.5209,25.2626,1.4839,0.2
2010-05-31,49.35,4078709.0,7547.5394,25.2626,1.2659,0.2
2010-06-30,50.95,4486265.0,7792.2418,25.2626,1.3069,0.2
2010-07-31,55.7,10654684.0,8518.702,25.2626,1.4288,0.6
2010-08-31,56.4,14463913.0,8625.7593,25.2626,1.4468,0.6
2010-09-30,57.65,9735120.0,8816.9331,25.2626,1.4788,0.6
2010-10-31,58.8,14356905.0,8992.8129,25.2626,1.5083,0.6
2010-11-30,53.95,5435948.0,8251.0588,25.2626,1.3839,0.6
2010-12-31,53.6,2395239.0,8197.5302,25.2626,1.3749,0.6
2011-01-31,47.7,3135145.0,7295.1901,25.2626,1.2236,0.6
2011-02-28,44.35,1921704.0,6782.8444,25.2626,1.1376,0.6
2011-03-31,47.15,3388998.0,7211.0736,8.2719,1.0051,0.6
2011-04-30,52.45,4152800.0,8021.6503,9.2018,1.118,0.6
2011-05-31,47.55,1919210.0,7272.2492,8.3421,1.0136,0.6
2011-06-30,46.5,2913825.0,7111.6633,8.1579,0.9912,0.6
2011-07-31,45.35,1211405.0,6935.7834,7.9561,0.9667,0.7
2011-08-31,39.95,2035877.0,6109.9129,7.0088,0.8516,0.7
2011-09-30,37.8,1089064.0,5781.094,6.6316,0.8058,0.7
2011-10-31,37.15,1000480.0,5681.6837,6.5175,0.7919,0.7
2011-11-30,28.85,1844235.0,4412.29,5.0614,0.615,0.7
2011-12-31,30.55,4245513.0,4672.2863,5.3596,0.6512,0.7
2012-01-31,33.35,2808734.0,5100.5155,5.8509,0.7109,0.7
2012-02-29,33.4,2474944.0,5108.1624,5.8596,0.712,0.7
2012-03-31,31.05,1462058.0,4748.7558,4.8516,0.5933,0.7
2012-04-30,34.5,2089134.0,5276.3953,5.3906,0.6592,0.7
2012-05-31,36.55,5137835.0,5589.9314,5.7109,0.6984,0.7
2012-06-30,41.55,4379833.0,6354.6279,6.4922,0.7939,0.7
2012-07-31,39.9,3069663.0,6102.2781,6.2344,0.7624,0.8
2012-08-31,36.2,2030033.0,5536.4027,5.6563,0.6917,0.8
2012-09-30,41.2,4052991.0,6301.0992,6.4375,0.7872,0.8
2012-10-31,42.85,9456326.0,6553.449,6.6953,0.8187,0.8
2012-11-30,52.4,14673174.0,8014.0193,8.1875,1.0012,0.8
2012-12-31,57.6,9643052.0,8809.3037,9.0,1.1006,0.8
2013-01-31,58.0,6491023.0,8870.4794,9.0625,1.1082,0.8
2013-02-28,47.25,5464082.0,7226.382,7.3828,0.9028,0.8
2013-03-31,45.6,3085031.0,6974.0321,4.8,0.7545,0.8
2013-04-30,51.55,3911207.0,7884.0209,5.4263,0.853,0.8
2013-05-31,52.45,15354597.0,8021.6663,5.5211,0.8678,0.8
2013-06-30,49.3,3417113.0,7539.9098,5.1895,0.8157,1.2
2013-07-31,54.55,12787837.0,8342.8413,5.7421,0.9026,1.2
2013-08-31,51.6,3970055.0,7891.6703,5.4316,0.8538,1.2
2013-09-30,55.8,6171232.0,8534.0155,5.8737,0.9233,1.2
2013-10-31,60.9,6063990.0,9314.0062,6.4105,1.0077,1.2
2013-11-30,75.4,21422495.0,11531.6267,7.9368,1.2476,1.2
2013-12-31,82.65,15023846.0,12640.437,8.7,1.3675,1.2
2014-01-31,84.75,14944970.0,12961.6096,8.9211,1.4023,1.2
2014-02-28,77.9,10610160.0,11913.9751,8.2,1.2889,1.2
2014-03-31,110.7,21144902.0,16930.3856,8.1397,1.5344,1.2
2014-04-30,136.35,17487821.0,20853.2799,10.0257,1.89,1.2
2014-05-31,149.7,22174901.0,22895.0201,11.0074,2.075,1.2
2014-06-30,179.7,7683595.0,27483.2005,13.2132,2.4908,1.2
2014-07-31,208.8,12227710.0,31933.7355,15.3529,2.8942,1.2
2014-08-31,217.7,8056835.0,33294.8957,16.0074,3.0176,1.6
2014-09-30,213.45,7544073.0,32644.9035,15.6949,2.9587,1.6
2014-10-31,224.15,4493801.0,34281.3545,16.4816,3.107,1.6
2014-11-30,263.25,9038459.0,40261.2829,19.3566,3.6489,1.6
2014-12-31,262.4,7833824.0,40131.2845,19.2941,3.6372,1.6
2015-01-31,253.55,5402407.0,38777.7713,18.6434,3.5145,1.6
2015-02-28,267.65,5328640.0,40934.1221,19.6801,3.7099,1.6
2015-03-31,284.75,7859314.0,43549.4789,21.9038,3.4432,1.6
2015-04-30,269.05,3435552.0,41148.3311,20.6962,3.2533,1.6
2015-05-31,248.1,3568395.0,37944.2518,19.0846,3.0,1.6
2015-06-30,249.55,2703520.0,38166.0139,19.1962,3.0176,1.6
