TTLS IN Equity,price,volume,mc,pe,bm,div
2011-03-31,15.09,52757867.0,32442.0691,65.7692,9.4534,0.0
2011-04-30,16.32,107087573.0,35098.1449,71.1538,9.4534,0.0
2011-05-31,13.72,42534316.0,29501.4137,59.8077,9.4534,0.0
2011-06-30,17.03,126092712.0,36615.9025,74.2308,9.4534,0.0
2011-07-31,19.54,147564668.0,42022.914,85.1923,9.4534,0.0
2011-08-31,16.59,90928267.0,35667.304,72.3077,9.4534,0.0
2011-09-30,15.04,63048023.0,32347.2092,65.5769,9.4534,0.0
2011-10-31,15.57,41603507.0,33485.5274,67.8846,9.4534,0.0
2011-11-30,12.66,46660632.0,27224.7773,55.1923,9.4534,0.0
2011-12-31,10.5,40373304.0,22576.6446,45.7692,9.4534,0.0
2012-01-31,13.94,54309974.0,29975.7129,60.7692,9.4534,0.0
2012-02-29,13.94,72476300.0,29975.7129,60.7692,9.4534,0.0
2012-03-31,12.93,48370461.0,27793.9346,54.4231,9.4534,0.0
2012-04-30,12.18,25077597.0,26181.3172,54.4231,9.4534,0.0
2012-05-31,11.38,19363767.0,24473.84,54.4231,9.4534,0.0
2012-06-30,12.49,35367709.0,26845.3361,54.4231,9.4534,0.0
2012-07-31,11.34,38378675.0,24378.9802,54.4231,9.4534,0.0
2012-08-31,9.4,26043932.0,20205.147,54.4231,9.4534,0.0
2012-09-30,10.41,59897990.0,22386.9234,54.4231,9.4534,0.0
2012-10-31,9.57,30140151.0,20584.5864,54.4231,9.4534,0.0
2012-11-30,10.99,54489613.0,23620.1014,54.4231,9.4534,0.0
2012-12-31,10.54,26779267.0,22671.5029,54.4231,9.4534,0.0
2013-01-31,10.32,55069532.0,22197.2037,54.4231,9.4534,0.0
2013-02-28,8.6,20260644.0,18497.6698,54.4231,9.4534,0.0
2013-03-31,6.93,23377821.0,14892.9957,54.4231,9.4534,0.0
2013-04-30,7.5,17650247.0,16126.1736,54.4231,9.4534,0.0
2013-05-31,6.62,88488919.0,14228.9767,54.4231,9.4534,0.0
2013-06-30,5.56,97685780.0,11952.3405,54.4231,9.4534,0.0
2013-07-31,5.82,36322946.0,12521.4995,54.4231,9.4534,0.0
2013-08-31,5.85,20026066.0,11436.3272,54.4231,9.4534,0.0
2013-09-30,6.8,53956725.0,13293.5086,54.4231,9.4534,0.0
2013-10-31,7.0,58240803.0,13684.4941,54.4231,9.4534,0.0
2013-11-30,6.8,35161939.0,13293.5086,54.4231,9.4534,0.0
2013-12-31,7.4,34742616.0,14466.4652,54.4231,9.4534,0.0
2014-01-31,7.2,80096102.0,14075.4797,54.4231,9.4534,0.0
2014-02-28,7.4,26991045.0,14466.4652,54.4231,9.4534,0.0
2014-03-31,7.4,25827737.0,14466.4652,54.4231,9.4534,0.0
2014-04-30,8.95,101285856.0,17496.6032,54.4231,9.4534,0.0
2014-05-31,11.0,159650648.0,21504.2051,54.4231,9.4534,0.0
2014-06-30,11.85,141658535.0,23165.8937,54.4231,9.4534,0.0
2014-07-31,11.75,143084053.0,22970.4009,54.4231,9.4534,0.0
2014-08-31,11.05,82150871.0,21601.9515,54.4231,9.4534,0.0
2014-09-30,10.05,91229479.0,19647.0237,54.4231,9.4534,0.0
2014-10-31,9.25,29609219.0,18083.0815,54.4231,9.4534,0.0
2014-11-30,8.65,36171138.0,16910.1249,54.4231,9.4534,0.0
2014-12-31,7.6,30947143.0,14857.4508,54.4231,9.4534,0.0
2015-01-31,9.15,118791402.0,17887.5888,54.4231,9.4534,0.0
2015-02-28,8.65,34967073.0,16910.127,54.4231,9.4534,0.0
2015-03-31,7.85,54766995.0,15346.1827,54.4231,9.4534,0.0
2015-04-30,7.6,46866447.0,14857.4508,54.4231,9.4534,0.0
2015-05-31,7.1,22940595.0,13879.9869,54.4231,9.4534,0.0
2015-06-30,6.6,25764056.0,12902.523,54.4231,9.4534,0.0
2015-07-31,7.55,60525413.0,14759.7044,54.4231,9.4534,0.0
2015-08-31,6.5,38209951.0,12707.0303,54.4231,9.4534,0.0
2015-09-30,6.2,31864885.0,12120.552,54.4231,9.4534,0.0
2015-10-31,7.05,49761894.0,13782.2405,54.4231,9.4534,0.0
2015-11-30,6.7,24519987.0,13098.0158,54.4231,9.4534,0.0
2015-12-31,8.2,82411865.0,16030.4074,54.4231,9.4534,0.0
2016-01-31,6.7,27450701.0,13098.0158,54.4231,9.4534,0.0
2016-02-29,5.9,22931809.0,11534.0736,54.4231,9.4534,0.0
2016-03-31,6.6,25163925.0,12902.523,54.4231,9.4534,0.0
2016-04-30,6.8,26450257.0,13293.5086,54.4231,9.4534,0.0
2016-05-31,6.45,24250083.0,12609.2839,54.4231,9.4534,0.0
2016-06-30,6.9,39476153.0,13489.0014,54.4231,9.4534,0.0
2016-07-31,6.8,38491356.0,13293.5086,54.4231,9.4534,0.0
2016-08-31,6.35,31991223.0,12413.7911,54.4231,9.4534,0.0
2016-09-30,5.65,25148879.0,11045.3417,54.4231,9.4534,0.0
2016-10-31,7.2,94644161.0,14075.4797,54.4231,9.4534,0.0
2016-11-30,6.3,46242743.0,12316.0447,54.4231,9.4534,0.0
2016-12-31,6.0,32276994.0,11729.5664,54.4231,9.4534,0.0
2017-01-31,6.05,27670590.0,11827.3128,54.4231,9.4534,0.0
2017-02-28,8.0,140687062.0,15639.4219,54.4231,9.4534,0.0
2017-03-31,7.15,259741359.0,13977.7333,54.4231,9.4534,0.0
2017-04-30,8.25,53768488.0,16128.1538,54.4231,9.4534,0.0
2017-05-31,6.55,104884700.0,12804.7767,54.4231,9.4534,0.0
2017-06-30,6.85,46410504.0,13391.255,54.4231,9.4534,0.0
2017-07-31,7.85,110825640.0,15346.1827,54.4231,9.4534,0.0
2017-08-31,6.7,53881946.0,13098.0158,54.4231,9.4534,0.0
2017-09-30,5.95,46670641.0,11631.82,54.4231,9.4534,0.0
2017-10-31,8.25,167965112.0,16128.1538,54.4231,9.4534,0.0
2017-11-30,7.4,111299503.0,14466.4652,54.4231,9.4534,0.0
2017-12-31,7.05,31635886.0,13782.2405,54.4231,9.4534,0.0
2018-01-31,6.9,35775307.0,13489.0014,54.4231,9.4534,0.0
2018-02-28,6.2,19248476.0,12120.5519,54.4231,9.4534,0.0
2018-03-31,5.55,23248420.0,10849.8489,54.4231,9.4534,0.0
2018-04-30,5.65,24844441.0,11045.3417,54.4231,9.4534,0.0
2018-05-31,5.3,25388423.0,10361.117,54.4231,9.4534,0.0
2018-06-30,4.55,16286610.0,8894.9212,54.4231,9.4534,0.0
2018-07-31,4.95,31774972.0,9676.8922,54.4231,9.4534,0.0
2018-08-31,5.1,23367523.0,9970.1314,54.4231,9.4534,0.0
2018-09-30,4.3,15732082.0,8406.1892,54.4231,9.4534,0.0
2018-10-31,4.0,22617597.0,7819.7109,54.4231,9.4534,0.0
2018-11-30,4.05,16107560.0,7917.4573,54.4231,9.4534,0.0
2018-12-31,4.0,30847429.0,7819.7109,54.4231,9.4534,0.0
2019-01-31,3.6,16408484.0,7037.7398,54.4231,9.4534,0.0
2019-02-28,3.05,25851989.0,5962.5296,54.4231,9.4534,0.0
2019-03-31,3.05,19203851.0,5962.5296,54.4231,9.4534,0.0
2019-04-30,2.9,14669327.0,5669.2904,54.4231,9.4534,0.0
2019-05-31,4.1,33624389.0,8015.2037,54.4231,9.4534,0.0
2019-06-30,3.7,32030990.0,7233.2326,54.4231,9.4534,0.0
2019-07-31,2.95,17989961.0,5767.0368,54.4231,9.4534,0.0
2019-08-31,2.45,16055097.0,4789.5729,54.4231,9.4534,0.0
2019-09-30,2.8,13908753.0,5473.7976,54.4231,9.4534,0.0
2019-10-31,2.7,16342838.0,5278.3049,54.4231,9.4534,0.0
2019-11-30,2.75,29737446.0,5376.0512,54.4231,9.4534,0.0
2019-12-31,2.2,16500538.0,4300.841,54.4231,9.4534,0.0
2020-01-31,2.4,25033580.0,4691.8265,54.4231,9.4534,0.0
2020-02-29,2.65,80836008.0,5180.5585,54.4231,9.4534,0.0
2020-03-31,1.8,17503510.0,3518.8699,54.4231,9.4534,0.0
2020-04-30,2.5,19642651.0,4887.3193,54.4231,9.4534,0.0
2020-05-31,2.7,19342598.0,5278.3049,54.4231,9.4534,0.0
2020-06-30,3.95,93830108.0,7721.9645,54.4231,9.4534,0.0
2020-07-31,3.35,53560384.0,6549.0079,54.4231,9.4534,0.0
2020-08-31,3.55,40772222.0,6939.9934,54.4231,9.4534,0.0
2020-09-30,2.95,29864704.0,5767.0368,54.4231,9.4534,0.0
2020-10-31,7.45,95516467.0,14564.2116,54.4231,9.4534,0.0
2020-11-30,7.3,151455268.0,14270.9725,54.4231,9.4534,0.0
2020-12-31,7.95,70480329.0,15541.6755,54.4231,9.4534,0.0
2021-01-31,17.15,96244189.0,33527.0106,54.4231,9.4534,0.0
2021-02-28,15.75,101213862.0,30790.1118,54.4231,9.4534,0.0
2021-03-31,14.1,57577148.0,27564.481,54.4231,9.4534,0.0
2021-04-30,13.95,63905223.0,27271.2419,54.4231,9.4534,0.0
2021-05-31,15.6,55421100.0,30496.8727,54.4231,9.4534,0.0
2021-06-30,44.6,148385762.0,87189.7769,54.4231,9.4534,0.0
2021-07-31,37.95,114429607.0,74189.5072,54.4231,9.4534,0.0
2021-08-31,36.75,69336858.0,71843.594,54.4231,9.4534,0.0
2021-09-30,35.35,45851042.0,69106.6951,54.4231,9.4534,0.0
2021-10-31,52.6,150898317.0,102829.1984,54.4231,9.4534,0.0
2021-11-30,112.55,313495457.0,220027.1157,54.4231,9.4534,0.0
2021-12-31,206.35,130710130.0,403399.3365,54.4231,9.4534,0.0
2022-01-31,149.2,43842992.0,291675.2169,54.4231,9.4534,0.0
2022-02-28,117.6,65374517.0,229899.5007,54.4231,9.4534,0.0
2022-03-31,166.7,83196959.0,325886.4521,54.4231,9.4534,0.0
2022-04-30,139.7,167343611.0,273103.4035,54.4231,9.4534,0.0
2022-05-31,125.4,144926952.0,245147.937,54.4231,9.4534,0.0
2022-06-30,121.1,154748168.0,236741.7477,54.4231,9.4534,0.0
2022-07-31,107.7,78945871.0,210545.7161,54.4231,9.4534,0.0
2022-08-31,108.45,151269220.0,212011.912,54.4231,9.4534,0.0
2022-09-30,103.4,320568159.0,202139.527,54.4231,9.4534,0.0
2022-10-31,101.95,21484311.0,199304.8818,54.4231,9.4534,0.0
2022-11-30,102.05,23460863.0,199500.3745,54.4231,9.4534,0.0
2022-12-31,92.75,67835604.0,181319.5467,54.4231,9.4534,0.0
2023-01-31,79.25,35848122.0,154928.0224,54.4231,9.4534,0.0
2023-02-28,56.05,127250707.0,109573.6991,54.4231,9.4534,0.0
2023-03-31,55.45,59539490.0,108400.7425,54.4231,9.4534,0.0
2023-04-30,61.25,57746092.0,119739.3233,54.4231,9.4534,0.0
2023-05-31,61.45,60357991.0,120130.3088,54.4231,9.4534,0.0
2023-06-30,71.15,181315194.0,139093.1078,54.4231,9.4534,0.0
2023-07-31,79.1,203141456.0,154634.7832,54.4231,9.4534,0.0
2023-08-31,87.75,194676045.0,171544.908,54.4231,9.4534,0.0
2023-09-30,99.45,252031032.0,194417.5625,54.4231,9.4534,0.0
2023-10-31,86.05,93292442.0,168221.5309,54.4231,9.4534,0.0
2023-11-30,95.2,100385089.0,186109.1196,54.4231,9.4534,0.0
2023-12-31,91.65,135571186.0,179169.1262,54.4231,9.4534,0.0
2024-01-31,92.7,205817225.0,181221.8003,54.4231,9.4534,0.0
2024-02-29,87.45,277575081.0,170958.4297,54.4231,9.4534,0.0
2024-03-31,74.0,118454862.0,144664.6518,54.4231,9.4534,0.0
