GICRE IN Equity,price,volume,mc,pe,bm,div
2020-09-30,120.9,5619105.0,212106.96,3749.6511,1.0914,0.0
2020-10-31,117.85,3587637.0,206756.04,3655.0569,1.0914,0.0
2020-11-30,140.95,11517654.0,247282.68,4371.4915,1.0914,0.0
2020-12-31,139.1,15563284.0,244037.04,12.3702,0.9791,0.0
2021-01-31,131.9,13160050.0,231405.36,11.7299,0.9284,0.0
2021-02-28,189.05,48521918.0,331669.32,16.8123,1.3307,0.0
2021-03-31,199.4,41244407.0,349827.36,17.5683,1.3325,0.0
2021-04-30,204.75,15928880.0,359213.4,18.0396,1.3683,0.0
2021-05-31,196.8,13191569.0,345265.92,17.3392,1.3152,0.0
2021-06-30,208.5,25256125.0,365792.4,25.2727,1.4407,0.0
2021-07-31,180.5,19586736.0,316669.2,21.8788,1.2472,0.0
2021-08-31,148.25,40848144.0,260089.8,17.9697,1.0244,0.0
2021-09-30,145.05,28524740.0,254475.72,9.9146,0.9543,0.0
2021-10-31,133.3,18476658.0,233861.52,9.1114,0.877,0.0
2021-11-30,141.75,22166454.0,248686.2,9.689,0.9326,0.0
2021-12-31,140.8,14331964.0,247019.52,13.9017,0.9237,0.0
2022-01-31,142.9,14305743.0,250703.76,14.109,0.9374,0.0
2022-02-28,116.2,12355266.0,203861.28,11.4729,0.7623,0.0
2022-03-31,113.85,23552258.0,199738.44,8.3724,0.6929,0.0
2022-04-30,130.15,22765641.0,228335.16,9.5711,0.7921,0.0
2022-05-31,119.5,27401029.0,209650.8,8.7879,0.7273,0.0
2022-06-30,115.2,17156311.0,202106.88,4.8632,0.6963,2.25
2022-07-31,116.3,2867255.0,204036.72,4.9096,0.703,2.25
2022-08-31,124.1,7578364.0,217721.04,5.2389,0.7501,2.25
2022-09-30,122.95,7184892.0,215703.48,4.2932,0.6938,2.25
2022-10-31,123.75,2654510.0,217107.0,4.3211,0.6983,2.25
2022-11-30,148.95,25073316.0,261317.88,5.2011,0.8405,2.25
2022-12-31,178.75,169844701.0,313599.0,5.1291,0.9477,2.25
2023-01-31,184.15,100098211.0,323072.76,5.2841,0.9477,2.25
2023-02-28,145.7,51841525.0,255616.08,4.1808,0.9477,2.25
2023-03-31,133.65,17136610.0,234475.56,3.3947,0.6514,2.25
2023-04-30,153.5,8489322.0,269300.4,3.8989,0.7481,2.25
2023-05-31,184.45,57931714.0,323599.08,4.685,0.899,2.25
2023-06-30,182.65,17626481.0,320441.16,4.4789,0.874,2.25
2023-07-31,205.25,26820826.0,360090.6,5.0331,0.9821,2.25
2023-08-31,217.6,29759619.0,381757.44,5.3359,1.0412,0.0
2023-09-30,225.4,24208791.0,395441.76,5.1995,0.6767,7.2
2023-10-31,228.05,14473449.0,400090.92,5.2607,0.6847,7.2
2023-11-30,319.55,93943440.0,560618.52,7.3714,0.9594,7.2
2023-12-31,308.05,48397563.0,540442.92,5.1574,0.9425,7.2
2024-01-31,376.75,63394047.0,660970.2,6.3076,0.9425,7.2
2024-02-29,380.1,147330675.0,666847.44,6.3636,0.9425,7.2
2024-03-31,329.75,44814026.0,578513.4,5.6004,1.3796,7.2
2024-04-30,345.9,32046623.0,606846.96,5.8747,1.4471,7.2
2024-05-31,356.1,38220442.0,624741.84,6.0479,1.4898,7.2
2024-06-30,378.75,46117321.0,664479.0,6.1796,1.5358,7.2
2024-07-31,429.95,95491777.0,754304.28,7.015,1.7435,7.2
2024-08-31,408.8,39354802.0,717198.72,6.6699,1.6577,7.2
2024-09-30,395.6,44275306.0,694040.64,6.1191,0.8963,10.0
2024-10-31,369.2,13478413.0,647724.48,5.7108,0.8365,10.0
2024-11-30,399.6,11871581.0,701058.24,6.181,0.9054,10.0
2024-12-31,444.25,116065445.0,779392.2,8.7434,1.722,10.0
2025-01-31,411.45,41342060.0,721847.88,8.0978,1.5948,10.0
2025-02-28,368.9,18584476.0,647198.16,7.2604,1.4299,10.0
2025-03-31,421.1,18071859.0,738777.84,8.3651,1.5183,10.0
2025-04-30,417.15,19544397.0,731847.96,8.2867,1.504,10.0
2025-05-31,411.6,17870661.0,722111.04,8.1764,1.484,10.0
2025-06-30,385.15,22342042.0,675707.16,6.7832,1.3023,10.0
2025-07-31,392.15,18568413.0,687987.96,6.9065,1.3259,10.0
2025-08-31,363.65,20705407.0,637987.56,6.4045,1.2296,10.0
2025-09-30,368.65,17277933.0,646759.56,6.7518,1.2032,10.0
2025-10-31,374.2,16371638.0,656496.48,6.8535,1.2213,10.0
2025-11-30,387.2,12813082.0,679303.68,7.0916,1.2637,10.0
2025-12-31,380.8,10829208.0,668075.52,6.9388,1.195,10.0
2026-01-31,378.05,9701829.0,663250.92,6.8887,1.1864,10.0
2026-02-28,383.05,10785281.0,672022.92,6.9798,1.202,10.0
2026-03-31,367.05,1010168.0,643952.4986,6.6882,1.1518,10.0
