ITCHOTEL IN Equity,price,volume,mc,pe,bm,div
2025-03-31,197.51,238573261.0,411052.0921,64.7574,3.8445,0.0
2025-04-30,194.43,189048960.0,404642.0853,63.7475,3.7845,0.0
2025-05-31,216.47,153747561.0,450511.095,70.9738,4.2135,0.0
2025-06-30,222.39,85808313.0,462831.6276,72.9148,4.3288,0.0
2025-07-31,230.45,132949993.0,479831.5892,75.5574,4.4856,0.0
2025-08-31,238.42,54302199.0,496520.7823,78.1705,4.6408,0.0
2025-09-30,227.27,65382757.0,473339.6808,74.5148,4.4237,0.0
2025-10-31,216.88,69890821.0,451702.0699,71.1082,4.2215,0.0
2025-11-30,208.7,38124596.0,434670.1395,68.4262,4.0623,0.0
2025-12-31,197.43,70167908.0,411217.7839,64.7311,3.8429,0.0
2026-01-31,180.76,62492466.0,376501.9108,59.2656,3.5184,0.0
2026-02-28,176.06,57041171.0,366712.3613,57.7246,3.427,0.0
2026-03-31,166.8,22999838.0,347424.8721,54.6885,3.2467,0.0
