TIINDIA IN Equity,price,volume,mc,pe,bm,div
2023-12-31,3541.65,8600487.0,684857.5553,79.6055,17.3131,3.5
2024-01-31,3898.05,5653133.0,753793.1954,87.6163,19.0554,3.5
2024-02-29,3488.65,4074359.0,674649.0742,78.4143,17.054,3.5
2024-03-31,3736.6,3714197.0,722655.9589,80.7041,14.1563,3.5
2024-04-30,3742.6,4076188.0,723827.1336,80.8337,14.179,3.5
2024-05-31,3576.85,6366217.0,691782.663,77.2538,13.5511,3.5
2024-06-30,4259.25,7014562.0,823806.5699,91.9924,16.1364,3.5
2024-07-31,4138.55,7856871.0,800461.2736,89.3855,15.6791,3.5
2024-08-31,4030.8,3499601.0,779634.4177,87.0583,15.2709,3.5
2024-09-30,4336.05,7618259.0,838675.6517,93.6512,16.4274,3.5
2024-10-31,4481.95,5131286.0,866895.5241,96.8024,16.9801,3.5
2024-11-30,3590.55,6837731.0,694481.5814,77.5497,13.603,3.5
2024-12-31,3576.25,4627931.0,691904.8766,77.2408,13.5488,3.5
2025-01-31,3322.1,5151990.0,642749.0049,71.7516,12.586,3.5
2025-02-28,2462.15,6077939.0,476368.7012,53.1782,9.328,3.5
2025-03-31,2769.35,12632848.0,535852.3015,79.5105,9.6799,3.5
2025-04-30,2898.6,10726331.0,560861.3867,83.2214,10.1317,3.5
2025-05-31,3062.1,7523678.0,592497.6375,87.9156,10.7032,3.5
2025-06-30,3109.0,6965688.0,601572.5009,89.2621,10.8671,3.5
2025-07-31,2840.7,6781310.0,549658.0905,81.559,9.9293,3.5
2025-08-31,2961.6,7345786.0,573063.351,85.0301,10.3519,3.5
2025-09-30,3096.7,8777245.0,599204.916,88.909,10.8241,3.5
2025-10-31,3023.0,5226603.0,584944.1215,86.793,10.5665,3.5
2025-11-30,2784.4,6551666.0,538806.0419,79.9426,9.7325,3.5
2025-12-31,2614.1,8586178.0,505851.4848,75.0531,9.1372,3.5
2026-01-31,2335.1,9749371.0,451864.4304,67.0428,8.162,3.5
2026-02-28,2753.4,17257197.0,532837.0594,79.0525,9.6241,3.5
2026-03-31,2779.4,3694876.0,537868.5519,79.799,9.715,3.5
