TIINDIA IN Equity,price,volume,mc,pe,bm,div
2017-11-30,258.9,3689628.0,48541.3132,28.9597,4.0864,2.0
2017-12-31,269.55,3695479.0,50538.088,30.151,4.2545,2.0
2018-01-31,267.25,6916982.0,50119.0935,29.8937,4.2182,2.0
2018-02-28,261.3,2396509.0,49003.253,29.2282,4.1243,3.25
2018-03-31,222.4,2409565.0,41708.0882,28.2952,3.2781,3.25
2018-04-30,234.75,7285626.0,44024.1624,29.8664,3.4602,3.25
2018-05-31,216.95,1736941.0,40707.2024,27.6018,3.1978,3.25
2018-06-30,231.2,1108940.0,43386.6854,29.4148,3.4078,3.25
2018-07-31,245.9,637898.0,46145.2679,31.285,3.6245,3.75
2018-08-31,293.25,1000369.0,55030.9062,37.3092,4.3225,3.75
2018-09-30,294.55,1855213.0,55277.7078,37.4746,4.3416,3.75
2018-10-31,292.75,1005952.0,54939.9048,37.2455,4.3151,1.75
2018-11-30,300.15,1565367.0,56328.6505,38.187,4.4242,1.75
2018-12-31,356.25,833849.0,66863.2636,45.3244,5.2511,1.75
2019-01-31,345.1,6006081.0,64770.5608,43.9059,5.0867,1.75
2019-02-28,358.0,4918038.0,67191.7147,45.5471,5.2769,3.5
2019-03-31,383.2,4592019.0,71927.7957,29.7978,4.8754,3.5
2019-04-30,380.4,687515.0,71405.3713,29.5801,4.8397,3.5
2019-05-31,389.4,1554647.0,73101.0655,30.2799,4.9542,3.5
2019-06-30,384.05,809036.0,72096.7237,29.8639,4.8862,3.5
2019-07-31,346.35,3712885.0,65039.4407,26.9323,4.4065,2.5
2019-08-31,337.9,3128440.0,63454.466,26.2753,4.299,2.5
2019-09-30,384.1,7103196.0,72134.5711,29.8678,4.8868,2.5
2019-10-31,398.4,996336.0,74820.1331,30.9798,5.0687,2.5
2019-11-30,470.65,5037442.0,88392.0889,36.598,5.988,2.5
2019-12-31,481.6,1852952.0,90448.5924,37.4495,6.1273,2.5
2020-01-31,511.45,3719976.0,96054.6773,39.7706,6.507,2.5
2020-02-29,528.0,2454055.0,99168.4304,41.0575,6.7176,2.5
2020-03-31,273.9,7095206.0,51447.184,16.7934,2.9682,4.25
2020-04-30,373.25,1428479.0,70124.5039,22.8847,4.0448,4.25
2020-05-31,367.5,2336885.0,69044.2202,22.5322,3.9825,4.25
2020-06-30,444.4,2803657.0,83491.8406,27.2471,4.8158,4.25
2020-07-31,508.9,3296849.0,95609.8058,31.2017,5.5148,3.5
2020-08-31,647.9,4076424.0,121750.1285,39.7241,7.0211,3.5
2020-09-30,604.3,4224756.0,113557.2925,37.0509,6.5486,3.5
2020-10-31,654.85,2757777.0,123068.3297,40.1502,7.0964,3.5
2020-11-30,823.6,8508445.0,154809.1913,50.4966,8.9251,3.5
2020-12-31,800.85,6720803.0,150532.9539,49.1018,8.6786,3.5
2021-01-31,779.2,2838098.0,150190.6956,47.7744,8.4439,3.5
2021-02-28,1080.45,6506576.0,208287.0193,66.2446,11.7085,2.0
2021-03-31,1193.35,3372873.0,230098.0118,82.0623,9.9582,2.0
2021-04-30,1234.7,2337515.0,238070.9894,84.9058,10.3033,2.0
2021-05-31,1186.3,1938769.0,228738.6529,81.5775,9.8994,2.0
2021-06-30,1168.6,3164338.0,225330.4289,80.3604,9.7517,2.0
2021-07-31,1119.4,3307405.0,215843.6427,76.977,9.3411,2.0
2021-08-31,1364.65,3806661.0,263132.9525,93.842,11.3877,3.5
2021-09-30,1396.85,3674969.0,269341.7834,96.0563,11.6564,3.5
2021-10-31,1396.5,2831725.0,269274.2961,96.0322,11.6535,3.5
2021-11-30,1622.55,4685516.0,312970.4844,111.5768,13.5398,3.5
2021-12-31,1754.8,2370841.0,338488.7013,120.6712,14.6434,3.5
2022-01-31,1695.35,4214001.0,327021.2103,116.583,14.1473,3.5
2022-02-28,1514.45,4347979.0,292146.5477,104.1432,12.6377,3.5
2022-03-31,1624.7,7694268.0,313486.2241,42.0357,10.2077,3.5
2022-04-30,1865.65,4330648.0,359977.5798,48.2698,11.7215,3.5
2022-05-31,1570.35,4577311.0,302999.3795,40.6295,9.8662,3.5
2022-06-30,1841.3,4628351.0,355344.3153,47.6398,11.5685,3.5
2022-07-31,2082.0,9557256.0,401806.3501,53.8674,13.0808,3.5
2022-08-31,2263.9,7275520.0,436966.5453,58.5737,14.2237,3.5
2022-09-30,2744.35,13123078.0,529700.578,71.0044,17.2422,3.5
2022-10-31,2743.25,7239670.0,529488.2616,70.9759,17.2353,3.5
2022-11-30,2771.35,26673368.0,534911.9817,71.7029,17.4119,3.5
2022-12-31,2775.55,6794208.0,535869.8041,71.8116,17.4383,3.5
2023-01-31,2609.95,3308239.0,503965.7584,67.527,16.3978,3.5
2023-02-28,2771.8,4156699.0,535218.0268,71.7146,17.4147,3.5
2023-03-31,2546.6,4072608.0,491799.611,57.2398,12.4489,3.5
2023-04-30,2589.2,5446223.0,500029.09,58.1973,12.6571,3.5
2023-05-31,2862.95,4485962.0,553009.5148,64.3504,13.9953,3.5
2023-06-30,3174.9,3976447.0,613583.6853,71.3621,15.5203,3.5
2023-07-31,3079.2,2915140.0,595088.6276,69.2111,15.0525,3.5
2023-08-31,2900.5,4777225.0,560582.3905,65.1944,14.1789,3.5
2023-09-30,2988.3,9718304.0,577551.5799,67.1679,14.6081,3.5
2023-10-31,3150.2,3800691.0,608992.931,70.8069,15.3996,3.5
2023-11-30,3366.3,5852778.0,650773.1665,75.6642,16.4559,3.5
