FCT IN Equity,price,volume,mc,pe,bm,div
2013-11-30,21.25,703760.0,7538.9051,68.7097,8.4948,0.0
2013-12-31,21.65,768603.0,7680.8139,68.7097,8.4948,0.0
2014-01-31,20.35,1235397.0,7219.6103,68.7097,8.4948,0.0
2014-02-28,21.4,764279.0,7592.1209,68.7097,8.4948,0.0
2014-03-31,20.65,629637.0,7326.0419,68.7097,8.4948,0.0
2014-04-30,20.55,584565.0,7290.5647,68.7097,8.4948,0.0
2014-05-31,31.1,4148221.0,11033.4093,68.7097,8.4948,0.0
2014-06-30,39.1,9654997.0,13871.5853,68.7097,8.4948,0.0
2014-07-31,34.4,5136973.0,12204.1569,68.7097,8.4948,0.0
2014-08-31,31.45,1028800.0,11157.5795,68.7097,8.4948,0.0
2014-09-30,30.3,1575578.0,10749.5917,68.7097,8.4948,0.0
2014-10-31,29.7,870210.0,10536.7285,68.7097,8.4948,0.0
2014-11-30,35.3,3436003.0,12523.4517,68.7097,8.4948,0.0
2014-12-31,34.15,1676517.0,12115.4639,68.7097,8.4948,0.0
2015-01-31,32.05,1153739.0,11370.4427,68.7097,8.4948,0.0
2015-02-28,31.75,2275064.0,11264.0111,68.7097,8.4948,0.0
2015-03-31,28.1,3177227.0,9969.0933,68.7097,8.4948,0.0
2015-04-30,27.7,2038433.0,9827.1845,68.7097,8.4948,0.0
2015-05-31,26.2,1112738.0,9295.0265,68.7097,8.4948,0.0
2015-06-30,21.8,1507800.0,7734.0297,68.7097,8.4948,0.0
2015-07-31,22.75,2587414.0,8071.0631,68.7097,8.4948,0.0
2015-08-31,18.85,1195632.0,6687.4523,68.7097,8.4948,0.0
2015-09-30,19.6,815250.0,6796.7307,68.7097,8.4948,0.0
2015-10-31,19.6,955223.0,6796.7307,68.7097,8.4948,0.0
2015-11-30,21.25,451625.0,7368.9044,68.7097,8.4948,0.0
2015-12-31,24.9,5247550.0,8634.6221,68.7097,8.4948,0.0
2016-01-31,21.3,1538329.0,7386.243,68.7097,8.4948,0.0
2016-02-29,19.65,1467110.0,6814.0693,68.7097,8.4948,0.0
2016-03-31,21.3,4723025.0,7386.243,68.7097,8.4948,0.0
2016-04-30,23.9,2880680.0,8287.8501,68.7097,8.4948,0.0
2016-05-31,23.15,3703706.0,8027.7712,68.7097,8.4948,0.0
2016-06-30,26.4,2760611.0,9154.7801,68.7097,8.4948,0.0
2016-07-31,23.95,2005030.0,8305.1887,68.7097,8.4948,0.0
2016-08-31,23.0,1169120.0,7975.7554,68.7097,8.4948,0.0
2016-09-30,22.75,996831.0,7889.0624,68.7097,8.4948,0.0
2016-10-31,24.35,2112275.0,8443.8975,68.7097,8.4948,0.0
2016-11-30,23.05,1629925.0,7993.094,68.7097,8.4948,0.0
2016-12-31,23.9,1818287.0,8287.8501,68.7097,8.4948,0.0
2017-01-31,29.7,26200994.0,10299.1276,68.7097,8.4948,0.0
2017-02-28,33.5,13121259.0,11616.8611,68.7097,8.4948,0.0
2017-03-31,41.6,14378956.0,14425.7141,68.7097,8.4948,0.0
2017-04-30,52.8,25745232.0,18309.5602,68.7097,8.4948,0.0
2017-05-31,50.6,26928912.0,17546.6618,68.7097,8.4948,0.0
2017-06-30,42.85,1166296.0,14859.179,68.7097,8.4948,0.0
2017-07-31,39.45,761880.0,13680.1543,68.7097,8.4948,0.0
2017-08-31,41.5,1528307.0,14391.0369,68.7097,8.4948,0.0
2017-09-30,39.1,4172914.0,13558.7841,68.7097,8.4948,0.0
2017-10-31,41.15,3045841.0,14269.6667,68.7097,8.4948,0.0
2017-11-30,43.3,2924171.0,15015.2264,68.7097,8.4948,0.0
2017-12-31,52.65,6046955.0,18257.5444,68.7097,8.4948,0.0
2018-01-31,63.35,11739939.0,21968.0046,68.7097,8.4948,0.0
2018-02-28,46.0,4391398.0,15951.5108,68.7097,8.4948,0.0
2018-03-31,51.0,7017821.0,17685.3707,68.7097,8.4948,0.0
2018-04-30,54.1,4605266.0,18760.3638,68.7097,8.4948,0.0
2018-05-31,47.2,1656852.0,16367.6372,68.7097,8.4948,0.0
2018-06-30,44.4,4234813.0,15396.6756,68.7097,8.4948,0.0
2018-07-31,41.55,1712420.0,14408.3755,68.7097,8.4948,0.0
2018-08-31,44.05,3414439.0,15275.3055,68.7097,8.4948,0.0
2018-09-30,38.75,2858147.0,13437.414,68.7097,8.4948,0.0
2018-10-31,36.75,1360101.0,12743.87,68.7097,8.4948,0.0
2018-11-30,36.45,1693507.0,12639.8385,68.7097,8.4948,0.0
2018-12-31,40.75,3672560.0,14130.9579,68.7097,8.4948,0.0
2019-01-31,39.7,6757864.0,13766.8474,68.7097,8.4948,0.0
2019-02-28,31.65,1638763.0,10975.333,68.7097,8.4948,0.0
2019-03-31,36.6,1886027.0,12691.8542,14.5817,8.4948,0.0
2019-04-30,33.8,1811247.0,11720.8927,13.4661,8.4948,0.0
2019-05-31,42.15,3932145.0,14616.4387,16.7928,8.4948,0.0
2019-06-30,39.15,1969008.0,13576.1228,15.5976,8.4948,0.0
2019-07-31,38.5,10386613.0,13350.721,15.3386,8.4948,0.0
2019-08-31,35.0,1524931.0,12137.0191,13.9442,8.4948,0.0
2019-09-30,39.5,5267393.0,13697.493,15.7371,8.4948,0.0
2019-10-31,40.95,2588238.0,14200.3123,16.3147,8.4948,0.0
2019-11-30,39.15,3639359.0,13576.1228,15.5976,8.4948,0.0
2019-12-31,39.65,4074819.0,13749.5088,15.7968,8.4948,0.0
2020-01-31,48.2,16898683.0,16714.4091,19.2032,8.4948,0.0
2020-02-29,32.3,3648470.0,11200.7348,12.8685,8.4948,0.0
2020-03-31,32.4,3619348.0,11235.412,2.1485,8.4948,0.0
2020-04-30,41.2,9058173.0,14287.0053,2.7321,8.4948,0.0
2020-05-31,42.95,6535345.0,14893.8563,2.8481,8.4948,0.0
2020-06-30,48.35,14652327.0,16766.4249,3.2062,8.4948,0.0
2020-07-31,47.1,9750098.0,16332.96,3.1233,8.4948,0.0
2020-08-31,46.85,8376160.0,16246.267,3.1068,8.4948,0.0
2020-09-30,45.05,2577680.0,15622.0774,2.9874,8.4948,0.0
2020-10-31,45.95,8641837.0,15934.1722,3.0471,8.4948,0.0
2020-11-30,51.25,8912795.0,17772.0636,3.3985,8.4948,0.0
2020-12-31,61.4,18492878.0,21291.7991,4.0716,8.4948,0.0
2021-01-31,83.6,34888756.0,28990.1369,5.5438,8.4948,0.0
2021-02-28,87.85,23231293.0,30463.9178,5.8256,8.4948,0.0
2021-03-31,109.65,42806698.0,38023.5468,20.2306,8.4948,0.0
2021-04-30,109.25,13203140.0,37884.8381,20.1568,8.4948,0.0
2021-05-31,124.55,20517042.0,43190.4492,22.9797,8.4948,0.0
2021-06-30,138.05,32957217.0,47871.8709,25.4705,8.4948,0.0
2021-07-31,141.05,11763718.0,48912.1868,26.024,8.4948,0.0
2021-08-31,120.4,6537908.0,41751.3455,22.214,8.4948,0.0
2021-09-30,127.85,9108557.0,44334.7967,23.5886,8.4948,0.0
2021-10-31,115.1,4152249.0,39913.4541,21.2362,8.4948,0.0
2021-11-30,109.9,2972154.0,38110.2398,20.2768,8.4948,0.0
2021-12-31,131.85,8952135.0,45721.8846,24.3266,8.4948,0.0
2022-01-31,141.65,22216066.0,91657.7451,26.1347,8.4948,0.0
2022-02-28,112.85,8874496.0,73022.0723,20.821,8.4948,0.0
2022-03-31,130.9,15439300.0,84701.7214,24.4673,12.7943,0.0
2022-04-30,125.6,8822355.0,81272.2399,23.4766,12.2763,0.0
2022-05-31,124.4,8224785.0,80495.7536,23.2523,12.159,0.0
2022-06-30,96.4,8581796.0,62377.7383,18.0187,9.4222,0.0
2022-07-31,113.55,7138326.0,73475.0226,21.2243,11.0985,0.0
2022-08-31,122.15,10309627.0,79039.8416,22.8318,11.9391,0.0
2022-09-30,108.85,5337130.0,70433.7844,20.3458,10.6391,0.0
2022-10-31,117.8,4306914.0,76225.0785,22.0187,11.5139,0.0
2022-11-30,145.95,19166871.0,94440.1546,27.2804,14.2653,0.0
2022-12-31,373.35,201032447.0,241584.3215,69.785,36.4916,0.0
2023-01-31,297.6,39633536.0,192568.6195,55.6262,29.0878,0.0
2023-02-28,234.15,14750024.0,151511.9027,43.7664,22.8861,0.0
2023-03-31,205.4,7628206.0,132908.5835,21.6895,10.4345,0.0
2023-04-30,343.1,51633876.0,222010.3943,36.2302,17.4298,0.0
2023-05-31,300.55,14390062.0,194477.4818,31.7371,15.2682,0.0
2023-06-30,434.4,98089395.0,281088.0655,45.8712,22.0679,0.0
2023-07-31,474.45,51534972.0,307003.2981,50.1003,24.1024,0.0
2023-08-31,463.65,20054801.0,300014.9207,48.9599,23.5538,0.0
2023-09-30,538.5,57161795.0,348448.258,56.8638,27.3562,1.0
2023-10-31,756.05,64082152.0,489218.7659,79.8363,38.4079,1.0
2023-11-30,709.05,19237115.0,458806.3832,74.8733,36.0203,1.0
2023-12-31,805.8,38065712.0,521410.5966,85.0898,40.9353,1.0
2024-01-31,862.55,29757413.0,558131.9312,91.0824,43.8182,1.0
2024-02-29,715.95,13301031.0,463271.1798,75.6019,36.3708,1.0
2024-03-31,627.95,8958710.0,406328.8461,317.1465,29.9245,1.0
2024-04-30,715.2,13279160.0,462785.8758,361.2121,34.0824,1.0
2024-05-31,674.45,9064733.0,436417.6929,340.6313,32.1405,1.0
2024-06-30,986.75,76945956.0,638498.2703,498.3586,47.0229,1.0
2024-07-31,1027.6,31815120.0,664931.1605,518.9899,48.9696,1.0
2024-08-31,981.1,16928290.0,634842.3137,495.5051,46.7537,1.0
2024-09-30,963.95,7791289.0,623745.0293,486.8434,45.9364,0.97
2024-10-31,861.5,6929792.0,557452.5056,435.101,41.0542,0.97
2024-11-30,1003.1,13844659.0,649077.8971,506.6162,47.8021,0.97
2024-12-31,980.9,18698759.0,634712.8993,495.404,46.7441,0.97
2025-01-31,920.95,19999887.0,595920.9345,465.1263,43.8873,0.97
2025-02-28,691.7,10062957.0,447579.6844,349.3434,32.9625,0.97
2025-03-31,639.6,13967620.0,413867.2346,999.375,30.1939,0.97
2025-04-30,765.95,31116252.0,495624.7785,1196.7969,36.1586,0.97
2025-05-31,882.95,18315202.0,571332.1994,1379.6094,41.6819,0.97
2025-06-30,974.55,39545779.0,630603.9923,1522.7344,46.0061,0.97
2025-07-31,940.55,15863419.0,608603.5451,1469.6094,44.401,0.97
2025-08-31,924.9,12620564.0,598476.8688,1445.1563,43.6622,0.97
2025-09-30,892.9,7732137.0,577770.5656,1395.1563,42.1516,0.39
2025-10-31,903.35,3821697.0,584532.4677,1411.4844,42.6449,0.39
2025-11-30,876.4,1869012.0,567093.878,1369.375,41.3727,0.39
2025-12-31,912.45,10236984.0,590420.8227,1425.7031,43.0745,0.39
2026-01-31,816.75,3525989.0,528496.0348,1276.1719,38.5567,0.39
2026-02-28,743.45,2189150.0,481065.6591,1161.6406,35.0964,0.39
2026-03-31,678.9,443720.0,439297.1789,1060.7813,32.0492,0.39
