WPL IN Equity,price,volume,mc,pe,bm,div
2001-12-31,148.73,2654977.0,17557.915,16.7456,5.9075,0.9215
2002-01-31,141.51,613735.0,16705.765,15.9329,5.6208,0.9215
2002-02-28,163.52,1120494.0,19303.9158,18.4109,6.495,0.9215
2002-03-31,171.03,776197.0,20190.5144,19.2564,6.7933,0.9215
2002-04-30,171.42,480631.0,20235.8415,19.2997,6.8085,1.9966
2002-05-31,155.91,432873.0,18404.6257,17.5532,6.1924,1.9966
2002-06-30,151.22,312400.0,17851.6348,17.0258,6.0063,1.9966
2002-07-31,142.84,160186.0,16861.6903,16.0816,5.6733,1.9966
2002-08-31,138.14,491833.0,16306.8863,15.5525,5.4866,1.9966
2002-09-30,148.84,243198.0,17570.6066,16.7577,5.9118,1.9966
2002-10-31,136.32,353423.0,16092.9423,15.3484,5.4146,1.9966
2002-11-30,136.08,351753.0,16063.933,15.3208,5.4048,1.9966
2002-12-31,137.17,1326020.0,16192.662,15.5342,4.6706,1.9966
2003-01-31,142.3,404602.0,16798.2324,16.1151,4.8453,1.9966
2003-02-28,139.38,314047.0,16453.7462,15.7847,4.7459,1.9966
2003-03-31,107.76,509868.0,12720.6042,12.2033,3.6691,1.9966
2003-04-30,111.1,162143.0,13115.8568,12.5825,3.7831,1.9966
2003-05-31,108.26,351427.0,12780.4361,12.2607,3.6864,1.9966
2003-06-30,111.41,767804.0,13152.1185,12.6173,3.7936,1.9966
2003-07-31,124.82,2209046.0,14736.405,14.1358,4.2501,1.9966
2003-08-31,153.42,1481610.0,18114.0534,17.3744,5.2239,1.9966
2003-09-30,154.57,1146581.0,18250.0584,17.5049,5.2631,1.9966
2003-10-31,155.8,909018.0,18395.1304,17.644,5.3049,1.9966
2003-11-30,193.84,1947734.0,22900.9303,21.9524,6.6003,1.9966
2003-12-31,221.29,945762.0,26144.6852,18.3247,5.6525,1.9966
2004-01-31,220.0,776116.0,25995.1225,18.2179,5.6195,1.9966
2004-02-29,235.03,2714461.0,27782.9799,19.463,6.0036,1.9966
2004-03-31,244.86,586399.0,28953.2054,20.277,6.2547,1.9966
2004-04-30,295.21,822064.0,34906.2009,24.4461,7.5407,6.9114
2004-05-31,255.4,878611.0,30178.3093,21.1494,6.5238,6.9114
2004-06-30,234.99,405326.0,27793.9806,19.4592,6.0024,6.9114
2004-07-31,239.87,999067.0,28371.6594,19.8636,6.1272,6.9114
2004-08-31,271.34,1171743.0,32093.8728,22.4696,6.931,6.9114
2004-09-30,327.32,1838209.0,38715.38,27.1055,8.361,6.9114
2004-10-31,303.83,579269.0,35935.9819,25.1596,7.7608,6.9114
2004-11-30,300.65,669310.0,35559.9457,24.8963,7.6796,6.9114
2004-12-31,325.94,1346632.0,38551.886,9.0275,6.2526,6.9114
2005-01-31,318.11,2503687.0,37625.42,8.8106,6.1023,6.9114
