SOBHA IN Equity,price,volume,mc,pe,bm,div
2019-04-30,467.44,7364777.0,45549.7209,15.3288,2.0434,6.8133
2019-05-31,530.13,3977779.0,51657.7938,17.3843,2.3174,6.8133
2019-06-30,527.74,13633793.0,51425.4215,17.3061,2.307,6.8133
2019-07-31,532.61,5226103.0,51899.6508,17.4657,2.3283,6.8133
2019-08-31,521.42,5523062.0,50808.9235,17.0986,2.2793,6.8133
2019-09-30,476.06,3220197.0,46389.1067,15.6112,2.0811,6.8133
2019-10-31,412.26,2688090.0,40171.961,13.519,1.8022,6.8133
2019-11-30,403.74,5696423.0,39342.0598,13.2397,1.7649,6.8133
2019-12-31,390.79,2888347.0,38080.61,12.8152,1.7083,6.8133
2020-01-31,437.47,6894046.0,42628.4686,14.3457,1.9124,6.8133
2020-02-29,289.08,6266591.0,28169.2183,9.4797,1.2637,6.8133
2020-03-31,130.28,10290031.0,12695.1174,4.5083,0.5222,6.8133
2020-04-30,195.25,11778638.0,19026.0781,6.7565,0.7826,6.8133
2020-05-31,189.07,7994756.0,18423.8069,6.5426,0.7578,6.8133
2020-06-30,220.85,7737995.0,21520.524,7.6423,0.8852,6.8133
2020-07-31,213.21,6310476.0,20775.9841,7.3779,0.8546,6.8133
2020-08-31,254.87,13665096.0,24835.3866,8.8195,1.0215,6.8133
2020-09-30,216.57,7304615.0,21103.2023,7.4941,0.868,6.8133
2020-10-31,283.58,13966295.0,27633.3399,9.8131,1.1366,6.8133
2020-11-30,302.66,9367566.0,29492.3186,10.4732,1.2131,6.8133
2020-12-31,403.59,13285529.0,39327.8338,13.966,1.6176,6.8133
2021-01-31,448.46,10465546.0,43700.2277,15.5187,1.7975,6.8133
2021-02-28,427.63,3040803.0,41670.5264,14.7979,1.714,6.8133
2021-03-31,425.3,4559718.0,41442.8963,66.5068,1.7071,6.8133
2021-04-30,473.14,12890520.0,46104.5701,73.9878,1.8991,6.8133
2021-05-31,478.15,6424312.0,46593.0263,74.7717,1.9192,6.8133
2021-06-30,458.49,8082574.0,44677.14,71.6971,1.8403,6.8133
2021-07-31,580.35,29702093.0,56551.8399,90.7534,2.3294,3.4067
2021-08-31,606.44,5371312.0,59093.7087,94.8326,2.4341,3.4067
2021-09-30,768.79,16755893.0,74913.997,120.2207,3.0858,3.4067
2021-10-31,749.47,9878455.0,73031.3068,117.1994,3.0082,3.4067
2021-11-30,833.71,22378580.0,81240.2154,130.3729,3.3463,3.4067
2021-12-31,871.57,12525437.0,84929.7191,136.2938,3.4983,3.4067
2022-01-31,828.41,15740123.0,80723.3055,129.5434,3.325,3.4067
2022-02-28,752.29,6644535.0,73306.3598,117.6408,3.0195,3.4067
2022-03-31,688.88,7705956.0,67127.1525,38.7384,2.7705,3.4067
2022-04-30,631.21,7809620.0,61507.5357,35.4953,2.5386,3.4067
2022-05-31,534.94,11387716.0,52127.2808,30.0821,2.1514,3.4067
2022-06-30,561.66,6126963.0,54730.7995,31.5846,2.2589,3.4067
2022-07-31,681.48,17738234.0,66406.324,38.3224,2.7408,2.92
2022-08-31,680.17,5942109.0,66278.2821,38.2485,2.7355,2.92
2022-09-30,628.53,6321774.0,61246.7096,35.3448,2.5278,2.92
2022-10-31,610.33,2380328.0,59473.0921,34.3213,2.4546,2.92
2022-11-30,608.09,3324659.0,59254.9467,34.1954,2.4456,2.92
2022-12-31,560.74,5996162.0,54640.6959,31.5326,2.2552,2.92
2023-01-31,583.66,4028644.0,56874.3158,32.8216,2.3474,2.92
2023-02-28,560.84,1869162.0,54650.1805,31.538,2.2556,2.92
2023-03-31,419.12,20661942.0,40840.6243,39.1811,1.6371,2.92
2023-04-30,446.32,13993290.0,43491.5659,41.7243,1.7434,2.92
2023-05-31,506.77,23019922.0,49381.4934,47.3749,1.9795,2.92
2023-06-30,522.68,19668342.0,50932.2231,48.8626,2.0416,2.92
2023-07-31,603.27,20998751.0,58785.4597,56.3967,2.3564,2.92
2023-08-31,594.08,10146676.0,57889.1664,55.5369,2.3205,2.92
2023-09-30,686.83,23125161.0,66927.9762,64.2084,2.6828,2.92
2023-10-31,693.84,22066988.0,67610.8663,64.8635,2.7102,2.92
2023-11-30,883.06,16649382.0,86048.9001,82.5523,3.4493,2.92
2023-12-31,959.42,15430644.0,93489.5573,89.6906,3.7476,2.92
2024-01-31,1409.15,38969439.0,137313.0837,131.7334,5.5043,2.92
2024-02-29,1523.42,8441785.0,148447.9868,142.4158,5.9506,2.92
2024-03-31,1410.12,7615763.0,137407.9295,279.6815,5.4655,2.92
2024-04-30,1729.37,6489791.0,168517.3693,343.0019,6.703,2.92
2024-05-31,1849.14,7129032.0,180188.1515,366.7568,7.1672,2.92
2024-06-30,1956.65,5202700.0,189143.5171,388.0798,7.5839,2.92
2024-07-31,1800.2,10765403.0,170767.2053,357.0497,6.9775,3.0
2024-08-31,1689.75,4724116.0,160290.5125,335.1432,6.5494,3.0
2024-09-30,1940.4,5374805.0,184066.8016,384.8568,7.5209,3.0
2024-10-31,1588.4,4802790.0,150676.2489,315.0415,6.1566,3.0
2024-11-30,1669.05,3979010.0,158325.2564,331.0375,6.4692,3.0
