METROHL IN Equity,price,volume,mc,pe,bm,div
2020-03-31,1284.45,2810353.0,65032.4305,50.6087,12.4227,8.0
2020-04-30,1262.65,16780880.0,63928.6842,49.7498,12.2119,8.0
2020-05-31,1384.95,1833438.0,70120.8024,54.5686,13.3947,8.0
2020-06-30,1359.3,7350876.0,68891.5832,53.5579,13.1466,8.0
2020-07-31,1574.15,3225326.0,79780.5382,62.0232,15.2246,8.0
2020-08-31,1838.65,2991179.0,93185.8378,72.4448,17.7827,8.0
2020-09-30,1794.05,3266950.0,91369.0397,70.5201,14.9299,8.0
2020-10-31,1967.5,2681113.0,100202.6599,70.5201,16.3734,8.0
2020-11-30,2234.4,2323082.0,114193.0607,70.5201,18.5945,8.0
2020-12-31,1961.3,2774757.0,100235.7904,70.5201,16.3089,8.0
2021-01-31,2063.35,2187418.0,105451.2405,70.5201,16.3089,8.0
2021-02-28,1959.3,2041491.0,100153.1698,70.5201,16.3089,8.0
2021-03-31,2241.2,2940796.0,114562.9991,70.5201,16.2132,8.0
2021-04-30,2395.05,4014718.0,122427.3206,70.5201,17.3262,8.0
2021-05-31,2584.05,3630944.0,132088.398,70.5201,18.6934,8.0
2021-06-30,2835.75,6165210.0,144988.8122,66.3402,20.1873,8.0
2021-07-31,2844.75,5427441.0,145448.9753,66.5508,20.1873,8.0
2021-08-31,2823.55,6145126.0,144365.0423,66.0548,20.1873,8.0
2021-09-30,2700.8,5985935.0,138088.9682,63.9773,16.3584,8.0
2021-10-31,2962.2,7097828.0,151454.0661,70.1694,17.9417,8.0
2021-11-30,3292.9,8235325.0,168499.3164,78.0032,19.9447,8.0
2021-12-31,3440.9,6704569.0,176072.5494,88.7514,20.8181,8.0
2022-01-31,2513.1,4066011.0,128600.6523,64.8206,20.8181,8.0
2022-02-28,1956.7,13346359.0,100128.4852,50.4693,20.8181,8.0
2022-03-31,2035.75,4521045.0,104173.6413,58.8727,11.7551,8.0
2022-04-30,2397.8,6862891.0,122700.5069,69.343,13.8457,8.0
2022-05-31,1616.3,8814409.0,82709.7028,46.7425,9.3331,8.0
2022-06-30,1406.45,9355841.0,71974.7229,46.0855,8.1771,8.0
2022-07-31,1578.25,5271544.0,80766.5445,51.715,8.1771,8.0
2022-08-31,1433.25,5431551.0,73382.7569,46.9637,8.1771,8.0
2022-09-30,1554.35,8134834.0,79583.107,57.5509,8.319,8.0
2022-10-31,1691.8,3543601.0,86620.5813,62.6401,9.0546,8.0
2022-11-30,1468.2,6825717.0,75181.0779,54.3612,7.8579,8.0
2022-12-31,1327.5,10669349.0,67976.3526,51.1696,7.0492,8.0
2023-01-31,1345.0,3156151.0,68872.4627,51.8442,7.0492,8.0
2023-02-28,1311.15,4151619.0,67144.8621,50.5394,7.0492,8.0
2023-03-31,1248.3,3274197.0,63926.2719,50.6551,6.4687,8.0
2023-04-30,1251.5,3603497.0,64090.146,50.785,6.4853,8.0
2023-05-31,1301.15,6728253.0,66632.7555,52.7997,6.7426,8.0
2023-06-30,1493.1,10635126.0,76462.8783,61.72,7.5666,8.0
2023-07-31,1371.5,5508804.0,70235.6424,56.6935,7.5666,8.0
2023-08-31,1341.15,6378573.0,68694.6499,55.4389,7.5666,8.0
2023-09-30,1459.8,6499565.0,74771.9866,62.7235,7.1449,8.0
2023-10-31,1405.45,9696060.0,71988.1412,60.3883,6.8789,8.0
2023-11-30,1703.15,8565871.0,87241.4641,73.1796,8.336,12.0
2023-12-31,1678.15,8051996.0,85960.8743,77.7513,8.1652,12.0
2024-01-31,1632.4,9234529.0,83617.3948,75.6316,8.1652,12.0
2024-02-29,1601.9,7956143.0,82060.3086,74.2185,8.1652,4.0
2024-03-31,1723.6,6941238.0,88294.6176,77.6972,8.0549,4.0
2024-04-30,1817.75,8663659.0,93117.6266,81.9413,8.4949,4.0
2024-05-31,1906.65,7645801.0,97671.6945,85.9488,8.9104,4.0
2024-06-30,1978.05,3993339.0,101333.1397,73.8645,9.0529,4.0
2024-07-31,2118.9,4075063.0,108548.717,79.1241,9.0529,4.0
2024-08-31,2139.8,2973486.0,109646.8377,79.9046,9.0529,4.0
2024-09-30,2192.05,2557446.0,112324.2128,75.7691,9.4873,4.0
2024-10-31,2146.2,2794409.0,109974.7842,74.1843,9.2888,4.0
2024-11-30,2141.6,2536123.0,109794.1268,74.0253,9.2689,4.0
2024-12-31,2076.65,4692644.0,106464.3133,69.8018,8.8831,4.0
2025-01-31,1796.9,3593007.0,92122.2761,60.3987,8.8831,0.0
2025-02-28,1584.5,4920586.0,81254.941,53.2593,8.8831,0.0
2025-03-31,1564.55,2063470.0,80231.8826,55.3505,6.0891,0.0
2025-04-30,1701.5,1792199.0,87254.8325,60.1955,6.6221,0.0
2025-05-31,1680.1,1625458.0,87029.2539,59.4384,6.5388,0.0
2025-06-30,1706.2,2373571.0,88384.3677,57.7221,6.5773,0.0
2025-07-31,1995.3,6503887.0,103360.2912,67.5026,6.5773,0.0
2025-08-31,2188.5,1217410.0,113380.6262,74.0387,6.5773,0.0
2025-09-30,2036.0,1364451.0,105479.9886,66.5945,7.3635,0.0
2025-10-31,1970.4,2190663.0,102081.4192,64.4488,7.1262,0.0
2025-11-30,1931.0,979158.0,100040.2053,63.1601,6.9837,4.0
2025-12-31,1928.9,1180853.0,99959.4211,59.4548,6.723,4.0
2026-01-31,1873.0,1176676.0,97081.2274,57.7318,6.723,4.0
2026-02-28,1903.8,1035539.0,98677.6512,58.6812,6.723,4.0
2026-03-31,1800.6,121783.0,93328.5935,55.5002,6.723,4.0
