MHS IN Equity,price,volume,mc,pe,bm,div
2016-06-30,118.3,1846896.0,15852.1115,8.2287,0.6886,2.5
2016-07-31,106.48,1257414.0,14267.5704,8.2287,0.6198,2.5
2016-08-31,111.78,1979218.0,14977.7664,8.2287,0.6506,2.5
2016-09-30,104.15,2406990.0,13956.0221,8.2287,0.6063,1.25
2016-10-31,133.6,4211876.0,17902.3001,8.2287,0.7777,1.25
2016-11-30,111.83,2076040.0,14984.4664,8.2287,0.6509,1.25
2016-12-31,120.23,3952280.0,16110.0601,8.2287,0.6998,1.25
2017-01-31,135.78,3987440.0,18193.7485,8.2287,0.7904,1.25
2017-02-28,170.5,6551022.0,22846.8725,8.2287,0.9925,1.25
2017-03-31,174.83,4134778.0,23426.4193,20.2227,0.853,1.25
2017-04-30,174.43,1554250.0,23372.8196,20.1764,0.851,1.25
2017-05-31,172.73,2618006.0,23145.0209,19.9798,0.8428,1.25
2017-06-30,193.78,4728762.0,25965.7051,22.4147,0.9455,1.25
2017-07-31,201.48,5881628.0,26997.4994,23.3054,0.983,1.25
2017-08-31,214.08,2638946.0,28685.8899,24.7629,1.0445,1.25
2017-09-30,209.58,3356834.0,28082.8933,24.2423,1.0225,2.5
2017-10-31,251.35,6216976.0,33680.7121,29.0746,1.2264,2.5
2017-11-30,242.8,2862534.0,32535.0194,28.0856,1.1847,2.5
2017-12-31,255.98,2380912.0,34300.4596,29.6096,1.2489,2.5
2018-01-31,252.0,6950700.0,33767.8125,29.1498,1.2295,2.5
2018-02-28,232.55,3141486.0,31161.5261,26.8999,1.1346,2.5
2018-03-31,211.75,2696176.0,28374.3416,13.4658,0.9684,2.5
2018-04-30,231.23,2639370.0,30983.977,14.7043,1.0575,2.5
2018-05-31,213.2,4920018.0,28568.6405,13.558,0.975,2.5
2018-06-30,216.8,3483950.0,29051.0378,13.787,0.9915,2.5
2018-07-31,240.55,1666186.0,32233.5201,15.2973,1.1001,2.5
2018-08-31,244.25,2967266.0,32729.3173,15.5326,1.1171,2.5
2018-09-30,213.6,2650328.0,28622.2402,13.5835,0.9769,3.0
2018-10-31,235.88,2637660.0,31607.0736,15.0,1.0787,3.0
2018-11-30,237.1,2688056.0,31771.2226,15.0779,1.0844,3.0
2018-12-31,244.3,2671800.0,32736.0173,15.5358,1.1173,3.0
2019-01-31,231.03,1260156.0,30957.1772,14.6916,1.0566,3.0
2019-02-28,234.68,1892256.0,31446.2745,14.9237,1.0733,3.0
2019-03-31,240.0,1218432.0,32159.8205,13.73,1.0475,3.0
2019-04-30,237.63,1138170.0,31841.5723,13.5941,1.0371,3.0
2019-05-31,225.58,1560816.0,30226.8813,12.9047,0.9845,3.0
2019-06-30,214.03,804480.0,28679.1899,12.244,0.9341,3.0
2019-07-31,207.7,571958.0,27831.6446,11.8822,0.9065,3.0
2019-08-31,187.4,901092.0,25111.4598,10.7208,0.8179,3.0
2019-09-30,189.18,1275994.0,25349.3085,10.8224,0.8257,3.0
2019-10-31,182.45,401810.0,24448.1635,10.4376,0.7963,3.0
2019-11-30,186.08,998006.0,24933.9108,10.645,0.8121,3.0
2019-12-31,189.08,486222.0,25335.9086,10.8166,0.8252,3.0
2020-01-31,193.63,3246772.0,25945.6052,11.0769,0.8451,3.0
2020-02-29,160.15,851398.0,21459.9802,9.1619,0.699,3.0
2020-03-31,96.8,1396772.0,12971.1276,15.4633,0.4048,3.0
2020-04-30,111.43,7932902.0,14930.8667,17.7995,0.4659,3.0
2020-05-31,100.23,2555362.0,13430.075,16.0104,0.4191,3.0
2020-06-30,108.68,6506346.0,14562.3687,17.3602,0.4544,3.0
2020-07-31,98.08,8487888.0,13141.9766,15.6669,0.4101,3.0
2020-08-31,114.75,8395438.0,15376.4142,18.3307,0.4798,3.0
2020-09-30,110.25,2705804.0,14773.4175,17.6118,0.461,1.25
2020-10-31,110.83,1553006.0,14850.4673,17.7037,0.4634,1.25
2020-11-30,129.65,4979328.0,17373.0033,20.7109,0.5421,1.25
2020-12-31,159.35,9604846.0,21352.7811,25.4553,0.6663,1.25
2021-01-31,139.68,4076806.0,18716.3458,22.3123,0.584,1.25
2021-02-28,140.57,2610180.0,18836.9451,22.4561,0.5878,1.25
2021-03-31,137.65,5178508.0,18444.9973,18.8175,0.5591,1.25
2021-04-30,144.75,4859252.0,19396.392,19.7881,0.588,1.25
2021-05-31,148.05,7350802.0,19838.5896,20.2392,0.6014,1.25
2021-06-30,148.78,11838228.0,19935.739,20.3383,0.6043,1.25
2021-07-31,156.6,9406740.0,20984.2829,21.4081,0.6361,1.25
2021-08-31,157.57,11413160.0,21114.9321,21.5414,0.6401,1.25
2021-09-30,158.23,4225056.0,21202.0316,21.6302,0.6427,1.75
2021-10-31,245.85,34224978.0,32943.7161,33.609,0.9987,1.75
2021-11-30,245.55,10104732.0,32903.5163,33.568,0.9974,1.75
2021-12-31,254.95,6350504.0,34163.1093,34.853,1.0356,1.75
2022-01-31,267.45,9438642.0,35838.0999,36.5619,1.0864,1.75
2022-02-28,254.85,5099362.0,34149.7094,34.8394,1.0352,1.75
2022-03-31,275.77,7715448.0,36953.6437,5.3423,0.9275,1.75
2022-04-30,295.35,9263214.0,39576.6791,5.7215,0.9933,1.75
2022-05-31,276.98,4413022.0,37114.4428,5.3655,0.9315,1.75
