TPWR IN Equity,price,volume,mc,pe,bm,div
2002-03-31,10.95,27267071.0,22461.412,6.2294,0.5315,0.4825
2002-04-30,10.8,27108390.0,22144.7754,6.1416,0.524,0.0
2002-05-31,11.06,55347134.0,22688.9946,6.2925,0.5369,0.4825
2002-06-30,12.56,70595949.0,25766.307,7.146,0.6097,0.4825
2002-07-31,10.02,58258412.0,20551.7068,5.6998,0.4863,0.4825
2002-08-31,9.86,37968490.0,20225.1751,5.6092,0.4786,0.4825
2002-09-30,9.23,14193143.0,18928.9432,5.2497,0.4479,0.4825
2002-10-31,9.27,11600191.0,19017.9973,5.2744,0.45,0.4825
2002-11-30,10.31,22306034.0,21135.5059,5.8617,0.5001,0.4825
2002-12-31,10.78,28171709.0,22105.206,6.1306,0.5231,0.4825
2003-01-31,10.72,23835885.0,21986.4672,6.0977,0.5203,0.4825
2003-02-28,11.75,67347360.0,24103.9758,6.685,0.5704,0.4825
2003-03-31,10.91,17415701.0,22382.2632,4.3053,0.5384,0.4825
2003-04-30,11.56,11878881.0,23698.2849,4.5584,0.57,0.4825
2003-05-31,12.64,37648775.0,25914.7424,4.9848,0.6233,0.4825
2003-06-30,15.29,92239144.0,31356.9373,6.0316,0.7543,0.4825
2003-07-31,13.89,111209545.0,28487.4164,5.4796,0.6852,0.6273
2003-08-31,18.66,160579628.0,38263.5773,7.3601,0.9204,0.6273
2003-09-30,17.79,146995242.0,36492.3903,7.0194,0.8778,0.6273
2003-10-31,22.76,283925603.0,46664.3472,8.976,1.1225,0.6273
2003-11-30,25.9,239364197.0,53115.8219,10.217,1.2776,0.6273
2003-12-31,30.29,148692975.0,62120.1806,11.949,1.4942,0.6273
2004-01-31,36.2,354227868.0,74231.5379,14.2786,1.7855,0.6273
2004-02-29,33.54,227607490.0,68789.3431,13.2318,1.6546,0.6273
2004-03-31,36.38,328848807.0,74597.6492,16.2059,1.5573,0.6273
2004-04-30,36.67,201651423.0,75201.2381,16.3371,1.5699,0.6273
2004-05-31,25.31,215875550.0,51898.7492,11.2747,1.0834,0.6273
2004-06-30,22.39,519882883.0,45912.3348,9.9742,0.9585,0.6755
2004-07-31,25.49,314410518.0,52274.7554,11.3564,1.0913,0.6755
2004-08-31,25.05,175176536.0,51374.3195,11.1608,1.0725,0.6755
2004-09-30,30.28,152078598.0,62090.4959,13.4888,1.2962,0.6755
2004-10-31,28.95,83478139.0,59359.5036,12.8955,1.2392,0.6755
2004-11-30,33.11,54632348.0,67898.8021,14.7506,1.4175,0.6755
2004-12-31,37.69,52977319.0,77289.0619,16.7906,1.6135,0.6755
2005-01-31,37.16,270996709.0,76200.623,16.5542,1.5908,0.6755
2005-02-28,39.37,279989420.0,80742.382,17.5408,1.6856,0.6755
2005-03-31,34.61,186552575.0,70966.221,12.02,1.443,0.6755
2005-04-30,33.38,118561723.0,68443.0216,11.5926,1.3917,0.6755
2005-05-31,37.23,126496048.0,76349.0465,12.9317,1.5524,0.6755
2005-06-30,36.35,100902244.0,74538.2798,12.625,1.5156,0.6755
2005-07-31,37.94,103823709.0,77813.4556,13.1797,1.5822,0.7238
2005-08-31,43.5,177381992.0,89202.48,15.1088,1.8138,0.7238
2005-09-30,46.41,134971752.0,95169.1018,16.1194,1.9351,0.7238
2005-10-31,38.16,198189657.0,78248.831,13.2535,1.591,0.7238
2005-11-30,43.08,137470508.0,88341.6241,14.9629,1.7963,0.7238
2005-12-31,42.09,181024398.0,86323.0655,14.6211,1.7552,0.7238
2006-01-31,45.53,98572904.0,93368.2308,15.8143,1.8985,0.7238
2006-02-28,49.33,175092745.0,101165.4082,17.135,2.057,0.7238
2006-03-31,56.2,188116156.0,115255.739,15.4357,2.3616,0.7238
2006-04-30,53.34,109386331.0,108131.4144,14.6499,2.2414,0.7238
2006-05-31,48.26,95391465.0,98968.7415,13.2545,2.0279,0.7238
2006-06-30,46.56,65898192.0,95485.7384,12.788,1.9565,0.7238
2006-07-31,47.21,72213393.0,96821.5493,12.9669,1.9839,0.8203
2006-08-31,50.93,58104933.0,104450.5134,13.9886,2.1402,0.8203
2006-09-30,54.8,76080967.0,112376.3245,15.0501,2.3026,0.8203
2006-10-31,52.16,79180200.0,106973.7117,14.3265,2.1919,0.8203
2006-11-30,56.1,93308370.0,115038.0513,15.4066,2.3571,0.8203
2006-12-31,54.09,137432281.0,110921.7749,14.8553,2.2728,0.8203
2007-01-31,58.43,67827663.0,119817.2856,16.0466,2.4551,0.8203
2007-02-28,52.38,57003013.0,107409.0871,14.3848,2.2008,0.8203
2007-03-31,49.15,72504135.0,100789.4022,13.2813,1.8629,0.8203
2007-04-30,57.11,81164157.0,117125.8742,15.434,2.1649,0.8203
2007-05-31,56.53,72189238.0,115918.6969,15.275,2.1426,0.8203
2007-06-30,64.72,131761339.0,132720.2289,17.4889,2.4531,0.8203
2007-07-31,70.91,87004899.0,145425.2743,19.1631,2.688,0.9168
2007-08-31,66.08,110887809.0,142285.504,17.8566,2.5047,0.9168
2007-09-30,82.44,143073089.0,177516.712,22.2781,3.1249,0.9168
2007-10-31,117.12,754668752.0,253172.9568,31.6504,4.4395,0.9168
2007-11-30,112.77,311523799.0,252147.6501,30.4743,4.2745,0.9168
2007-12-31,141.86,203448710.0,318362.2567,38.3354,5.3772,0.9168
2008-01-31,123.32,261716666.0,278700.4473,33.3259,4.6745,0.9168
2008-02-29,135.09,153703410.0,306438.6782,36.506,5.1206,0.9168
2008-03-31,113.05,178449342.0,257774.9931,23.3069,3.3793,0.9168
2008-04-30,134.71,137043448.0,308086.1469,27.7723,4.0268,0.9168
2008-05-31,130.75,106760323.0,299039.6179,26.9566,3.9085,0.9168
2008-06-30,102.0,211879243.0,233365.2006,21.0289,3.049,0.9168
2008-07-31,111.72,334617271.0,255682.7725,23.0324,3.3395,0.9168
2008-08-31,101.4,254516008.0,232634.2041,20.9056,3.0311,1.0133
2008-09-30,87.54,228499434.0,200831.8478,18.0477,2.6168,1.0133
2008-10-31,66.55,204643011.0,152669.1651,13.7195,1.9892,1.0133
2008-11-30,64.52,194115206.0,148008.9477,13.3008,1.9285,1.0133
2008-12-31,72.29,161952890.0,165852.8206,14.9043,2.161,1.0133
2009-01-31,73.62,172334687.0,168885.8362,15.1769,2.2005,1.0133
2009-02-28,70.14,86254684.0,160915.8682,14.4606,2.0967,1.0133
2009-03-31,74.17,185831738.0,170186.7882,13.463,1.9746,1.0133
2009-04-30,86.54,134987068.0,198573.3954,15.7085,2.3039,1.0133
2009-05-31,103.3,125951166.0,237357.8183,18.7502,2.75,1.0133
2009-06-30,111.01,158785108.0,255074.5781,20.1498,2.9553,1.0133
2009-07-31,125.58,161168126.0,288911.6738,22.7947,3.3432,1.1098
2009-08-31,126.3,143170528.0,309985.768,22.9252,3.3624,1.1098
2009-09-30,127.19,96431779.0,312176.6056,23.0872,3.3861,1.1098
2009-10-31,129.2,131082479.0,317432.2317,23.4516,3.4396,1.1098
2009-11-30,130.72,124798988.0,321295.8204,23.7274,3.48,1.1098
2009-12-31,133.31,80413879.0,327664.3223,24.1978,3.549,1.1098
2010-01-31,125.92,102706660.0,309507.5417,22.8569,3.3524,1.1098
2010-02-28,117.07,99829205.0,287887.9032,21.2498,3.1166,1.1098
2010-03-31,132.56,135839800.0,325977.0424,16.1587,2.8593,1.1098
2010-04-30,131.04,70162495.0,322251.3045,15.974,2.8267,1.1098
2010-05-31,124.04,87630868.0,305022.8162,15.12,2.6755,1.1098
2010-06-30,126.26,90548488.0,310480.8819,15.3905,2.7234,1.1098
2010-07-31,127.47,78454285.0,313470.9379,15.5388,2.7496,1.1098
2010-08-31,117.96,68882091.0,290084.3276,14.3795,2.5445,1.158
2010-09-30,130.78,113688757.0,321598.7097,15.9417,2.8209,1.158
2010-10-31,134.85,90145707.0,331601.2232,16.4375,2.9087,1.158
2010-11-30,124.82,54152263.0,306944.9897,15.2153,2.6924,1.158
2010-12-31,131.78,42114535.0,324054.8689,16.0634,2.8425,1.158
2011-01-31,119.96,52478778.0,294996.5868,14.623,2.5876,1.158
2011-02-28,110.99,66036895.0,272938.8821,13.5296,2.3941,1.158
2011-03-31,128.84,79538236.0,316840.715,15.1894,24.1797,1.158
2011-04-30,125.88,47834046.0,309543.5185,14.8396,23.6228,1.158
2011-05-31,118.87,57580061.0,292315.0302,14.0137,22.308,1.158
2011-06-30,126.25,48444274.0,310457.1512,14.8834,23.6925,1.158
2011-07-31,123.64,50282006.0,304037.9765,14.5757,23.2027,1.158
2011-08-31,100.82,83207988.0,247926.7026,11.8857,18.9205,1.2063
2011-09-30,96.36,125070384.0,236951.2413,11.3595,18.0829,1.2063
2011-10-31,96.94,80125446.0,238375.0846,11.4278,18.1916,1.2063
2011-11-30,88.54,66642272.0,217729.358,10.438,16.616,1.2063
2011-12-31,84.2,79759977.0,207050.5339,9.9261,15.8011,1.2063
2012-01-31,100.27,90688375.0,246562.183,11.8203,18.8164,1.2063
2012-02-29,110.88,157004435.0,272665.9753,13.0717,20.8085,1.2063
2012-03-31,97.42,110845943.0,239561.6452,11.0637,1.8107,1.2063
2012-04-30,101.91,70216466.0,250596.4313,11.0637,1.8941,1.2063
2012-05-31,90.23,94556650.0,221882.2568,11.0637,1.6771,1.2063
2012-06-30,101.04,77528188.0,248460.6662,11.0637,1.878,1.2063
2012-07-31,94.81,63573208.0,233154.3501,11.0637,1.7623,1.2063
2012-08-31,96.02,66553328.0,236120.6904,11.0637,1.7847,1.2063
2012-09-30,103.21,103309505.0,253800.0788,11.0637,1.9184,1.2063
2012-10-31,102.34,83117248.0,251664.3138,11.0637,1.9022,1.2063
2012-11-30,104.03,56428836.0,255817.1902,11.0637,1.9336,1.2063
2012-12-31,106.49,73989088.0,261868.5245,11.0637,1.9793,1.2063
2013-01-31,97.56,57904082.0,239917.6061,11.0637,1.8134,1.2063
2013-02-28,91.1,66028672.0,224018.0219,11.0637,1.6933,1.2063
2013-03-31,93.12,51759197.0,229001.4736,11.0637,1.7831,1.2063
2013-04-30,91.39,53234554.0,224729.9436,11.0637,1.7499,1.2063
2013-05-31,86.27,71611388.0,212152.6605,11.0637,1.6519,1.2063
2013-06-30,83.28,65379484.0,204796.1365,11.0637,1.5946,1.2063
2013-07-31,84.97,48244508.0,208949.013,11.0637,1.627,1.1098
2013-08-31,73.2,99556473.0,179997.5313,11.0637,1.4016,1.1098
2013-09-30,78.31,113265954.0,192574.8144,11.0637,1.4995,1.1098
2013-10-31,79.28,70180539.0,194947.8866,11.0637,1.518,1.1098
2013-11-30,76.72,54250594.0,188659.2451,11.0637,1.469,1.1098
2013-12-31,88.15,115186250.0,216780.1515,11.0637,1.688,1.1098
2014-01-31,71.36,98705239.0,175488.694,11.0637,1.3664,1.1098
2014-02-28,76.04,81003619.0,186998.0945,11.0637,1.4561,1.1098
