TPWR IN Equity,price,volume,mc,pe,bm,div
2014-03-31,85.15,125137530.0,230356.507,11.0637,1.5757,1.1098
2014-04-30,78.1,91468160.0,211231.2316,11.0637,1.4453,1.1098
2014-05-31,103.8,247359797.0,280740.1003,11.0637,1.9208,1.1098
2014-06-30,107.8,187640494.0,291558.6013,11.0637,1.9949,1.1098
2014-07-31,97.75,133119296.0,264377.1176,11.0637,1.8089,1.25
2014-08-31,86.6,102629642.0,234220.5461,11.0637,1.6026,1.25
2014-09-30,83.05,111003691.0,224619.1265,11.0637,1.5369,1.25
2014-10-31,93.85,85459686.0,253829.0792,11.0637,1.7367,1.25
2014-11-30,93.0,76369147.0,251530.1477,11.0637,1.721,1.25
2014-12-31,82.15,75317394.0,222184.9638,11.0637,1.5202,1.25
2015-01-31,90.5,77023615.0,244768.5846,11.0637,1.6747,1.25
2015-02-28,86.85,104811912.0,234896.6813,11.0637,1.6072,1.25
2015-03-31,77.1,76817881.0,208526.6063,461.602,1.4219,1.25
2015-04-30,75.8,62611920.0,205010.5935,453.8188,1.3979,1.25
2015-05-31,74.55,83868365.0,201629.812,446.335,1.3749,1.25
2015-06-30,74.15,85594222.0,200548.2696,443.9402,1.3675,1.25
2015-07-31,68.45,68489055.0,185131.8821,409.814,1.2624,1.3
2015-08-31,60.55,92217453.0,163765.3098,362.5162,1.1167,1.3
2015-09-30,64.95,75864667.0,175665.6792,388.8593,1.1978,1.3
2015-10-31,68.85,76632795.0,186213.7338,412.2088,1.2698,1.3
2015-11-30,66.8,59916090.0,180669.2436,399.9353,1.232,1.3
2015-12-31,67.9,58519444.0,183644.3359,406.5211,1.2522,1.3
2016-01-31,60.1,70692121.0,162548.2266,359.8221,1.1084,1.3
2016-02-29,57.3,90789729.0,154975.2643,343.0583,1.0567,1.3
2016-03-31,64.65,103035962.0,174854.2904,31.8473,1.3314,1.3
2016-04-30,70.5,157657962.0,190676.3723,34.7291,1.4518,1.3
2016-05-31,73.75,98837860.0,199466.4178,36.33,1.5188,1.3
2016-06-30,73.35,107452175.0,198384.5661,36.133,1.5105,1.3
2016-07-31,72.0,96953633.0,194733.3164,35.468,1.4827,1.3
2016-08-31,78.5,161076301.0,212313.4075,38.67,1.6166,1.3
2016-09-30,75.4,114158348.0,203929.0563,37.1429,1.5528,1.3
2016-10-31,78.1,91801669.0,211231.5557,38.4729,1.6084,1.3
2016-11-30,74.05,99498023.0,200277.8067,36.4778,1.525,1.3
2016-12-31,75.9,126811588.0,205281.371,37.3892,1.5631,1.3
2017-01-31,79.8,78421637.0,215840.9203,39.3103,1.6434,1.3
2017-02-28,82.6,79351401.0,223414.2859,40.6897,1.701,1.3
2017-03-31,90.35,119822533.0,244376.2801,27.3788,1.6608,1.3
2017-04-30,84.3,119319833.0,228012.4008,25.5454,1.5496,1.3
2017-05-31,81.0,90672407.0,219086.6484,24.5454,1.4889,1.3
2017-06-30,80.55,90415650.0,217869.5004,24.4091,1.4806,1.3
2017-07-31,82.0,76866283.0,221791.4219,24.8485,1.5073,1.3
2017-08-31,79.25,94175598.0,214353.2949,24.0151,1.4567,1.3
2017-09-30,77.8,198856929.0,210431.3734,23.5758,1.4301,1.3
2017-10-31,84.9,99391144.0,229635.2648,25.7273,1.5606,1.3
2017-11-30,94.7,244116125.0,256142.0446,28.697,1.7407,1.3
2017-12-31,93.5,165878901.0,252896.3165,28.3333,1.7187,1.3
2018-01-31,89.0,241117410.0,240724.836,26.9697,1.636,1.3
2018-02-28,84.5,115619288.0,228553.3616,25.6061,1.5532,1.3
2018-03-31,79.0,112889798.0,213677.1073,9.0321,1.3029,1.3
2018-04-30,88.3,105007312.0,238831.5009,10.0954,1.4563,1.3
2018-05-31,81.3,133123572.0,219898.0864,9.2951,1.3409,1.3
2018-06-30,73.25,84233630.0,198124.6596,8.3747,1.2081,1.3
2018-07-31,74.55,90076609.0,201640.8652,8.5234,1.2295,1.3
2018-08-31,76.7,78543097.0,207456.1282,8.7692,1.265,1.3
2018-09-30,65.85,105351672.0,178109.3356,7.5287,1.086,1.3
2018-10-31,76.55,227621355.0,207050.4122,8.752,1.2625,1.3
2018-11-30,76.1,127977533.0,205833.2641,8.7006,1.2551,1.3
2018-12-31,76.8,143679905.0,207726.6056,8.7806,1.2666,1.3
2019-01-31,71.3,114063757.0,192850.3513,8.1518,1.1759,1.3
2019-02-28,65.45,111233911.0,177027.4262,7.483,1.0794,1.3
2019-03-31,73.8,155458621.0,199612.285,8.0507,1.0911,1.3
2019-04-30,67.8,168293731.0,183383.644,7.3962,1.0024,1.3
2019-05-31,68.8,164819759.0,186088.4175,7.5053,1.0172,1.3
2019-06-30,69.0,115939956.0,186629.3722,7.5271,1.0201,1.3
2019-07-31,60.55,176398000.0,163774.036,6.6053,0.8952,1.3
2019-08-31,56.75,206805083.0,153495.8967,6.1908,0.839,1.3
2019-09-30,62.5,274761533.0,169048.3444,6.818,0.924,1.3
2019-10-31,59.3,171155066.0,160393.0691,6.4689,0.8767,1.3
2019-11-30,57.35,216060053.0,155118.7608,6.2562,0.8479,1.3
2019-12-31,56.5,172392585.0,152819.7033,6.1635,0.8353,1.3
2020-01-31,58.1,181236620.0,157147.3409,6.338,0.859,1.3
2020-02-29,46.7,185705887.0,126312.9229,5.0944,0.6904,1.3
2020-03-31,32.85,297084967.0,88851.8098,6.2303,0.4544,1.3
2020-04-30,31.7,230693558.0,85741.3203,6.0122,0.4385,1.3
2020-05-31,36.55,879170494.0,98859.4718,6.9321,0.5056,1.3
2020-06-30,44.85,956041889.0,121309.0919,8.5063,0.6204,1.3
2020-07-31,48.7,747985545.0,131722.4699,9.2364,0.6736,1.55
2020-08-31,58.75,892883551.0,158905.4437,11.1425,0.8126,1.55
2020-09-30,53.3,563269549.0,170311.5979,10.1089,0.7373,1.55
2020-10-31,52.15,362748979.0,166636.9525,9.8908,0.7214,1.55
2020-11-30,64.9,591252916.0,207377.5305,12.3089,0.8977,1.55
2020-12-31,75.65,943143522.0,241727.4296,14.3478,1.0464,1.55
2021-01-31,75.4,733044362.0,240928.5948,14.3004,1.043,1.55
2021-02-28,95.15,1100459712.0,304036.549,18.0462,1.3161,1.55
2021-03-31,103.25,1715009418.0,329918.7985,26.5526,1.4781,1.55
2021-04-30,98.85,910766123.0,315859.3049,25.4211,1.4151,1.55
2021-05-31,106.45,832187925.0,340143.8848,27.3755,1.5239,1.55
2021-06-30,122.1,1612176095.0,390150.9472,31.4002,1.748,1.55
2021-07-31,125.0,624150873.0,399417.4434,32.146,1.7895,1.55
2021-08-31,129.05,746189357.0,412358.5685,33.1875,1.8474,1.55
2021-09-30,158.75,793285268.0,507260.1531,40.8254,2.2726,1.55
2021-10-31,214.3,2839593602.0,684761.2649,55.1111,3.0679,1.55
2021-11-30,216.8,1485720699.0,692749.6138,55.754,3.1037,1.55
2021-12-31,220.95,790919483.0,706010.2729,56.8213,3.1631,1.55
2022-01-31,246.05,701192133.0,786213.2955,63.2762,3.5224,1.55
2022-02-28,223.05,870459099.0,712720.486,57.3613,3.1931,1.55
2022-03-31,238.65,495079836.0,762567.7829,34.5192,3.3983,1.55
2022-04-30,242.35,1197541680.0,774390.5392,35.0544,3.451,1.55
2022-05-31,235.15,623217859.0,751384.0945,34.013,3.3485,1.55
2022-06-30,202.2,423249241.0,646097.6564,29.247,2.8793,1.75
2022-07-31,221.9,336094504.0,709045.8455,32.0965,3.1598,1.75
2022-08-31,236.95,409073818.0,757135.7057,34.2733,3.3741,1.75
2022-09-30,216.5,470354680.0,691791.0119,31.3154,3.0829,1.75
2022-10-31,226.0,213854619.0,722146.7376,32.6895,3.2182,1.75
2022-11-30,224.8,201073223.0,718312.3302,32.5159,3.2011,1.75
2022-12-31,207.7,259592999.0,663672.0239,30.0425,2.9576,1.75
2023-01-31,212.9,185915283.0,680287.7896,30.7947,3.0316,1.75
2023-02-28,202.55,201749087.0,647216.0252,29.2976,2.8842,1.75
2023-03-31,190.25,213415502.0,607913.3488,18.2219,2.1119,1.75
2023-04-30,201.1,120299085.0,642582.7829,19.2611,2.2323,1.75
2023-05-31,213.55,212545447.0,682364.7603,20.4535,2.3705,1.75
2023-06-30,221.85,204203361.0,708886.0785,21.2485,2.4627,2.0
2023-07-31,236.7,264633402.0,756336.8708,22.6708,2.6275,2.0
2023-08-31,245.1,320043380.0,783177.723,23.4754,2.7208,2.0
2023-09-30,262.3,307820343.0,838137.5632,25.1228,2.9117,2.0
2023-10-31,239.35,153920780.0,764804.5206,22.9246,2.6569,2.0
2023-11-30,267.9,227610785.0,856031.4646,25.6591,2.9739,2.0
2023-12-31,332.15,706204275.0,1061332.031,31.8129,3.6871,2.0
2024-01-31,389.75,454387618.0,1245383.588,37.3298,4.3265,2.0
2024-02-29,371.75,353879931.0,1187867.477,35.6057,4.1267,2.0
2024-03-31,394.2,469923949.0,1259602.849,34.1003,3.893,2.0
2024-04-30,449.25,364852268.0,1435506.292,38.8625,4.4367,2.0
2024-05-31,436.75,323536368.0,1395564.547,37.7811,4.3133,2.0
2024-06-30,440.6,315437364.0,1407866.604,38.1142,4.3513,2.0
2024-07-31,453.6,280120647.0,1449406.019,39.2388,4.4797,2.0
2024-08-31,434.65,344731013.0,1388854.334,37.5995,4.2925,2.0
2024-09-30,482.6,366576429.0,1542070.865,41.7474,4.7661,2.0
2024-10-31,440.05,321693891.0,1406109.168,38.0666,4.3458,2.0
2024-11-30,414.15,213693088.0,1323349.873,35.8261,4.0901,2.0
2024-12-31,392.4,217174300.0,1253851.238,33.9446,3.8753,2.0
2025-01-31,364.5,190758931.0,1164701.265,31.5311,3.5997,2.0
2025-02-28,339.2,161839159.0,1083859.174,29.3426,3.3499,2.0
2025-03-31,375.4,129804058.0,1199530.466,30.2254,3.3468,2.0
2025-04-30,384.4,144723211.0,1228288.522,30.9501,3.4271,2.0
2025-05-31,392.8,156310651.0,1255129.374,31.6264,3.502,2.0
2025-06-30,405.45,129187158.0,1295550.419,32.6449,3.6147,2.25
2025-07-31,397.75,134432710.0,1270946.305,32.025,3.5461,2.25
2025-08-31,374.15,95982525.0,1195536.292,30.1248,3.3357,2.25
2025-09-30,388.65,91349373.0,1241868.715,31.2923,3.465,2.25
2025-10-31,404.9,110842674.0,1293792.983,32.6006,3.6098,2.25
2025-11-30,390.1,104523631.0,1246501.957,31.409,3.4779,2.25
2025-12-31,379.6,90385204.0,1212950.892,30.5636,3.3843,2.25
2026-01-31,366.3,96740034.0,1170452.876,29.4928,3.2657,2.25
2026-02-28,377.55,79753063.0,1206400.446,30.3986,3.366,2.25
2026-03-31,376.65,18217800.0,1203524.621,30.3261,3.358,2.25
