FML IN Equity,price,volume,mc,pe,bm,div
2002-03-31,100.0,5976.0,1317.62,76.7429,1.1552,0.0
2002-04-30,100.65,31409.0,1326.1845,77.2417,1.1627,0.0
2002-05-31,94.25,7892.0,1241.8568,72.3302,1.0888,0.0
2002-06-30,116.8,9643.0,1538.9801,89.6357,1.3493,0.0
2002-07-31,104.0,68107.0,1370.3248,79.8126,1.2014,0.0
2002-08-31,99.7,28612.0,1313.6671,76.5127,1.1517,0.0
2002-09-30,96.45,21037.0,1270.8445,74.0185,1.1142,0.0
2002-10-31,95.0,12197.0,1251.739,72.9058,1.0974,0.0
2002-11-30,108.15,28330.0,1425.006,82.9975,1.2494,0.0
2002-12-31,107.2,59389.0,1412.4886,82.2684,1.2384,0.0
2003-01-31,100.0,30191.0,1317.62,76.7429,1.1552,0.0
2003-02-28,99.9,26422.0,1316.3024,76.6662,1.154,0.0
2003-03-31,90.0,24224.0,1185.858,3.6727,0.8538,0.0
2003-04-30,90.0,9743.0,1185.858,3.6727,0.8538,0.0
2003-05-31,118.5,61919.0,1561.3797,4.8357,1.1242,0.0
2003-06-30,165.05,195644.0,2174.7318,6.7353,1.5658,0.0
2003-07-31,236.0,929514.0,3109.5832,9.6307,2.2389,0.0
2003-08-31,275.05,502286.0,3624.1138,11.2242,2.6094,0.0
2003-09-30,391.4,442601.0,5157.1646,15.9722,3.7132,5.0
2003-10-31,420.65,268363.0,5542.5685,17.1658,3.9907,5.0
2003-11-30,402.7,117138.0,5306.0557,16.4333,3.8204,5.0
2003-12-31,366.7,131686.0,4831.7125,14.9643,3.4788,5.0
2004-01-31,416.1,154717.0,5482.6168,16.9802,3.9475,5.0
2004-02-29,391.4,184021.0,5157.1646,15.9722,3.7132,5.0
2004-03-31,319.35,128159.0,4207.8194,9.4978,2.1912,5.0
2004-04-30,312.0,69399.0,4110.9744,9.2792,2.1407,5.0
2004-05-31,243.35,108118.0,3206.4282,7.2375,1.6697,5.0
2004-06-30,235.75,45181.0,3106.2891,7.0115,1.6176,5.0
2004-07-31,218.0,49404.0,2872.4116,6.4836,1.4958,5.0
2004-08-31,255.95,130699.0,3372.4484,7.6122,1.7562,5.0
2004-09-30,277.1,224452.0,3651.125,8.2413,1.9013,7.0
2004-10-31,247.45,97863.0,3260.4754,7.3594,1.6978,7.0
2004-11-30,277.4,206527.0,3655.1056,8.2502,1.9033,7.0
2004-12-31,283.15,203560.0,3730.8694,8.4212,1.9428,7.0
2005-01-31,253.9,71557.0,3345.4626,7.5513,1.7421,7.0
2005-02-28,303.95,255165.0,4004.9364,9.0398,2.0855,7.0
2005-03-31,318.7,373461.0,4199.2868,148.0591,2.1549,7.0
2005-04-30,288.0,65869.0,3794.7744,133.7967,1.9473,7.0
2005-05-31,300.2,114822.0,3955.5253,139.4645,2.0298,7.0
2005-06-30,268.85,57214.0,3542.4483,124.9002,1.8178,7.0
2005-07-31,275.5,53587.0,3630.0707,127.9896,1.8628,7.0
2005-08-31,352.85,276621.0,4649.2575,163.9242,2.3858,7.0
2005-09-30,378.7,338900.0,4989.8648,175.9334,2.5606,7.0
2005-10-31,370.5,246971.0,4881.8192,172.1239,2.5052,7.0
2005-11-30,368.15,73062.0,4850.8549,171.0322,2.4893,0.0
2005-12-31,332.0,103245.0,4374.5316,154.2379,2.2448,0.0
