VBL IN Equity,price,volume,mc,pe,bm,div
2016-11-30,26.04,459415496.0,79940.4016,51.9941,8.716,0.0
2016-12-31,22.55,13537108.0,69241.652,130.3253,4.0966,0.0
2017-01-31,23.56,8911806.0,72343.9255,136.1644,4.2801,0.0
2017-02-28,23.13,16281928.0,71156.5807,133.6644,4.2015,0.0
2017-03-31,24.0,44383967.0,73867.7095,138.6815,4.3592,0.0
2017-04-30,27.87,50797716.0,85797.4495,161.0788,5.0632,0.0
2017-05-31,29.52,65691911.0,90917.4146,170.5993,5.3625,0.0
2017-06-30,31.69,50539326.0,97615.5359,183.1678,5.7576,0.0
2017-07-31,29.52,68349218.0,90926.5401,170.6164,5.363,0.0
2017-08-31,31.03,51990154.0,95571.4225,179.3322,5.637,0.1481
2017-09-30,30.25,9577052.0,93204.4487,174.8459,5.496,0.1481
2017-10-31,29.82,4630365.0,91862.6551,172.3288,5.4169,0.1481
2017-11-30,30.12,29348713.0,92799.8112,174.0582,5.4712,0.1481
2017-12-31,38.71,53149331.0,119274.9172,56.7057,6.7409,0.1481
2018-01-31,40.93,256009208.0,126112.7981,59.9566,7.1273,0.1481
2018-02-28,38.47,25023364.0,118525.4263,56.3455,6.6981,0.1481
2018-03-31,37.3,22830846.0,114928.2134,54.6354,6.4948,0.1481
2018-04-30,38.76,22612348.0,119439.1053,56.7752,6.7491,0.1481
2018-05-31,45.23,68029892.0,139380.624,66.2543,7.876,0.1481
2018-06-30,44.66,34471862.0,137618.3927,65.4167,7.7764,0.1481
2018-07-31,44.6,77681396.0,137435.7781,65.3299,7.7661,0.1481
2018-08-31,48.55,38090993.0,149632.1509,71.1198,8.4543,0.1481
2018-09-30,43.78,19571642.0,134939.2343,64.1363,7.6242,0.1481
2018-10-31,48.33,16201519.0,148965.5363,70.803,8.4167,0.1481
2018-11-30,45.96,43082533.0,141641.9073,67.322,8.0029,0.1481
2018-12-31,46.48,23068884.0,143264.3377,48.9027,7.1686,0.1481
2019-01-31,48.63,30354986.0,149894.2402,51.1658,7.5003,0.1481
2019-02-28,47.95,37393329.0,147775.5937,50.4426,7.3943,0.1481
2019-03-31,51.36,66973770.0,158294.9441,54.0305,7.9203,0.1481
2019-04-30,51.9,46851210.0,159957.073,54.5979,8.0034,0.1481
2019-05-31,55.29,55886288.0,170413.8728,58.1671,8.5266,0.1481
2019-06-30,56.11,36537784.0,172934.4639,59.0274,8.6527,0.1481
2019-07-31,56.79,33836687.0,175047.6352,59.7475,8.7583,0.1481
2019-08-31,57.44,36284648.0,177061.4091,60.4349,8.8591,0.2222
2019-09-30,55.48,86990940.0,180170.6302,58.3635,8.5554,0.2222
2019-10-31,55.12,52190550.0,179030.3097,57.9941,8.5013,0.2222
2019-11-30,64.28,135050400.0,208779.6823,67.6309,9.9139,0.2222
2019-12-31,62.99,37105425.0,204564.827,42.1034,6.146,0.2222
2020-01-31,68.19,57468353.0,221453.1171,45.5793,6.6534,0.2222
2020-02-29,72.28,82138950.0,234732.7982,48.3125,7.0524,0.2222
2020-03-31,47.06,71451124.0,152846.2428,31.4587,4.5922,0.2222
2020-04-30,59.52,50796450.0,193291.5325,39.7831,5.8073,0.2222
2020-05-31,56.15,66863115.0,182350.23,37.5312,5.4786,0.2222
2020-06-30,60.53,123323063.0,196582.5839,40.4605,5.9062,0.2222
2020-07-31,62.94,71355634.0,204420.4826,42.0737,6.1417,0.2222
2020-08-31,65.42,62352439.0,212474.8979,43.7314,6.3837,0.2222
2020-09-30,62.07,59327179.0,201591.3332,41.4914,6.0567,0.2222
2020-10-31,58.21,76030898.0,189062.2434,38.9127,5.6802,0.2222
2020-11-30,77.46,114754140.0,251563.3515,51.7766,7.558,0.2222
2020-12-31,81.43,98140511.0,264453.3029,80.3553,7.5043,0.2222
2021-01-31,79.88,75683610.0,259415.6847,78.8246,7.3614,0.2222
2021-02-28,92.71,125834850.0,301087.9016,91.4868,8.5439,0.2222
2021-03-31,89.15,85505231.0,289540.3527,87.9781,8.2162,0.2222
2021-04-30,84.49,71780929.0,274413.0637,83.3816,7.787,0.2222
2021-05-31,89.92,98874428.0,292023.0757,88.7325,8.2867,0.2222
2021-06-30,97.28,121655453.0,315940.9184,96.0,8.9654,0.2222
2021-07-31,101.57,62810063.0,329884.6003,100.2368,9.3611,0.2222
2021-08-31,112.93,117212498.0,366757.3671,111.4408,10.4074,0.3333
2021-09-30,119.68,119374875.0,388690.4926,118.1053,11.0298,0.3333
2021-10-31,113.25,82275188.0,367796.6465,111.7566,10.4369,0.3333
2021-11-30,118.86,87107813.0,386027.3392,117.2961,10.9542,0.3333
