MANKIND IN Equity,price,volume,mc,pe,bm,div
2023-05-31,1360.0,54076579.0,544800.2784,42.5,7.3273,0.0
2023-06-30,1706.8,14578646.0,683724.3494,53.3375,9.1957,0.0
2023-07-31,1742.75,7971708.0,698125.5038,54.4609,9.3894,0.0
2023-08-31,1802.9,10794298.0,722220.8985,56.3406,9.7135,0.0
2023-09-30,1795.3,5438110.0,719176.4263,56.1031,9.6726,0.0
2023-10-31,1741.55,2883111.0,697644.7977,54.4234,9.383,0.0
2023-11-30,1897.6,5108661.0,760156.6237,59.3,10.2237,0.0
2023-12-31,1982.5,56718063.0,794166.5823,61.9531,10.6811,0.0
2024-01-31,1999.95,9636144.0,801156.8506,62.4984,10.7752,0.0
2024-02-29,2135.6,12002138.0,855496.6725,66.7375,11.506,0.0
2024-03-31,2300.75,26098092.0,921653.8533,48.2057,9.8435,0.0
2024-04-30,2364.4,8152080.0,947151.3075,49.5393,10.1158,0.0
2024-05-31,2139.75,30615176.0,857259.0365,44.8324,9.1547,0.0
2024-06-30,2129.2,10096586.0,853032.3358,44.6113,9.1095,0.0
2024-07-31,2028.1,16529961.0,812528.1234,42.4931,8.677,0.0
2024-08-31,2487.75,16407333.0,996702.4543,52.1237,10.6435,0.0
2024-09-30,2520.7,13832513.0,1009903.679,52.8141,10.7845,0.0
2024-10-31,2667.35,6965587.0,1068658.142,55.8867,11.4119,0.0
2024-11-30,2561.2,6556094.0,1026175.868,53.6627,10.9578,0.0
2024-12-31,2880.4,12963126.0,1188357.696,60.3506,12.3234,0.0
2025-01-31,2435.4,15305859.0,1004765.426,51.0269,10.4196,0.0
2025-02-28,2290.6,13589801.0,945052.3739,47.993,9.8001,0.0
2025-03-31,2424.75,13209495.0,1000399.783,50.3617,6.98,0.0
2025-04-30,2465.3,8634983.0,1017129.843,51.2039,7.0967,0.0
2025-05-31,2467.7,7222621.0,1018348.323,51.2538,7.1036,0.0
2025-06-30,2319.8,7981418.0,957448.1496,48.1819,6.6779,0.0
2025-07-31,2567.2,21384911.0,1059557.242,53.3204,7.3901,0.0
2025-08-31,2471.4,10883966.0,1020017.828,51.3306,7.1143,1.0
2025-09-30,2435.7,7719123.0,1005355.854,50.5891,7.0115,1.0
2025-10-31,2384.0,6630362.0,984016.2402,49.5153,6.8627,1.0
2025-11-30,2251.0,13929416.0,929119.361,46.7529,6.4798,1.0
2025-12-31,2196.5,10738797.0,906726.3406,45.621,6.3229,1.0
2026-01-31,2124.0,7723360.0,876797.9729,44.1152,6.1142,1.0
2026-02-28,2247.6,10982405.0,927820.6798,46.6823,6.47,1.0
2026-03-31,2225.7,1593782.0,918780.2286,46.2275,6.407,1.0
