SHFL IN Equity,price,volume,mc,pe,bm,div
2009-03-31,35.9,3521737.0,37486.9092,6.1176,1.6182,0.9744
2009-04-30,43.15,65437665.0,45067.7309,7.3547,1.9454,0.9744
2009-05-31,56.17,71302100.0,58662.3321,9.5732,2.5322,0.9744
2009-06-30,58.82,42125575.0,61430.0952,10.0249,2.6517,0.9744
2009-07-31,59.54,21394602.0,62193.4213,10.1478,2.6842,0.9744
2009-08-31,70.84,81638687.0,73988.9008,12.0724,3.1933,0.9744
2009-09-30,74.17,59724617.0,80514.3341,12.6403,3.3435,0.9744
2009-10-31,76.01,48548478.0,82550.6519,12.9542,3.4265,0.9744
2009-11-30,82.88,13561481.0,90011.0044,14.1249,3.7362,1.1692
2009-12-31,95.08,26006181.0,103259.7438,16.2039,4.2861,1.1692
2010-01-31,95.45,46521148.0,104216.9977,16.267,4.3028,1.1692
2010-02-28,89.76,23491368.0,103373.8884,15.2972,4.0463,1.1692
2010-03-31,102.63,51299057.0,118197.695,12.8201,3.0896,1.1692
2010-04-30,110.59,41365044.0,127981.3555,13.8145,3.3293,1.1692
2010-05-31,111.55,49758229.0,129097.6686,13.935,3.3583,1.1692
2010-06-30,112.32,27831120.0,129988.464,14.0312,3.3815,1.1692
2010-07-31,128.9,33362544.0,149168.7534,16.1015,3.8804,1.1692
2010-08-31,139.92,70961043.0,161921.7854,17.4781,4.2122,1.1692
2010-09-30,151.18,53576384.0,174972.5299,18.8851,4.5513,1.1692
2010-10-31,171.76,59039783.0,198789.3631,21.4557,5.1708,1.1692
2010-11-30,158.34,46589665.0,183261.0585,19.7797,4.7669,1.2667
2010-12-31,152.2,56460749.0,176642.7952,19.0129,4.5821,1.2667
2011-01-31,133.83,32060295.0,155315.8645,16.7174,4.0289,1.2667
2011-02-28,145.33,43216478.0,168670.6542,18.1548,4.3753,1.2667
2011-03-31,155.12,42562706.0,180023.9216,14.7626,3.6789,1.2667
2011-04-30,151.01,33458485.0,175251.9307,14.3713,3.5814,1.2667
2011-05-31,137.02,201571689.0,159041.348,13.0406,3.2498,1.2667
2011-06-30,120.17,86601724.0,139476.4236,11.4364,2.85,1.2667
2011-07-31,124.82,66229046.0,144882.2235,11.8796,2.9605,1.2667
2011-08-31,123.37,68512926.0,143197.152,11.7415,2.9261,1.2667
