USM IN Equity,price,volume,mc,pe,bm,div
2002-03-31,5.4,973965.0,713.178,16.0672,0.2054,0.5
2002-04-30,5.88,976410.0,776.5716,17.4954,0.2236,0.5
2002-05-31,5.3,719090.0,699.971,15.7696,0.2016,0.5
2002-06-30,8.11,13216560.0,1071.0877,24.1305,0.3085,0.5
2002-07-31,5.6,3003870.0,739.592,16.6622,0.213,0.5
2002-08-31,5.02,796740.0,662.9914,14.9365,0.1909,0.1
2002-09-30,4.68,210785.0,618.0876,13.9249,0.178,0.1
2002-10-31,5.75,382445.0,759.4025,17.1086,0.2187,0.1
2002-11-30,5.86,174385.0,773.9302,17.4358,0.2229,0.1
2002-12-31,5.51,550815.0,727.7057,16.3945,0.2096,0.1
2003-01-31,5.61,1204995.0,740.9127,16.692,0.2134,0.1
2003-02-28,5.67,698930.0,748.8369,16.8705,0.2157,0.1
2003-03-31,5.26,1381725.0,694.6882,25.8569,0.2558,0.1
2003-04-30,4.82,185010.0,636.5774,23.694,0.2344,0.1
2003-05-31,5.57,4058435.0,735.6299,27.3808,0.2709,0.1
2003-06-30,6.83,8334960.0,902.0381,33.5747,0.3322,0.1
2003-07-31,7.29,12689960.0,1349.5467,35.836,0.3546,0.1
2003-08-31,7.8,11364595.0,1443.9594,38.343,0.3794,0.1
2003-09-30,10.46,10032635.0,1936.3866,51.4189,0.5087,0.1
2003-10-31,8.75,7599140.0,1619.8263,43.013,0.4256,0.1
2003-11-30,9.43,4100255.0,1745.7099,46.3557,0.4586,0.1
2003-12-31,10.48,5196275.0,1940.0891,51.5173,0.5097,0.1
2004-01-31,8.36,4482625.0,1547.6283,41.0958,0.4066,0.1
2004-02-29,8.1,559435.0,1499.4963,39.8177,0.394,0.1
2004-03-31,7.57,1303325.0,1401.3811,8.5658,0.357,0.1
2004-04-30,8.61,987015.0,1593.9091,9.7427,0.4061,0.1
2004-05-31,7.45,801965.0,1379.1664,8.4301,0.3514,0.1
2004-06-30,7.56,352040.0,1399.5299,8.5545,0.3566,0.1
2004-07-31,10.31,1775990.0,1908.6182,11.6663,0.4863,0.15
2004-08-31,10.72,3375645.0,1984.5186,12.1302,0.5056,0.15
2004-09-30,13.3,10596460.0,2462.136,15.0496,0.6273,0.15
2004-10-31,13.97,6289745.0,2586.1684,15.8078,0.6589,0.15
2004-11-30,16.94,15435320.0,3135.9837,19.1685,0.799,0.15
2004-12-31,17.61,6701525.0,3260.0161,19.9266,0.8306,0.15
2005-01-31,16.16,14087885.0,2991.5878,18.2859,0.7622,0.15
2005-02-28,15.97,18628600.0,2956.4144,18.0709,0.7532,0.15
2005-03-31,18.44,128312030.0,3413.6682,6.8161,0.8105,0.15
2005-04-30,15.86,30233745.0,2936.0509,5.8625,0.6971,0.15
2005-05-31,16.78,37186330.0,3106.364,6.2025,0.7375,0.15
2005-06-30,15.06,15885990.0,2787.9525,5.5668,0.6619,0.15
2005-07-31,20.87,77528520.0,3863.5171,7.7144,0.9173,0.3
2005-08-31,30.89,140015355.0,5718.4496,11.4181,1.3577,0.3
2005-09-30,38.18,257244065.0,7067.9963,14.1128,1.6781,0.3
2005-10-31,31.75,45814840.0,5877.6554,11.736,1.3955,0.3
2005-11-30,35.92,41079655.0,6649.6183,13.2774,1.5788,0.3
2005-12-31,33.89,39608205.0,7497.8917,12.5271,1.4896,0.3
2006-01-31,32.1,17142355.0,7101.8685,11.8654,1.4109,0.3
2006-02-28,33.62,22801665.0,7438.1563,12.4273,1.4777,0.3
2006-03-31,37.25,33299050.0,8241.2648,8.8579,1.3506,0.3
2006-04-30,44.8,47430130.0,9747.9229,10.6532,1.6243,0.3
2006-05-31,38.06,27260670.0,8420.4708,9.0505,1.3799,0.3
