GUJGA IN Equity,price,volume,mc,pe,bm,div
2015-09-30,103.72,3122550.0,71399.8234,15.9914,3.5523,0.0
2015-10-31,111.04,22506515.0,76438.8391,17.12,3.803,0.0
2015-11-30,115.01,13537140.0,79171.7479,17.732,3.9389,0.0
2015-12-31,124.93,14018470.0,86000.5779,19.2615,4.2787,1.0
2016-01-31,114.46,12187605.0,78793.1333,17.6472,3.9201,1.0
2016-02-29,96.23,6167320.0,66243.7814,14.8366,3.2957,1.0
2016-03-31,110.51,13608200.0,76073.9923,40.0399,4.9941,1.0
2016-04-30,107.16,2655770.0,73767.8854,38.8261,4.8427,1.0
2016-05-31,104.25,4599315.0,71764.6702,37.7717,4.7112,1.0
2016-06-30,111.53,12760200.0,76776.1502,40.4094,5.0402,1.0
2016-07-31,118.36,5071140.0,81477.8548,42.8841,5.3488,1.0
2016-08-31,127.57,7568500.0,87817.9278,46.221,5.765,1.0
2016-09-30,114.87,6732830.0,79075.3733,41.6196,5.1911,0.5
2016-10-31,115.68,17197405.0,79632.9693,41.913,5.2277,0.5
2016-11-30,109.27,8249015.0,75220.3886,39.5906,4.938,0.5
2016-12-31,104.61,3540625.0,72012.4906,37.9022,4.7274,0.5
2017-01-31,114.16,11686895.0,78586.6163,41.3623,5.159,0.5
2017-02-28,124.97,8870045.0,86028.1135,45.279,5.6475,0.5
2017-03-31,153.75,20808735.0,105839.9812,47.9869,6.3616,0.5
2017-04-30,168.93,17221355.0,116289.7432,52.7247,6.9897,0.5
2017-05-31,152.3,9185265.0,104841.8155,47.5343,6.3017,0.5
2017-06-30,148.61,8865600.0,102301.656,46.3826,6.149,0.5
2017-07-31,151.75,5734315.0,104463.2009,47.3627,6.2789,0.5
2017-08-31,155.8,6247890.0,107251.1809,48.6267,6.4465,0.5
2017-09-30,167.51,6735460.0,115312.2292,52.2815,6.931,0.6
2017-10-31,182.49,7850445.0,125624.3133,56.9569,7.5508,0.6
2017-11-30,175.82,9611385.0,121032.7535,54.8752,7.2748,0.6
2017-12-31,168.11,6292005.0,115725.2656,52.4688,6.9558,0.6
2018-01-31,167.15,5269820.0,115064.4111,52.1692,6.9161,0.6
2018-02-28,174.0,2956810.0,119779.8817,54.3071,7.1995,0.6
2018-03-31,166.64,200824875.0,114713.3304,39.2279,6.1463,0.6
2018-04-30,176.82,2033700.0,121721.1419,41.6243,6.5218,0.6
2018-05-31,173.21,2773035.0,119236.0536,40.7745,6.3886,0.6
2018-06-30,145.82,9441895.0,100381.048,34.3267,5.3784,0.6
2018-07-31,157.64,3913030.0,108517.8193,37.1092,5.8143,0.6
2018-08-31,154.89,4559740.0,106624.7465,36.4619,5.7129,0.6
2018-09-30,125.86,6036860.0,86640.7811,29.6281,4.6422,0.8
2018-10-31,125.54,4734000.0,86420.4963,29.5527,4.6304,0.8
2018-11-30,128.58,7507300.0,88513.2023,30.2684,4.7425,0.8
