TTAN IN Equity,price,volume,mc,pe,bm,div
2018-03-31,942.3,54597935.0,836560.8986,74.4313,16.436,2.6
2018-04-30,981.8,59610945.0,871628.4519,77.5513,17.125,2.6
2018-05-31,900.1,55676680.0,799096.3226,71.0979,15.7,2.6
2018-06-30,878.5,54842926.0,779920.1416,64.0773,14.588,2.6
2018-07-31,912.35,71038070.0,809971.7031,66.5463,14.588,3.75
2018-08-31,891.9,58980635.0,791816.4761,65.0547,14.588,3.75
2018-09-30,805.6,72346777.0,715200.5305,57.7077,13.2784,3.75
2018-10-31,844.6,79346394.0,749824.1907,60.5014,13.9212,3.75
2018-11-30,927.1,63222339.0,823066.5489,66.4112,15.281,3.75
2018-12-31,931.0,61316923.0,826528.915,60.5725,15.2085,3.75
2019-01-31,995.8,47992257.0,884057.4581,64.7885,15.2085,3.75
2019-02-28,1025.2,56904924.0,910158.3712,66.7014,15.2085,3.75
2019-03-31,1141.85,44013035.0,1013718.627,72.2233,16.7003,3.75
2019-04-30,1158.55,35164098.0,1028544.656,73.2796,16.9446,3.75
2019-05-31,1235.75,56228933.0,1097081.747,78.1626,18.0737,3.75
2019-06-30,1334.7,33302455.0,1184928.188,82.3889,19.4404,3.75
2019-07-31,1056.35,85311972.0,937812.9101,65.2068,19.4404,5.0
2019-08-31,1105.1,52917848.0,981092.4854,68.216,19.4404,5.0
2019-09-30,1273.05,53729448.0,1130196.171,78.7778,18.6293,5.0
2019-10-31,1331.2,43823745.0,1181820.936,82.3762,19.4802,5.0
2019-11-30,1159.7,63283443.0,1029565.61,71.7636,16.9706,5.0
2019-12-31,1187.95,40949511.0,1054645.569,70.4597,17.4688,5.0
2020-01-31,1187.75,48243057.0,1054468.012,70.4478,17.4688,5.0
2020-02-29,1254.5,53001473.0,1113727.738,74.4069,17.4688,5.0
2020-03-31,933.7,75084197.0,828925.9376,55.6436,12.4302,5.0
2020-04-30,970.05,84886201.0,861196.9645,57.8099,12.9141,5.0
2020-05-31,890.0,74273807.0,790129.6824,53.0393,11.8484,5.0
2020-06-30,949.85,105022905.0,843263.6841,101.2633,12.7464,5.0
2020-07-31,1043.25,82675051.0,926182.9114,111.2207,12.7464,5.0
2020-08-31,1100.5,87868224.0,977008.6691,117.3241,12.7464,4.0
2020-09-30,1201.35,64917704.0,1066541.903,151.3035,16.8008,4.0
2020-10-31,1165.75,66310347.0,1034936.685,146.8199,16.3029,4.0
2020-11-30,1361.2,68227941.0,1208454.484,171.4358,19.0363,4.0
2020-12-31,1567.15,53734472.0,1391294.038,184.1539,21.713,4.0
2021-01-31,1420.3,45249688.0,1260922.645,166.8978,21.713,4.0
2021-02-28,1406.9,53292756.0,1249026.311,165.3231,21.713,4.0
2021-03-31,1558.05,39909340.0,1383215.185,142.0283,18.4963,4.0
2021-04-30,1491.65,36713830.0,1324266.185,135.9754,17.708,4.0
2021-05-31,1596.25,43410596.0,1417128.615,145.5105,18.9497,4.0
2021-06-30,1732.5,39643459.0,1538089.475,119.7305,20.5565,4.0
2021-07-31,1714.55,24233179.0,1522153.761,118.49,20.5565,4.0
