PLM IN Equity,price,volume,mc,pe,bm,div
2019-12-31,218.05,549514.0,19242.254,20.3405,4.7025,2.0
2020-01-31,272.4,1599904.0,24038.4774,25.4104,4.7025,2.0
2020-02-29,297.3,2648209.0,26235.8272,27.7332,4.7025,4.0
2020-03-31,233.05,2055789.0,20565.9587,21.4595,4.7297,4.0
2020-04-30,227.0,1283956.0,20032.0645,20.9024,4.6069,4.0
2020-05-31,292.3,2738860.0,25794.5923,26.9153,5.9322,4.0
2020-06-30,294.4,3038244.0,25979.9109,25.2704,5.918,4.0
2020-07-31,390.2,8684532.0,34433.9716,33.4936,5.918,4.0
2020-08-31,400.85,4627681.0,35373.8019,34.4077,5.918,4.0
2020-09-30,458.55,7734785.0,40465.6527,36.9798,8.1504,2.0
2020-10-31,481.35,4222891.0,42477.6833,38.8185,8.5556,2.0
2020-11-30,489.6,1762858.0,43205.7312,39.4839,8.7023,2.0
2020-12-31,506.2,3081355.0,44670.6208,37.3029,9.1022,2.0
2021-01-31,506.55,2376167.0,44701.5072,37.3287,9.1022,2.0
2021-02-28,704.05,10215476.0,67504.7125,51.8828,9.1022,2.0
2021-03-31,822.35,4272425.0,78847.3835,53.8893,8.1659,2.0
2021-04-30,992.75,3661038.0,95185.4319,65.0557,9.8579,0.0
2021-05-31,1018.15,6000131.0,97620.7983,66.7202,10.1102,0.0
2021-06-30,1016.55,4397808.0,97467.3894,62.9443,9.9731,0.0
2021-07-31,981.6,3040333.0,94116.3646,60.7802,9.9731,0.0
2021-08-31,954.5,2834263.0,91518.0012,59.1022,9.9731,0.0
2021-09-30,927.15,2853053.0,88895.6677,57.3377,8.7343,2.5
2021-10-31,923.65,1571930.0,88560.0857,57.1212,8.7013,2.5
2021-11-30,1036.8,2263795.0,99408.9719,64.1187,9.7673,2.5
2021-12-31,957.95,1799538.0,91867.7326,59.7075,8.9651,2.5
2022-01-31,901.1,1219964.0,86415.7982,56.1642,8.9651,2.5
2022-02-28,798.4,1813594.0,76566.8331,49.763,8.9651,2.5
2022-03-31,949.5,2574066.0,91057.3747,61.0452,8.3732,2.5
2022-04-30,872.9,771456.0,83711.4085,56.1205,7.6977,2.5
2022-05-31,749.8,1214112.0,71906.0764,48.2061,6.6122,2.5
2022-06-30,750.85,873897.0,72006.7718,51.976,6.4922,2.5
2022-07-31,730.25,679512.0,70031.2247,50.55,6.4922,2.5
2022-08-31,851.8,2356407.0,81687.9113,58.964,6.4922,2.5
2022-09-30,865.2,2157070.0,82988.3332,57.7335,7.3152,2.5
2022-10-31,921.35,1234941.0,88374.1341,61.4803,7.79,2.5
2022-11-30,977.7,1557539.0,93779.1185,65.2404,8.2664,2.5
2022-12-31,897.85,664540.0,86120.0589,55.0084,7.5837,2.5
2023-01-31,895.35,449785.0,85880.2637,54.8552,7.5837,2.5
2023-02-28,936.85,605375.0,89860.8645,57.3978,7.5837,2.5
2023-03-31,952.65,2996765.0,91401.3774,50.9928,7.3614,2.5
2023-04-30,978.8,769119.0,93910.3219,52.3925,7.5635,2.5
2023-05-31,975.3,1498584.0,93574.5168,52.2052,7.5364,2.5
2023-06-30,1149.9,5663935.0,110326.3989,51.3119,8.8837,2.5
2023-07-31,1236.15,5166586.0,118601.5984,55.1606,8.8837,2.5
2023-08-31,1464.6,6402523.0,140520.0833,65.3548,8.8837,2.5
2023-09-30,1374.15,2475766.0,131841.9176,56.4101,9.8535,3.0
2023-10-31,1405.8,1294606.0,134878.556,57.7094,10.0804,3.0
2023-11-30,1525.65,2502029.0,146377.4854,62.6293,10.9398,3.0
2023-12-31,1489.9,2230478.0,142947.4751,57.4585,10.7745,3.0
2024-01-31,1456.65,1588389.0,139757.3258,56.1762,10.7745,3.0
2024-02-29,1563.15,4154223.0,150016.6263,60.2835,10.7745,3.0
2024-03-31,1589.2,1228280.0,152516.6635,59.0282,10.375,3.0
2024-04-30,1643.2,1298774.0,157700.2324,61.034,10.7275,3.0
2024-05-31,1802.25,2827850.0,172964.4863,66.9416,11.7659,3.0
2024-06-30,1930.55,4396903.0,185277.6191,68.7207,12.7164,3.0
2024-07-31,1871.6,2478628.0,179620.1041,66.6223,12.7164,3.0
2024-08-31,2338.25,3489681.0,236842.6636,83.2333,12.7164,3.0
2024-09-30,2314.75,3464752.0,234462.3353,76.5289,9.0482,3.0
2024-10-31,2874.3,4771155.0,291139.471,95.0284,11.2354,3.0
2024-11-30,2782.6,5828112.0,281948.9346,91.9967,10.877,3.0
2024-12-31,2615.25,3531859.0,264992.0762,82.0391,10.2406,3.0
2025-01-31,2330.0,3548979.0,236088.916,73.0909,10.2406,3.0
2025-02-28,2035.5,4491431.0,206248.4929,63.8526,10.2406,3.0
2025-03-31,2245.25,1734296.0,227501.5616,66.3909,8.226,3.0
2025-04-30,2574.0,2477371.0,260812.3904,76.1118,9.4304,3.0
2025-05-31,2258.6,6160258.0,228854.2599,66.7856,8.2749,3.0
2025-06-30,2223.6,3459299.0,225307.8599,62.9939,7.8642,3.0
2025-07-31,1937.8,2654011.0,196348.9705,54.8973,7.8642,3.0
2025-08-31,2085.4,4421536.0,211304.6461,59.0787,7.8642,3.0
2025-09-30,1948.1,4074816.0,197392.6254,54.531,6.7661,3.5
2025-10-31,1999.7,3219799.0,202688.5722,55.9754,6.9453,3.5
2025-11-30,1939.1,7395557.0,196546.1871,54.2791,6.7348,3.5
2025-12-31,1773.7,1978673.0,179781.3274,51.6914,5.8999,3.5
2026-01-31,1520.9,6034770.0,154157.6483,44.324,5.8999,3.5
2026-02-28,1256.1,5958806.0,127317.6554,36.6068,5.8999,3.5
