CROMPTON IN Equity,price,volume,mc,pe,bm,div
2018-03-31,236.75,21409863.0,148391.3736,45.793,18.7956,1.5
2018-04-30,236.0,19877752.0,147921.2848,45.648,18.7361,1.5
2018-05-31,226.75,25098294.0,142129.3217,43.8588,18.0017,1.5
2018-06-30,226.2,11289831.0,141784.5758,43.7524,17.958,1.5
2018-07-31,243.1,17926910.0,152377.6763,47.0213,19.2997,1.75
2018-08-31,250.45,14508913.0,156984.7348,48.4429,19.8833,1.75
2018-09-30,223.9,17195905.0,140342.9113,43.3075,17.7755,1.75
2018-10-31,213.25,24219377.0,133667.3775,41.2476,16.9299,1.75
2018-11-30,216.95,9526212.0,135986.577,41.9632,17.2237,1.75
2018-12-31,228.05,6692103.0,142966.787,44.1103,18.1049,1.75
2019-01-31,213.95,9931834.0,134127.3583,41.383,16.9855,1.75
2019-02-28,210.0,14170666.0,131660.5935,40.619,16.6719,1.75
2019-03-31,227.2,10086505.0,142451.201,35.5,12.9815,1.75
2019-04-30,237.65,32037425.0,149003.2039,37.1328,13.5786,1.75
2019-05-31,237.7,11836506.0,149034.5532,37.1406,13.5814,1.75
2019-06-30,232.0,14040804.0,145460.7334,36.25,13.2558,1.75
2019-07-31,229.95,21868055.0,144180.6294,35.9297,13.1386,2.0
2019-08-31,230.5,14710698.0,144531.0307,36.0156,13.1701,2.0
2019-09-30,250.3,16773449.0,156946.2776,39.1094,14.3014,2.0
2019-10-31,248.9,14879745.0,156072.4827,38.8906,14.2214,2.0
2019-11-30,254.65,20896644.0,159723.3739,39.7891,14.5499,2.0
2019-12-31,239.85,70433399.0,150440.4132,37.4766,13.7043,2.0
2020-01-31,284.45,24591211.0,178414.7406,44.4453,16.2526,2.0
2020-02-29,279.0,23473295.0,174996.3531,43.5938,15.9412,2.0
2020-03-31,208.8,29745637.0,130976.8934,26.3636,8.9201,2.0
2020-04-30,222.2,17534501.0,139382.4986,28.0556,9.4925,2.0
2020-05-31,224.35,18973561.0,140731.1591,28.327,9.5844,2.0
2020-06-30,238.65,21267016.0,149701.3199,30.1326,10.1953,2.0
2020-07-31,244.1,19883159.0,153120.0176,30.8207,10.4281,2.0
2020-08-31,271.8,16073068.0,170495.7836,34.3182,11.6115,2.0
2020-09-30,292.35,21738546.0,183386.4692,36.9129,12.4894,0.0
2020-10-31,299.3,30610201.0,187761.047,37.7904,12.7863,0.0
2020-11-30,305.3,89129262.0,191533.6372,38.548,13.0426,3.0
2020-12-31,380.55,40004508.0,238752.852,48.0492,16.2573,3.0
2021-01-31,427.75,34477005.0,268386.1819,54.0088,18.2737,3.0
2021-02-28,385.15,90091988.0,241714.3666,48.6301,16.4538,3.0
2021-03-31,392.5,38128419.0,246368.8576,39.9288,12.7558,3.0
2021-04-30,384.9,33577398.0,241615.1676,39.1556,12.5088,3.0
2021-05-31,398.25,28745904.0,250001.8457,40.5137,12.9426,3.0
2021-06-30,434.6,66795148.0,272848.246,44.2116,14.124,3.0
2021-07-31,487.1,44030754.0,305808.5063,49.5524,15.8302,2.5
2021-08-31,473.45,26347000.0,297238.8366,48.1638,15.3866,2.5
2021-09-30,478.9,30501015.0,300660.4263,48.7182,15.5637,2.5
2021-10-31,465.6,36455677.0,292310.4917,47.3652,15.1314,2.5
2021-11-30,448.25,30641108.0,281518.6292,45.6002,14.5676,2.5
2021-12-31,437.45,33700208.0,274735.8045,44.5015,14.2166,2.5
2022-01-31,424.45,27505865.0,266596.7211,43.179,13.7941,2.5
2022-02-28,428.5,57351252.0,269140.5231,43.591,13.9257,2.5
2022-03-31,374.0,40803317.0,236578.6506,40.608,9.6575,2.5
2022-04-30,384.8,34156963.0,243752.2673,41.7807,9.9363,2.5
2022-05-31,361.45,31838087.0,229015.9106,39.2454,9.3334,2.5
2022-06-30,340.15,34844441.0,215534.1706,36.9327,8.7834,2.5
2022-07-31,394.4,48995858.0,249920.1066,42.823,10.1842,2.5
2022-08-31,407.4,79247911.0,258536.0323,44.2345,10.5199,2.5
2022-09-30,411.9,57707419.0,261921.3194,44.7231,10.6361,2.5
2022-10-31,362.3,31114903.0,230381.3887,39.3377,9.3553,2.5
2022-11-30,362.85,23677004.0,230731.1259,39.3974,9.3696,2.5
2022-12-31,336.45,23282938.0,213943.7434,36.5309,8.6878,2.5
2023-01-31,330.95,26354755.0,210446.3721,35.9338,8.5458,2.5
2023-02-28,303.85,45599838.0,193227.7614,32.9913,7.846,2.5
2023-03-31,293.0,43325538.0,186365.3087,40.192,7.0068,2.5
