CU IN Equity,price,volume,mc,pe,bm,div
2002-03-31,4.1,70300.0,766.4363,3.4588,0.5577,0.35
2002-04-30,4.67,718080.0,870.9928,3.9307,0.6338,0.0
2002-05-31,4.53,412580.0,845.7872,3.8169,0.6155,0.0
2002-06-30,5.5,902020.0,1025.9604,4.63,0.7466,0.0
2002-07-31,5.12,517960.0,956.4117,4.3162,0.696,0.375
2002-08-31,5.33,237440.0,994.2201,4.4868,0.7235,0.375
2002-09-30,5.37,103360.0,1003.0887,4.5268,0.7299,0.375
2002-10-31,5.15,76020.0,961.5462,4.3393,0.6997,0.375
2002-11-30,5.01,236920.0,935.8738,4.2235,0.681,0.375
2002-12-31,5.39,206980.0,1005.8893,4.5394,0.732,0.375
2003-01-31,5.22,350160.0,973.6822,4.3941,0.7085,0.375
2003-02-28,5.53,124720.0,1031.5617,4.6553,0.7507,0.375
2003-03-31,5.25,514880.0,980.6837,2.5114,0.5774,0.375
2003-04-30,5.5,223480.0,1026.894,2.6297,0.6046,0.375
2003-05-31,6.95,1544840.0,1297.6205,3.323,0.764,0.375
2003-06-30,8.51,2507920.0,1589.3518,4.07,0.9357,0.375
2003-07-31,8.1,1221820.0,1511.868,3.8716,0.8901,0.5
2003-08-31,7.6,1156300.0,1418.9807,3.6338,0.8354,0.5
2003-09-30,10.03,2285600.0,1872.2144,4.7944,1.1022,0.5
2003-10-31,9.18,1336100.0,1714.4461,4.3904,1.0094,0.5
2003-11-30,9.5,1212640.0,1773.2592,4.541,1.044,0.5
2003-12-31,12.74,3129100.0,2379.1266,6.0925,1.4007,0.5
2004-01-31,10.42,978000.0,1945.0305,4.9809,1.1451,0.5
2004-02-29,10.67,1485380.0,1991.2407,5.0992,1.1723,0.5
2004-03-31,10.6,2712660.0,1978.638,4.9544,0.9145,0.5
2004-04-30,11.01,190840.0,2055.655,5.1473,0.9501,0.5
2004-05-31,11.05,414880.0,2063.1233,5.166,0.9536,0.5
2004-06-30,12.53,1950680.0,2339.4511,5.8579,1.0813,0.5
2004-07-31,14.83,456940.0,2768.4128,6.932,1.2796,0.5
2004-08-31,16.75,1747560.0,3127.3456,7.8308,1.4455,0.5
2004-09-30,20.58,2200940.0,3841.5006,9.619,1.7756,0.5
2004-10-31,19.84,1145428.0,3703.8041,9.2742,1.7119,0.5
2004-11-30,26.41,6358820.0,4931.4039,12.3481,2.2793,0.5
2004-12-31,30.1,6900824.0,5619.8867,14.072,2.5976,0.5
2005-01-31,27.88,4199852.0,5204.4632,13.0318,2.4055,0.5
2005-02-28,27.81,7801328.0,5192.794,13.0026,2.4001,0.5
