BYRCS IN Equity,price,volume,mc,pe,bm,div
1996-05-31,190.0,64750.0,3081.8,30.616,7.7627,1.2
1996-06-30,205.5,41350.0,3333.21,30.616,7.7627,1.2
1996-07-31,190.0,9700.0,3081.8,30.616,7.7627,1.2
1996-08-31,196.95,226630.0,3194.529,30.616,7.7627,1.2
1996-09-30,192.0,12730.0,3114.24,30.616,7.7627,1.2
1996-10-31,190.25,80920.0,3085.855,30.616,7.7627,1.2
1996-11-30,190.7,9150.0,3093.154,30.616,7.7627,1.2
1996-12-31,195.0,64190.0,3162.9,30.616,7.7627,1.2
1997-01-31,208.95,27780.0,3389.169,30.616,7.7627,1.2
1997-02-28,198.85,5780.0,3225.347,30.616,7.7627,1.2
1997-03-31,180.5,87000.0,2927.71,30.616,7.7627,1.2
1997-04-30,165.5,68550.0,2684.41,30.616,7.7627,1.2
1997-05-31,180.0,10140.0,2919.6,30.616,7.7627,2.5
1997-06-30,181.0,6820.0,2935.82,30.616,7.7627,2.5
1997-07-31,200.0,5890.0,3244.0,30.616,7.7627,2.5
1997-08-31,200.0,8480.0,3244.0,30.616,7.7627,2.5
1997-09-30,165.53,133780.0,2684.8155,30.616,7.7627,2.5
1997-10-31,158.0,1980.0,2627.64,30.616,7.7627,2.5
1997-11-30,141.5,2880.0,2295.13,30.616,7.7627,2.5
1997-12-31,139.5,2760.0,2262.69,30.616,7.7627,2.5
1998-01-31,130.0,6880.0,2108.6,30.616,7.7627,2.5
1998-02-28,134.9,3690.0,2188.078,30.616,7.7627,2.5
1998-03-31,141.0,227390.0,2287.02,30.616,7.7627,2.5
1998-04-30,166.5,17630.0,2700.63,30.616,7.7627,2.5
1998-05-31,150.32,10270.0,2438.2715,30.616,7.7627,2.5
1998-06-30,125.9,218400.0,2042.098,30.616,7.7627,2.5
1998-07-31,117.0,3900.0,1897.74,30.616,7.7627,2.5
1998-08-31,121.6,7920.0,1972.352,30.616,7.7627,2.5
1998-09-30,141.85,11100.0,2300.807,30.616,7.7627,2.5
1998-10-31,141.9,5710.0,2301.618,30.616,7.7627,2.5
1998-11-30,165.0,191810.0,2676.3,30.616,7.7627,2.5
1998-12-31,200.0,123060.0,3244.0,30.616,7.7627,2.5
1999-01-31,248.35,111550.0,4028.2369,30.616,7.7627,2.5
1999-02-28,228.68,116240.0,3709.1085,30.616,7.7627,2.5
1999-03-31,278.25,298060.0,4513.2149,30.616,7.7627,2.5
1999-04-30,200.0,18440.0,3244.0,30.616,7.7627,2.5
1999-05-31,193.0,8200.0,3130.46,30.616,7.7627,2.5
