IGIL IN Equity,price,volume,mc,pe,bm,div
2024-12-31,553.9,151575847.0,239373.2556,51.5736,22.524,0.0
2025-01-31,506.6,84019250.0,218932.102,47.1695,20.6005,0.0
2025-02-28,406.95,33094506.0,175867.3883,37.8911,16.5483,2.44
2025-03-31,385.2,68687154.0,166467.9149,35.8659,15.6639,2.44
2025-04-30,347.15,36975787.0,150024.2385,32.3231,14.1166,2.44
2025-05-31,388.9,21632311.0,168066.9058,36.2104,15.8144,2.44
2025-06-30,378.15,23280665.0,163421.189,35.2095,15.3772,2.44
2025-07-31,394.15,25080774.0,170335.7442,36.6993,16.0278,2.44
2025-08-31,332.65,14501123.0,143757.9229,30.973,13.527,4.94
2025-09-30,345.1,14858370.0,149138.3111,32.1322,14.0333,4.94
2025-10-31,337.7,14436568.0,145940.3293,31.4432,13.7323,4.94
2025-11-30,328.0,30229867.0,141748.3803,30.54,13.3379,4.94
2025-12-31,335.0,10289215.0,144773.4982,27.2358,10.2697,4.94
2026-01-31,310.9,18219139.0,134358.4495,25.2764,9.5309,4.94
2026-02-28,330.0,20807389.0,142612.6997,26.8293,10.1164,5.0
2026-03-31,332.6,3505882.0,143736.3175,27.0407,10.1961,5.0
