VGRD IN Equity,price,volume,mc,pe,bm,div
2009-03-31,3.17,4090282.0,1323.7366,7.6334,1.0468,0.1786
2009-04-30,3.43,5607616.0,1434.1724,8.2702,1.1342,0.1786
2009-05-31,4.98,12381852.0,2080.3707,11.9966,1.6452,0.1786
2009-06-30,4.82,27290816.0,2013.2139,11.6093,1.5921,0.1786
2009-07-31,4.92,13272644.0,2056.4927,11.8589,1.6263,0.1786
2009-08-31,5.44,69897660.0,2272.8871,13.1067,1.7974,0.1786
2009-09-30,5.27,43785462.0,2202.7455,12.7022,1.742,0.1786
2009-10-31,5.43,97834296.0,2266.9176,13.0723,1.7927,0.1786
2009-11-30,5.5,31772762.0,2298.2575,13.253,1.8175,0.1786
2009-12-31,6.36,123261516.0,2657.9199,15.327,2.1019,0.1786
2010-01-31,5.98,63513856.0,2499.7281,14.4148,1.9768,0.1786
2010-02-28,6.02,18642904.0,2516.1442,14.5095,1.9898,0.1786
2010-03-31,6.33,46439666.0,2645.9809,10.3927,1.8702,0.1786
2010-04-30,7.59,179870166.0,3171.2969,12.456,2.2415,0.1786
2010-05-31,7.02,45998918.0,2934.0092,11.524,2.0738,0.1786
2010-06-30,7.29,36150268.0,3044.445,11.9578,2.1518,0.1786
2010-07-31,10.13,236395908.0,4233.8679,16.6295,2.9925,0.2143
2010-08-31,11.14,196138348.0,4653.2252,18.2767,3.2889,0.2143
2010-09-30,14.01,249801020.0,5854.5871,22.9953,4.138,0.2143
2010-10-31,13.36,53925942.0,5582.9748,21.9285,3.9461,0.2143
2010-11-30,12.4,91476882.0,5181.526,20.3517,3.6623,0.2143
2010-12-31,12.68,32669490.0,5297.9312,20.8089,3.7446,0.2143
2011-01-31,11.98,43185744.0,5003.9333,19.6542,3.5368,0.2143
2011-02-28,12.05,28367220.0,5033.7808,19.7714,3.5579,0.2143
2011-03-31,12.0,15990072.0,5015.8723,11.7682,2.9166,0.2143
2011-04-30,13.48,29389556.0,5630.7308,13.2108,3.2741,0.2143
2011-05-31,15.35,128397514.0,6415.7201,15.0525,3.7306,0.2143
2011-06-30,15.96,137849068.0,6669.4238,15.6478,3.8781,0.2143
2011-07-31,16.52,77298438.0,6902.2343,16.194,4.0134,0.25
2011-08-31,14.76,31545416.0,6169.4782,14.4748,3.5874,0.25
2011-09-30,15.0,24610096.0,6267.975,14.7059,3.6446,0.25
