BIOS IN Equity,price,volume,mc,pe,bm,div
2009-03-31,23.86,46730892.0,28630.0,23.5851,1.8951,0.25
2009-04-30,23.61,42435384.0,28330.0,23.338,1.8752,0.25
2009-05-31,30.3,114172122.0,36360.0,29.953,2.4068,0.25
2009-06-30,36.52,288534840.0,43820.0,31.3,3.0323,0.25
2009-07-31,36.43,134176350.0,43710.0,31.2214,3.0323,0.5
2009-08-31,39.74,153403872.0,47690.0,34.0643,3.0323,0.5
2009-09-30,43.22,147233652.0,51860.0,27.0386,3.0323,0.5
2009-10-31,41.09,136423320.0,49310.0,25.7091,3.0323,0.5
2009-11-30,43.36,98625900.0,52030.0,27.1272,3.0323,0.5
2009-12-31,46.01,165125490.0,55210.0,22.4796,3.0323,0.5
2010-01-31,44.81,155382270.0,53770.0,21.8933,3.0323,0.5
2010-02-28,43.78,85299126.0,52540.0,21.3925,3.0323,0.5
2010-03-31,47.41,93050796.0,56890.0,18.788,3.2363,0.5
2010-04-30,50.43,89965068.0,60520.0,19.9868,3.4428,0.5
2010-05-31,49.04,50443914.0,58850.0,19.4353,3.3478,0.5
2010-06-30,54.24,92719152.0,65090.0,20.2017,3.6283,0.5
2010-07-31,51.59,77766150.0,61910.0,19.2148,3.6283,0.5833
2010-08-31,56.65,116842920.0,67980.0,21.0987,3.6283,0.5833
2010-09-30,59.88,64243530.0,71860.0,21.3361,3.6283,0.5833
2010-10-31,68.62,325737036.0,82340.0,24.4477,3.6283,0.5833
2010-11-30,65.08,75262920.0,78090.0,23.1859,3.6283,0.5833
2010-12-31,70.14,75633036.0,84170.0,23.6167,3.6283,0.5833
2011-01-31,58.25,101076966.0,69900.0,19.6128,3.6283,0.5833
2011-02-28,51.88,57271974.0,62250.0,17.4663,3.6283,0.5833
2011-03-31,57.51,46222152.0,69010.0,18.3245,3.3948,0.5833
2011-04-30,61.43,60736518.0,73710.0,19.5725,3.626,0.5833
2011-05-31,58.94,45511818.0,70730.0,18.7812,3.4794,0.8333
2011-06-30,59.13,59747466.0,70960.0,19.2199,3.5119,0.8333
2011-07-31,60.61,68681040.0,72730.0,19.6993,3.5119,0.75
2011-08-31,55.16,49351926.0,66190.0,17.928,3.5119,0.75
2011-09-30,56.26,35630142.0,67510.0,18.4756,3.0589,0.75
2011-10-31,58.52,21886038.0,70220.0,19.2173,3.1817,0.75
2011-11-30,53.11,26464206.0,63730.0,17.4412,2.8876,0.75
2011-12-31,45.64,63302244.0,54770.0,15.6934,2.3844,0.75
2012-01-31,44.17,100408536.0,53000.0,15.1862,2.3074,0.75
2012-02-29,45.92,113918346.0,55100.0,15.788,2.3988,0.75
2012-03-31,39.83,134190642.0,47800.0,13.831,2.1035,0.75
2012-04-30,39.73,71287668.0,47670.0,13.7934,2.0978,0.75
2012-05-31,36.76,78300120.0,44110.0,12.7633,1.9411,0.5
2012-06-30,39.62,52919184.0,47540.0,13.4142,2.0213,0.5
2012-07-31,40.15,54159438.0,48180.0,13.5948,2.0485,0.8333
2012-08-31,43.78,46189686.0,52530.0,14.8222,2.2334,0.8333
2012-09-30,45.8,58841514.0,54960.0,15.3263,2.2457,0.8333
2012-10-31,44.25,60186096.0,53100.0,14.8076,2.1697,0.8333
2012-11-30,47.75,99831954.0,57300.0,15.9788,2.3413,0.8333
2012-12-31,47.8,62029182.0,57360.0,15.6893,2.2538,0.8333
2013-01-31,46.6,81381498.0,55920.0,15.2954,2.1972,0.8333
2013-02-28,45.56,67830384.0,54670.0,14.9535,2.1481,0.8333
2013-03-31,45.61,40401924.0,54730.0,10.529,2.0311,0.8333
2013-04-30,47.88,58436106.0,57460.0,11.0542,2.1324,0.8333
2013-05-31,45.05,39058452.0,54060.0,10.4001,2.0062,0.8333
2013-06-30,46.81,27349566.0,56170.0,10.503,1.9961,0.8333
2013-07-31,52.53,90832980.0,63030.0,11.7857,2.2399,1.25
2013-08-31,58.61,105377634.0,70330.0,13.1507,2.4993,1.25
2013-09-30,56.28,60534828.0,67540.0,12.3428,2.3051,1.25
2013-10-31,57.68,80322420.0,69210.0,12.648,2.3621,1.25
2013-11-30,64.53,65176692.0,77440.0,14.152,2.643,1.25
2013-12-31,77.13,196146096.0,92550.0,16.5091,3.0484,1.25
2014-01-31,72.71,245508390.0,87250.0,15.5637,2.8738,1.25
2014-02-28,76.41,107390322.0,91690.0,16.3557,3.0201,1.25
2014-03-31,70.73,86333880.0,84880.0,20.1233,2.8044,1.25
2014-04-30,78.49,185567382.0,94190.0,22.3305,3.112,1.25
2014-05-31,72.88,110990382.0,87460.0,20.7349,2.8896,1.25
2014-06-30,88.46,166448166.0,106150.0,24.6173,3.387,1.25
2014-07-31,78.35,177694482.0,94020.0,21.8043,3.0,0.8333
2014-08-31,77.34,112474608.0,92810.0,21.5237,2.9614,0.8333
2014-09-30,83.03,176083326.0,99640.0,23.1183,3.0933,0.8333
2014-10-31,74.66,96003552.0,89590.0,20.7865,2.7813,0.8333
2014-11-30,76.08,114340770.0,91290.0,21.181,2.8341,0.8333
2014-12-31,70.93,117762900.0,85110.0,20.4297,2.5838,0.8333
2015-01-31,69.13,91147500.0,82950.0,19.9112,2.5182,0.8333
2015-02-28,71.16,78395694.0,85390.0,20.4969,2.5923,0.8333
2015-03-31,78.22,88028370.0,93860.0,18.66,2.8698,0.8333
2015-04-30,75.44,158605362.0,90530.0,17.998,2.768,1.6667
2015-05-31,75.23,67030830.0,90270.0,17.9463,2.76,1.6667
2015-06-30,76.85,94586808.0,92220.0,17.6646,2.6649,1.6667
2015-07-31,76.23,120570750.0,91480.0,17.5229,2.6436,0.8333
2015-08-31,73.97,88382910.0,88760.0,17.0018,2.565,0.8333
2015-09-30,74.1,45538806.0,88920.0,21.8337,2.4067,0.8333
2015-10-31,75.83,49632204.0,90990.0,22.3419,2.4627,0.8333
2015-11-30,76.94,33552852.0,92330.0,22.671,2.499,0.8333
2015-12-31,86.35,93126252.0,103620.0,24.7444,2.7698,0.8333
2016-01-31,81.56,101664936.0,97870.0,23.3713,2.6161,0.8333
2016-02-29,78.25,68397750.0,93900.0,22.4233,2.51,0.8333
2016-03-31,80.56,61924440.0,96670.0,17.3692,2.3965,1.6667
2016-04-30,97.57,147393822.0,117080.0,21.0363,2.9025,0.8333
2016-05-31,119.59,140871996.0,143510.0,25.7851,3.5577,0.8333
2016-06-30,123.53,119356602.0,148240.0,24.7355,3.67,0.8333
2016-07-31,138.19,241146690.0,165830.0,27.6706,3.67,0.8333
2016-08-31,152.78,222154464.0,183340.0,30.5924,3.67,0.8333
2016-09-30,155.58,127390404.0,186700.0,24.6697,4.2231,0.8333
2016-10-31,154.42,146773854.0,185310.0,24.486,4.1917,0.8333
2016-11-30,152.8,110817792.0,183360.0,24.2283,4.1476,0.8333
2016-12-31,158.31,102871836.0,189970.0,23.0546,4.1048,0.8333
2017-01-31,168.49,128435298.0,202190.0,24.5376,4.3688,0.8333
2017-02-28,187.07,64639698.0,224489.9875,27.2439,4.8507,0.8333
2017-03-31,188.72,82375002.0,226460.0125,36.8587,4.6812,0.8333
2017-04-30,183.95,97561824.0,220739.9875,35.9277,4.5629,0.8333
2017-05-31,158.11,179464578.0,189730.0,30.8805,3.9219,0.0
2017-06-30,165.53,114372834.0,198630.0,37.435,4.037,0.0
2017-07-31,192.35,220405050.0,230820.0,43.5017,4.6913,0.5
2017-08-31,168.5,143108176.0,202200.0,38.1078,4.1096,0.5
2017-09-30,166.08,81524760.0,199290.0,43.8868,4.0348,0.5
2017-10-31,179.6,92890094.0,215520.0,47.4609,4.3634,0.5
2017-11-30,216.08,166974108.0,259290.0,57.0998,5.2495,0.5
2017-12-31,268.65,209775272.0,322380.0,85.6482,6.3671,0.5
2018-01-31,307.45,155303766.0,368940.0,98.0181,7.2867,0.5
2018-02-28,315.02,132732440.0,378030.0,100.433,7.4662,0.5
2018-03-31,296.95,99627092.0,356340.0,93.9715,6.8781,0.5
2018-04-30,333.8,105165034.0,400560.0,105.6329,7.7316,0.5
2018-05-31,332.7,82926076.0,399240.0,105.2848,7.7061,0.5
2018-06-30,309.77,144375844.0,371730.0,89.4012,6.9404,0.5
2018-07-31,293.2,105842052.0,351840.0,84.6176,6.5691,0.5
2018-08-31,312.0,74706104.0,374400.0,90.0433,6.9903,0.5
2018-09-30,345.68,149397330.0,414810.0,59.2332,7.2728,0.5
2018-10-31,329.5,125805694.0,395400.0,56.4615,6.9325,0.5
2018-11-30,312.18,70329978.0,374610.0,53.4928,6.568,0.5
2018-12-31,314.52,76813254.0,377430.0,45.8102,6.3691,0.5
2019-01-31,324.15,87131528.0,388980.0,47.212,6.564,0.5
2019-02-28,310.73,47134526.0,372870.0,45.2567,6.2921,0.5
2019-03-31,305.27,56922060.0,366330.0,40.4785,6.0074,0.5
2019-04-30,296.75,58184588.0,356100.0,39.3481,5.8396,0.5
2019-05-31,270.95,112792514.0,325140.0,35.9271,5.3319,0.5
2019-06-30,250.55,72565000.0,300660.0,30.2353,4.8006,0.5
2019-07-31,226.55,92601763.0,271860.0,27.3391,4.3407,0.5
2019-08-31,235.6,92714654.0,282720.0,28.4312,4.5141,0.5
2019-09-30,222.95,71732361.0,267540.0,31.1782,4.1931,0.5
2019-10-31,246.1,88967991.0,295320.0,34.4156,4.6285,0.5
2019-11-30,281.65,94121472.0,337980.0,39.387,5.2971,0.5
2019-12-31,293.7,74575809.0,352440.0,41.6546,5.3303,0.5
2020-01-31,294.35,89963605.0,353220.0,41.7468,5.3421,0.5
2020-02-29,286.9,108410246.0,344280.0,40.6902,5.2069,0.5
2020-03-31,270.55,105413000.0,324660.0,42.4836,4.8415,0.5
2020-04-30,353.95,160657741.0,424740.0,55.5797,6.3339,0.5
2020-05-31,354.7,212780368.0,425640.0,55.6975,6.3473,0.5
2020-06-30,390.1,148610040.0,468120.0,66.2496,6.8229,0.5
2020-07-31,409.6,164489320.0,491520.0,69.5613,7.164,0.5
2020-08-31,376.15,91772570.0,451380.0,63.8806,6.5789,0.0
2020-09-30,447.7,156414763.0,537240.0,81.4247,7.6155,0.0
2020-10-31,403.6,91525660.0,484320.0,73.4041,6.8653,0.0
2020-11-30,429.35,99005974.0,515220.0,78.0873,7.3033,0.0
2020-12-31,465.4,91843565.0,558480.0,89.3568,7.6494,0.0
2021-01-31,371.8,121375895.0,446160.0,71.3856,6.1109,0.0
