CLGT IN Equity,price,volume,mc,pe,bm,div
2000-02-29,81.43,10581340.0,22146.4594,48.4961,7.5394,1.5
2000-03-31,72.55,7070628.0,19732.5838,38.104,6.5721,1.5
2000-04-30,71.1,6697972.0,19338.2041,37.3424,6.4407,1.5
2000-05-31,80.25,5952428.0,21826.8759,42.1481,7.2696,1.5
2000-06-30,90.05,10737100.0,24492.3386,47.2952,8.1574,1.5
2000-07-31,97.05,9064048.0,26396.2406,50.9716,8.7915,1.5
2000-08-31,80.85,3765300.0,21990.0675,42.4632,7.324,1.5
2000-09-30,79.38,2586208.0,21588.8881,41.6885,7.1904,1.5
2000-10-31,74.15,1489214.0,20167.7613,38.9443,6.717,1.5
2000-11-30,85.73,5932868.0,23315.9992,45.0236,7.7656,1.5
2000-12-31,83.33,5234746.0,22663.2328,43.7631,7.5482,1.5
2001-01-31,92.25,8750798.0,25090.7078,48.4506,8.3567,1.5
2001-02-28,90.98,10949126.0,24743.9257,47.781,8.2412,1.5
2001-03-31,77.25,4126648.0,21010.9179,33.6162,8.787,1.5
2001-04-30,90.0,2477898.0,24478.7393,39.1645,10.2373,1.5
2001-05-31,86.73,4527912.0,23587.9852,37.7393,9.8648,1.5
2001-06-30,81.5,2313252.0,22166.8584,35.4656,9.2705,0.0
2001-07-31,82.0,1649894.0,22302.8514,35.6832,9.3273,2.375
2001-08-31,81.95,635058.0,22289.2521,35.6614,9.3216,2.375
2001-09-30,78.6,1353536.0,21378.099,34.2037,8.9406,2.375
2001-10-31,80.65,911128.0,21935.6703,35.0957,9.1738,2.375
2001-11-30,81.83,1912300.0,22255.2538,35.607,9.3074,2.375
2001-12-31,83.4,1225358.0,22683.6318,36.2924,9.4866,2.375
2002-01-31,75.68,865192.0,20582.54,32.9308,8.6079,2.375
2002-02-28,71.28,1420066.0,19385.8016,31.0161,8.1074,2.5
2002-03-31,70.45,1038296.0,19161.4132,27.4542,7.7375,2.5
2002-04-30,69.72,3040684.0,18964.2233,27.1717,7.6579,2.5
2002-05-31,67.05,1079280.0,18236.6608,26.1293,7.3641,2.125
2002-06-30,70.45,1378330.0,19161.4132,27.4542,7.7375,2.125
2002-07-31,66.88,1784620.0,18189.0367,26.0611,7.3449,2.125
2002-08-31,68.3,507126.0,18576.6162,26.6164,7.5014,2.125
2002-09-30,65.83,496192.0,17903.4518,25.6519,7.2296,2.125
2002-10-31,62.3,656320.0,16944.7026,24.2782,6.8424,2.125
2002-11-30,64.8,580328.0,17624.6666,25.2525,7.117,2.125
2002-12-31,67.43,1329268.0,18338.6288,26.2754,7.4053,2.0
2003-01-31,67.3,1423710.0,18304.6306,26.2267,7.3916,2.0
2003-02-28,66.15,1312748.0,17991.8472,25.7785,7.2653,2.0
2003-03-31,60.75,756736.0,16523.1249,18.635,6.008,2.0
2003-04-30,64.78,694084.0,17617.867,19.8696,6.406,2.0
2003-05-31,66.28,891238.0,18025.8454,20.3298,6.5544,2.0
2003-06-30,68.75,3249946.0,18699.0097,21.089,6.7992,2.125
2003-07-31,73.25,4527166.0,19922.9739,22.4693,7.2442,2.125
2003-08-31,73.53,4014734.0,19997.7701,22.5537,7.2714,2.125
2003-09-30,70.88,2826950.0,19277.0072,21.7408,7.0093,2.125
2003-10-31,68.65,2844442.0,18671.8384,21.0583,6.7893,2.125
2003-11-30,69.43,3179698.0,18882.6275,21.296,6.8659,2.125
2003-12-31,79.83,8909048.0,21711.2818,24.4862,7.8944,2.375
2004-01-31,74.83,6499650.0,20351.3519,22.9525,7.4,2.375
2004-02-29,71.65,2199352.0,19487.7964,21.9785,7.086,2.375
2004-03-31,65.13,8620590.0,17713.0878,16.4011,7.2503,2.375
2004-04-30,63.98,1172318.0,17400.3039,16.1115,7.1223,2.5
2004-05-31,60.5,1245552.0,16455.1525,15.2363,6.7354,2.5
2004-06-30,63.4,927310.0,17243.9119,15.9667,7.0583,2.5
2004-07-31,73.5,2427162.0,19990.9704,18.5103,8.1827,2.125
2004-08-31,71.22,974164.0,19372.2023,17.9373,7.9294,2.125
2004-09-30,74.72,2827366.0,20324.1533,18.8188,8.3191,2.125
2004-10-31,72.85,1258408.0,19814.1795,18.3466,8.1103,2.125
2004-11-30,86.35,3568858.0,23485.9562,21.7464,9.6133,2.125
2004-12-31,89.68,3679764.0,24390.3083,22.5838,9.9834,6.0
2005-01-31,93.13,5966362.0,25328.6586,23.4526,10.3675,6.0
2005-02-28,93.08,6249842.0,25315.0593,23.44,10.3619,6.0
2005-03-31,91.03,4386928.0,24757.4888,21.8547,9.9121,6.0
2005-04-30,100.15,8179960.0,27239.3574,24.0456,10.9057,6.0
2005-05-31,108.95,19295558.0,29632.8307,26.1585,11.864,3.0
2005-06-30,122.13,20212970.0,33216.2409,29.3217,13.2987,3.0
2005-07-31,112.6,9700268.0,30625.5781,27.0348,12.2614,3.0
2005-08-31,123.93,13219242.0,33705.8149,29.7539,13.4947,4.25
2005-09-30,125.23,44190216.0,34059.3962,30.066,13.6362,4.25
2005-10-31,118.83,9440354.0,32318.6884,28.5294,12.9393,4.25
2005-11-30,131.28,8892414.0,35704.9091,31.5186,14.295,4.25
2005-12-31,134.57,12394888.0,36602.4615,32.3109,14.6544,4.5
2006-01-31,171.05,39872000.0,46523.1361,41.0684,18.6263,4.5
2006-02-28,193.98,72174658.0,52758.4059,46.5726,21.1227,4.5
2006-03-31,216.08,26919284.0,58769.2876,42.7026,21.6805,3.5625
2006-04-30,217.8,24576036.0,59218.0638,43.0435,21.8536,3.5625
2006-05-31,183.05,22637252.0,49786.9633,36.1759,18.3668,3.5625
2006-06-30,194.78,12773414.0,52975.9944,38.4931,19.5433,3.5625
2006-07-31,184.73,17655472.0,50242.5392,36.5069,18.5349,3.5625
2006-08-31,180.85,15261062.0,49188.595,35.7411,18.1461,3.5625
2006-09-30,183.7,16614114.0,49963.7539,36.3043,18.4321,3.5625
2006-10-31,207.68,17318652.0,56484.6086,41.0425,20.8376,3.5625
2006-11-30,189.95,20273900.0,51663.6639,37.5395,19.0592,4.5
2006-12-31,194.23,10361364.0,52826.4023,38.3844,19.4881,4.5
2007-01-31,174.9,11538400.0,47570.2807,34.5652,17.5491,4.5
2007-02-28,161.15,7941648.0,43830.4787,31.8478,16.1694,3.0
2007-03-31,166.33,7028542.0,45238.0042,28.2385,16.1261,4.625
2007-04-30,171.95,6404054.0,46767.9232,29.1935,16.6715,4.625
2007-05-31,181.48,18546352.0,49358.586,30.8107,17.595,3.75
2007-06-30,184.95,8556556.0,50303.7359,31.4007,17.9319,3.75
2007-07-31,205.68,22717536.0,55940.6374,34.9194,19.9413,4.75
2007-08-31,193.73,14716720.0,52690.4095,32.8905,18.7827,4.75
2007-09-30,200.75,11842938.0,54601.188,34.0832,19.4638,4.75
2007-10-31,192.15,16578440.0,52262.1084,32.6231,18.63,4.75
2007-11-30,191.05,16652760.0,51962.9239,32.4363,18.5233,7.75
2007-12-31,203.23,8922452.0,55274.3533,34.5034,19.7038,7.75
2008-01-31,209.75,11620936.0,57049.0619,35.6112,20.3364,5.625
2008-02-29,186.25,3825780.0,50657.3911,31.6214,18.0579,5.625
2008-03-31,191.3,7582384.0,52030.9204,22.4531,32.077,5.625
2008-04-30,205.88,6334102.0,55995.1162,24.1637,34.5209,5.625
2008-05-31,208.03,7406066.0,56579.8861,24.4161,34.8814,4.0
2008-06-30,177.55,5347176.0,48291.113,20.8392,29.7714,4.0
2008-07-31,204.93,4842012.0,55736.7295,24.0522,34.3616,7.0
2008-08-31,204.78,3357500.0,55695.9316,24.0346,34.3365,7.0
2008-09-30,202.28,5559174.0,55015.9666,23.7412,33.9173,7.0
2008-10-31,189.8,6453152.0,51622.9414,22.277,31.8255,7.0
2008-11-30,193.48,3897530.0,52622.4899,22.7083,32.4417,7.0
2008-12-31,203.0,3180878.0,55213.1565,23.8263,34.0388,8.0
