BJAUT IN Equity,price,volume,mc,pe,bm,div
2011-08-31,1573.55,10781864.0,455333.4679,13.1788,9.4719,40.0
2011-09-30,1535.95,10760559.0,444453.2323,12.8639,9.2455,40.0
2011-10-31,1729.9,10044183.0,500575.9809,14.4883,10.413,40.0
2011-11-30,1669.0,9068833.0,482953.5303,13.9782,10.0464,40.0
2011-12-31,1591.4,9620088.0,460498.6508,13.3283,9.5793,40.0
2012-01-31,1601.3,21851725.0,463363.4022,13.4112,9.6389,40.0
2012-02-29,1801.6,9824304.0,521323.5951,15.0888,10.8446,40.0
2012-03-31,1678.8,8044828.0,485789.3451,15.9516,7.9877,40.0
2012-04-30,1624.45,6404797.0,470062.2122,15.4352,7.7291,40.0
2012-05-31,1511.4,13902960.0,437349.2904,14.361,7.1912,40.0
2012-06-30,1572.85,11434618.0,455130.8929,14.9449,7.4836,40.0
2012-07-31,1604.3,15302412.0,464231.5032,15.2437,7.6332,45.0
2012-08-31,1617.2,8969509.0,467964.3014,15.3663,7.6946,45.0
2012-09-30,1830.1,8423587.0,529570.5547,17.3892,8.7076,45.0
2012-10-31,1816.45,6825566.0,525620.677,17.2595,8.6426,45.0
2012-11-30,1930.9,6253789.0,558738.7488,18.347,9.1872,45.0
2012-12-31,2131.15,10939927.0,616684.4552,20.2497,10.14,45.0
2013-01-31,2027.15,10733588.0,586590.323,19.2615,9.6451,45.0
2013-02-28,1973.0,6997865.0,570921.0997,18.747,9.3875,45.0
2013-03-31,1799.55,9908214.0,520730.4108,16.5624,6.4564,45.0
2013-04-30,1880.4,7826203.0,544125.7151,17.3065,6.7465,45.0
2013-05-31,1820.5,10522912.0,526792.6315,16.7552,6.5316,45.0
2013-06-30,1923.95,9967126.0,556727.63,17.7073,6.9028,45.0
2013-07-31,1934.75,10232650.0,559852.8118,17.8067,6.9415,45.0
2013-08-31,1837.0,9096950.0,531567.1871,16.9071,6.5908,45.0
2013-09-30,1987.45,8000240.0,575102.4348,18.2918,7.1306,45.0
2013-10-31,2129.9,12720587.0,616322.7465,19.6028,7.6417,45.0
2013-11-30,1974.45,5043938.0,571340.6637,18.1721,7.0839,45.0
2013-12-31,1910.85,6201445.0,552936.9403,17.5868,6.8558,45.0
2014-01-31,1901.5,9142133.0,550231.3589,17.5007,6.8222,45.0
2014-02-28,1946.35,5236458.0,563209.469,17.9135,6.9831,45.0
2014-03-31,2083.6,5754828.0,602925.1265,17.839,5.9301,45.0
2014-04-30,1912.15,5148956.0,553313.1175,16.3711,5.4421,45.0
2014-05-31,1943.95,7881045.0,562514.9701,16.6434,5.5326,45.0
2014-06-30,2316.2,7704333.0,670231.8375,19.8305,6.5921,45.0
2014-07-31,2075.9,9553758.0,600696.9283,17.7731,5.9081,50.0
2014-08-31,2258.7,8015094.0,653593.2347,19.3382,6.4284,50.0
2014-09-30,2351.6,6742554.0,680475.4837,20.1336,6.6928,50.0
2014-10-31,2611.05,4632779.0,755551.7349,22.3549,7.4312,50.0
2014-11-30,2640.8,6760572.0,764160.4033,22.6096,7.5159,50.0
2014-12-31,2432.45,6287730.0,703870.7518,20.8258,6.9229,50.0
2015-01-31,2391.7,13134549.0,692079.0463,20.4769,6.8069,50.0
2015-02-28,2153.45,11896098.0,623137.3575,18.4371,6.1289,50.0
2015-03-31,2016.6,11464760.0,583537.5011,19.2865,5.2593,50.0
2015-04-30,1948.65,5847651.0,563875.0131,18.6366,5.0821,50.0
2015-05-31,2316.1,11585519.0,670202.955,22.1509,6.0404,50.0
2015-06-30,2541.95,9785322.0,735556.4387,24.3109,6.6294,50.0
2015-07-31,2525.3,8862022.0,730738.5143,24.1516,6.586,50.0
2015-08-31,2232.7,8209672.0,646069.6926,21.3532,5.8229,50.0
2015-09-30,2312.1,6362066.0,669045.487,22.1126,6.03,50.0
2015-10-31,2550.45,6574379.0,738016.0583,24.3921,6.6516,50.0
2015-11-30,2479.25,5962493.0,717413.1456,23.7112,6.4659,50.0
2015-12-31,2532.0,5124879.0,732677.2551,24.2157,6.6035,50.0
2016-01-31,2341.95,4447229.0,677683.0379,22.3981,6.1078,50.0
2016-02-29,2201.2,7634203.0,636954.632,21.052,5.7408,50.0
2016-03-31,2405.95,6999013.0,696202.5261,17.1426,4.9657,50.0
2016-04-30,2491.95,4322472.0,721088.0885,17.7554,5.1432,50.0
2016-05-31,2618.35,6479077.0,757664.1321,18.656,5.404,50.0
2016-06-30,2689.95,5556968.0,778382.7554,19.1661,5.5518,50.0
2016-07-31,2700.8,6538875.0,781522.4236,19.2435,5.5742,55.0
2016-08-31,2978.5,5526152.0,861879.6226,21.2221,6.1474,55.0
2016-09-30,2827.6,6103939.0,818214.1778,20.1469,5.8359,55.0
2016-10-31,2830.4,4846996.0,819024.3331,20.1669,5.8417,55.0
2016-11-30,2685.15,7497418.0,776993.7757,19.1319,5.5419,55.0
2016-12-31,2632.2,4669617.0,761671.8109,18.7547,5.4326,55.0
2017-01-31,2833.45,5942135.0,819906.9205,20.1886,5.848,55.0
2017-02-28,2755.9,5705142.0,797466.4912,19.636,5.6879,55.0
2017-03-31,2805.45,6806798.0,811804.6444,19.8968,4.5463,5.0
2017-04-30,2864.0,4865795.0,828747.1006,20.3121,4.6411,5.0
2017-05-31,2845.95,6391948.0,823524.0262,20.184,4.6119,5.0
2017-06-30,2791.2,5240614.0,807681.1827,19.7957,4.5232,5.0
2017-07-31,2808.55,6454811.0,812701.7002,19.9188,4.5513,55.0
2017-08-31,2814.5,5767942.0,814423.4339,19.961,4.5609,55.0
2017-09-30,3109.4,6970180.0,899757.7635,22.0525,5.0388,55.0
2017-10-31,3257.1,5547926.0,942497.27,23.1,5.2782,55.0
2017-11-30,3305.5,5736588.0,956502.6747,23.4433,5.3566,55.0
2017-12-31,3333.6,7801650.0,964633.8879,23.6426,5.4021,55.0
2018-01-31,3337.15,5981684.0,965661.1408,23.6677,5.4079,55.0
2018-02-28,3020.6,6815364.0,874062.0206,21.4227,4.8949,55.0
2018-03-31,2744.7,5919262.0,794225.6598,18.8251,3.8885,55.0
2018-04-30,2952.6,7604315.0,854385.0633,20.251,4.183,55.0
2018-05-31,2750.3,8293285.0,795846.1151,18.8635,3.8964,55.0
2018-06-30,2810.3,11429010.0,813208.1363,19.275,3.9814,55.0
2018-07-31,2700.05,29172610.0,781305.4224,18.5189,3.8252,60.0
2018-08-31,2744.85,10649915.0,794269.0648,18.8261,3.8887,60.0
2018-09-30,2687.45,11156382.0,777659.3979,18.4324,3.8073,60.0
2018-10-31,2593.7,12296696.0,750531.2398,17.7894,3.6745,60.0
2018-11-30,2745.7,7623675.0,794515.0268,18.832,3.8899,60.0
2018-12-31,2720.15,8550032.0,787121.6995,18.6567,3.8537,60.0
2019-01-31,2554.55,10765633.0,739202.5209,17.5209,3.6191,60.0
2019-02-28,2900.6,12360699.0,839337.9782,19.8944,4.1093,60.0
2019-03-31,2911.1,13926209.0,842376.3319,17.094,3.6256,60.0
2019-04-30,2984.1,9484089.0,863500.1244,17.5226,3.7166,60.0
2019-05-31,2925.9,13273452.0,846658.9638,17.1809,3.6441,60.0
2019-06-30,2827.05,7972340.0,818055.0339,16.6004,3.521,60.0
2019-07-31,2516.5,12582826.0,728192.1058,14.7769,3.1342,60.0
2019-08-31,2788.3,11920903.0,806842.0619,16.3729,3.4727,60.0
2019-09-30,2941.8,11141375.0,851259.8994,17.2742,3.6639,60.0
2019-10-31,3247.35,10399442.0,939675.9924,19.0684,4.0444,60.0
2019-11-30,3176.0,7320313.0,919029.6555,18.6494,3.9556,60.0
