LATENTVI IN Equity,price,volume,mc,pe,bm,div
2021-11-30,656.45,109601734.0,129855.2287,128.7157,29.6619,0.0
2021-12-31,561.55,45334288.0,111082.6471,110.1078,25.3738,0.0
2022-01-31,498.2,23231358.0,98551.1082,97.6863,22.5113,0.0
2022-02-28,409.65,20386918.0,81034.6477,80.3235,18.5101,0.0
2022-03-31,422.75,17700643.0,84728.3997,59.6283,8.2551,0.0
2022-04-30,442.2,26871389.0,88626.6075,62.3717,8.6349,0.0
2022-05-31,400.75,12197425.0,80319.1157,56.5252,7.8255,0.0
2022-06-30,333.95,11746127.0,66930.9262,47.1032,6.5211,0.0
2022-07-31,372.0,11869479.0,74556.9833,52.4701,7.2641,0.0
2022-08-31,368.25,10595313.0,73805.4008,51.9412,7.1908,0.0
2022-09-30,357.3,13400289.0,71610.7799,50.3967,6.977,0.0
2022-10-31,392.65,7583726.0,78695.6975,55.3828,7.6673,0.0
2022-11-30,373.95,7177294.0,75961.9657,52.7451,7.3021,0.0
2022-12-31,371.2,9544209.0,75403.3471,52.3573,7.2484,0.0
2023-01-31,369.05,6667052.0,74966.609,52.054,7.2065,0.0
2023-02-28,346.15,4129178.0,70314.84,48.824,6.7593,0.0
2023-03-31,321.1,6895941.0,65793.8736,41.6472,5.449,0.0
2023-04-30,360.4,4186432.0,73846.5028,46.7445,6.1159,0.0
2023-05-31,337.45,13658151.0,69144.0132,43.7678,5.7265,0.0
2023-06-30,351.65,13365273.0,72053.6146,45.6096,5.9674,0.0
2023-07-31,379.55,23887730.0,77770.3666,49.2283,6.4409,0.0
2023-08-31,426.0,38874047.0,87288.0416,55.2529,7.2291,0.0
2023-09-30,410.7,21524036.0,84153.0485,53.2685,6.9695,0.0
2023-10-31,398.15,14480862.0,81581.5346,51.6407,6.7565,0.0
2023-11-30,491.1,40730545.0,100627.1296,63.6965,8.3339,0.0
2023-12-31,455.05,20371998.0,93696.5929,59.0208,7.7221,0.0
2024-01-31,470.55,23197419.0,96888.1041,61.0311,7.9851,0.0
2024-02-29,509.75,32421886.0,104959.539,66.1154,8.6503,0.0
2024-03-31,507.75,19573787.0,104547.7311,65.6856,7.6067,0.0
2024-04-30,498.25,19364680.0,102591.6436,64.4567,7.4644,0.0
2024-05-31,476.3,4655421.0,98116.7579,61.6171,7.1356,0.0
2024-06-30,501.3,5514561.0,103266.7032,64.8512,7.5101,0.0
2024-07-31,514.3,10974004.0,105944.6747,66.533,7.7049,0.0
2024-08-31,483.45,8868087.0,99589.6422,62.542,7.2427,0.0
2024-09-30,473.25,8645248.0,97488.4645,61.2225,7.0899,0.0
2024-10-31,458.25,7033286.0,94398.4973,59.282,6.8652,0.0
2024-11-30,447.9,8338286.0,92266.42,57.9431,6.7101,0.0
2024-12-31,489.5,13056957.0,101067.7601,63.3247,7.3333,0.0
2025-01-31,438.15,6989711.0,90465.4527,56.6818,6.564,0.0
2025-02-28,383.25,5980946.0,79130.1717,49.5796,5.7416,0.0
2025-03-31,367.55,10054667.0,75888.5704,43.6715,5.0592,0.0
2025-04-30,393.25,12041618.0,81194.8859,46.7251,5.4129,0.0
2025-05-31,416.05,8570698.0,85902.4343,49.4341,5.7268,0.0
2025-06-30,411.5,10665753.0,84962.9893,48.8935,5.6641,0.0
2025-07-31,410.0,18640744.0,84706.4592,48.7153,5.6435,0.0
2025-08-31,415.45,6541098.0,85832.4353,49.3629,5.7185,0.0
2025-09-30,408.45,4582196.0,84386.2275,48.5311,5.6222,0.0
2025-10-31,448.35,8400352.0,92629.6122,53.272,6.1714,0.0
2025-11-30,498.35,26434826.0,102959.6682,59.2128,6.8596,0.0
2025-12-31,458.7,47468614.0,94916.4883,54.5017,6.3138,0.0
2026-01-31,407.1,5031232.0,84239.1594,48.3707,5.6036,0.0
2026-02-28,337.2,33263033.0,69775.1033,40.0654,4.6414,0.0
2026-03-31,312.35,3017269.0,64633.0188,37.1127,4.2994,0.0
