ICEM IN Equity,price,volume,mc,pe,bm,div
2006-03-31,165.3,127341935.0,31534.7937,67.4694,1.5811,0.0
2006-04-30,238.1,152126343.0,42342.0899,97.1837,2.2774,0.0
2006-05-31,160.9,215825482.0,30695.3921,65.6735,1.539,0.0
2006-06-30,156.8,265136746.0,29913.2224,64.0,1.4998,0.0
2006-07-31,184.05,236044422.0,38030.3423,75.1224,1.7604,0.0
2006-08-31,200.85,136488571.0,41501.7346,81.9796,1.9211,0.0
2006-09-30,221.55,71556272.0,48823.7939,90.4286,2.1191,0.0
2006-10-31,214.65,51063461.0,47303.2153,87.6122,2.0531,0.0
2006-11-30,235.2,76701834.0,51831.8949,96.0,2.2496,0.0
2006-12-31,234.95,86482155.0,51776.8015,95.898,2.2472,0.0
2007-01-31,219.05,74332384.0,48272.8596,89.4082,2.0952,0.0
2007-02-28,178.7,85890846.0,39380.7807,72.9388,1.7092,0.0
2007-03-31,161.95,182804001.0,35689.5212,6.8565,1.6507,0.0
2007-04-30,178.2,78732132.0,39270.5939,7.5445,1.8164,0.0
2007-05-31,178.55,49980234.0,39347.7247,7.5593,1.8199,0.0
2007-06-30,208.2,48803786.0,45881.805,8.8146,2.1221,0.0
2007-07-31,218.45,86264959.0,48140.6354,9.2485,2.2266,0.0
2007-08-31,246.3,79699397.0,64130.0393,10.4276,2.5105,0.0
2007-09-30,291.75,72876363.0,75964.1124,12.3518,2.9738,1.0
2007-10-31,282.3,58785674.0,73503.5782,11.9517,2.8774,1.0
2007-11-30,295.7,41009107.0,76992.5897,12.5191,3.014,1.0
2007-12-31,310.15,37779063.0,80754.9939,13.1308,3.1613,1.0
2008-01-31,208.65,63615224.0,58811.9644,8.8336,2.1267,1.0
2008-02-29,208.7,41322342.0,58826.0578,8.8357,2.1272,1.0
2008-03-31,186.8,28721093.0,52653.127,7.7595,1.6284,1.0
2008-04-30,171.75,35661139.0,48413.0953,7.1343,1.4972,1.0
2008-05-31,160.1,29504073.0,45129.15,6.6504,1.3957,1.0
2008-06-30,137.15,34548048.0,38659.9808,5.6971,1.1956,1.0
2008-07-31,144.55,19468381.0,40745.9003,6.0045,1.2601,1.0
2008-08-31,138.45,16042387.0,39026.4261,5.7511,1.2069,2.0
2008-09-30,123.9,16162350.0,34925.0574,5.1467,1.0801,2.0
2008-10-31,87.25,14232152.0,24594.1183,3.6243,0.7606,2.0
2008-11-30,86.1,15735778.0,24269.9551,3.5765,0.7506,2.0
2008-12-31,97.7,24963040.0,27539.8434,4.0584,0.8517,2.0
2009-01-31,102.0,32997468.0,28801.6088,4.237,0.8892,2.0
2009-02-28,97.5,16661433.0,27537.1088,4.0501,0.85,2.0
2009-03-31,106.0,28068963.0,29937.7798,7.062,0.8471,2.0
2009-04-30,114.75,39515687.0,32412.8233,7.6449,0.917,2.0
2009-05-31,154.15,68714108.0,43541.9321,10.2698,1.2318,2.0
2009-06-30,131.0,75866629.0,37002.8745,8.7275,1.0468,2.0
2009-07-31,140.05,63994696.0,39568.9845,9.3304,1.1192,2.0
2009-08-31,134.4,69277000.0,37974.7061,8.954,1.074,2.0
2009-09-30,134.45,60240906.0,37988.8335,8.9574,1.0744,2.0
2009-10-31,110.45,33968288.0,31207.636,7.3584,0.8826,2.0
2009-11-30,111.65,53590950.0,31546.6959,7.4384,0.8922,2.0
2009-12-31,123.3,48661983.0,34842.3231,8.2145,0.9853,2.0
2010-01-31,111.9,41646432.0,31620.8917,7.455,0.8942,2.0
2010-02-28,117.65,23523354.0,33245.7365,7.8381,0.9402,2.0
2010-03-31,131.75,48617813.0,40470.3971,10.625,1.0004,2.0
2010-04-30,125.55,36434987.0,38565.9078,10.125,0.9533,2.0
2010-05-31,107.85,21289767.0,33128.8981,8.6976,0.8189,2.0
2010-06-30,107.85,16559826.0,33128.8981,8.6976,0.8189,2.0
2010-07-31,107.05,24128878.0,32883.1576,8.6331,0.8129,2.0
2010-08-31,107.0,31583382.0,32867.7988,8.629,0.8125,2.0
2010-09-30,115.9,71885883.0,35601.6624,9.3468,0.8801,2.0
2010-10-31,110.1,34392645.0,33820.0434,8.879,0.836,2.0
2010-11-30,106.3,34175240.0,32652.7758,8.5726,0.8072,2.0
2010-12-31,108.0,14969688.0,33174.9745,8.7097,0.8201,2.0
2011-01-31,99.0,21160664.0,30410.3933,7.9839,0.7517,2.0
2011-02-28,85.4,31657662.0,26232.8039,6.8871,0.6485,2.0
2011-03-31,95.6,19838444.0,29366.1389,44.8826,0.7357,2.0
2011-04-30,99.3,20671195.0,30502.6945,46.6197,0.7642,2.0
2011-05-31,84.45,13458121.0,25941.1133,39.6479,0.6499,2.0
2011-06-30,71.0,21579056.0,21809.5801,33.3333,0.5464,2.0
2011-07-31,69.7,13998875.0,21410.2498,32.723,0.5364,2.0
2011-08-31,67.0,18259388.0,20580.8714,31.4554,0.5156,1.5
2011-09-30,72.55,37430816.0,22285.7048,34.061,0.5583,1.5
2011-10-31,80.5,18413927.0,24727.7634,37.7934,0.6195,1.5
2011-11-30,72.35,16780019.0,22224.2693,33.9671,0.5568,1.5
2011-12-31,65.95,14296052.0,20258.436,30.9624,0.5075,1.5
2012-01-31,80.75,21541566.0,24804.6809,37.9108,0.6214,1.5
2012-02-29,100.85,58781902.0,30978.973,47.3474,0.7761,1.5
2012-03-31,111.45,44453673.0,34235.0673,12.6075,0.8694,1.5
2012-04-30,84.75,40223637.0,26033.3958,9.5871,0.6611,1.5
2012-05-31,75.2,24865175.0,23099.8391,8.5068,0.5866,1.5
2012-06-30,86.95,37274557.0,26709.1889,9.836,0.6782,1.5
2012-07-31,83.5,31878336.0,25649.4224,9.4457,0.6513,1.5
2012-08-31,83.7,29743285.0,25710.8581,9.4683,0.6529,2.0
2012-09-30,94.9,29885187.0,29151.2597,10.7353,0.7403,2.0
2012-10-31,95.6,55837850.0,29366.2848,10.8145,0.7457,2.0
2012-11-30,85.8,32174145.0,26355.9334,9.7059,0.6693,2.0
2012-12-31,90.85,27839295.0,27907.1859,10.2771,0.7087,2.0
2013-01-31,86.2,34272444.0,26478.8049,9.7511,0.6724,2.0
2013-02-28,84.75,26320324.0,26033.3958,9.5871,0.6611,2.0
2013-03-31,83.65,22507976.0,25695.4992,13.6683,0.6438,2.0
2013-04-30,83.4,13172559.0,25618.7045,13.6275,0.6419,2.0
2013-05-31,66.7,33215731.0,20488.82,10.8987,0.5134,2.0
2013-06-30,56.85,24117181.0,17463.1062,9.2892,0.4375,2.0
2013-07-31,51.8,28417112.0,15911.8541,8.4641,0.3987,2.0
2013-08-31,46.05,28407646.0,14145.5768,7.5245,0.3544,2.0
2013-09-30,50.85,26218069.0,15620.0343,8.3088,0.3914,2.0
2013-10-31,49.65,28629242.0,15251.42,8.1127,0.3821,2.0
2013-11-30,60.15,60440131.0,18476.7958,9.8284,0.4629,2.0
2013-12-31,60.15,34729582.0,18476.7958,9.8284,0.4629,2.0
2014-01-31,53.75,31620582.0,16510.8524,8.7827,0.4137,2.0
2014-02-28,55.55,29012024.0,17063.774,9.0768,0.4275,2.0
2014-03-31,60.85,46777668.0,18691.8208,9.8121,0.5092,2.0
2014-04-30,68.55,56768049.0,21057.0965,9.8121,0.5736,2.0
2014-05-31,99.85,69894086.0,30671.7882,9.8121,0.8355,2.0
2014-06-30,119.35,83962458.0,36661.7719,9.8121,0.9987,2.0
2014-07-31,103.35,52073433.0,31746.9135,9.8121,0.8648,2.0
2014-08-31,112.75,47794998.0,34634.3928,9.8121,0.9435,2.0
2014-09-30,112.55,71331165.0,34572.957,9.8121,0.9418,2.0
2014-10-31,111.55,41090256.0,34265.7784,9.8121,0.9334,0.0
2014-11-30,96.45,61973241.0,29627.3808,9.8121,0.8071,0.0
2014-12-31,85.45,62984285.0,26248.4156,9.8121,0.715,0.0
2015-01-31,107.5,81228259.0,33021.7049,9.8121,0.8995,0.0
2015-02-28,99.75,77489345.0,30641.1038,9.8121,0.8347,0.0
2015-03-31,86.15,44875282.0,26463.4407,9.8121,0.7828,0.0
2015-04-30,90.85,53920087.0,27907.1803,9.8121,0.8255,0.0
2015-05-31,91.75,44139947.0,28183.6411,9.8121,0.8337,0.0
2015-06-30,94.25,77760315.0,28951.5878,9.8121,0.8564,0.0
2015-07-31,92.6,93225559.0,28444.743,9.8121,0.8414,0.0
2015-08-31,72.55,75813733.0,22285.8111,9.8121,0.6592,0.0
2015-09-30,78.1,50272671.0,23990.6526,9.8121,0.7097,0.0
2015-10-31,78.45,111372999.0,24098.1651,9.8121,0.7128,0.0
2015-11-30,88.95,66358980.0,27323.5409,9.8121,0.8083,0.0
2015-12-31,96.85,74138642.0,29750.2522,9.8121,0.88,0.0
2016-01-31,93.85,98586745.0,28828.7163,9.8121,0.8528,0.0
2016-02-29,66.45,74152757.0,20412.0213,9.8121,0.6038,0.0
2016-03-31,86.25,68662651.0,26494.1586,23.1233,0.5263,0.0
2016-04-30,89.25,82202061.0,27415.6945,23.9276,0.5446,0.0
2016-05-31,94.2,92673686.0,28936.2288,25.2547,0.5748,0.0
2016-06-30,113.05,148351448.0,34726.5464,30.3083,0.6898,0.0
2016-07-31,124.35,92406380.0,38197.6651,33.3378,0.7588,0.0
2016-08-31,149.8,187859796.0,46015.3618,40.1609,0.914,1.0
2016-09-30,144.0,75643567.0,44233.7256,38.6059,0.8787,1.0
2016-10-31,158.2,66211550.0,48595.6624,42.4129,0.9653,1.0
2016-11-30,119.65,131038745.0,36753.9255,32.0777,0.7301,1.0
2016-12-31,116.6,83566714.0,35817.0306,31.2601,0.7115,1.0
2017-01-31,145.7,87076045.0,44755.9293,39.0617,0.889,1.0
2017-02-28,170.1,95763996.0,52251.0883,45.6032,1.0379,1.0
2017-03-31,162.45,83170957.0,49901.1717,33.1461,0.9643,1.0
2017-04-30,216.45,163786935.0,66488.8188,44.1642,1.2848,1.0
2017-05-31,204.55,145936197.0,62833.3928,41.7361,1.2142,1.0
2017-06-30,197.55,101482941.0,60875.4654,40.3078,1.1726,1.0
2017-07-31,203.95,96777086.0,62847.6394,41.6137,1.2106,1.0
2017-08-31,178.0,103837834.0,54851.09,36.3189,1.0566,1.0
2017-09-30,172.3,100886104.0,53094.6225,35.1559,1.0228,1.0
2017-10-31,194.2,82333910.0,59843.1555,39.6243,1.1528,1.0
2017-11-30,173.85,92471098.0,53572.2594,35.4721,1.032,1.0
2017-12-31,183.45,79616710.0,56530.5205,37.4309,1.0889,1.0
2018-01-31,168.15,121495428.0,51815.7919,34.3091,0.9981,1.0
2018-02-28,159.25,102955437.0,49073.238,32.4932,0.9453,1.0
2018-03-31,141.75,55976185.0,43680.5745,67.1375,0.829,1.0
2018-04-30,147.05,63289547.0,45313.7812,69.6477,0.86,1.0
2018-05-31,129.95,66554878.0,40136.578,61.5486,0.76,1.0
2018-06-30,105.7,94791539.0,32691.1286,50.063,0.6182,1.0
2018-07-31,117.05,133724525.0,36201.4816,55.4387,0.6845,1.0
2018-08-31,126.4,130986362.0,39108.4382,59.8672,0.7392,1.0
2018-09-30,101.2,111599403.0,31311.5027,47.9316,0.5918,0.8
2018-10-31,89.8,139851554.0,27784.3176,42.5322,0.5252,0.8
2018-11-30,93.95,108199560.0,29092.7638,44.4978,0.5494,0.8
2018-12-31,96.1,146880786.0,29758.5375,45.5161,0.562,0.8
2019-01-31,84.25,117335455.0,26089.0404,39.9036,0.4927,0.8
2019-02-28,87.65,125041272.0,27162.4897,41.5139,0.5126,0.8
2019-03-31,108.3,152785495.0,33561.8669,158.9972,0.6398,0.8
2019-04-30,107.1,151668914.0,33189.9902,157.2355,0.6327,0.8
2019-05-31,105.6,184632067.0,32725.1444,155.0333,0.6238,0.8
2019-06-30,99.8,177554783.0,30927.7407,146.5182,0.5896,0.8
2019-07-31,87.8,64006445.0,27208.9742,128.9008,0.5187,0.8
2019-08-31,73.95,49168872.0,22916.898,108.5674,0.4368,0.8
2019-09-30,79.05,44609816.0,24497.3737,116.0548,0.467,0.8
2019-10-31,83.85,36271532.0,25984.8803,123.1017,0.4953,0.8
2019-11-30,80.7,35088679.0,25008.7041,118.4772,0.4767,0.8
2019-12-31,71.4,23480581.0,22126.6602,104.8236,0.4218,0.8
2020-01-31,81.95,81304052.0,25396.0756,120.3123,0.4841,0.8
2020-02-29,96.35,170939955.0,29858.5953,141.4532,0.5692,0.8
2020-03-31,105.85,92233871.0,32802.6187,65.3996,0.5966,0.8
2020-04-30,103.8,40453006.0,32167.3295,64.133,0.5851,0.8
2020-05-31,125.55,136409866.0,38907.5936,77.5713,0.7077,0.8
2020-06-30,128.25,103991048.0,39744.316,79.2394,0.7229,0.8
2020-07-31,111.4,49932214.0,34522.5482,68.8287,0.6279,0.8
2020-08-31,114.6,46498960.0,35514.2192,70.8058,0.6459,0.8
2020-09-30,117.05,44943649.0,36273.4674,72.3195,0.6598,0.6
2020-10-31,118.35,28141703.0,36676.3327,73.1227,0.6671,0.6
2020-11-30,158.6,56562644.0,49149.6947,97.9912,0.894,0.6
2020-12-31,169.2,87304810.0,52434.6049,104.5405,0.9537,0.6
2021-01-31,154.7,78379874.0,47941.0956,95.5816,0.872,0.6
2021-02-28,162.5,45483022.0,50358.2937,100.4009,0.9159,0.6
2021-03-31,167.35,63713270.0,51861.2951,25.09,0.9088,0.6
2021-04-30,163.2,70666734.0,50575.2217,24.4678,0.8862,0.6
2021-05-31,182.25,120456008.0,56478.7632,27.3238,0.9897,0.6
2021-06-30,191.95,72161544.0,59484.766,28.7781,1.0424,0.6
2021-07-31,192.15,60743104.0,59546.7472,28.8081,1.0435,0.6
2021-08-31,163.6,43830009.0,50699.1821,24.5277,0.8884,1.0
2021-09-30,200.3,81492025.0,62072.4094,30.03,1.0877,1.0
2021-10-31,206.1,118457255.0,63869.8131,30.8996,1.1192,1.0
2021-11-30,184.05,80232815.0,57036.5798,27.5937,0.9995,1.0
2021-12-31,192.25,59844463.0,59577.7369,28.8231,1.044,1.0
2022-01-31,222.95,144431824.0,69091.581,33.4258,1.2107,1.0
2022-02-28,202.15,94395209.0,62645.7192,30.3073,1.0978,1.0
2022-03-31,209.5,68118419.0,64923.4636,82.7444,1.0917,1.0
2022-04-30,206.8,59241890.0,64086.7412,81.678,1.0776,1.0
2022-05-31,169.1,58223694.0,52403.6167,66.788,0.8812,1.0
2022-06-30,156.5,44594707.0,48498.912,61.8115,0.8155,1.0
2022-07-31,196.85,57002629.0,61003.264,77.7482,1.0258,1.0
2022-08-31,228.45,104560881.0,70796.0156,90.2289,1.1904,1.0
2022-09-30,269.1,245020672.0,83393.3368,106.2841,1.4023,1.0
2022-10-31,241.1,201407901.0,74716.2152,95.2252,1.2564,1.0
2022-11-30,240.0,89209305.0,74375.3282,94.7907,1.2506,1.0
2022-12-31,218.45,76653107.0,67697.0436,86.2793,1.1383,1.0
2023-01-31,193.3,47142533.0,59903.129,76.346,1.0073,1.0
2023-02-28,187.1,81987045.0,57981.7663,73.8973,0.975,1.0
2023-03-31,185.05,54223748.0,57346.477,69.9872,0.9928,1.0
2023-04-30,185.55,34759600.0,57501.4256,69.9872,0.9955,1.0
2023-05-31,202.35,73509229.0,62707.6986,69.9872,1.0856,1.0
2023-06-30,212.1,103983955.0,65729.1963,69.9872,1.1379,1.0
2023-07-31,219.45,60497191.0,68006.9408,69.9872,1.1773,1.0
2023-08-31,236.35,162070061.0,73244.2035,69.9872,1.268,1.0
2023-09-30,233.2,96661988.0,72268.0273,69.9872,1.2511,1.0
2023-10-31,209.25,70079413.0,64845.9893,69.9872,1.1226,0.0
2023-11-30,251.35,81460884.0,77892.6615,69.9872,1.3485,0.0
2023-12-31,258.9,136763299.0,80232.3853,69.9872,1.389,0.0
2024-01-31,261.4,86795465.0,81007.1283,69.9872,1.4024,0.0
2024-02-29,228.85,103059079.0,70919.9744,69.9872,1.2278,0.0
2024-03-31,212.4,42069434.0,65822.1655,69.9872,1.1807,0.0
2024-04-30,224.4,62115835.0,69540.9319,69.9872,1.2474,0.0
2024-05-31,204.5,41135276.0,63373.9776,69.9872,1.1368,0.0
2024-06-30,293.57,471643075.0,90976.5213,69.9872,1.6319,0.0
2024-07-31,364.25,291217711.0,112880.0555,69.9872,2.0249,0.0
2024-08-31,362.7,56412507.0,112399.7148,69.9872,2.0162,0.0
2024-09-30,365.7,30424707.0,113329.4064,69.9872,2.0329,0.0
2024-10-31,363.9,17660139.0,112771.5914,69.9872,2.0229,0.0
2024-11-30,365.8,13518466.0,113360.3961,69.9872,2.0335,0.0
2024-12-31,376.35,59702848.0,116629.8116,69.9872,2.0921,0.0
2025-01-31,264.1,41343467.0,81843.8508,69.9872,1.4681,0.0
2025-02-28,253.4,16175779.0,78527.9507,69.9872,1.4086,0.0
2025-03-31,277.0,26025779.0,85841.5247,69.9872,0.8421,0.0
2025-04-30,307.95,18816563.0,95432.843,69.9872,0.9362,0.0
2025-05-31,317.15,12542507.0,98283.8973,69.9872,0.9641,0.0
2025-06-30,344.85,21591344.0,106868.0498,69.9872,1.0483,0.0
2025-07-31,369.1,17024010.0,114383.0569,69.9872,1.122,0.0
2025-08-31,381.5,32727967.0,118225.7822,69.9872,1.1597,0.0
2025-09-30,384.0,14476758.0,119000.5252,69.9872,1.1673,0.0
2025-10-31,402.35,11467978.0,124687.1388,69.9872,1.2231,0.0
2025-11-30,392.8,9234066.0,121727.6206,69.9872,1.1941,0.0
2025-12-31,435.25,26968933.0,134882.7567,69.9872,1.3231,0.0
2026-01-31,457.7,11292323.0,141839.9489,69.9872,1.3914,0.0
2026-02-28,406.0,7803163.0,125818.2636,69.9872,1.2342,0.0
2026-03-31,393.4,856004.0,121913.557,69.9872,1.1959,0.0
