BLSTR IN Equity,price,volume,mc,pe,bm,div
2011-06-30,148.75,3243458.0,26755.9591,16.6201,5.2335,4.0
2011-07-31,143.65,4812412.0,25838.6119,16.0503,5.0541,3.5
2011-08-31,123.88,1098060.0,22281.6433,13.8408,4.3583,3.5
2011-09-30,113.2,674604.0,20361.5097,12.648,3.9828,3.5
2011-10-31,103.75,3550494.0,18661.7194,11.5922,3.6503,3.5
2011-11-30,89.08,1142632.0,16022.0979,9.9525,3.134,3.5
2011-12-31,85.43,3685082.0,15365.5651,9.5447,3.0055,3.5
2012-01-31,84.85,1794246.0,15262.1387,9.4804,2.9853,3.5
2012-02-29,94.25,3022834.0,16952.9354,10.5307,3.316,3.5
2012-03-31,93.25,2923100.0,16773.0819,10.8324,4.2427,3.5
2012-04-30,92.58,2205246.0,16651.6682,10.8324,4.212,3.5
2012-05-31,82.23,4675312.0,14789.991,10.8324,3.7411,3.5
2012-06-30,81.72,2761270.0,14700.0549,10.8324,3.7184,3.5
2012-07-31,95.33,13406858.0,17146.3167,10.8324,4.3372,0.5
2012-08-31,88.58,1913338.0,15932.1794,10.8324,4.03,0.5
2012-09-30,89.95,1509806.0,16179.5037,10.8324,4.0926,0.5
2012-10-31,99.38,7011212.0,17874.7991,10.8324,4.5214,0.5
2012-11-30,97.43,968454.0,17524.0483,10.8324,4.4327,0.5
2012-12-31,89.78,1366882.0,16148.0261,10.8324,4.0846,0.5
2013-01-31,83.45,2587676.0,15010.3345,10.8324,3.7969,0.5
2013-02-28,85.93,1444356.0,15455.5181,10.8324,3.9095,0.5
2013-03-31,79.13,1688522.0,14232.3872,36.4631,3.5521,0.5
2013-04-30,81.1,527004.0,14587.6348,37.3733,3.6408,0.5
2013-05-31,83.48,1381132.0,15014.8313,38.4677,3.7474,0.5
2013-06-30,81.35,450706.0,14632.6041,37.4885,3.652,0.5
2013-07-31,76.63,845838.0,13782.7079,35.3111,3.4399,1.5
2013-08-31,67.55,2282582.0,12150.3676,31.129,3.0325,1.5
2013-09-30,72.8,963190.0,13094.6967,33.5484,3.2682,1.5
2013-10-31,75.58,682130.0,13593.8421,34.8272,3.3927,1.5
2013-11-30,81.45,4658010.0,14650.5913,37.5346,3.6565,1.5
2013-12-31,79.13,2805240.0,14232.3884,36.4631,3.5521,1.5
2014-01-31,69.75,7287486.0,12546.0865,32.1429,3.1312,1.5
2014-02-28,75.08,1560916.0,13503.906,34.5968,3.3703,1.5
2014-03-31,100.63,6571212.0,18099.6409,23.3418,3.9302,1.5
2014-04-30,104.73,10529632.0,18837.1169,24.2929,4.0904,1.5
2014-05-31,134.65,3837380.0,24219.7928,31.2346,5.2592,1.5
2014-06-30,146.0,4630880.0,26261.3423,33.8674,5.7025,1.5
2014-07-31,144.28,4462096.0,25951.0628,33.4673,5.6351,2.0
2014-08-31,173.03,5818362.0,31122.3887,40.1364,6.758,2.0
2014-09-30,181.2,4394872.0,32592.844,42.0327,7.0773,2.0
2014-10-31,169.03,2288732.0,30402.8999,39.2085,6.6018,2.0
2014-11-30,171.85,3476088.0,30911.0389,39.8638,6.7121,2.0
2014-12-31,165.43,3902394.0,29755.3599,38.3734,6.4612,2.0
2015-01-31,167.95,4005354.0,30209.5373,38.9591,6.5598,2.0
2015-02-28,158.13,3011922.0,28442.2591,36.68,6.1761,2.0
2015-03-31,153.85,2578204.0,27673.3391,51.113,6.0745,2.0
2015-04-30,153.23,4424786.0,27560.919,50.9053,6.0498,2.0
2015-05-31,179.58,4110744.0,32300.5517,59.6595,7.0901,2.0
2015-06-30,165.48,2884422.0,29764.3536,54.9751,6.5334,2.0
2015-07-31,187.73,3230140.0,33766.5102,62.3671,7.4119,2.5
2015-08-31,176.0,2082086.0,31657.5085,58.4718,6.949,2.5
2015-09-30,176.55,1279318.0,31756.4383,58.6545,6.9707,2.5
2015-10-31,194.73,2350800.0,35025.6156,64.6927,7.6883,2.5
2015-11-30,177.9,1502424.0,31999.2657,59.103,7.024,2.5
2015-12-31,196.9,1743716.0,35416.8377,65.4153,7.7742,2.5
2016-01-31,180.85,2954338.0,32529.8888,60.0831,7.1405,2.5
2016-02-29,156.43,4890692.0,28136.5101,51.9684,6.1761,2.5
2016-03-31,195.15,2551208.0,35107.9156,35.5156,5.569,3.25
2016-04-30,214.03,3311392.0,38503.5697,38.9507,6.1076,3.25
2016-05-31,208.48,2305914.0,37505.1125,37.9407,5.9492,3.25
2016-06-30,218.8,1087368.0,39368.7291,39.8197,6.2438,3.25
2016-07-31,242.98,2644910.0,46338.4868,44.2194,6.9337,3.25
2016-08-31,250.58,3884180.0,47787.9055,45.6025,7.1506,3.25
2016-09-30,274.02,2447286.0,52260.1249,49.8702,7.8198,3.25
2016-10-31,282.6,1656388.0,53895.4888,51.4308,8.0645,3.25
2016-11-30,246.25,2072508.0,46963.0719,44.8154,7.0272,3.25
2016-12-31,238.18,1579718.0,45502.8039,43.3458,6.7967,3.25
2017-01-31,264.45,1683298.0,50522.5842,48.1277,7.5465,3.25
2017-02-28,282.55,2251570.0,53997.5012,51.4217,8.0631,3.25
2017-03-31,346.2,6667944.0,66169.9578,53.7181,8.7399,3.25
2017-04-30,347.23,3586152.0,66368.8565,53.8771,8.7658,3.25
2017-05-31,317.58,5671354.0,60725.7324,49.2765,8.0172,0.0
2017-06-30,299.75,3984444.0,57340.6666,46.5107,7.5672,0.0
2017-07-31,350.33,7940798.0,67095.4589,54.3581,8.844,3.75
2017-08-31,382.15,4205988.0,73190.6933,59.2962,9.6474,3.75
2017-09-30,387.4,2844246.0,74196.6999,60.1109,9.78,3.75
2017-10-31,405.73,3372988.0,77706.3915,62.9542,10.2426,3.75
2017-11-30,369.8,3703046.0,70901.8553,57.38,9.3357,3.75
2017-12-31,408.95,8293030.0,78425.4776,63.4547,10.324,3.75
2018-01-31,375.6,1736994.0,72061.8175,58.2799,9.4821,3.75
2018-02-28,371.95,2130918.0,71386.7552,57.7136,9.3899,3.75
2018-03-31,377.73,4991900.0,72523.0398,49.4157,9.1485,3.75
2018-04-30,400.8,5740670.0,76960.404,52.4345,9.7074,3.75
2018-05-31,350.38,3756188.0,67293.1542,45.8376,8.4861,3.75
2018-06-30,321.13,3833626.0,61757.6926,42.011,7.7777,3.75
2018-07-31,335.9,3082698.0,64627.7901,43.9439,8.1355,5.0
2018-08-31,337.85,1790394.0,65079.2941,44.1991,8.1827,5.0
2018-09-30,284.1,3909552.0,54725.5512,37.1672,6.8809,5.0
2018-10-31,280.0,2848186.0,53935.7773,36.6309,6.7816,5.0
2018-11-30,338.83,4627160.0,65267.1062,44.3266,8.2064,5.0
2018-12-31,311.45,1515134.0,59993.9208,40.7453,7.5433,5.0
2019-01-31,297.7,2408126.0,57345.2889,38.9465,7.2103,5.0
2019-02-28,310.4,3029964.0,59791.6617,40.6079,7.5179,5.0
2019-03-31,338.95,1513640.0,65291.1847,34.241,7.4784,5.0
2019-04-30,338.3,3160818.0,65165.9766,34.1753,7.4641,5.0
2019-05-31,403.28,15559926.0,77681.9664,40.7391,8.8977,5.0
2019-06-30,387.85,2821930.0,74710.6829,39.1809,8.5573,5.0
2019-07-31,338.4,1556712.0,65185.2394,34.1854,7.4663,4.25
2019-08-31,360.83,1590208.0,69504.9173,36.4508,7.9611,5.0
2019-09-30,400.63,2432922.0,77171.5028,40.4714,8.8392,5.0
2019-10-31,420.93,2414074.0,81081.8466,42.5222,9.2871,5.0
2019-11-30,393.13,2822516.0,75726.7944,39.7138,8.6737,5.0
2019-12-31,420.43,2006504.0,80985.5327,42.4716,9.2761,5.0
2020-01-31,419.88,3025708.0,80879.5874,42.4161,9.2639,5.0
2020-02-29,401.28,5822832.0,77296.7108,40.5371,8.8535,5.0
2020-03-31,229.73,4716064.0,44251.4158,30.8866,5.6561,5.0
2020-04-30,266.52,3116400.0,51340.118,35.8344,6.5621,5.0
2020-05-31,245.38,4345504.0,47266.0405,32.9907,6.0414,5.0
2020-06-30,249.83,4952776.0,48123.2341,33.589,6.151,5.0
2020-07-31,243.2,4728146.0,46847.0751,32.6983,5.9878,5.0
2020-08-31,317.9,12773134.0,61236.37,42.7417,7.827,5.0
2020-09-30,320.58,9266042.0,61751.6493,43.1014,7.8929,5.0
2020-10-31,313.83,3920024.0,60451.4099,42.1939,7.7267,5.0
2020-11-30,405.93,5036194.0,78192.4275,54.5767,9.9943,5.0
2020-12-31,400.55,6586394.0,77157.0533,53.8541,9.862,5.0
2021-01-31,367.08,4182696.0,70708.8387,49.3533,9.0378,5.0
2021-02-28,435.13,7056956.0,83817.1584,58.5027,10.7132,5.0
2021-03-31,467.1,9617946.0,89976.4314,89.6545,10.1648,5.0
2021-04-30,422.75,4916734.0,81433.3898,81.142,9.1996,5.0
2021-05-31,412.05,6264292.0,79372.2726,79.0883,8.9668,0.0
2021-06-30,408.03,4243244.0,78596.9459,78.3157,8.8792,0.0
2021-07-31,421.48,4360912.0,81187.7919,80.8973,9.1719,2.0
2021-08-31,387.48,4621218.0,74638.4475,74.3714,8.432,2.0
2021-09-30,455.13,11641902.0,87669.7166,87.356,9.9042,2.0
2021-10-31,480.05,4604590.0,92470.9639,92.1401,10.4466,2.0
2021-11-30,474.4,5770998.0,91382.6169,91.0557,10.3236,2.0
2021-12-31,505.93,2874696.0,97455.2076,97.1065,11.0096,2.0
2022-01-31,432.25,2826572.0,83263.3562,82.9655,9.4064,2.0
2022-02-28,535.05,9819324.0,103065.4915,102.6967,11.6435,2.0
2022-03-31,526.03,4720126.0,101327.0259,60.418,9.9576,2.0
2022-04-30,568.17,6395860.0,109446.2866,65.2593,10.7555,2.0
2022-05-31,512.2,5073266.0,98663.9469,58.8301,9.6959,2.0
2022-06-30,451.88,2371404.0,87043.6763,51.9013,8.554,2.0
2022-07-31,492.63,6992126.0,94893.2582,56.5818,9.3254,5.0
2022-08-31,550.03,6103950.0,105950.0925,63.1746,10.412,5.0
2022-09-30,550.33,4681960.0,106007.8808,63.209,10.4176,5.0
2022-10-31,618.08,7394176.0,119058.4127,70.9906,11.7002,5.0
2022-11-30,612.78,3235006.0,118037.4854,70.3819,11.5998,5.0
2022-12-31,599.78,3398398.0,115533.3244,68.8888,11.3537,5.0
2023-01-31,614.48,3008428.0,118364.9527,70.5772,11.632,5.0
2023-02-28,718.15,4587870.0,138335.6373,82.485,13.5946,5.0
2023-03-31,689.58,4191430.0,132831.2986,33.8585,9.9824,5.0
2023-04-30,740.1,2738248.0,142563.817,36.3393,10.7138,5.0
2023-05-31,720.95,8493728.0,138874.9951,35.399,10.4366,5.0
2023-06-30,767.1,5403153.0,147764.767,37.665,11.1047,5.0
2023-07-31,783.6,2488121.0,150943.1253,38.4751,11.3436,6.0
2023-08-31,740.45,3175738.0,142631.2367,36.3564,10.7189,6.0
2023-09-30,875.2,18100240.0,179954.0625,42.9727,12.6696,6.0
2023-10-31,884.65,7087810.0,181897.1222,43.4367,12.8064,6.0
2023-11-30,1001.85,6654690.0,205995.1754,49.1913,14.503,6.0
2023-12-31,947.0,3793301.0,194717.2042,46.4982,13.709,6.0
2024-01-31,1139.5,7270800.0,234298.0509,55.95,16.4956,6.0
2024-02-29,1270.25,5236449.0,261182.1845,62.3699,18.3884,6.0
2024-03-31,1273.7,4529369.0,261891.5555,61.2188,10.0339,6.0
2024-04-30,1496.15,11943529.0,307630.5651,71.9106,11.7863,6.0
2024-05-31,1576.45,11657800.0,324141.4325,75.7701,12.4188,6.0
2024-06-30,1634.55,6591739.0,336087.6517,78.5626,12.8765,6.0
2024-07-31,1723.7,12820016.0,354418.2101,82.8475,13.5788,7.0
2024-08-31,1703.9,10101260.0,350347.0373,81.8959,13.4228,7.0
2024-09-30,2063.7,12513815.0,424327.238,99.1892,16.2573,7.0
2024-10-31,1871.05,8683513.0,384715.5491,89.9297,14.7396,7.0
2024-11-30,1853.1,7403926.0,381024.7636,89.067,14.5982,7.0
2024-12-31,2139.15,8050766.0,439840.8738,102.8156,16.8516,7.0
2025-01-31,1817.55,15409086.0,373715.1579,87.3583,14.3181,7.0
2025-02-28,1917.65,14404063.0,394297.1982,92.1695,15.1067,7.0
2025-03-31,2136.4,27336244.0,439275.4331,74.2973,14.3319,7.0
2025-04-30,1706.3,15219644.0,350840.5128,59.3398,11.4466,7.0
2025-05-31,1532.3,20260962.0,315063.5397,53.2886,10.2793,7.0
2025-06-30,1635.6,18731468.0,336303.5473,56.8811,10.9723,7.0
2025-07-31,1738.1,18073394.0,357379.063,60.4457,11.6599,9.0
2025-08-31,1881.7,10441563.0,386905.3466,65.4396,12.6233,9.0
2025-09-30,1881.0,9739309.0,386761.4162,65.4153,12.6186,9.0
2025-10-31,1937.4,7622403.0,398358.0903,67.3767,12.9969,9.0
2025-11-30,1765.4,9452635.0,362992.3467,61.3951,11.8431,9.0
2025-12-31,1730.7,5921333.0,355857.5136,60.1883,11.6103,9.0
2026-01-31,1816.9,9093995.0,373581.5083,63.1861,12.1886,9.0
2026-02-28,1941.2,11041753.0,399139.4265,67.5089,13.0224,9.0
2026-03-31,1946.8,1613375.0,400290.8793,67.7036,13.06,9.0
