COCHIN IN Equity,price,volume,mc,pe,bm,div
2017-08-31,256.73,121526136.0,69796.3416,18.0856,2.8672,0.0
2017-09-30,260.0,44157598.0,70686.7224,18.3163,2.9038,0.0
2017-10-31,289.85,49442256.0,78802.1019,20.4192,3.2372,0.0
2017-11-30,284.8,17366122.0,77429.145,20.0634,3.1808,0.0
2017-12-31,276.05,7391692.0,75050.265,19.447,3.083,0.0
2018-01-31,268.85,13960012.0,73092.7867,18.9398,3.0026,0.0
2018-02-28,266.25,6618704.0,72385.92,18.7566,2.9736,0.0
2018-03-31,251.18,5934166.0,68287.4496,16.2048,2.0976,0.0
2018-04-30,265.48,3443160.0,72175.2192,17.1274,2.217,0.0
2018-05-31,252.15,4664184.0,68552.5248,16.2677,2.1058,0.0
2018-06-30,220.53,6646920.0,59954.5728,14.2274,1.8417,0.0
2018-07-31,225.55,5337336.0,61320.7296,14.5516,1.8836,0.0
2018-08-31,211.28,4563190.0,57439.7568,13.6306,1.7644,6.0
2018-09-30,195.05,5287288.0,53028.6336,12.5839,1.6289,6.0
2018-10-31,193.5,8404606.0,52607.232,12.4839,1.616,6.0
2018-11-30,187.33,4048766.0,50928.4224,12.0855,1.5644,6.0
2018-12-31,187.03,2610816.0,50846.8608,12.0661,1.5619,6.0
2019-01-31,181.98,3405702.0,49473.9072,11.7403,1.5197,6.0
2019-02-28,174.48,1997658.0,45901.0191,11.2565,1.4571,6.0
2019-03-31,195.8,4598678.0,51511.2167,11.0403,1.5475,6.0
2019-04-30,188.33,2245828.0,49544.6879,10.6188,1.4884,6.0
2019-05-31,192.55,4957416.0,50656.2042,10.8571,1.5218,6.0
2019-06-30,189.23,2489394.0,49781.4606,10.6696,1.4955,6.0
2019-07-31,178.68,1917138.0,47005.9584,10.0747,1.4122,6.0
2019-08-31,172.4,1949752.0,45355.1265,9.7209,1.3626,6.5
2019-09-30,168.85,2859868.0,44421.1897,9.5207,1.3345,6.5
