SI IN Equity,price,volume,mc,pe,bm,div
2006-06-30,31.4,3521200.0,4335.9005,9.1487,2.0053,0.9
2006-07-31,35.92,1412930.0,4960.8392,10.4673,2.2943,0.9
2006-08-31,37.49,3964200.0,5178.3593,10.9262,2.3949,0.9
2006-09-30,39.33,2276520.0,5431.7875,11.4609,2.5121,1.0
2006-10-31,44.19,3207110.0,6102.9923,12.8772,2.8226,1.0
2006-11-30,42.12,3767125.0,5817.1301,12.274,2.6904,1.0
2006-12-31,46.15,2356680.0,6373.7073,13.4483,2.9478,1.0
2007-01-31,44.0,2096220.0,6076.7741,12.8218,2.8104,1.0
2007-02-28,35.24,1963150.0,4866.9436,10.2691,2.2509,1.0
2007-03-31,31.92,1037305.0,4408.4234,9.3016,2.0388,1.0
2007-04-30,44.31,1928670.0,6119.5877,12.9121,2.8302,1.0
2007-05-31,46.56,1691535.0,6430.3318,13.5678,2.974,1.0
2007-06-30,46.69,1066205.0,6448.2859,12.5163,2.6477,1.0
2007-07-31,51.16,2926760.0,7065.6309,13.7146,2.9012,1.0
2007-08-31,41.34,2186545.0,5709.4054,11.0821,2.3443,1.0
2007-09-30,46.0,2157420.0,6353.0599,12.3313,2.6085,1.0
2007-10-31,61.55,6658140.0,8500.6704,16.4999,3.4903,1.5
2007-11-30,70.0,3567125.0,9667.6999,18.7651,3.9695,1.5
2007-12-31,75.02,4755370.0,10361.0121,20.1108,4.2542,1.5
2008-01-31,55.05,1445350.0,7602.9554,14.7574,3.1217,1.7
2008-02-29,51.22,1355180.0,7073.9941,13.7307,2.9046,1.7
2008-03-31,49.45,1284610.0,6829.5394,13.2562,2.8042,1.7
2008-04-30,44.85,441155.0,6194.2334,12.0231,2.5433,1.7
2008-05-31,43.7,668960.0,6035.4069,11.7148,2.4781,1.7
2008-06-30,35.17,584370.0,4857.3287,9.0346,1.7958,1.7
2008-07-31,36.01,580585.0,4973.3411,9.2504,1.8387,1.7
2008-08-31,43.68,671885.0,6032.6447,11.2207,2.2304,1.7
2008-09-30,39.0,290450.0,5386.2899,10.0185,1.9914,1.7
2008-10-31,23.56,724120.0,3253.8716,6.0522,1.203,1.6
2008-11-30,20.94,599850.0,2892.0234,5.3792,1.0692,1.6
2008-12-31,22.88,11229095.0,3159.9568,5.8775,1.1683,1.6
2009-01-31,22.48,9808285.0,3104.7128,5.7748,1.1479,1.6
2009-02-28,22.31,1459190.0,2833.9723,5.7311,1.1392,1.6
2009-03-31,21.15,910520.0,2686.621,5.4331,1.08,0.9
2009-04-30,31.85,2456125.0,4045.8098,8.1818,1.6263,0.9
2009-05-31,44.13,2177585.0,5605.7014,11.3363,2.2534,0.9
2009-06-30,50.67,3425265.0,6436.4579,7.4122,2.1164,0.9
2009-07-31,61.43,6565810.0,7803.2684,8.9862,2.5658,0.9
2009-08-31,62.81,3703080.0,7978.5657,9.1881,2.6235,0.9
2009-09-30,67.0,3676545.0,8510.8088,9.8011,2.7985,2.4
2009-10-31,61.64,5608670.0,7829.9441,9.017,2.5746,2.4
2009-11-30,59.78,1991985.0,7593.6739,8.7449,2.4969,2.4
2009-12-31,76.72,30230835.0,9745.5112,11.2229,3.2045,2.4
2010-01-31,86.36,21229595.0,10970.0514,12.6331,3.6071,2.0
2010-02-28,89.79,4616340.0,11405.754,13.1349,3.7504,2.0
2010-03-31,92.44,6010625.0,11742.3756,13.5225,3.8611,2.0
2010-04-30,99.84,6603070.0,12682.3753,14.605,4.1702,2.0
2010-05-31,100.65,1857990.0,12785.2672,14.7235,4.204,2.0
2010-06-30,113.49,2284700.0,14416.2938,9.2419,3.4816,2.0
2010-07-31,120.18,3442465.0,15266.1045,9.7866,3.6868,2.0
2010-08-31,124.71,1605980.0,15841.5367,10.1555,3.8258,2.0
2010-09-30,153.12,9834950.0,19450.3737,12.4691,4.6973,3.6
2010-10-31,145.05,7573628.0,18425.2376,11.8119,4.4498,3.6
2010-11-30,154.3,1784372.0,19600.2356,12.5651,4.7335,3.6
2010-12-31,144.3,1275045.0,18329.9675,11.7508,4.4268,3.6
2011-01-31,149.6,3015454.0,19003.2096,12.1824,4.5893,3.6
2011-02-28,150.0,1971464.0,19054.0203,12.215,4.6016,3.9
2011-03-31,146.15,594699.0,18564.9671,11.9015,4.4835,3.9
2011-04-30,155.65,937723.0,19771.7217,12.6751,4.7749,3.9
2011-05-31,173.4,2559803.0,22026.4475,14.1205,5.3195,3.9
2011-06-30,181.0,3057183.0,22991.8512,11.738,4.1978,3.9
2011-07-31,211.2,4464018.0,26828.0606,13.6965,4.8982,3.9
2011-08-31,210.5,6032491.0,26739.1418,13.6511,4.882,3.9
2011-09-30,188.9,1985848.0,23995.3629,12.2503,4.381,4.3
2011-10-31,192.3,1125985.0,24427.254,12.4708,4.4599,4.3
2011-11-30,175.5,1293237.0,22293.2038,11.3813,4.0703,4.3
2011-12-31,176.1,618730.0,22369.4198,11.4202,4.0842,4.3
2012-01-31,175.15,660343.0,22248.7444,11.3586,4.0622,4.5
2012-02-29,194.35,1840250.0,24687.659,12.6038,4.5074,4.5
2012-03-31,208.2,1626755.0,26447.0008,13.5019,4.8287,4.5
2012-04-30,207.65,1001113.0,26377.136,13.4663,4.8159,4.5
2012-05-31,209.7,1920590.0,26637.5412,13.5992,4.8634,4.5
2012-06-30,222.95,1113512.0,28320.6476,11.7157,4.0648,4.5
2012-07-31,250.4,1089902.0,31807.5361,13.1582,4.5653,4.5
2012-08-31,280.5,890517.0,35631.0458,14.7399,5.1141,4.5
2012-09-30,282.95,3339887.0,35942.2617,14.8686,5.1587,6.0
2012-10-31,291.85,1577518.0,37072.8011,15.3363,5.321,6.0
2012-11-30,287.8,1078089.0,36558.3422,15.1235,5.2472,6.0
2012-12-31,295.75,446687.0,37568.206,15.5413,5.3921,6.0
2013-01-31,306.1,748759.0,38882.9345,16.0851,5.5808,6.5
2013-02-28,316.7,3292148.0,40229.4196,16.6421,5.7741,6.5
2013-03-31,312.7,899454.0,39721.312,16.4319,5.7011,6.5
2013-04-30,327.2,1059055.0,41563.2021,17.1939,5.9655,6.5
2013-05-31,362.25,1440043.0,46015.495,19.0357,6.6045,6.5
2013-06-30,337.05,1667778.0,42814.4068,14.7587,4.8709,6.5
2013-07-31,342.6,749040.0,43519.4059,15.0017,4.9511,6.5
2013-08-31,322.35,560848.0,40947.1118,14.115,4.6585,6.5
2013-09-30,338.0,1555416.0,42935.0823,14.8003,4.8846,7.5
2013-10-31,390.05,2760816.0,49546.8309,17.0794,5.6368,7.5
2013-11-30,398.05,517802.0,50563.0459,17.4297,5.7524,7.5
2013-12-31,425.05,1642989.0,53992.7714,18.612,6.1426,7.5
2014-01-31,429.3,3070770.0,54532.6356,18.7981,6.2041,7.5
2014-02-28,427.0,798142.0,54240.4738,18.6974,6.1708,7.5
2014-03-31,502.35,1309054.0,63811.9485,21.9968,7.2597,7.5
2014-04-30,456.1,1564569.0,57936.9557,19.9716,6.5914,7.5
2014-05-31,508.2,2347959.0,64555.0557,22.253,7.3443,7.5
2014-06-30,522.55,1585486.0,66377.8913,23.4222,6.3877,7.5
2014-07-31,605.5,1832000.0,76914.7702,27.1403,7.4016,7.5
2014-08-31,590.05,1026441.0,74952.2051,26.4478,7.2128,7.5
2014-09-30,652.75,1924059.0,82916.7899,29.2582,7.9792,8.0
2014-10-31,599.8,1909612.0,76190.7171,26.8848,7.332,8.0
2014-11-30,616.85,4019313.0,78356.5252,27.649,7.5404,8.0
2014-12-31,597.3,1331193.0,75873.1499,26.7727,7.3014,8.0
2015-01-31,590.55,1588687.0,75015.7185,26.4702,7.2189,8.0
2015-02-28,660.4,1314354.0,83888.6311,29.6011,8.0727,8.0
2015-03-31,712.6,1113025.0,90519.3481,31.9408,8.7108,8.0
2015-04-30,682.85,1895390.0,86740.2987,30.6074,8.3472,8.0
2015-05-31,667.8,1010204.0,84828.5443,29.9328,8.1632,8.0
2015-06-30,675.25,956646.0,85774.8945,26.6056,7.0801,8.0
2015-07-31,626.85,2486812.0,79626.7939,24.6986,6.5726,8.0
2015-08-31,590.95,1420174.0,75066.5293,23.2841,6.1962,8.0
2015-09-30,618.5,832091.0,78566.1195,24.3696,6.485,9.0
2015-10-31,630.05,2710516.0,80033.2799,24.8247,6.6061,9.0
2015-11-30,652.5,791736.0,82885.0331,25.7092,6.8415,9.0
2015-12-31,681.45,3145759.0,86562.4611,26.8499,7.1451,9.0
2016-01-31,740.75,1425093.0,94095.1545,29.1864,7.7668,9.0
2016-02-29,670.15,1169202.0,85127.0574,26.4046,7.0266,9.5
2016-03-31,739.65,1620268.0,93955.4249,42.4671,7.6573,7.5
2016-04-30,800.4,1749255.0,101672.3073,45.9551,7.6573,7.5
2016-05-31,992.0,3946857.0,126010.6558,56.9558,7.6573,7.5
2016-06-30,913.35,2205359.0,116019.9924,52.4401,7.6573,7.5
2016-07-31,936.3,1510802.0,118935.2591,53.7578,7.6573,7.5
2016-08-31,956.95,1344668.0,121558.3639,54.9434,7.6573,7.5
2016-09-30,907.3,1986618.0,115251.4798,52.0928,7.6573,7.5
2016-10-31,902.9,1446096.0,114692.5616,51.8402,7.6573,7.5
2016-11-30,899.0,2095447.0,114197.1568,51.6162,7.6573,8.0
2016-12-31,906.95,1858464.0,115207.0204,52.0727,7.6573,8.0
2017-01-31,939.0,1939991.0,119278.2316,53.9128,7.6573,8.0
2017-02-28,1008.65,920649.0,128125.6532,57.9118,7.6573,8.0
2017-03-31,1092.65,1709811.0,138795.9103,32.2506,8.1851,8.0
2017-04-30,1088.3,1138562.0,138243.3514,32.1222,8.1525,8.0
2017-05-31,1149.2,1686052.0,145979.2798,33.9197,8.6087,3.0
2017-06-30,1227.8,1453169.0,155963.5919,36.2397,9.1975,15.0
2017-07-31,1120.8,2544882.0,142371.7167,33.0815,8.3959,15.0
2017-08-31,1201.55,1650276.0,152629.1365,35.4649,9.0008,15.0
