JDSL IN Equity,price,volume,mc,pe,bm,div
2011-01-31,35.69,1821874.0,17251.7848,1.4773,0.3468,0.0
2011-02-28,33.41,4066177.0,16146.6216,1.3827,0.3246,0.0
2011-03-31,31.93,2063423.0,15434.8216,1.8906,0.2669,0.0
2011-04-30,34.61,3603082.0,16727.3006,2.0489,0.2892,0.0
2011-05-31,42.11,6425583.0,20351.8612,2.4929,0.3519,0.0
2011-06-30,37.71,4157802.0,18225.8269,2.2325,0.3152,0.0
2011-07-31,38.83,1996747.0,18842.1791,2.299,0.3245,0.0
2011-08-31,35.21,2609149.0,17083.9519,2.0845,0.2943,0.0
2011-09-30,38.77,1492328.0,18813.9723,2.2956,0.3241,0.0
2011-10-31,36.12,1305888.0,17525.8592,2.1384,0.3019,0.0
2011-11-30,27.09,3763177.0,13144.3944,1.6038,0.2264,0.0
2011-12-31,27.81,4609815.0,13518.4681,1.6463,0.2324,0.0
2012-01-31,29.03,2123067.0,14111.9618,1.7185,0.2426,0.0
2012-02-29,29.57,4004025.0,14403.5856,1.7507,0.2471,0.0
2012-03-31,30.91,4033914.0,15083.9624,1.8034,0.2812,0.0
2012-04-30,31.08,1569269.0,15198.3491,1.8034,0.2827,0.0
2012-05-31,28.52,1392044.0,13947.6122,1.8034,0.2595,0.0
2012-06-30,27.92,964056.0,13674.9176,1.8034,0.254,0.0
2012-07-31,26.72,6981648.0,13086.545,1.8034,0.2431,0.0
2012-08-31,26.45,8423668.0,12953.6867,1.8034,0.2406,0.0
2012-09-30,26.24,2652174.0,12874.0079,1.8034,0.2387,0.0
2012-10-31,25.6,6304998.0,12584.3482,1.8034,0.2329,0.0
2012-11-30,26.95,2585166.0,13251.1948,1.8034,0.2452,0.0
2012-12-31,27.5,9302273.0,13517.9334,1.8034,0.2501,0.0
2013-01-31,24.59,4713596.0,12088.9764,1.8034,0.2237,0.0
2013-02-28,21.35,3420489.0,10498.0709,1.8034,0.1943,0.0
2013-03-31,18.37,2534116.0,9031.0084,1.8034,0.2798,0.0
2013-04-30,22.61,8632387.0,11907.9283,1.8034,0.3445,0.0
2013-05-31,21.0,2476323.0,11061.0063,1.8034,0.32,0.0
2013-06-30,18.95,2258490.0,9979.392,1.8034,0.2887,0.0
2013-07-31,17.25,1271330.0,9081.4508,1.8034,0.2627,0.0
2013-08-31,14.94,6809839.0,7867.1894,1.8034,0.2276,0.0
2013-09-30,14.57,8718299.0,7673.3157,1.8034,0.222,0.0
2013-10-31,14.78,4341790.0,7785.5583,1.8034,0.2252,0.0
2013-11-30,14.53,2225018.0,7673.4375,1.8034,0.2214,0.0
2013-12-31,14.49,8106415.0,7652.975,1.8034,0.2208,0.0
2014-01-31,12.98,3975116.0,6854.9375,1.8034,0.1978,0.0
2014-02-28,12.54,3461118.0,6619.6188,1.8034,0.191,0.0
2014-03-31,13.91,4048180.0,7346.0375,1.8034,4.8353,0.0
2014-04-30,15.02,7758266.0,8345.7813,1.8034,5.2192,0.0
2014-05-31,18.87,10824704.0,10488.7625,1.8034,6.5593,0.0
2014-06-30,22.88,18107657.0,12717.8938,1.8034,7.9534,0.0
2014-07-31,18.8,11142236.0,10445.6875,1.8034,6.5324,0.0
2014-08-31,17.28,6706025.0,9605.725,1.8034,6.0071,0.0
2014-09-30,14.34,4936565.0,7968.875,1.8034,4.9835,0.0
2014-10-31,13.14,2962482.0,7301.2125,1.8034,4.5659,0.0
2014-11-30,12.07,4628777.0,6708.9313,1.8034,4.1955,0.0
2014-12-31,16.41,29006376.0,9121.1312,1.8034,5.7041,0.0
2015-01-31,12.96,10729797.0,7572.2438,1.8034,4.5053,0.0
2015-02-28,13.18,7000504.0,7696.75,1.8034,4.5794,0.0
2015-03-31,13.47,28627545.0,7866.5313,1.1639,1.535,0.0
2015-04-30,14.53,8117945.0,8489.0625,1.256,1.6564,0.0
2015-05-31,16.14,7219632.0,9428.5188,1.395,1.8397,0.0
2015-06-30,15.21,7198389.0,8885.2188,1.3147,1.7337,0.0
2015-07-31,16.12,14083776.0,9417.2,1.3934,1.8375,0.0
2015-08-31,14.36,11199492.0,8387.1937,1.241,1.6365,0.0
2015-09-30,14.82,22501463.0,8658.8438,1.2812,1.6896,0.0
2015-10-31,20.46,25712339.0,12206.592,1.7685,2.3322,0.0
2015-11-30,22.4,20846899.0,5178.5542,1.936,2.5532,0.0
2015-12-31,28.75,20854616.0,6646.5818,2.4849,3.277,0.0
2016-01-31,22.9,5802301.0,5294.1469,1.9793,2.6102,0.0
2016-02-29,18.0,6340720.0,4161.3382,1.5557,2.0517,0.0
2016-03-31,16.75,4882620.0,3872.3564,1.4736,0.2262,0.0
2016-04-30,17.0,10137322.0,3930.1527,1.4736,0.2295,0.0
2016-05-31,15.05,6407128.0,3479.3411,1.4736,0.2032,0.0
2016-06-30,15.9,7288616.0,3675.8487,1.4736,0.2147,0.0
2016-07-31,20.05,19570923.0,8009.3686,1.4736,0.2707,0.0
2016-08-31,23.5,35659181.0,9387.5393,1.4736,0.3173,0.0
2016-09-30,24.65,7641336.0,9846.9295,1.4736,0.3328,0.0
2016-10-31,41.6,38085096.0,16617.9419,1.4736,0.5617,0.0
2016-11-30,36.4,8953970.0,14540.6992,1.4736,0.4915,0.0
2016-12-31,37.65,4070270.0,15040.0364,1.4736,0.5084,0.0
2017-01-31,47.95,14218696.0,19154.5749,1.4736,0.6475,0.0
2017-02-28,58.1,27409442.0,23209.1929,1.4736,0.7845,0.0
2017-03-31,71.2,54405257.0,28442.2467,31.0917,1.568,0.0
2017-04-30,72.2,13533440.0,28841.7165,31.5284,1.59,0.0
2017-05-31,70.85,16031738.0,28302.4323,30.9389,1.5603,0.0
2017-06-30,71.25,6996787.0,32777.8571,31.1135,1.5691,0.0
2017-07-31,88.4,19718923.0,40667.5448,38.6026,1.9468,0.0
2017-08-31,94.45,13539555.0,43450.7875,41.2445,2.0801,0.0
2017-09-30,112.25,21184549.0,51639.5012,49.0175,2.4721,0.0
2017-10-31,119.05,8891939.0,54767.7739,51.9869,2.6218,0.0
2017-11-30,111.1,7517428.0,51110.4538,48.5153,2.4467,0.0
2017-12-31,104.3,5842403.0,47982.1812,45.5459,2.297,0.0
2018-01-31,112.1,17367396.0,51570.4939,48.952,2.4688,0.0
2018-02-28,101.1,13285106.0,46510.0515,44.1485,2.2265,0.0
2018-03-31,78.55,9564658.0,36136.1478,10.3355,1.527,0.0
2018-04-30,92.25,14833049.0,42438.6968,12.1382,1.7933,0.0
2018-05-31,84.85,14492742.0,40661.9579,11.1645,1.6494,0.0
2018-06-30,67.55,10120599.0,32371.4231,8.8882,1.3131,0.0
2018-07-31,58.15,17351007.0,27866.7395,7.6513,1.1304,0.0
2018-08-31,67.3,13372851.0,32251.6177,8.8553,1.3083,0.0
2018-09-30,53.75,17644299.0,25758.1642,7.0724,1.0449,0.0
2018-10-31,52.55,13780642.0,25183.0982,6.9145,1.0215,0.0
2018-11-30,37.1,12675679.0,17779.1236,4.8816,0.7212,0.0
2018-12-31,34.2,17962898.0,16389.3808,4.5,0.6648,0.0
2019-01-31,27.4,13826003.0,13130.6735,3.6053,0.5326,0.0
2019-02-28,35.25,19867976.0,16892.5635,4.6382,0.6852,0.0
2019-03-31,40.6,18624897.0,19456.3994,13.67,0.751,0.0
2019-04-30,37.4,14176259.0,17922.8901,12.5926,0.6918,0.0
2019-05-31,37.75,10772879.0,18090.6177,12.7104,0.6983,0.0
2019-06-30,36.05,7160822.0,17275.9408,12.138,0.6668,0.0
2019-07-31,29.6,4865680.0,14184.9611,9.9663,0.5475,0.0
2019-08-31,31.15,5579075.0,14927.7547,10.4882,0.5762,0.0
2019-09-30,35.4,12726091.0,16964.4468,11.9192,0.6548,0.0
2019-10-31,34.65,4123064.0,16605.0305,11.6667,0.6409,0.0
2019-11-30,38.65,13150697.0,18831.6173,13.0135,0.7149,0.0
2019-12-31,38.65,7950684.0,18831.6173,13.0135,0.7149,0.0
2020-01-31,40.3,84554992.0,19635.5544,13.569,0.7454,0.0
2020-02-29,39.0,30671559.0,19002.1494,13.1313,0.7214,0.0
2020-03-31,24.1,19185810.0,11742.3539,16.2838,0.4321,0.0
2020-04-30,31.2,5416252.0,15201.7195,21.0811,0.5595,0.0
2020-05-31,27.0,4468265.0,13155.3342,18.2432,0.4841,0.0
2020-06-30,40.6,22356632.0,19781.7248,27.4324,0.728,0.0
2020-07-31,35.45,11400801.0,17272.4666,23.9527,0.6357,0.0
2020-08-31,43.05,31722435.0,20975.4495,29.0878,0.7719,0.0
2020-09-30,44.35,10977424.0,21608.8545,29.9662,0.7953,0.0
2020-10-31,62.6,42659051.0,30500.8871,42.2973,1.1225,0.0
2020-11-30,63.75,19818844.0,31061.207,43.0743,1.1431,0.0
2020-12-31,75.7,38841591.0,36883.6607,51.1486,1.3574,0.0
2021-01-31,81.2,43674271.0,39563.4511,54.8649,1.456,0.0
2021-02-28,71.2,28376547.0,34691.1049,48.1081,1.2767,0.0
2021-03-31,67.6,24968634.0,32937.0602,7.8605,1.0276,0.0
2021-04-30,89.25,59664319.0,43485.6897,10.3779,1.3568,0.0
2021-05-31,92.6,63967051.0,45117.9257,10.7674,1.4077,0.0
2021-06-30,109.65,82152531.0,53425.276,12.75,1.6669,0.0
2021-07-31,162.3,147909118.0,79078.1756,18.8721,2.4672,0.0
2021-08-31,150.5,70595359.0,73328.8073,17.5,2.2879,0.0
2021-09-30,162.0,55729781.0,78932.0052,18.8372,2.4627,0.0
2021-10-31,191.75,70296581.0,93427.2345,22.2965,2.9149,0.0
2021-11-30,165.15,29523619.0,80466.7942,19.2035,2.5106,0.0
2021-12-31,198.2,33291736.0,99946.9066,23.0465,3.013,0.0
2022-01-31,202.9,41579367.0,102316.9897,23.593,3.0844,0.0
2022-02-28,194.0,26563991.0,97828.9601,22.5581,2.9491,0.0
2022-03-31,202.55,27790591.0,102140.4941,5.2339,1.0836,0.0
2022-04-30,182.9,17811647.0,92231.5299,4.7261,0.9784,0.0
2022-05-31,112.0,40574933.0,56478.5749,2.8941,0.5992,0.0
2022-06-30,99.8,28936009.0,52444.4477,2.5788,0.5339,0.0
2022-07-31,118.85,24320828.0,62455.1364,3.0711,0.6358,0.0
2022-08-31,128.0,27987334.0,67263.4199,3.3075,0.6847,0.0
2022-09-30,125.25,26984228.0,65818.3074,3.2364,0.67,0.0
2022-10-31,141.55,12426371.0,74383.8835,3.6576,0.7572,0.0
2022-11-30,173.7,37739792.0,91278.5628,4.4884,0.9292,0.0
2022-12-31,239.15,65572910.0,125672.2412,6.1796,1.2794,0.0
2023-01-31,254.65,27559061.0,133817.4209,6.5801,1.3623,0.0
2023-02-28,267.0,16026888.0,140307.29,6.8992,1.4283,0.0
2023-03-31,289.8,49078357.0,152288.5866,11.285,2.0001,0.0
2023-04-30,281.9,15142793.0,232126.2104,10.9774,1.9455,1.0
2023-05-31,293.65,22189360.0,241801.5668,11.435,2.0266,1.0
2023-06-30,330.4,14207542.0,272062.7879,12.866,2.2803,1.0
2023-07-31,400.95,14619809.0,330156.0981,15.6133,2.7672,1.0
2023-08-31,454.6,10454203.0,374333.3637,17.7025,3.1374,1.0
2023-09-30,475.85,26555812.0,391831.3487,18.53,3.2841,2.5
2023-10-31,442.55,20401460.0,364410.9769,17.2333,3.0543,3.5
2023-11-30,501.3,45058912.0,412787.759,19.521,3.4597,3.5
2023-12-31,572.1,41862351.0,471086.9278,22.278,3.9484,3.5
2024-01-31,576.8,70951819.0,474957.0704,22.4611,3.9808,3.5
2024-02-29,640.55,55972932.0,527451.0253,24.9435,4.4208,3.5
2024-03-31,694.45,36120331.0,571834.1496,21.0759,3.9827,3.5
2024-04-30,706.95,28610260.0,582127.082,21.4552,4.0544,2.5
2024-05-31,793.5,92468100.0,653395.3456,24.0819,4.5508,2.5
2024-06-30,822.5,27541410.0,677274.9486,24.9621,4.7171,2.5
2024-07-31,740.5,19605279.0,609753.3124,22.4734,4.2468,2.5
2024-08-31,793.4,23817898.0,653313.0021,24.0789,4.5502,4.0
2024-09-30,790.5,25388098.0,650925.0418,23.9909,4.5336,4.0
2024-10-31,675.3,17242512.0,556065.3773,20.4947,3.8729,4.0
2024-11-30,683.2,10928862.0,562570.5105,20.7344,3.9182,4.0
2024-12-31,699.2,17725715.0,575979.6959,21.22,4.01,2.0
2025-01-31,653.3,17259687.0,538168.6718,19.827,3.7467,2.0
2025-02-28,584.85,18603354.0,481781.6435,17.7496,3.3542,3.0
2025-03-31,581.6,25787346.0,479104.3924,19.119,2.871,3.0
2025-04-30,583.1,22496700.0,480340.0468,19.1683,2.8784,3.0
2025-05-31,644.75,21333410.0,531125.4419,21.1949,3.1827,3.0
2025-06-30,705.1,24540998.0,580839.9365,23.1788,3.4806,3.0
2025-07-31,694.1,16724364.0,571778.471,22.8172,3.4263,3.0
2025-08-31,762.95,29763465.0,628495.0072,25.0805,3.7662,3.0
2025-09-30,737.75,16679943.0,608215.551,24.2521,3.6418,3.0
2025-10-31,753.7,11983798.0,621365.0435,24.7765,3.7205,3.0
2025-11-30,771.05,13519892.0,635668.7233,25.3468,3.8061,3.0
2025-12-31,839.25,13434887.0,691894.1392,27.5888,4.1428,3.0
2026-01-31,822.55,17113731.0,678126.3321,27.0398,4.0604,2.0
2026-02-28,776.35,15724817.0,640038.1471,25.521,3.8323,2.0
2026-03-31,768.75,4029650.0,633772.5583,25.2712,3.7948,2.0
