JDSL IN Equity,price,volume,mc,pe,bm,div
2005-03-31,36.89,11856306.0,10463.4127,1.6317,0.5218,2.0
2005-04-30,37.32,16710878.0,10584.3135,1.6505,0.5278,3.6
2005-05-31,38.6,6429012.0,10947.0158,1.7071,0.5459,3.6
2005-06-30,47.55,95591496.0,13485.9322,2.103,0.6725,1.8
2005-07-31,44.6,51296159.0,12650.6177,1.9728,0.6308,1.8
2005-08-31,46.97,12510714.0,13325.4912,2.0773,0.6643,1.8
2005-09-30,56.56,57409249.0,16046.662,2.5015,0.7999,1.8
2005-10-31,45.98,22569833.0,13384.2065,2.0336,0.6503,1.8
2005-11-30,43.15,21133197.0,12673.5121,1.9085,0.6103,1.8
2005-12-31,37.8,18476116.0,11102.8388,1.672,0.5346,1.8
2006-01-31,35.27,14983224.0,10357.3381,1.5597,0.4987,1.8
2006-02-28,37.11,20461459.0,10897.9684,1.6411,0.5248,1.8
2006-03-31,44.31,38895872.0,13014.9628,3.0659,0.5823,1.8
2006-04-30,46.54,34188696.0,13333.6501,3.22,0.6115,1.8
2006-05-31,33.79,16408229.0,11384.1173,2.3379,0.444,1.8
2006-06-30,36.97,20517012.0,12454.6421,2.5578,0.4858,0.0
2006-07-31,35.89,10499723.0,12089.097,2.4827,0.4715,0.0
2006-08-31,37.69,7298025.0,12696.1629,2.6074,0.4952,0.0
2006-09-30,41.99,13935041.0,14239.4874,2.905,0.5517,1.6
2006-10-31,48.33,19410148.0,16388.2241,3.3434,0.635,1.6
2006-11-30,46.66,8222605.0,15823.1129,3.2281,0.6131,1.6
2006-12-31,46.21,9013113.0,15671.9785,3.1972,0.6072,1.6
2007-01-31,48.19,12832279.0,16342.2267,3.334,0.6332,1.6
2007-02-28,50.34,16273858.0,17071.6143,3.4828,0.6614,1.6
2007-03-31,47.26,11564801.0,16026.8158,1.849,0.4673,3.2
2007-04-30,57.96,13705616.0,19654.041,2.2675,0.573,3.2
2007-05-31,59.76,11106059.0,21313.7101,2.338,0.5908,3.2
2007-06-30,55.17,6080864.0,19995.0358,2.1583,0.5454,3.2
2007-07-31,64.25,17822142.0,23288.9142,2.5138,0.6353,3.2
2007-08-31,63.69,10640303.0,23505.1396,2.4919,0.6297,2.0
2007-09-30,65.76,8495491.0,24270.3238,2.573,0.6502,2.0
2007-10-31,64.66,14572325.0,23862.7197,2.5298,0.6393,2.0
2007-11-30,84.35,41234682.0,31739.704,3.3,0.834,2.0
2007-12-31,90.82,22852902.0,34551.3917,3.5532,0.898,2.0
2008-01-31,65.49,14963056.0,24916.5146,2.5624,0.6476,2.0
2008-02-29,60.94,8108031.0,23683.8161,2.3842,0.6025,2.0
2008-03-31,54.72,8036216.0,21266.4854,2.9642,0.4585,2.0
2008-04-30,57.57,3223099.0,22373.5621,3.1185,0.4824,2.0
2008-05-31,53.63,3111919.0,21394.5501,2.9054,0.4494,0.4
2008-06-30,47.28,3452102.0,19780.4582,2.5612,0.3962,0.4
2008-07-31,50.69,3172899.0,21207.2453,2.7459,0.4247,0.4
2008-08-31,47.76,2843527.0,19983.1268,2.5874,0.4002,2.0
2008-09-30,42.36,1448578.0,17721.3449,2.2945,0.3549,2.0
2008-10-31,14.84,4254594.0,6209.7703,0.804,0.1244,2.0
2008-11-30,11.41,5338576.0,4774.8756,0.6182,0.0956,2.0
2008-12-31,13.85,7082776.0,5796.3261,0.7505,0.1161,2.0
2009-01-31,14.71,3818441.0,6153.023,0.7967,0.1232,2.0
2009-02-28,14.07,2808935.0,5885.5003,0.762,0.1179,2.0
2009-03-31,15.0,3701130.0,6274.6243,0.7935,0.1913,2.0
2009-04-30,23.12,4812459.0,9671.3524,0.7935,0.2949,2.0
2009-05-31,36.82,6718275.0,15402.8245,0.7935,0.4697,2.0
2009-06-30,30.27,6196849.0,12662.7431,0.7935,0.3861,2.0
2009-07-31,31.08,4700083.0,13003.2266,0.7935,0.3965,2.0
2009-08-31,31.1,4373015.0,13011.3333,0.7935,0.3968,2.0
2009-09-30,33.0,8010652.0,13805.7948,0.7935,0.421,2.0
2009-10-31,38.44,59423495.0,16083.7915,0.7935,0.4905,0.0
2009-11-30,42.28,18740812.0,17688.9279,0.7935,0.5394,0.0
2009-12-31,47.88,17989065.0,20031.7786,0.7935,0.6109,0.0
2010-01-31,40.48,15955973.0,16935.0002,0.7935,0.5164,0.0
2010-02-28,38.93,4718707.0,16286.4602,0.7935,0.4967,0.0
2010-03-31,41.91,7439712.0,17534.8997,1.7348,0.4073,0.0
2010-04-30,45.48,7003477.0,21778.0711,1.8823,0.4419,0.0
2010-05-31,40.42,4179441.0,19356.2234,1.673,0.3928,0.0
2010-06-30,39.45,2090501.0,18892.2679,1.6329,0.3833,0.0
2010-07-31,40.38,13356413.0,19337.6651,1.6714,0.3924,0.0
2010-08-31,40.9,3409244.0,19588.2011,1.693,0.3975,0.0
2010-09-30,49.51,24169631.0,23708.1259,2.0491,0.4811,0.0
2010-10-31,47.55,4739829.0,22770.9358,1.9681,0.462,0.0
2010-11-30,40.83,1900283.0,19551.0847,1.6898,0.3967,0.0
2010-12-31,41.95,2024308.0,20089.2731,1.7364,0.4076,0.0
