SCI IN Equity,price,volume,mc,pe,bm,div
2016-03-31,50.39,18448506.0,30253.6458,3.0029,0.3505,0.0
2016-04-30,54.27,12294685.0,32582.6408,3.234,0.3775,0.0
2016-05-31,53.53,18630650.0,32140.1318,3.1901,0.3724,0.0
2016-06-30,51.86,12183147.0,31138.6639,3.0907,0.3608,0.0
2016-07-31,55.97,17178551.0,33607.3987,3.3357,0.3894,0.0
2016-08-31,51.44,14794238.0,30882.4744,3.0653,0.3578,0.0
2016-09-30,52.68,26481290.0,31627.7529,3.1393,0.3664,0.0
2016-10-31,52.95,10921493.0,31790.7825,3.1554,0.3683,0.0
2016-11-30,45.62,12361027.0,27388.9819,2.7185,0.3173,0.0
2016-12-31,45.38,15213283.0,27249.2422,2.7047,0.3157,0.0
2017-01-31,51.78,21585800.0,31092.084,3.0861,0.3602,0.0
2017-02-28,48.64,11374775.0,29205.598,2.8988,0.3384,0.0
2017-03-31,59.46,45253195.0,35703.4942,15.1696,0.4018,0.0
2017-04-30,62.57,39945245.0,37566.6903,15.9613,0.4227,0.0
2017-05-31,57.6,26463737.0,34585.5766,14.6946,0.3892,0.0
2017-06-30,66.52,54746730.0,39942.2652,16.9706,0.4495,0.0
2017-07-31,64.24,20183997.0,38568.1581,16.3868,0.434,0.0
2017-08-31,77.54,44158988.0,46556.6112,19.7809,0.5239,0.0
2017-09-30,69.51,36348474.0,41735.5914,17.7325,0.4697,0.0
2017-10-31,71.61,26245355.0,42993.2487,18.2669,0.4838,0.0
2017-11-30,72.38,67047556.0,43459.0488,18.4648,0.489,0.0
2017-12-31,73.39,38776307.0,44064.5876,18.7221,0.4959,0.0
2018-01-31,62.88,35298163.0,37753.0108,16.0404,0.4248,0.0
2018-02-28,55.59,23486793.0,33374.4991,14.1801,0.3756,0.0
2018-03-31,49.77,20214078.0,29881.0065,7.5634,0.3204,0.0
2018-04-30,57.84,24572388.0,34725.3162,8.7896,0.3723,0.0
2018-05-31,49.96,16060340.0,29997.4562,7.5929,0.3216,0.0
2018-06-30,45.93,14576883.0,27575.3014,6.9798,0.2957,0.0
2018-07-31,49.22,13434853.0,29554.9472,7.4809,0.3169,0.0
2018-08-31,42.16,12033107.0,25316.1762,6.408,0.2715,0.0
2018-09-30,32.35,22116014.0,19423.8187,4.9165,0.2083,0.0
2018-10-31,34.1,12598090.0,20471.8665,5.1818,0.2195,0.0
2018-11-30,32.74,11022463.0,19656.7182,4.9755,0.2108,0.0
2018-12-31,37.35,15969717.0,22428.2223,5.677,0.2405,0.0
2019-01-31,31.61,7585336.0,18981.3097,4.8045,0.2035,0.0
2019-02-28,27.11,11575092.0,16279.6754,4.1207,0.1746,0.0
2019-03-31,29.33,25266784.0,17607.2026,4.4272,0.1902,0.0
2019-04-30,26.69,15926139.0,16023.4859,4.4272,0.1731,0.0
2019-05-31,25.37,12931117.0,15231.6276,4.4272,0.1645,0.0
2019-06-30,24.28,10365916.0,14579.509,4.4272,0.1575,0.0
2019-07-31,22.27,11547603.0,13368.4316,4.4272,0.1444,0.0
2019-08-31,21.72,9561709.0,13042.3723,4.4272,0.1409,0.0
2019-09-30,33.55,84341062.0,20145.8072,4.4272,0.2176,0.0
2019-10-31,44.8,113809125.0,26899.8928,4.4272,0.2905,0.0
2019-11-30,46.94,133659996.0,28180.8401,4.4272,0.3044,0.0
2019-12-31,48.1,63807667.0,28879.5386,4.4272,0.3119,0.0
2020-01-31,46.51,29445619.0,27924.6506,4.4272,0.3016,0.0
2020-02-29,34.91,25872328.0,20960.9555,4.4272,0.2264,0.0
2020-03-31,29.09,31671961.0,17467.4629,4.0294,0.1811,0.0
2020-04-30,33.98,37459397.0,20401.9966,4.7064,0.2115,0.0
2020-05-31,36.58,65440090.0,21962.4233,5.0663,0.2277,0.0
2020-06-30,44.3,82478903.0,26597.1235,6.1355,0.2757,0.0
2020-07-31,41.89,75885529.0,25153.1465,5.8024,0.2608,0.0
2020-08-31,45.58,53352471.0,27365.6918,6.3128,0.2837,0.0
2020-09-30,40.65,20105292.0,24407.8681,5.6304,0.253,0.75
2020-10-31,39.68,21514649.0,23825.62,5.4961,0.247,0.75
2020-11-30,43.44,36783179.0,26084.7452,6.0173,0.2704,0.75
2020-12-31,68.54,195130909.0,41153.3436,9.4933,0.4266,0.75
2021-01-31,66.14,36590430.0,39709.3666,9.1602,0.4116,0.75
2021-02-28,77.58,109540716.0,46579.9022,10.7451,0.4829,0.75
2021-03-31,85.88,190679856.0,51563.9517,5.7484,0.4898,0.75
2021-04-30,81.03,54176002.0,48652.7078,5.4238,0.4621,0.75
2021-05-31,88.56,118397092.0,53170.9584,5.9275,0.505,0.75
2021-06-30,85.88,67698221.0,51563.9517,5.7484,0.4898,0.75
2021-07-31,85.65,59945235.0,51424.2107,5.7328,0.4885,0.75
2021-08-31,82.08,43915187.0,49281.5353,5.4939,0.4681,1.0
2021-09-30,94.07,60821294.0,56478.13,6.2962,0.5365,0.25
2021-10-31,99.42,96713895.0,59692.1431,6.6545,0.567,0.25
2021-11-30,115.28,87740066.0,69217.7329,7.7164,0.6575,0.25
2021-12-31,104.69,51228853.0,62859.5764,7.0076,0.5971,0.25
2022-01-31,95.11,41646343.0,57106.9586,6.3663,0.5424,0.25
2022-02-28,80.64,42636570.0,48419.8071,5.3979,0.4599,0.25
2022-03-31,89.49,55141812.0,53729.9158,4.8451,0.6977,0.25
2022-04-30,103.61,56478869.0,62207.4578,5.6095,0.8078,0.25
2022-05-31,91.74,32493656.0,55080.7329,4.9669,0.7153,0.25
2022-06-30,75.76,30149843.0,45485.2733,4.1016,0.5907,0.25
2022-07-31,80.84,18834003.0,48536.2568,4.3767,0.6303,0.25
2022-08-31,91.74,35268019.0,55080.7329,4.9669,0.7153,0.25
2022-09-30,88.32,23232524.0,53031.2173,4.7821,0.6887,0.33
2022-10-31,100.85,32100302.0,60553.8713,5.4604,0.7863,0.33
2022-11-30,104.93,33495179.0,62999.3161,5.6809,0.8181,0.33
2022-12-31,105.47,71177964.0,63325.3754,5.7103,0.8223,0.33
2023-01-31,103.06,57208672.0,61881.3985,5.5801,0.8036,0.33
2023-02-28,92.82,34057218.0,55732.8515,5.0257,0.7237,0.33
2023-03-31,93.6,48745607.0,43598.7873,5.0107,0.6317,0.33
2023-04-30,91.2,21064231.0,42480.8697,4.8822,0.6155,0.33
2023-05-31,94.85,36727183.0,44181.0361,5.0776,0.6401,0.33
2023-06-30,100.8,33880777.0,46952.5402,5.3961,0.6802,0.33
2023-07-31,103.8,23882291.0,48349.9372,5.5567,0.7005,0.33
2023-08-31,130.3,110799455.0,60693.611,6.9754,0.8793,0.33
2023-09-30,146.0,166279561.0,68006.6555,7.8158,0.9853,0.44
2023-10-31,139.25,108607734.0,64862.5121,7.4545,0.9397,0.44
2023-11-30,143.7,56763448.0,66935.3177,7.6927,0.9697,0.44
2023-12-31,162.9,138228423.0,75878.6587,8.7206,1.0993,0.44
2024-01-31,211.7,232032738.0,98609.6504,11.333,1.4286,0.44
2024-02-29,236.6,239149664.0,110208.0458,12.666,1.5967,0.44
2024-03-31,208.8,39874716.0,97258.8333,14.321,1.29,0.44
2024-04-30,227.25,69492121.0,105852.825,15.5864,1.404,0.44
2024-05-31,245.7,137012300.0,114446.8168,16.8519,1.518,0.44
2024-06-30,251.85,147469889.0,117311.4807,17.2737,1.556,0.44
2024-07-31,286.7,350454555.0,133544.5762,19.6639,1.7713,0.44
2024-08-31,269.2,106329646.0,125393.0935,18.4636,1.6631,0.44
2024-09-30,261.15,68796645.0,121643.4115,17.9115,1.6134,0.5
2024-10-31,216.4,49719236.0,100798.9058,14.8422,1.3369,0.5
2024-11-30,234.87,115336965.0,109402.2135,16.1091,1.4511,0.5
2024-12-31,208.92,36121792.0,97314.7292,14.3292,1.2907,0.5
2025-01-31,195.46,37720650.0,91045.0745,13.406,1.2076,0.5
2025-02-28,145.94,43852927.0,67978.7075,10.0096,0.9016,0.5
2025-03-31,165.28,132970981.0,76987.2604,9.1264,0.9262,0.5
2025-04-30,178.01,81663835.0,82916.8818,9.8294,0.9976,0.5
2025-05-31,201.52,151114341.0,93867.8165,11.1276,1.1293,0.5
2025-06-30,223.81,296975809.0,104250.4764,12.3584,1.2543,0.5
2025-07-31,215.92,49010029.0,100575.3222,11.9227,1.21,0.5
2025-08-31,211.5,30452348.0,98516.4906,11.6786,1.1853,0.5
2025-09-30,222.69,101531525.0,103728.7815,12.2965,1.248,6.59
2025-10-31,259.68,223557568.0,120958.6869,14.339,1.4553,6.59
2025-11-30,231.8,161074763.0,107972.2105,12.7996,1.299,9.59
2025-12-31,231.76,79158396.0,107953.5786,12.7973,1.2988,9.59
2026-01-31,225.37,44645812.0,104977.1229,12.4445,1.263,9.59
2026-02-28,263.47,236742575.0,122724.0652,14.5483,1.4765,13.09
2026-03-31,241.2,20506183.0,112350.7198,13.3186,1.3517,13.09
